DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ABR,1,0,34.83,3.99,0.369,35
ABR,1,1,29.70,3.99,0.375,35
ABR,1,2,24.80,3.99,0.381,34
ABR,1,3,20.11,3.80,0.381,34
ABR,1,4,16.86,3.64,0.362,33
ABR,1,5,14.03,3.49,0.338,33
ABR,1,6,11.34,3.29,0.326,31
ABR,1,7,9.60,3.20,0.289,30
ABR,1,8,6.83,3.18,0.307,29
ABR,1,9,6.54,3.16,0.327,29
ABR,1,10,7.63,3.14,0.344,28
ABR,1,11,10.91,3.17,0.359,27
ABR,1,12,15.65,3.18,0.359,26
ABR,1,13,20.74,3.13,0.353,26
ABR,1,14,26.41,2.81,0.349,25
ABR,1,15,32.53,2.62,0.329,25
ABR,1,16,38.79,2.57,0.289,25
ABR,1,17,43.72,2.52,0.260,25
ABR,1,18,47.43,2.49,0.233,25
ABR,1,19,49.05,2.47,0.216,24
ABR,1,20,48.28,2.44,0.227,25
ABR,1,21,46.53,2.38,0.240,25
ABR,1,22,44.67,2.27,0.237,25
ABR,1,23,41.25,2.15,0.265,24
ABR,2,0,37.64,2.04,0.278,24
ABR,2,1,33.64,1.97,0.284,24
ABR,2,2,29.32,1.97,0.291,25
ABR,2,3,26.59,1.93,0.286,25
ABR,2,4,25.13,1.90,0.266,25
ABR,2,5,21.90,1.94,0.260,26
ABR,2,6,18.16,2.01,0.267,27
ABR,2,7,15.46,2.06,0.268,28
ABR,2,8,12.73,2.14,0.321,30
ABR,2,9,10.49,2.27,0.365,31
ABR,2,10,10.41,2.36,0.384,32
ABR,2,11,11.20,2.30,0.393,32
ABR,2,12,13.04,2.26,0.400,31
ABR,2,13,17.65,2.24,0.396,31
ABR,2,14,22.66,2.21,0.388,31
ABR,2,15,28.33,2.21,0.358,31
ABR,2,16,34.12,2.22,0.297,31
ABR,2,17,40.17,2.24,0.251,30
ABR,2,18,44.33,2.30,0.225,30
ABR,2,19,45.39,2.31,0.217,30
ABR,2,20,44.24,2.34,0.214,31
ABR,2,21,42.80,2.35,0.211,31
ABR,2,22,41.05,2.36,0.206,31
ABR,2,23,38.41,2.33,0.206,31
ABR,3,0,35.27,2.35,0.206,32
ABR,3,1,32.05,2.41,0.207,33
ABR,3,2,28.51,2.63,0.216,34
ABR,3,3,26.24,2.71,0.214,34
ABR,3,4,23.28,2.78,0.214,34
ABR,3,5,19.57,2.80,0.216,34
ABR,3,6,16.33,2.83,0.225,33
ABR,3,7,13.77,2.83,0.245,33
ABR,3,8,11.99,2.76,0.299,32
ABR,3,9,10.48,2.68,0.362,32
ABR,3,10,11.65,2.62,0.385,31
ABR,3,11,13.98,2.67,0.399,32
ABR,3,12,18.75,2.69,0.403,32
ABR,3,13,24.52,2.74,0.404,32
ABR,3,14,30.25,3.03,0.409,32
ABR,3,15,36.04,3.04,0.385,33
ABR,3,16,41.44,3.05,0.330,33
ABR,3,17,46.34,3.06,0.266,34
ABR,3,18,49.15,3.02,0.236,34
ABR,3,19,49.93,3.01,0.230,35
ABR,3,20,49.04,2.98,0.235,35
ABR,3,21,47.73,2.97,0.245,35
ABR,3,22,45.51,2.97,0.242,34
ABR,3,23,42.93,2.98,0.258,35
ABR,4,0,40.35,2.96,0.263,34
ABR,4,1,37.55,2.92,0.267,33
ABR,4,2,34.78,2.63,0.271,33
ABR,4,3,31.94,2.56,0.275,33
ABR,4,4,29.01,2.51,0.276,33
ABR,4,5,25.58,2.48,0.280,33
ABR,4,6,21.93,2.42,0.296,34
ABR,4,7,18.24,2.42,0.329,34
ABR,4,8,14.62,2.53,0.403,35
ABR,4,9,11.81,2.70,0.472,35
ABR,4,10,11.40,2.80,0.503,36
ABR,4,11,13.51,2.81,0.511,36
ABR,4,12,17.54,2.80,0.508,36
ABR,4,13,22.80,2.77,0.496,36
ABR,4,14,28.82,2.51,0.470,36
ABR,4,15,34.83,2.50,0.424,36
ABR,4,16,40.86,2.47,0.340,35
ABR,4,17,46.32,2.46,0.263,35
ABR,4,18,49.15,2.49,0.226,34
ABR,4,19,50.07,2.53,0.214,34
ABR,4,20,48.61,2.58,0.245,33
ABR,4,21,45.06,2.64,0.283,33
ABR,4,22,42.82,2.71,0.287,33
ABR,4,23,40.97,2.75,0.284,33
ABR,5,0,38.43,2.80,0.291,33
ABR,5,1,35.20,2.85,0.298,32
ABR,5,2,31.34,3.01,0.308,33
ABR,5,3,26.66,3.16,0.317,33
ABR,5,4,22.77,3.34,0.286,33
ABR,5,5,20.22,3.43,0.248,33
ABR,5,6,17.15,3.54,0.262,33
ABR,5,7,13.05,5.74,0.298,33
ABR,5,8,9.52,7.45,0.369,34
ABR,5,9,6.69,7.70,0.424,34
ABR,5,10,5.77,7.65,0.435,34
ABR,5,11,7.12,7.68,0.446,34
ABR,5,12,10.31,7.74,0.459,35
ABR,5,13,13.93,7.78,0.461,35
ABR,5,14,16.51,7.82,0.451,35
ABR,5,15,19.97,7.86,0.426,36
ABR,5,16,23.55,7.92,0.357,36
ABR,5,17,27.18,7.97,0.301,36
ABR,5,18,29.70,7.98,0.292,36
ABR,5,19,30.66,8.04,0.286,36
ABR,5,20,29.66,8.13,0.283,36
ABR,5,21,28.15,8.21,0.287,36
ABR,5,22,26.28,8.27,0.297,36
ABR,5,23,24.12,8.34,0.303,36
ABR,6,0,21.94,8.38,0.308,36
ABR,6,1,19.81,8.40,0.313,36
ABR,6,2,17.62,8.30,0.314,35
ABR,6,3,15.57,8.19,0.306,35
ABR,6,4,14.48,8.04,0.288,35
ABR,6,5,14.03,7.96,0.276,35
ABR,6,6,14.93,7.88,0.263,34
ABR,6,7,15.31,5.73,0.263,33
ABR,6,8,16.30,4.01,0.292,32
ABR,6,9,19.14,3.94,0.324,33
ABR,6,10,21.72,4.03,0.333,33
ABR,6,11,25.35,4.05,0.343,32
ABR,6,12,28.67,4.06,0.348,32
ABR,6,13,31.75,4.04,0.344,32
ABR,6,14,34.23,4.02,0.335,33
ABR,6,15,37.85,4.00,0.324,39
ABR,6,16,41.04,3.97,0.291,39
ABR,6,17,42.19,3.93,0.251,40
ABR,6,18,43.60,3.85,0.229,41
ABR,6,19,43.91,3.75,0.209,40
ABR,6,20,43.15,3.62,0.221,42
ABR,6,21,42.16,3.48,0.236,42
ABR,6,22,40.70,3.38,0.252,42
ABR,6,23,38.32,3.30,0.267,42
ABR,7,0,34.73,3.33,0.283,43
ABR,7,1,31.41,3.43,0.296,43
ABR,7,2,27.66,3.45,0.321,43
ABR,7,3,23.77,3.46,0.353,43
ABR,7,4,20.13,3.51,0.360,43
ABR,7,5,16.53,3.50,0.378,44
ABR,7,6,13.49,3.47,0.404,44
ABR,7,7,10.48,3.58,0.420,45
ABR,7,8,8.84,3.92,0.450,44
ABR,7,9,8.60,3.96,0.500,43
ABR,7,10,10.72,4.02,0.521,42
ABR,7,11,14.44,3.98,0.503,42
ABR,7,12,19.34,3.93,0.482,41
ABR,7,13,24.94,3.92,0.454,40
ABR,7,14,29.99,3.90,0.411,39
ABR,7,15,35.61,3.86,0.375,33
ABR,7,16,41.05,3.83,0.323,32
ABR,7,17,45.18,3.81,0.257,30
ABR,7,18,47.54,3.81,0.211,30
ABR,7,19,47.99,3.81,0.215,30
ABR,7,20,46.45,3.81,0.256,29
ABR,7,21,43.86,3.80,0.292,29
ABR,7,22,42.01,3.79,0.318,29
ABR,7,23,39.62,3.78,0.326,29
ABR,8,0,37.22,3.64,0.328,28
ABR,8,1,34.44,3.48,0.337,29
ABR,8,2,30.97,3.45,0.347,29
ABR,8,3,27.99,3.44,0.333,28
ABR,8,4,26.23,3.37,0.292,28
ABR,8,5,23.57,3.43,0.268,28
ABR,8,6,19.98,3.51,0.314,29
ABR,8,7,16.74,4.04,0.385,29
ABR,8,8,13.37,5.28,0.461,30
ABR,8,9,11.47,5.10,0.502,30
ABR,8,10,13.15,5.58,0.551,30
ABR,8,11,16.23,6.19,0.587,30
ABR,8,12,20.80,7.71,0.630,30
ABR,8,13,28.58,9.58,0.690,31
ABR,8,14,35.99,10.09,0.644,32
ABR,8,15,42.53,10.26,0.568,32
ABR,8,16,48.68,10.33,0.488,32
ABR,8,17,53.54,10.37,0.439,32
ABR,8,18,55.41,10.42,0.384,32
ABR,8,19,55.80,10.46,0.353,32
ABR,8,20,53.71,11.41,0.333,33
ABR,8,21,49.56,11.84,0.268,33
ABR,8,22,46.52,11.93,0.245,35
ABR,8,23,44.41,12.03,0.240,35
ABR,9,0,42.25,12.16,0.240,35
ABR,9,1,39.72,12.24,0.240,34
ABR,9,2,37.14,12.30,0.236,33
ABR,9,3,34.61,12.34,0.225,32
ABR,9,4,33.58,12.36,0.194,32
ABR,9,5,32.20,12.29,0.185,31
ABR,9,6,29.05,12.56,0.201,30
ABR,9,7,24.62,13.12,0.232,30
ABR,9,8,20.62,11.64,0.266,28
ABR,9,9,18.52,11.39,0.289,28
ABR,9,10,18.55,10.62,0.302,27
ABR,9,11,19.72,9.90,0.313,27
ABR,9,12,21.51,8.30,0.321,27
ABR,9,13,24.34,6.39,0.323,25
ABR,9,14,28.94,5.89,0.308,25
ABR,9,15,35.28,5.87,0.282,25
ABR,9,16,41.81,5.92,0.253,25
ABR,9,17,46.68,6.42,0.236,25
ABR,9,18,49.66,6.76,0.236,25
ABR,9,19,51.56,6.85,0.229,25
ABR,9,20,51.29,6.01,0.240,23
ABR,9,21,48.08,5.76,0.275,24
ABR,9,22,43.77,5.89,0.309,22
ABR,9,23,40.06,6.05,0.317,22
ABR,10,0,36.90,6.07,0.312,22
ABR,10,1,33.19,6.08,0.306,23
ABR,10,2,27.87,6.22,0.296,23
ABR,10,3,23.01,6.52,0.292,23
ABR,10,4,19.29,6.80,0.275,24
ABR,10,5,17.28,6.95,0.248,24
ABR,10,6,17.66,6.92,0.262,25
ABR,10,7,16.76,6.39,0.312,26
ABR,10,8,12.27,7.53,0.353,26
ABR,10,9,10.02,8.03,0.390,27
ABR,10,10,10.62,8.53,0.415,27
ABR,10,11,13.02,8.76,0.429,27
ABR,10,12,18.34,8.96,0.440,28
ABR,10,13,25.52,9.02,0.440,29
ABR,10,14,29.72,9.02,0.390,29
ABR,10,15,33.01,8.89,0.330,31
ABR,10,16,39.61,8.79,0.291,32
ABR,10,17,45.22,8.27,0.253,32
ABR,10,18,49.93,7.90,0.230,32
ABR,10,19,52.32,7.77,0.225,32
ABR,10,20,51.84,7.65,0.235,33
ABR,10,21,50.42,7.47,0.243,32
ABR,10,22,48.23,7.23,0.250,32
ABR,10,23,44.77,6.96,0.251,32
ABR,11,0,41.32,6.80,0.253,32
ABR,11,1,37.98,6.70,0.256,33
ABR,11,2,34.49,6.49,0.255,33
ABR,11,3,31.25,6.15,0.248,33
ABR,11,4,28.80,5.86,0.232,34
ABR,11,5,26.46,5.71,0.216,34
ABR,11,6,23.95,5.38,0.233,33
ABR,11,7,20.66,4.65,0.306,32
ABR,11,8,17.51,3.28,0.348,31
ABR,11,9,16.02,2.81,0.384,31
ABR,11,10,16.57,2.35,0.404,31
ABR,11,11,19.06,2.17,0.406,30
ABR,11,12,22.33,1.99,0.405,31
ABR,11,13,26.18,1.96,0.400,31
ABR,11,14,30.39,1.98,0.375,31
ABR,11,15,36.59,2.01,0.299,30
ABR,11,16,42.95,2.04,0.253,29
ABR,11,17,47.40,2.07,0.215,30
ABR,11,18,49.92,2.11,0.195,30
ABR,11,19,50.20,2.16,0.202,30
ABR,11,20,48.95,2.25,0.224,30
ABR,11,21,46.80,2.34,0.251,30
ABR,11,22,44.87,2.45,0.260,30
ABR,11,23,41.74,2.59,0.268,31
ABR,12,0,38.65,2.69,0.273,31
ABR,12,1,34.77,2.77,0.282,31
ABR,12,2,30.71,2.82,0.286,31
ABR,12,3,28.55,2.82,0.276,31
ABR,12,4,27.38,2.83,0.251,31
ABR,12,5,26.50,2.83,0.227,31
ABR,12,6,24.69,2.84,0.240,31
ABR,12,7,21.94,2.84,0.328,32
ABR,12,8,18.67,2.88,0.434,32
ABR,12,9,17.60,2.89,0.487,33
ABR,12,10,18.97,2.90,0.503,33
ABR,12,11,20.55,2.90,0.513,34
ABR,12,12,22.77,2.91,0.517,35
ABR,12,13,25.23,2.89,0.513,35
ABR,12,14,28.41,2.92,0.491,34
ABR,12,15,33.85,2.94,0.403,34
ABR,12,16,39.66,2.88,0.303,34
ABR,12,17,44.30,2.91,0.250,34
ABR,12,18,46.81,2.93,0.237,35
ABR,12,19,47.22,2.95,0.242,36
ABR,12,20,46.35,2.95,0.257,37
ABR,12,21,45.48,NA,0.273,36
ABR,12,22,43.67,NA,0.296,36
ABR,12,23,41.47,NA,0.306,36
ABR,13,0,39.24,NA,0.306,36
ABR,13,1,36.55,NA,0.306,36
ABR,13,2,34.26,NA,0.302,35
ABR,13,3,32.31,NA,0.294,35
ABR,13,4,31.49,NA,0.283,35
ABR,13,5,30.07,NA,0.278,34
ABR,13,6,28.27,NA,0.286,34
ABR,13,7,24.72,NA,0.324,34
ABR,13,8,21.13,NA,0.369,33
ABR,13,9,20.67,NA,0.383,34
ABR,13,10,21.22,NA,0.394,33
ABR,13,11,23.05,NA,0.399,32
ABR,13,12,24.53,NA,0.399,31
ABR,13,13,26.89,NA,0.393,30
ABR,13,14,30.72,2.01,0.367,31
ABR,13,15,36.61,1.96,0.311,31
ABR,13,16,42.58,1.96,0.257,31
ABR,13,17,45.64,1.92,0.236,31
ABR,13,18,46.94,1.88,0.219,30
ABR,13,19,46.88,1.84,0.204,29
ABR,13,20,46.19,1.81,0.209,29
ABR,13,21,44.76,1.78,0.231,29
ABR,13,22,42.75,1.78,0.265,30
ABR,13,23,41.03,1.76,0.301,31
ABR,14,0,39.77,1.76,0.330,30
ABR,14,1,36.87,1.74,0.359,30
ABR,14,2,33.10,1.68,0.380,31
ABR,14,3,29.16,1.66,0.399,32
ABR,14,4,26.46,1.65,0.396,32
ABR,14,5,23.65,1.63,0.384,33
ABR,14,6,20.94,1.62,0.380,33
ABR,14,7,16.89,1.67,0.388,33
ABR,14,8,12.19,1.76,0.403,34
ABR,14,9,9.82,1.94,0.418,34
ABR,14,10,11.43,2.17,0.429,35
ABR,14,11,14.91,2.30,0.434,35
ABR,14,12,18.55,2.34,0.436,36
ABR,14,13,23.32,2.36,0.429,36
ABR,14,14,28.60,2.39,0.406,36
ABR,14,15,34.82,2.41,0.362,35
ABR,14,16,41.97,2.51,0.327,35
ABR,14,17,48.39,2.58,0.288,34
ABR,14,18,51.66,2.59,0.262,36
ABR,14,19,52.21,2.59,0.260,37
ABR,14,20,48.86,2.59,0.342,36
ABR,14,21,42.85,2.64,0.481,36
ABR,14,22,38.30,2.73,0.485,38
ABR,14,23,33.78,2.90,0.492,40
ABR,15,0,28.62,2.95,0.483,40
ABR,15,1,23.88,2.98,0.479,39
ABR,15,2,19.30,2.99,0.472,39
ABR,15,3,16.08,2.95,0.451,38
ABR,15,4,16.00,2.92,0.355,38
ABR,15,5,17.15,2.92,0.207,38
ABR,15,6,16.24,2.93,0.192,38
ABR,15,7,15.45,2.83,0.200,37
ABR,15,8,14.47,2.68,0.216,36
ABR,15,9,14.52,2.46,0.229,36
ABR,15,10,16.25,2.20,0.236,35
ABR,15,11,18.96,2.06,0.242,35
ABR,15,12,22.89,2.03,0.246,35
ABR,15,13,28.49,2.03,0.248,35
ABR,15,14,34.86,2.03,0.250,35
ABR,15,15,41.35,2.07,0.236,36
ABR,15,16,48.44,2.14,0.220,36
ABR,15,17,54.54,2.29,0.215,37
ABR,15,18,58.75,2.46,0.224,36
ABR,15,19,61.13,2.83,0.283,36
ABR,15,20,59.13,3.28,0.388,36
ABR,15,21,54.87,3.56,0.455,37
ABR,15,22,51.93,3.66,0.470,36
ABR,15,23,48.38,3.59,0.470,35
ABR,16,0,43.98,3.62,0.466,34
ABR,16,1,38.24,3.66,0.460,34
ABR,16,2,32.34,3.69,0.450,35
ABR,16,3,26.55,3.71,0.391,35
ABR,16,4,23.73,3.77,0.288,36
ABR,16,5,21.22,3.81,0.224,37
ABR,16,6,16.91,3.80,0.236,37
ABR,16,7,13.34,3.82,0.283,37
ABR,16,8,10.24,3.84,0.349,38
ABR,16,9,9.31,3.85,0.404,38
ABR,16,10,11.13,3.88,0.419,38
ABR,16,11,15.41,3.88,0.430,38
ABR,16,12,20.57,3.85,0.441,38
ABR,16,13,27.33,3.81,0.445,38
ABR,16,14,34.57,3.78,0.428,39
ABR,16,15,41.78,3.76,0.391,39
ABR,16,16,49.14,3.66,0.345,38
ABR,16,17,55.01,3.50,0.301,38
ABR,16,18,57.76,3.35,0.298,38
ABR,16,19,57.27,3.01,0.292,40
ABR,16,20,54.70,2.61,0.293,41
ABR,16,21,51.08,2.32,0.297,39
ABR,16,22,47.10,2.20,0.297,38
ABR,16,23,42.52,2.13,0.293,37
ABR,17,0,37.40,2.08,0.282,36
ABR,17,1,31.56,2.06,0.280,37
ABR,17,2,27.49,2.07,0.270,36
ABR,17,3,24.50,2.12,0.277,35
ABR,17,4,22.84,2.16,0.275,35
ABR,17,5,20.16,2.17,0.291,35
ABR,17,6,17.45,2.25,0.314,35
ABR,17,7,14.41,2.31,0.381,35
ABR,17,8,11.56,2.36,0.434,35
ABR,17,9,12.50,2.40,0.474,35
ABR,17,10,12.65,2.44,0.497,35
ABR,17,11,13.24,2.45,0.491,35
ABR,17,12,13.70,2.47,0.480,35
ABR,17,13,15.42,2.48,0.457,35
ABR,17,14,17.72,2.48,0.424,35
ABR,17,15,20.94,2.47,0.350,34
ABR,17,16,24.36,2.41,0.289,33
ABR,17,17,25.08,2.38,0.240,33
ABR,17,18,25.63,2.35,0.209,32
ABR,17,19,25.60,2.32,0.201,30
ABR,17,20,24.46,2.28,0.224,27
ABR,17,21,23.30,2.25,0.245,27
ABR,17,22,22.70,2.23,0.268,27
ABR,17,23,21.05,2.22,0.282,27
ABR,18,0,19.02,2.21,0.289,27
ABR,18,1,16.69,2.17,0.298,27
ABR,18,2,15.96,2.14,0.311,27
ABR,18,3,17.37,2.08,0.318,27
ABR,18,4,18.47,2.02,0.307,27
ABR,18,5,19.59,1.97,0.303,26
ABR,18,6,18.54,1.90,0.316,26
ABR,18,7,16.97,1.85,0.373,26
ABR,18,8,15.58,1.82,0.426,26
ABR,18,9,14.44,1.80,0.462,25
ABR,18,10,12.52,1.77,0.479,24
ABR,18,11,9.98,1.77,0.479,24
ABR,18,12,9.48,1.76,0.476,24
ABR,18,13,9.32,1.75,0.459,23
ABR,18,14,10.21,1.74,0.430,23
ABR,18,15,12.34,1.72,0.363,23
ABR,18,16,14.98,1.74,0.306,23
ABR,18,17,17.56,1.72,0.263,23
ABR,18,18,19.61,1.71,0.233,22
ABR,18,19,20.65,1.71,0.220,23
ABR,18,20,20.70,1.71,0.224,23
ABR,18,21,20.05,1.70,0.257,23
ABR,18,22,19.14,1.68,0.282,23
ABR,18,23,17.35,2.03,0.317,24
ABR,19,0,14.76,4.64,0.477,26
ABR,19,1,13.04,5.45,0.480,28
ABR,19,2,11.07,6.39,0.482,30
ABR,19,3,8.97,6.47,0.485,31
ABR,19,4,7.32,6.57,0.471,31
ABR,19,5,6.07,6.57,0.435,32
ABR,19,6,4.92,6.62,0.405,32
ABR,19,7,4.59,6.70,0.368,32
ABR,19,8,4.76,6.81,0.210,31
ABR,19,9,5.55,6.91,0.209,31
ABR,19,10,6.76,7.00,0.215,32
ABR,19,11,8.63,7.11,0.221,32
ABR,19,12,10.90,7.22,0.227,32
ABR,19,13,13.73,7.31,0.232,32
ABR,19,14,16.86,7.39,0.236,33
ABR,19,15,20.18,7.44,0.236,33
ABR,19,16,23.63,7.48,0.230,33
ABR,19,17,25.88,7.57,0.229,34
ABR,19,18,27.94,7.64,0.221,34
ABR,19,19,28.50,7.77,0.217,34
ABR,19,20,27.81,7.86,0.217,36
ABR,19,21,26.31,8.28,0.217,36
ABR,19,22,24.49,8.47,0.216,35
ABR,19,23,22.78,8.22,0.219,34
ABR,20,0,20.96,5.67,0.220,32
ABR,20,1,18.57,4.92,0.217,30
ABR,20,2,16.12,4.02,0.217,27
ABR,20,3,14.56,3.96,0.214,26
ABR,20,4,14.17,3.89,0.205,25
ABR,20,5,15.05,3.89,0.196,25
ABR,20,6,15.72,3.84,0.195,24
ABR,20,7,16.26,3.73,0.204,23
ABR,20,8,16.68,3.66,0.227,23
ABR,20,9,18.39,3.56,0.246,23
ABR,20,10,21.11,3.42,0.256,23
ABR,20,11,24.67,3.27,0.265,22
ABR,20,12,28.64,3.15,0.271,22
ABR,20,13,32.25,3.06,0.280,22
ABR,20,14,36.52,2.99,0.282,21
ABR,20,15,40.81,2.98,0.270,21
ABR,20,16,45.02,3.02,0.248,21
ABR,20,17,48.14,2.99,0.230,21
ABR,20,18,50.25,2.93,0.219,21
ABR,20,19,51.44,2.81,0.221,21
ABR,20,20,49.87,2.74,0.298,20
ABR,20,21,46.98,2.40,0.347,21
ABR,20,22,42.80,2.30,0.404,22
ABR,20,23,38.90,2.35,0.466,24
ABR,21,0,35.64,2.37,0.479,25
