DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,1,0,27.935317,45.244677,10.591618,0.517349,91.3165
ABRIL,1,1,32.85905,41.52839,10.813256,0.515543,68.3916
ABRIL,1,2,32.221267,37.800546,11.148595,0.513957,53.9439
ABRIL,1,3,26.695417,33.698365,11.663036,0.476209,50.0729
ABRIL,1,4,28.7317,31.371934,11.984842,0.417977,44.1798
ABRIL,1,5,27.5909,30.185409,12.286744,0.417673,44.8359
ABRIL,1,6,26.34225,29.779356,12.347003,0.429147,46.1824
ABRIL,1,7,25.624483,28.500048,12.357817,0.451042,51.6361
ABRIL,1,8,11.877738,26.492851,12.357056,0.489835,49.984
ABRIL,1,9,13.617035,24.087599,12.494634,0.52925,52.899
ABRIL,1,10,31.653833,24.01667,12.514901,0.554251,45.8305
ABRIL,1,11,38.191,25.453617,12.560325,0.57532,41.4278
ABRIL,1,12,49.635367,28.066576,12.571098,0.594414,41.2437
ABRIL,1,13,54.549567,31.436409,12.487888,0.602978,33.4777
ABRIL,1,14,58.155583,35.413076,12.093628,0.602106,33.5061
ABRIL,1,15,59.8869,39.695878,11.888557,0.596033,30.777
ABRIL,1,16,58.578233,45.53344,11.68691,0.571163,31.9695
ABRIL,1,17,59.704,51.29431,11.549967,0.540597,29.2778
ABRIL,1,18,60.303017,54.875458,11.289416,0.526171,32.5563
ABRIL,1,19,57.814617,57.328411,10.640378,0.516897,39.4118
ABRIL,1,20,49.22215,57.276758,8.398522,0.507966,55.5509
ABRIL,1,21,39.452883,55.389673,7.792696,0.516164,55.2366
ABRIL,1,22,33.055417,52.252152,7.14338,0.527446,50.7984
ABRIL,1,23,28.084683,48.276875,6.913477,0.534356,51.3286
ABRIL,2,0,24.90395,44.06759,5.847767,0.532401,48.0657
ABRIL,2,1,25.537833,39.796819,5.595166,0.531764,47.4419
ABRIL,2,2,28.250883,35.790302,5.342374,0.524284,44.2272
ABRIL,2,3,23.933167,31.555121,4.790221,0.519753,37.5408
ABRIL,2,4,22.5421,28.220115,4.477744,0.51366,33.0612
ABRIL,2,5,23.859633,26.270958,4.142633,0.499114,27.6018
ABRIL,2,6,22.006017,24.889783,4.047754,0.487772,28.727
ABRIL,2,7,18.294867,23.666056,3.989138,0.487292,29.0693
ABRIL,2,8,16.713683,22.642273,3.933034,0.512883,32.7316
ABRIL,2,9,23.510067,22.388802,3.754858,0.537259,29.4518
ABRIL,2,10,37.8565,23.589504,3.694934,0.556475,29.5407
ABRIL,2,11,47.102433,26.485663,3.622637,0.565642,24.1249
ABRIL,2,12,53.71985,30.382881,3.563769,0.578944,25.2374
ABRIL,2,13,54.1127,34.164515,3.539438,0.585261,23.9944
ABRIL,2,14,56.985517,38.536952,3.534909,0.587528,24.132
ABRIL,2,15,60.2092,43.776244,3.536862,0.574809,29.2971
ABRIL,2,16,57.073233,48.821188,3.541948,0.550443,27.6672
ABRIL,2,17,57.2145,53.034242,3.557887,0.527016,29.8525
ABRIL,2,18,60.450967,55.85855,3.584258,0.511918,32.4049
ABRIL,2,19,56.001083,56.970881,3.603421,0.504423,39.8669
ABRIL,2,20,43.397717,55.680615,3.61348,0.518787,45.9227
ABRIL,2,21,35.514567,53.355848,3.663959,0.530852,56.972
ABRIL,2,22,38.8955,51.094596,3.694271,0.527724,58.9938
ABRIL,2,23,32.2647,47.601533,3.738145,0.531312,54.6038
ABRIL,3,0,27.677383,43.927052,3.747736,0.536484,54.5684
