DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,1,0,17.67,27.04,5.05,2.44,23,15.76
AGO,1,1,16.70,24.65,5.05,2.44,24,14.52
AGO,1,2,15.62,22.37,5.00,2.42,24,14.87
AGO,1,3,12.38,19.98,4.94,2.42,35,14.86
AGO,1,4,8.58,17.43,4.88,2.41,48,16.56
AGO,1,5,3.28,14.70,4.84,2.41,47,20.55
AGO,1,6,NA,13.45,4.79,2.43,58,23.46
AGO,1,7,0.75,10.71,4.78,2.46,69,23.71
AGO,1,8,1.22,8.36,4.78,2.50,55,21.24
AGO,1,9,3.92,6.54,4.74,2.54,48,22.85
AGO,1,10,7.68,5.40,4.47,2.61,45,20.91
AGO,1,11,12.46,5.41,4.36,2.66,45,17.78
AGO,1,12,25.27,7.80,4.32,2.68,40,14.08
AGO,1,13,42.70,13.43,4.27,2.72,36,12.72
AGO,1,14,56.16,18.77,4.24,2.74,39,12.11
AGO,1,15,35.78,23.15,4.19,2.75,35,16.31
AGO,1,16,36.26,27.53,4.13,2.76,27,14.61
AGO,1,17,34.00,31.29,4.00,2.74,26,13.16
AGO,1,18,26.51,33.64,3.87,2.69,22,13.24
AGO,1,19,24.57,35.16,3.78,2.66,24,15.22
AGO,1,20,19.01,34.37,3.70,2.67,25,18.35
AGO,1,21,16.77,31.13,3.64,2.66,30,21.22
AGO,1,22,13.89,25.85,3.56,2.64,35,19.80
AGO,1,23,7.94,22.37,3.49,2.64,56,20.20
AGO,2,0,6.10,18.60,3.41,2.62,55,19.03
AGO,2,1,4.03,14.85,3.38,2.63,57,19.76
AGO,2,2,2.41,11.84,3.38,2.63,65,20.69
AGO,2,3,1.96,9.01,3.37,2.62,53,19.04
AGO,2,4,5.87,7.37,3.37,2.59,42,16.17
AGO,2,5,1.56,5.47,3.36,2.58,41,19.95
AGO,2,6,0.59,3.81,3.36,2.57,70,20.24
AGO,2,7,0.85,2.92,3.37,2.58,70,20.67
AGO,2,8,2.77,2.50,3.35,2.58,55,17.78
AGO,2,9,9.29,3.16,3.37,2.57,43,12.57
AGO,2,10,19.21,5.26,3.37,2.55,32,8.77
AGO,2,11,28.13,8.53,3.35,2.54,31,9.51
AGO,2,12,35.39,12.22,3.30,2.54,26,8.83
AGO,2,13,40.69,17.11,3.27,2.52,26,9.25
AGO,2,14,43.11,22.43,3.23,2.52,25,11.20
AGO,2,15,38.99,27.20,3.22,2.54,28,14.99
AGO,2,16,33.51,31.04,3.27,2.60,34,15.99
AGO,2,17,24.94,33.00,3.76,2.64,38,14.83
AGO,2,18,20.27,33.13,4.22,2.68,46,14.74
AGO,2,19,16.80,31.71,4.67,2.72,45,16.25
AGO,2,20,7.52,28.23,4.84,2.79,41,22.37
AGO,2,21,12.33,24.68,4.95,2.81,41,14.80
AGO,2,22,24.41,22.35,4.98,2.79,32,7.98
AGO,2,23,24.95,20.59,4.97,2.71,26,8.01
AGO,3,0,20.71,18.99,4.95,2.62,22,8.85
AGO,3,1,26.26,19.16,4.99,2.55,15,8.43
AGO,3,2,27.95,20.12,5.07,2.50,12,9.33
AGO,3,3,30.67,21.85,5.14,2.45,11,9.85
AGO,3,4,25.17,24.06,5.22,2.37,12,11.60
AGO,3,5,15.09,24.40,5.32,2.34,13,15.95
AGO,3,6,11.86,22.83,5.40,2.36,20,17.20
AGO,3,7,6.52,20.53,5.46,2.39,20,19.75
AGO,3,8,5.06,18.57,5.52,2.42,26,16.74
AGO,3,9,9.61,16.49,5.56,2.44,27,12.28
AGO,3,10,17.07,15.13,5.62,2.46,25,9.93
AGO,3,11,24.39,14.35,5.69,2.46,23,9.65
AGO,3,12,30.84,15.06,5.78,2.47,21,8.51
AGO,3,13,36.93,17.78,5.85,2.47,21,8.32
AGO,3,14,43.77,21.77,5.96,2.46,24,8.64
AGO,3,15,48.02,26.96,6.06,2.43,26,8.53
AGO,3,16,50.07,32.59,6.08,2.41,27,8.55
AGO,3,17,36.11,35.90,5.62,2.40,27,9.18
AGO,3,18,35.80,38.24,5.19,2.40,26,8.69
AGO,3,19,33.87,39.43,4.75,2.42,22,11.91
AGO,3,20,23.01,38.45,4.63,2.47,23,22.76
AGO,3,21,14.49,35.64,4.57,2.52,29,23.76
AGO,3,22,5.66,30.88,4.63,2.55,32,26.31
AGO,3,23,5.95,25.62,4.73,2.58,31,25.35
AGO,4,0,0.43,19.42,4.85,2.60,33,23.33
AGO,4,1,1.87,15.14,4.87,2.61,31,20.60
AGO,4,2,0.40,10.71,4.82,2.61,31,19.29
