DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
DIC,1,0,NA,0.0305,0.0021,3.344,NA,NA
DIC,1,1,0.0251,0.0264,0.0020,3.318,32,NA
DIC,1,2,0.0236,0.0232,0.0019,3.264,24,NA
DIC,1,3,0.0222,0.0220,0.0019,3.216,20,NA
DIC,1,4,0.0213,0.0221,0.0018,3.173,17,NA
DIC,1,5,0.0201,0.0217,0.0018,3.144,20,NA
DIC,1,6,0.0167,0.0209,0.0018,3.138,17,NA
DIC,1,7,0.0153,0.0194,0.0018,3.153,20,NA
DIC,1,8,0.0104,0.0175,0.0018,3.171,24,NA
DIC,1,9,0.0104,0.0165,0.0018,3.187,32,NA
DIC,1,10,0.0155,0.0161,0.0019,3.205,37,NA
DIC,1,11,0.0191,0.0171,0.0022,3.232,41,NA
DIC,1,12,0.0292,0.0197,0.0024,3.273,50,NA
DIC,1,13,0.0407,0.0238,0.0024,3.286,57,NA
DIC,1,14,0.0495,0.0281,0.0024,3.291,55,NA
DIC,1,15,0.0496,0.0326,0.0023,3.285,54,NA
DIC,1,16,0.0469,0.0361,0.0023,3.276,69,NA
DIC,1,17,0.0384,0.0383,0.0022,3.279,69,NA
DIC,1,18,0.0330,0.0392,0.0022,3.298,63,NA
DIC,1,19,0.0267,0.0382,0.0022,3.322,57,NA
DIC,1,20,0.0208,0.0359,0.0021,3.319,54,NA
DIC,1,21,0.0223,0.0326,0.0022,3.341,54,NA
DIC,1,22,0.0232,0.0294,0.0022,3.352,54,NA
DIC,1,23,0.0239,0.0268,0.0021,3.351,55,NA
DIC,2,0,0.0260,0.0249,0.0021,3.357,51,NA
DIC,2,1,0.0235,0.0235,0.0022,3.359,45,NA
DIC,2,2,0.0218,0.0224,0.0023,3.343,39,NA
DIC,2,3,0.0178,0.0220,0.0024,3.307,39,NA
DIC,2,4,0.0177,0.0215,0.0025,3.281,37,NA
DIC,2,5,0.0186,0.0199,0.0025,3.276,37,NA
DIC,2,6,0.0097,0.0170,0.0027,3.306,36,NA
DIC,2,7,0.0010,0.0139,0.0028,3.395,40,NA
DIC,2,8,0.0012,0.0115,0.0030,3.453,55,NA
DIC,2,9,0.0046,0.0113,0.0031,3.480,76,NA
DIC,2,10,0.0196,0.0127,0.0032,3.499,74,NA
DIC,2,11,0.0294,0.0155,0.0031,3.499,60,NA
DIC,2,12,0.0399,0.0190,0.0030,3.498,48,NA
DIC,2,13,0.0465,0.0243,0.0031,3.482,38,NA
DIC,2,14,0.0525,0.0303,0.0031,3.432,33,NA
DIC,2,15,0.0487,0.0362,0.0032,3.334,32,NA
DIC,2,16,0.0486,0.0419,0.0032,3.275,34,NA
DIC,2,17,0.0503,0.0450,0.0033,3.263,36,NA
DIC,2,18,0.0440,0.0439,0.0034,3.318,42,NA
DIC,2,19,0.0210,0.0415,0.0034,3.352,48,NA
DIC,2,20,0.0205,0.0377,0.0035,3.387,68,NA
DIC,2,21,0.0158,0.0323,0.0036,3.436,71,NA
DIC,2,22,0.0091,0.0277,0.0037,3.489,74,NA
