DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MARZO,1,0,0.0125,0.0345,0.0058,1.137,84
MARZO,1,1,0.016,0.0298,0.0058,1.167,86
MARZO,1,2,0.0166,0.0254,0.0058,1.176,81
MARZO,1,3,0.0258,0.0225,0.0058,1.149,73
MARZO,1,4,0.029,0.0217,0.0058,1.099,63
MARZO,1,5,0.0227,0.0207,0.0058,1.048,61
MARZO,1,6,0.0218,0.0205,0.0058,0.993,58
MARZO,1,7,0.007,0.0189,0.0058,0.986,64
MARZO,1,8,0.0037,0.0178,0.0058,1.006,91
MARZO,1,9,0.0116,0.0173,0.0058,1.041,100
MARZO,1,10,0.025,0.0183,0.0059,1.061,90
MARZO,1,11,0.0432,0.0205,0.0059,1.067,75
MARZO,1,12,0.0525,0.0234,0.0059,1.08,62
MARZO,1,13,0.0611,0.0282,0.0059,1.086,57
MARZO,1,14,0.0679,0.034,0.006,1.08,55
MARZO,1,15,0.072,0.0421,0.0061,1.035,53
MARZO,1,16,0.0722,0.0507,0.0062,0.955,56
MARZO,1,17,0.0692,0.0579,0.0063,0.892,56
MARZO,1,18,0.0655,0.063,0.0063,0.87,58
MARZO,1,19,0.0516,0.064,0.0063,0.902,65
MARZO,1,20,0.0226,0.0603,0.0064,0.992,72
MARZO,1,21,0.0108,0.054,0.0064,1.108,93
MARZO,1,22,0.0239,0.0485,0.007,1.144,112
MARZO,1,23,0.0276,0.0429,0.0082,1.149,138
MARZO,2,0,0.0352,0.0383,0.0084,1.143,162
MARZO,2,1,0.0294,0.0333,0.0096,1.133,132
MARZO,2,2,0.0286,0.0287,0.0111,1.113,102
MARZO,2,3,0.0208,0.0249,0.0154,1.071,97
MARZO,2,4,0.0286,0.0256,0.0175,0.966,81
MARZO,2,5,0.0245,0.0273,0.0206,0.843,69
MARZO,2,6,0.0295,0.028,0.0216,0.806,64
MARZO,2,7,0.0252,0.0277,0.022,0.81,58
MARZO,2,8,0.0215,0.026,0.0225,0.822,57
MARZO,2,9,0.0207,0.0249,0.0234,0.839,64
MARZO,2,10,0.0286,0.0249,0.0239,0.852,64
MARZO,2,11,0.0354,0.0268,0.0241,0.865,65
MARZO,2,12,0.0439,0.0287,0.0244,0.881,65
MARZO,2,13,0.0531,0.0323,0.0246,0.889,64
MARZO,2,14,0.0558,0.0355,0.0246,0.888,62
MARZO,2,15,0.0569,0.0395,0.0247,0.885,60
MARZO,2,16,0.0591,0.0442,0.0246,0.873,54
MARZO,2,17,0.0571,0.0488,0.0246,0.864,49
MARZO,2,18,0.0543,0.052,0.0246,0.87,50
MARZO,2,19,0.0454,0.0532,0.0246,0.893,58
MARZO,2,20,0.0292,0.0514,0.0246,0.94,87
MARZO,2,21,0.0257,0.0479,0.0246,0.971,89
MARZO,2,22,0.0315,0.0449,0.0241,0.979,76
MARZO,2,23,0.0218,0.0405,0.023,0.999,64
MARZO,3,0,0.0177,0.0353,0.023,0.998,61
MARZO,3,1,0.0163,0.0302,0.0218,0.987,53
MARZO,3,2,0.0187,0.0258,0.0202,0.966,46
MARZO,3,3,0.0146,0.022,0.016,0.928,37
MARZO,3,4,0.0037,0.0188,0.0142,0.865,35
