DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,1,0,0.0206,NA,0.0067,1.331,67
MAYO,1,1,0.0234,NA,0.0067,1.326,60
MAYO,1,2,0.0249,NA,0.0068,1.321,51
MAYO,1,3,0.0231,NA,0.0068,1.314,47
MAYO,1,4,0.0210,NA,0.0069,1.292,43
MAYO,1,5,0.0171,0.0217,0.0069,1.292,44
MAYO,1,6,0.0130,0.0204,0.0072,1.297,45
MAYO,1,7,0.0143,0.0197,0.0074,1.319,58
MAYO,1,8,0.0174,0.0193,0.0075,1.322,65
MAYO,1,9,0.0228,0.0192,0.0075,1.326,59
MAYO,1,10,0.0314,0.0200,0.0076,1.331,60
MAYO,1,11,0.0364,0.0217,0.0076,1.331,55
MAYO,1,12,0.0365,0.0236,0.0077,1.329,52
MAYO,1,13,0.0359,0.0260,0.0077,1.317,50
MAYO,1,14,0.0376,0.0290,0.0077,1.299,52
MAYO,1,15,0.0395,0.0322,0.0077,1.266,59
MAYO,1,16,0.0401,0.0350,0.0077,1.241,73
MAYO,1,17,0.0383,0.0370,0.0077,1.226,76
MAYO,1,18,0.0369,0.0376,0.0077,1.214,69
MAYO,1,19,0.0353,0.0375,0.0077,1.211,61
MAYO,1,20,0.0297,0.0367,0.0077,1.219,59
MAYO,1,21,0.0253,0.0353,0.0077,1.244,72
MAYO,1,22,0.0220,0.0334,0.0078,1.262,69
MAYO,1,23,0.0206,0.0310,0.0078,1.272,55
MAYO,2,0,0.0211,0.0286,0.0078,1.278,47
MAYO,2,1,0.0211,0.0265,0.0078,1.289,42
MAYO,2,2,0.0165,0.0239,0.0078,1.328,55
MAYO,2,3,0.0149,0.0214,0.0078,1.350,77
MAYO,2,4,0.0159,0.0197,0.0078,1.344,67
MAYO,2,5,0.0165,0.0186,0.0078,1.318,52
MAYO,2,6,0.0138,0.0175,0.0076,1.312,41
MAYO,2,7,0.0090,0.0161,0.0075,1.351,45
MAYO,2,8,0.0135,0.0152,0.0075,1.368,51
MAYO,2,9,0.0217,0.0152,0.0075,1.362,44
MAYO,2,10,0.0268,0.0165,0.0075,1.329,41
MAYO,2,11,0.0279,0.0181,0.0074,1.311,38
MAYO,2,12,0.0316,0.0201,0.0074,1.305,37
MAYO,2,13,0.0361,0.0226,0.0074,1.300,40
MAYO,2,14,0.0402,0.0259,0.0075,1.279,36
MAYO,2,15,0.0424,0.0300,0.0075,1.226,38
MAYO,2,16,0.0443,0.0339,0.0075,1.195,41
MAYO,2,17,0.0443,0.0367,0.0075,1.178,39
MAYO,2,18,0.0418,0.0386,0.0075,1.160,36
MAYO,2,19,0.0385,0.0399,0.0075,1.151,35
MAYO,2,20,0.0297,0.0397,0.0076,1.176,37
MAYO,2,21,0.0221,0.0379,0.0076,1.226,46
MAYO,2,22,0.0205,0.0355,0.0076,1.274,63
MAYO,2,23,0.0199,0.0326,0.0076,1.301,68
MAYO,3,0,0.0207,0.0297,0.0077,1.313,64
MAYO,3,1,0.0192,0.0266,0.0077,1.326,54
MAYO,3,2,0.0150,0.0232,0.0076,1.343,47
MAYO,3,3,0.0119,0.0199,0.0076,1.355,48
MAYO,3,4,0.0119,0.0176,0.0076,1.341,51
MAYO,3,5,0.0115,0.0163,0.0075,1.316,53
MAYO,3,6,0.0050,0.0144,0.0076,1.329,54
MAYO,3,7,0.0029,0.0123,0.0077,1.408,118
MAYO,3,8,0.0094,0.0108,0.0078,1.461,118
MAYO,3,9,0.0184,0.0107,0.0078,1.500,95
MAYO,3,10,0.0306,0.0127,0.0078,1.516,81
MAYO,3,11,0.0397,0.0162,0.0078,1.525,68
MAYO,3,12,0.0419,0.0199,0.0078,1.529,62
MAYO,3,13,0.0440,0.0240,0.0078,1.522,61
MAYO,3,14,0.0454,0.0291,0.0078,1.482,59
MAYO,3,15,0.0466,0.0345,0.0078,1.396,60
MAYO,3,16,0.0478,0.0393,0.0078,1.351,59
MAYO,3,17,0.0472,0.0429,0.0078,1.316,58
MAYO,3,18,0.0456,0.0448,0.0078,1.294,54
MAYO,3,19,0.0416,0.0450,0.0077,1.280,51
MAYO,3,20,0.0315,0.0437,0.0077,1.283,54
