DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
AGOSTO,1,0,0.0117,0.0292,0.0042,0.7470,41
AGOSTO,1,1,0.0128,0.0239,0.0041,0.7397,36
AGOSTO,1,2,0.0213,0.0193,0.0041,0.7206,36
AGOSTO,1,3,0.0196,0.0159,0.0041,0.6838,37
AGOSTO,1,4,0.0082,0.0142,0.0041,0.6504,34
AGOSTO,1,5,0.0081,0.0132,0.0041,0.6244,34
AGOSTO,1,6,0.0073,0.0126,0.0040,0.6065,32
AGOSTO,1,7,0.0227,0.0140,0.0040,0.6097,33
AGOSTO,1,8,0.013,0.0141,0.0040,0.6237,34
AGOSTO,1,9,0.0184,0.0148,0.0040,0.6341,33
AGOSTO,1,10,0.0279,0.0157,0.0040,0.6429,32
AGOSTO,1,11,0.0342,0.0175,0.0039,0.6482,25
AGOSTO,1,12,0.0414,0.0216,0.0039,0.6554,26
AGOSTO,1,13,0.0464,0.0264,0.0038,0.6632,26
AGOSTO,1,14,0.0538,0.0322,0.0038,0.6643,28
AGOSTO,1,15,0.0521,0.0359,0.0038,0.6740,29
AGOSTO,1,16,0.0509,0.0406,0.0040,0.6927,25
AGOSTO,1,17,0.0539,0.0451,0.0040,0.6937,21
AGOSTO,1,18,0.0598,0.0491,0.0039,0.6947,23
AGOSTO,1,19,0.0444,0.0503,0.0037,0.7098,29
AGOSTO,1,20,0.0461,0.0509,0.0036,0.7130,24
AGOSTO,1,21,0.0415,0.0503,0.0036,0.7219,15
AGOSTO,1,22,0.0431,0.0490,0.0036,0.7224,14
AGOSTO,1,23,0.0375,0.0472,0.0036,0.7116,13
AGOSTO,2,0,0.038,0.0455,0.0036,0.6787,12
AGOSTO,2,1,0.0235,0.0417,0.0036,0.6767,14
AGOSTO,2,2,0.0193,0.0367,0.0036,0.6681,16
AGOSTO,2,3,0.0244,0.0342,0.0037,0.6510,17
AGOSTO,2,4,0.0104,0.0297,0.0037,0.6478,20
AGOSTO,2,5,0.0047,0.0251,0.0037,0.6384,21
AGOSTO,2,6,0.0026,0.0201,0.0038,0.6454,23
AGOSTO,2,7,NA,0.0176,0.0038,0.6659,24
AGOSTO,2,8,0.0127,0.0139,0.0038,0.6981,35
AGOSTO,2,9,0.0208,0.0136,0.0038,0.7085,35
AGOSTO,2,10,0.0283,0.0148,0.0039,0.7191,35
AGOSTO,2,11,0.0448,0.0178,0.0039,0.7191,27
AGOSTO,2,12,0.0548,0.0241,0.0039,0.7187,24
AGOSTO,2,13,0.0682,0.0332,0.0040,0.7385,25
AGOSTO,2,14,0.0779,0.0439,0.0041,0.7469,28
AGOSTO,2,15,0.0717,0.0474,0.0040,0.7347,26
AGOSTO,2,16,0.0736,0.0550,0.0036,0.7179,24
AGOSTO,2,17,0.0712,0.0613,0.0035,0.7175,27
AGOSTO,2,18,0.0745,0.0671,0.0035,0.7365,28
AGOSTO,2,19,0.0646,0.0696,0.0034,0.7579,29
AGOSTO,2,20,0.0509,0.0691,0.0034,0.8093,21
AGOSTO,2,21,0.0447,0.0661,0.0035,0.8085,14
AGOSTO,2,22,0.0408,0.0615,0.0035,0.8075,15
AGOSTO,2,23,0.0376,0.0572,0.0035,0.8172,18
AGOSTO,3,0,0.0345,0.0524,0.0036,0.8205,19
AGOSTO,3,1,0.028,0.0470,0.0037,0.8174,22
AGOSTO,3,2,0.0251,0.0408,0.0038,0.7930,22
AGOSTO,3,3,0.0124,0.0343,0.0038,0.7754,18
AGOSTO,3,4,0.0019,0.0281,0.0038,0.7322,26
AGOSTO,3,5,0.0079,0.0235,0.0038,0.7123,32
AGOSTO,3,6,0.006,0.0192,0.0038,0.7102,30
AGOSTO,3,7,0.0061,0.0152,0.0038,0.6993,25
AGOSTO,3,8,0.007,0.0118,0.0038,0.6996,26
AGOSTO,3,9,0.0211,0.0109,0.0038,0.7011,24
AGOSTO,3,10,0.0327,0.0119,0.0037,0.6999,20
AGOSTO,3,11,0.0402,0.0154,0.0037,0.7108,16
AGOSTO,3,12,0.0481,0.0211,0.0037,0.6996,18
AGOSTO,3,13,0.054,0.0269,0.0037,0.6947,25
AGOSTO,3,14,0.0604,0.0337,0.0036,0.6802,23
AGOSTO,3,15,0.0693,0.0416,0.0035,0.6654,22
AGOSTO,3,16,0.0718,0.0497,0.0036,0.6629,24
AGOSTO,3,17,0.0457,0.0528,0.0041,0.7606,27
AGOSTO,3,18,0.0428,0.0540,0.0047,0.7969,26
AGOSTO,3,19,0.0416,0.0542,0.0049,0.7967,28
AGOSTO,3,20,0.0454,0.0539,0.0050,0.8059,25
AGOSTO,3,21,0.0401,0.0521,0.0050,0.8141,15
AGOSTO,3,22,0.037,0.0492,0.0050,0.8183,14
AGOSTO,3,23,0.0349,0.0449,0.0049,0.8194,15
AGOSTO,4,0,0.0244,0.0390,0.0049,0.8026,17
AGOSTO,4,1,0.0246,0.0364,0.0049,0.6901,16
AGOSTO,4,2,0.023,0.0339,0.0049,0.6527,15
AGOSTO,4,3,NA,0.0328,0.0049,0.6431,16
AGOSTO,4,4,NA,0.0307,0.0049,0.6381,18
AGOSTO,4,5,NA,NA,0.0049,0.6332,22
AGOSTO,4,6,NA,NA,0.0048,0.6413,22
