DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,1,0,0.0085,0.0263,0.0066,1.2324,59,0.0219
NOVIEMBRE,1,1,0.0154,0.0216,0.0065,1.228,65,0.019
NOVIEMBRE,1,2,0.0174,0.0176,0.0067,1.2072,53,0.0148
NOVIEMBRE,1,3,0.0086,0.0147,0.0069,1.1324,44,0.0202
NOVIEMBRE,1,4,0.0024,0.0114,0.0069,1.0981,44,0.0207
NOVIEMBRE,1,5,0.0115,0.0104,0.0069,1.0293,40,0.0132
NOVIEMBRE,1,6,0.0052,0.0094,0.0069,1.0019,41,0.0172
NOVIEMBRE,1,7,0.0039,0.0091,0.0069,0.961,38,0.017
NOVIEMBRE,1,8,0.0038,0.0085,0.0068,0.9477,39,0.0169
NOVIEMBRE,1,9,0.0111,0.008,0.0068,0.9584,43,0.015
NOVIEMBRE,1,10,0.0278,0.0093,0.0067,0.9512,38,0.007
NOVIEMBRE,1,11,0.0362,0.0127,0.006,0.9345,30,0.0061
NOVIEMBRE,1,12,0.0457,0.0181,0.0055,0.9106,22,0.0052
NOVIEMBRE,1,13,0.053,0.0233,0.0052,0.8984,19,0.0055
NOVIEMBRE,1,14,0.0595,0.0301,0.0052,0.8795,16,0.0049
NOVIEMBRE,1,15,0.0603,0.0372,0.0051,0.851,19,0.0063
NOVIEMBRE,1,16,0.0605,0.0443,0.0052,0.815,18,0.0053
NOVIEMBRE,1,17,0.0554,0.0498,0.0052,0.7849,19,0.0067
NOVIEMBRE,1,18,0.0468,0.0522,0.0051,0.7954,25,0.0132
NOVIEMBRE,1,19,0.0284,0.0512,0.0049,0.8447,46,0.024
NOVIEMBRE,1,20,0.0242,0.0485,0.0047,0.8596,51,0.0131
NOVIEMBRE,1,21,0.0189,0.0443,0.0049,0.8773,44,0.0124
NOVIEMBRE,1,22,0.0187,0.0392,0.0051,0.9016,44,0.0103
NOVIEMBRE,1,23,0.0193,0.034,0.0051,0.9076,41,0.0082
