DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEPTIEMBRE,1,0,0.018,0.039,0.005,0.811,20,0.007
SEPTIEMBRE,1,1,0.017,0.033,0.005,0.798,25,0.004
SEPTIEMBRE,1,2,0.017,0.028,0.005,0.786,21,0.003
SEPTIEMBRE,1,3,0.025,0.024,0.005,0.762,15,0.002
SEPTIEMBRE,1,4,0.021,0.022,0.005,0.72,13,0.003
SEPTIEMBRE,1,5,0.011,0.02,0.005,0.696,14,0.006
SEPTIEMBRE,1,6,0.012,0.018,0.005,0.689,19,0.006
SEPTIEMBRE,1,7,0.005,0.015,0.005,0.709,22,0.009
SEPTIEMBRE,1,8,0.007,0.014,0.005,0.729,24,0.008
SEPTIEMBRE,1,9,0.017,0.014,0.005,0.741,22,0.004
SEPTIEMBRE,1,10,0.024,0.015,0.005,0.751,22,0.004
SEPTIEMBRE,1,11,0.031,0.016,0.005,0.765,20,0.004
SEPTIEMBRE,1,12,0.038,0.018,0.005,0.779,17,0.005
SEPTIEMBRE,1,13,0.044,0.022,0.005,0.787,14,0.004
SEPTIEMBRE,1,14,0.048,0.027,0.005,0.78,16,0.003
SEPTIEMBRE,1,15,0.048,0.032,0.005,0.75,16,0.003
SEPTIEMBRE,1,16,0.051,0.037,0.005,0.723,12,0.003
SEPTIEMBRE,1,17,0.054,0.042,0.005,0.716,13,0.004
SEPTIEMBRE,1,18,0.054,0.046,0.005,0.717,14,0.004
SEPTIEMBRE,1,19,0.035,0.046,0.005,0.715,14,0.005
SEPTIEMBRE,1,20,0.019,0.044,0.005,0.72,20,0.005
SEPTIEMBRE,1,21,0.017,0.041,0.005,0.721,19,0.006
SEPTIEMBRE,1,22,0.025,0.038,0.005,0.732,21,0.006
SEPTIEMBRE,1,23,0.032,0.036,0.005,0.734,22,0.005
SEPTIEMBRE,2,0,0.019,0.032,0.005,0.734,21,0.007
SEPTIEMBRE,2,1,0.024,0.028,0.005,0.728,17,0.006
SEPTIEMBRE,2,2,0.011,0.023,0.006,0.718,21,0.008
SEPTIEMBRE,2,3,0.012,0.02,0.006,0.705,19,0.005
SEPTIEMBRE,2,4,0.016,0.019,0.006,0.681,15,0.004
SEPTIEMBRE,2,5,0.014,0.019,0.006,0.667,15,0.005
SEPTIEMBRE,2,6,0.004,0.016,0.006,0.664,20,0.007
SEPTIEMBRE,2,7,0.004,0.013,0.006,0.667,23,0.007
SEPTIEMBRE,2,8,0.005,0.011,0.006,0.69,25,0.007
SEPTIEMBRE,2,9,0.017,0.01,0.006,0.706,26,0.004
SEPTIEMBRE,2,10,0.025,0.012,0.006,0.717,25,0.004
SEPTIEMBRE,2,11,0.033,0.015,0.006,0.726,23,0.003
SEPTIEMBRE,2,12,0.036,0.017,0.006,0.749,18,0.004
SEPTIEMBRE,2,13,0.04,0.021,0.006,0.761,17,0.004
SEPTIEMBRE,2,14,0.041,0.025,0.006,0.758,13,0.003
SEPTIEMBRE,2,15,0.043,0.03,0.006,0.751,13,0.003
SEPTIEMBRE,2,16,0.037,0.034,0.006,0.735,11,0.004
SEPTIEMBRE,2,17,0.033,0.036,0.006,0.738,14,0.005
SEPTIEMBRE,2,18,0.03,0.036,0.007,0.741,19,0.005
SEPTIEMBRE,2,19,0.024,0.035,0.007,0.758,21,0.006
SEPTIEMBRE,2,20,0.022,0.034,0.007,0.751,20,0.005
SEPTIEMBRE,2,21,0.022,0.031,0.007,0.746,19,0.004
SEPTIEMBRE,2,22,0.021,0.029,0.008,0.74,21,0.004
SEPTIEMBRE,2,23,0.021,0.026,0.009,0.737,22,0.004
SEPTIEMBRE,3,0,0.021,0.024,0.01,0.725,19,0.003
SEPTIEMBRE,3,1,0.027,0.024,0.01,0.703,13,0.004
SEPTIEMBRE,3,2,0.023,0.023,0.01,0.684,11,0.002
SEPTIEMBRE,3,3,0.023,0.023,0.01,0.654,11,0.002
SEPTIEMBRE,3,4,0.025,0.023,0.01,0.64,9,0.004
SEPTIEMBRE,3,5,0.017,0.022,0.01,0.635,11,0.004
SEPTIEMBRE,3,6,0.012,0.021,0.01,0.637,15,0.007
SEPTIEMBRE,3,7,0.012,0.02,0.01,0.652,20,0.007
SEPTIEMBRE,3,8,0.012,0.019,0.01,0.667,20,0.005
SEPTIEMBRE,3,9,0.017,0.018,0.01,0.688,23,0.004
SEPTIEMBRE,3,10,0.022,0.017,0.01,0.701,23,0.003
SEPTIEMBRE,3,11,0.023,0.017,0.01,0.726,24,0.004
SEPTIEMBRE,3,12,0.027,0.018,0.01,0.743,17,0.004
SEPTIEMBRE,3,13,0.03,0.019,0.01,0.754,12,0.003
SEPTIEMBRE,3,14,0.03,0.021,0.01,0.765,13,0.004
SEPTIEMBRE,3,15,0.029,0.024,0.01,0.761,15,0.004
