DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ENERO,1,0,0.024,0.022,0.006,NA,163,0.014
ENERO,1,1,0.041,0.022,0.007,NA,224,0.014
ENERO,1,2,NA,0.022,0.007,NA,308,0.012
ENERO,1,3,NA,0.022,0.008,NA,326,0.014
ENERO,1,4,0.046,0.027,0.008,NA,376,0.014
ENERO,1,5,0.045,0.031,0.009,NA,320,0.012
ENERO,1,6,0.029,0.034,0.009,NA,243,0.01
ENERO,1,7,0.024,0.035,0.009,NA,207,0.01
ENERO,1,8,0.016,0.033,0.009,NA,168,0.008
ENERO,1,9,0.016,0.029,0.009,NA,132,0.007
ENERO,1,10,0.023,0.029,0.009,NA,108,0.005
ENERO,1,11,0.037,0.03,0.009,NA,87,0.004
ENERO,1,12,0.042,0.029,0.009,NA,65,0.004
ENERO,1,13,0.046,0.029,0.009,NA,56,0.004
ENERO,1,14,0.048,0.032,0.009,NA,42,0.004
ENERO,1,15,0.046,0.034,0.009,NA,38,0.004
ENERO,1,16,0.046,0.038,0.009,NA,46,0.004
ENERO,1,17,0.038,0.041,0.009,NA,65,0.004
ENERO,1,18,0.021,0.04,0.009,NA,59,0.006
ENERO,1,19,0.012,0.037,0.009,NA,39,0.01
ENERO,1,20,0.007,0.033,0.009,NA,39,0.013
ENERO,1,21,0.008,0.028,0.009,NA,48,0.012
ENERO,1,22,0.01,0.024,0.009,NA,56,0.011
ENERO,1,23,0.009,0.019,0.009,NA,54,0.011
ENERO,2,0,0.014,0.015,0.009,NA,66,0.01
ENERO,2,1,0.016,0.012,0.008,NA,65,0.009
ENERO,2,2,0.014,0.011,0.008,NA,58,0.007
ENERO,2,3,0.009,0.011,0.007,NA,50,0.007
ENERO,2,4,0.013,0.012,0.007,NA,42,0.008
ENERO,2,5,NA,0.012,0.006,NA,39,0.007
ENERO,2,6,0.009,0.012,0.006,NA,37,0.006
ENERO,2,7,0.009,0.012,0.006,NA,41,0.007
ENERO,2,8,0.009,0.012,0.006,NA,42,0.007
ENERO,2,9,0.01,0.011,0.006,NA,41,0.011
ENERO,2,10,0.017,0.011,0.006,NA,40,0.009
ENERO,2,11,0.023,0.013,0.006,NA,40,0.006
ENERO,2,12,0.025,0.015,0.006,NA,34,0.003
ENERO,2,13,0.028,0.016,0.006,NA,26,0.003
ENERO,2,14,0.033,0.019,0.006,NA,22,0.003
ENERO,2,15,0.032,0.022,0.006,NA,22,0.005
ENERO,2,16,0.028,0.025,0.005,NA,25,0.005
ENERO,2,17,0.03,0.027,0.005,NA,23,0.005
ENERO,2,18,0.028,0.029,0.005,NA,26,0.006
