DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JULIO,1,0,0.018,NA,0.007,0.81,25,NA
JULIO,1,1,0.019,NA,0.007,0.795,18,0.006
JULIO,1,2,0.017,NA,0.007,0.791,17,0.007
JULIO,1,3,0.013,NA,0.007,0.783,15,0.008
JULIO,1,4,0.008,NA,0.007,0.784,15,0.01
JULIO,1,5,0.007,0.014,0.007,0.785,15,0.01
JULIO,1,6,0.008,0.013,0.007,0.777,16,0.009
JULIO,1,7,0.007,0.012,0.007,0.794,21,0.009
JULIO,1,8,0.011,0.011,0.007,0.819,31,0.01
JULIO,1,9,0.017,0.011,0.007,0.84,35,0.008
JULIO,1,10,0.022,0.012,0.007,0.856,33,0.006
JULIO,1,11,0.029,0.013,0.007,0.865,29,0.005
JULIO,1,12,0.034,0.017,0.007,0.87,27,0.004
JULIO,1,13,0.037,0.02,0.007,0.869,21,0.003
JULIO,1,14,0.036,0.024,0.007,0.861,18,0.003
JULIO,1,15,0.038,0.028,0.007,0.839,14,0.003
JULIO,1,16,0.043,0.032,0.007,0.807,23,0.005
JULIO,1,17,0.041,0.035,0.007,0.791,51,0.005
JULIO,1,18,0.032,0.036,0.007,0.781,52,0.006
JULIO,1,19,0.025,0.036,0.007,0.776,47,0.01
JULIO,1,20,0.027,0.035,0.008,0.792,90,0.008
JULIO,1,21,0.028,0.034,0.008,0.814,101,0.011
JULIO,1,22,0.022,0.032,0.009,0.822,72,0.009
JULIO,1,23,0.017,0.029,0.009,0.836,48,0.011
JULIO,2,0,0.022,0.027,0.009,0.849,35,0.011
JULIO,2,1,0.024,0.025,0.009,0.854,23,0.009
JULIO,2,2,0.024,0.024,0.009,0.857,16,0.008
JULIO,2,3,0.018,0.023,0.009,0.862,16,0.01
JULIO,2,4,0.014,0.021,0.009,0.849,16,0.011
JULIO,2,5,0.011,0.019,0.009,0.84,20,0.012
JULIO,2,6,0.012,0.018,0.009,0.849,25,0.011
JULIO,2,7,0.007,0.017,0.009,0.867,30,0.013
JULIO,2,8,0.013,0.016,0.009,0.872,33,0.01
JULIO,2,9,0.019,0.015,0.009,0.889,33,0.01
JULIO,2,10,0.028,0.015,0.009,0.895,31,0.005
JULIO,2,11,0.035,0.017,0.009,0.899,28,0.005
JULIO,2,12,0.043,0.021,0.009,0.897,31,0.004
JULIO,2,13,0.043,0.025,0.009,0.883,30,0.004
JULIO,2,14,0.045,0.029,0.009,0.868,29,0.003
JULIO,2,15,0.049,0.035,0.009,0.84,25,0.004
