DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,1,0,NA,NA,NA,1.693,NA,NA
SEP,1,1,0.028,NA,NA,1.59,18,0.004
SEP,1,2,0.027,NA,NA,1.501,17,0.005
SEP,1,3,0.028,NA,NA,1.394,19,0.005
SEP,1,4,0.03,NA,NA,1.287,21,0.004
SEP,1,5,0.023,NA,NA,1.203,19,0.005
SEP,1,6,0.016,NA,NA,1.179,22,0.009
SEP,1,7,0.007,NA,NA,1.196,22,0.014
SEP,1,8,0.008,0.021,NA,1.235,20,0.015
SEP,1,9,0.017,0.02,NA,1.261,20,0.011
SEP,1,10,0.024,0.019,NA,1.285,21,0.008
SEP,1,11,0.035,0.02,NA,1.296,22,0.005
SEP,1,12,0.043,0.022,NA,1.309,23,0.004
SEP,1,13,0.043,0.024,NA,1.31,25,0.003
SEP,1,14,0.047,0.028,NA,1.314,23,0.004
SEP,1,15,0.053,0.034,NA,1.304,20,0.004
SEP,1,16,0.061,0.04,NA,1.269,24,0.004
SEP,1,17,0.067,0.047,NA,1.269,38,0.006
SEP,1,18,0.055,0.051,NA,1.256,47,0.005
SEP,1,19,0.044,0.052,NA,1.27,60,0.007
SEP,1,20,0.036,0.051,NA,1.316,80,0.012
SEP,1,21,0.026,0.049,NA,1.393,78,0.016
SEP,1,22,0.022,0.046,NA,1.444,81,0.017
SEP,1,23,0.027,0.042,NA,1.451,66,0.011
SEP,2,0,0.024,0.038,0.01,1.449,54,0.012
SEP,2,1,0.029,0.033,0.01,1.421,52,0.008
SEP,2,2,0.028,0.03,0.01,1.41,44,0.007
SEP,2,3,0.026,0.027,0.011,1.385,36,0.005
