DATOS HORARIOS 2010_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,JUL,1,0,32.87,14.4,9.02,1.03,16.33,1.28,200.08,19.34,83.1,620.59,1.47,,
2010,JUL,1,1,33.89,14.34,7.83,1,12.73,3.18,226.4,19.55,81.09,620.32,1.46,,
2010,JUL,1,2,27.83,14.09,8.21,0.97,4.6,4.56,226.85,19.24,79.17,620.11,1.49,,
2010,JUL,1,3,26.53,13.76,8.65,0.97,11.92,4.11,224.99,17.67,90.31,619.87,1.46,,
2010,JUL,1,4,30,13.77,8.95,0.97,3.95,3.83,216.33,17.19,92.82,619.58,1.47,,
2010,JUL,1,5,31.47,13.21,9.14,0.97,1.55,3.46,219.77,16.95,93.59,619.64,1.44,,
2010,JUL,1,6,26.26,13.05,9.93,1.01,6.3,4,224.53,17.08,93.34,619.66,1.67,,
2010,JUL,1,7,25.42,13.37,12.65,1.17,7.49,2.56,219.23,26.41,94.02,619.77,230.2,,
2010,JUL,1,8,23.49,13.86,13.41,1.3,7.28,2.22,212.02,28.57,92.73,619.99,965.88,,
2010,JUL,1,9,23.83,13.93,11.53,1.2,12.47,3.68,221.37,29.05,88.54,620.26,966.51,,
2010,JUL,1,10,24.14,14.2,11.36,1.21,6.92,3.89,214.33,28.34,85.5,620.25,965.89,,
2010,JUL,1,11,20.98,14.33,10.03,1.21,16.9,4.51,210.99,19.94,83.98,620.17,958.45,,
2010,JUL,1,12,25.96,14.84,9.73,1.26,16.11,3.15,254.5,19.75,93.21,620.66,961.8,,
2010,JUL,1,13,29.33,14.97,11.82,1.38,3.86,1.93,208.07,18.86,88.45,620.68,964.92,,
2010,JUL,1,14,34.16,15.58,10.59,1.32,2.84,2.27,236.73,20.04,83.86,620.33,965.68,,
2010,JUL,1,15,34.29,15.08,10.39,1.24,13.07,1.84,213.49,20.71,81.68,620.07,965.05,,
2010,JUL,1,16,40.2,14.98,8.57,1.26,4.86,2.15,266.03,21.34,73.76,619.61,966.24,,
2010,JUL,1,17,44.6,14.92,10,1.19,13.52,1.7,224.32,21.52,73.78,619.5,966.95,,
2010,JUL,1,18,28.26,15.19,12.23,1.3,9.69,2.27,161.45,20.57,79.79,619.49,930.93,,
2010,JUL,1,19,29.11,15.18,12.16,1.31,35.79,0.81,234.91,19.37,83.38,619.86,875.59,,
2010,JUL,1,20,20.78,14.96,17.62,1.3,15.62,0.1,122.43,19.22,81.74,620.35,166.49,,
2010,JUL,1,21,9.32,15.52,18.89,1.4,40.33,0.11,89.41,19.15,86.74,620.72,1.52,, 
2010,JUL,1,22,8.52,15.39,19.14,1.43,43.59,0.1,81.26,18.81,90.63,621.03,1.49,,
2010,JUL,1,23,6.94,15.27,18.75,1.43,28.25,0.1,137.97,18.66,90.58,621.59,1.48,,
2010,JUL,2,0,10,15.08,14.77,1.26,25,1.15,162.77,18.56,90.47,621.93,1.52,,
2010,JUL,2,1,29.49,14.55,8.79,1.02,16.74,1.07,184,17.5,95.77,622.04,1.53,,
2010,JUL,2,2,38.49,14.49,7.37,1.1,2.52,1.18,228.41,17.19,94.72,621.92,1.52,,
2010,JUL,2,3,33.72,14.4,9.18,1.18,4.13,0.1,121.19,17.03,94.14,621.83,1.55,,
2010,JUL,2,4,29.26,14.32,10.13,1.14,3.83,0.1,103.71,17.09,93.86,621.77,1.55,,
2010,JUL,2,5,22.06,14.34,11.79,1.12,5.55,0.1,66.95,17.17,93.87,621.76,1.53,,
2010,JUL,2,6,11.57,14.63,20.44,1.12,10.47,0.1,55.29,17.25,94.33,621.94,1.71,,
2010,JUL,2,7,8.39,14.95,28.96,1.19,22.02,0.15,72.63,17.22,93.51,622.3,385.12,,
2010,JUL,2,8,9.65,15.34,21.92,1.35,13.98,0.11,99.56,17.6,92.6,622.68,966.68,,
2010,JUL,2,9,17.84,15.2,16.14,1.41,8.73,0.11,131.26,18.31,89.04,622.92,966.02,,
2010,JUL,2,10,29.45,15.01,11.6,1.34,5.39,0.17,212.07,20.27,79.26,622.9,965.33,,
2010,JUL,2,11,37.1,14.91,10.04,1.29,16.07,0.31,232.96,21.17,73.45,622.93,965.61,,
2010,JUL,2,12,42.86,15.27,11.25,1.25,18.8,0.43,195.98,22.52,63.38,622.79,966.2,,
2010,JUL,2,13,42.75,15.97,11.5,1.25,19.32,0.99,161.26,22.64,60.18,622.46,965.82,,
2010,JUL,2,14,45.62,16.5,12.16,1.24,21.27,0.35,169.72,23.58,52.95,621.98,966.23,,
2010,JUL,2,15,54.8,16.78,11.07,1.21,13.38,1.05,254.43,24.95,48.46,621.37,966.88,,
2010,JUL,2,16,56.3,17.9,11.18,1.12,13.8,1.38,240.78,25.92,51.58,620.78,967.44,,
2010,JUL,2,17,62.19,18.67,9.32,1.08,14.89,0.94,266.38,25.75,49.03,620.44,967.42,,
2010,JUL,2,18,61.92,18.48,8.5,1.06,21.47,0.65,270.04,24.91,53,620.12,968.7,,
2010,JUL,2,19,51.93,18.44,9.88,1.05,33.73,0.7,261.11,24,58.64,620.24,872.24,,
2010,JUL,2,20,28.36,18.05,14.52,1.2,28.43,1.31,185.39,22.26,71.64,620.84,120.89,,
2010,JUL,2,21,22.25,17.05,15.2,1.27,42.85,1.68,176.12,21.3,73.66,621.19,1.53,,
2010,JUL,2,22,30.02,15.88,12.13,1.11,33.88,1.72,208.75,20.87,77.1,621.47,1.52,,
2010,JUL,2,23,26.93,14.89,9.72,1.09,16.24,1.95,235.73,19.22,87.7,622.07,1.5,,
2010,JUL,3,0,32.54,14.59,8.91,1.08,8.57,0.88,249.54,18.03,91.04,622.32,1.49,,
2010,JUL,3,1,25.34,14.5,9.91,1.07,4.6,0.1,173.23,17.97,93.24,622.54,1.53,,
2010,JUL,3,2,14.86,14.5,10.08,1.03,12.22,3.72,75.79,16.37,95.94,622.9,1.65,,
2010,JUL,3,3,37.59,14.34,9.46,1.01,4.16,1.74,82.31,15.82,97.36,622.91,1.44,,
2010,JUL,3,4,28.24,14.65,12.21,1.02,19.5,0.58,142.19,16.28,97.49,622.87,1.46,,
2010,JUL,3,5,41.09,14.25,9.08,1.01,5.41,0.38,209.56,16.06,97.38,622.7,1.45,,
2010,JUL,3,6,31.35,14.16,11.21,1.02,5.31,1.02,293.98,16.15,97.35,622.91,3.14,,
2010,JUL,3,7,23.76,14.03,15.04,1.09,10.11,0.36,240.88,16.28,97.26,623.16,295.02,,
2010,JUL,3,8,24.84,14,16.11,1.15,14.51,0.1,218.11,16.65,96.07,623.57,907.85,,
2010,JUL,3,9,32.53,13.96,14.5,1.13,14.65,0.1,257.11,17.3,90.78,623.88,966.06,,
2010,JUL,3,10,41.05,13.91,12.61,1.15,12.61,0.1,247.49,18.09,80.85,624.02,966.21,,
2010,JUL,3,11,37.76,13.97,14.28,1.19,15.28,0.1,160.07,18.98,71.74,623.98,966.14,,
2010,JUL,3,12,40.15,13.97,11.23,1.21,19.17,0.5,113,19.93,67.88,623.76,966.07,,
2010,JUL,3,13,47.23,14.06,10.72,1.2,17.51,0.11,145.42,20.77,63.01,623.51,966.62,,
2010,JUL,3,14,55.74,14.4,11.05,1.18,16.56,0.1,193.55,21.61,59.71,623.1,965.63,,
2010,JUL,3,15,70.53,14.8,12.49,1.24,27.34,0.21,220.01,23.03,54.46,622.53,966.1,,
2010,JUL,3,16,80.79,15.77,12.08,1.24,30.19,0.59,190.58,24.12,50.38,621.89,966.71,,
2010,JUL,3,17,62.77,16.59,10.76,1.19,27.43,0.75,186,23.59,55.12,621.59,967.71,,
2010,JUL,3,18,23.06,16.83,10.33,1.12,34.29,4.72,215.47,20.44,59.44,621.85,968.04,,
2010,JUL,3,19,25.15,16.24,11.05,1.16,16.46,1.87,202.14,18.52,69.48,622.37,609.85,,
2010,JUL,3,20,14.62,15,13.92,1.19,7.28,0.43,131.2,18.77,76.59,622.64,41.29,,
2010,JUL,3,21,11.4,15.84,13.71,1.29,15.72,0.84,74.6,18.17,75.72,622.95,1.47,,
2010,JUL,3,22,12.11,15.84,13.4,1.32,20.76,0.41,60.07,17.83,79.02,623.38,1.48,,
2010,JUL,3,23,14.67,15.39,11.7,1.31,25.38,1.34,64.79,17.47,89.04,623.63,1.46,,
2010,JUL,4,0,15.84,15.09,12.87,1.27,11.54,0.44,96.82,17.47,87.61,623.67,1.49,,
2010,JUL,4,1,8.98,14.84,17.96,1.23,11.9,0.1,206.47,17.33,87.45,623.78,1.49,,
2010,JUL,4,2,6.41,14.63,19.09,1.21,19.44,0.1,108.84,17.19,87.84,623.51,1.47,,
2010,JUL,4,3,6.76,14.45,19.37,1.2,15.46,0.1,147.3,17.18,89.29,623.15,1.47,,
2010,JUL,4,4,6.89,14.39,15.9,1.19,16.24,0.1,129.74,17.15,90.38,623.08,1.49,,
2010,JUL,4,5,6.04,14.38,16.23,1.17,16.64,0.1,92.86,16.97,91.1,623.12,1.48,,
2010,JUL,4,6,6.62,14.31,15.84,1.17,17.71,0.1,70.41,16.99,92.3,623.27,1.86,,
2010,JUL,4,7,7.34,14.44,16.82,1.19,22.22,0.42,112.02,17.07,92.77,623.55,295.67,,
2010,JUL,4,8,9.19,14.37,15.74,1.22,28.06,0.2,148.01,17.29,91.27,623.74,918.76,,
2010,JUL,4,9,11.95,14.39,16.81,1.22,24.73,0.15,278.99,17.86,88.89,623.97,966.53,,
2010,JUL,4,10,20.75,14.32,13.85,1.22,35.67,0.22,268.23,18.16,87.37,624.26,966.18,,
2010,JUL,4,11,23.99,14.3,12.61,1.26,41.64,0.66,210.5,18.61,82.35,624.17,965.74,,
2010,JUL,4,12,26.71,14.42,8.93,1.27,12.74,2.23,185.38,19.64,77.19,624.08,964.57,,
2010,JUL,4,13,21.93,14.55,8.56,1.22,1.24,3.19,202.55,19.89,71.62,623.94,965.03,,
2010,JUL,4,14,28.34,14.92,9.3,1.26,5.08,2.48,249.91,20.1,69.29,623.69,966.47,,
2010,JUL,4,15,21.73,14.76,10.65,1.18,8.78,3.72,254.27,19.16,74.73,623.46,966.23,,
2010,JUL,4,16,27.79,14.68,10.9,1.17,6.42,2.36,265.71,18.62,77.06,623.35,966.58,,
2010,JUL,4,17,25.38,14.62,9.74,1.14,5.39,2.13,270.17,18.26,80.93,623.21,966.54,,
2010,JUL,4,18,21.01,14.38,9.84,1.12,1.67,2.33,282.96,18.49,80.29,622.75,966.64,,
2010,JUL,4,19,17.23,14.04,9.66,1.08,9.73,2.27,294.32,18.24,80.19,623.07,899.3,,
2010,JUL,4,20,11.58,14.02,10.88,1.08,9.42,0.35,274.75,17.7,83.23,623.37,145.16,,
2010,JUL,4,21,6.48,13.89,12.76,1.1,6.42,0.27,260.82,17.28,86.2,623.67,1.49,,
2010,JUL,4,22,4.9,14.18,14.21,1.12,12.29,0.1,276.14,16.97,88.54,623.88,1.47,,
2010,JUL,4,23,4.82,14.13,14.83,1.12,10.69,0.15,239.31,16.98,88.45,624.28,1.45,,
2010,JUL,5,0,5.11,13.92,14.13,1.13,15.95,0.11,193.98,16.91,88.98,624.53,1.48,,
2010,JUL,5,1,5.44,13.85,12.42,1.11,15.34,0.1,187.18,16.76,89.44,624.21,1.47,,
2010,JUL,5,2,4.88,13.89,12.91,1.11,8.49,0.1,194.16,16.63,90.52,623.76,1.47,,
2010,JUL,5,3,7.84,13.84,10.34,1.08,7.19,0.1,193.88,16.57,90.4,623.41,1.48,,
