DATOS HORARIOS 2010_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2010,AGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2010,AGO,1,1,49.21,13.5,9.23,1.05,24.31,0.28,208.53,16.14,83.76,624.4,1.41,,
2010,AGO,1,2,54.33,13.62,7.91,1.05,22.98,0.16,262.17,15.8,82.83,623.99,1.42,,
2010,AGO,1,3,36.61,13.36,10.88,1.04,17.24,0.11,238.24,15.5,84.04,623.63,1.41,,
2010,AGO,1,4,35.36,13.35,11.55,1.04,23.93,0.1,146.2,15.3,83.85,623.62,1.39,,
2010,AGO,1,5,29.95,13.16,11.03,1.07,23.59,0.1,108.29,15.28,84.66,623.55,1.39,,
2010,AGO,1,6,11.14,13.1,13.69,1.07,31.89,0.1,204.86,14.35,88.98,623.81,1.47,,
2010,AGO,1,7,10.17,13.11,13.57,1.1,33.4,0.1,126.07,14.57,88.58,624.01,494.78,,
2010,AGO,1,8,13.77,13.18,9.92,1.12,44.41,0.36,72.65,16.46,81.05,624.48,966.66,,
2010,AGO,1,9,16.9,13.05,8.61,1.15,39.75,0.83,91.36,18.02,76.76,624.64,965.59,,
2010,AGO,1,10,22.07,13.08,8.49,1.17,24.54,1.85,79.84,20.04,67.8,624.72,965.4,,
2010,AGO,1,11,17.94,13.31,8.7,1.18,25.81,2.32,83.89,21.56,59.57,624.5,965.65,,
2010,AGO,1,12,30.56,14.05,8.46,1.17,23.79,2.04,88.93,22.87,52.47,624.15,966.19,,
2010,AGO,1,13,37.48,15.09,8.1,1.12,24.17,2.01,109.19,24.07,46.99,623.7,966.31,,
2010,AGO,1,14,45.51,15.57,7.84,1.09,25.45,1.58,107.12,25.29,41.58,623.21,966.61,,
2010,AGO,1,15,54.1,16.09,7.41,1.06,15.13,1.06,147.86,26.61,35.08,622.51,967.55,,
2010,AGO,1,16,48.49,17.58,7.37,1.07,18.71,1.46,112.79,27.61,27.69,621.93,967.44,,
2010,AGO,1,17,48.25,17.88,7.19,1.02,17.19,2.31,172.41,27.94,25.01,621.36,967.51,,
2010,AGO,1,18,37.82,17.8,7.05,0.97,25.45,2.88,213.49,28.03,23.94,621.09,968.01,,
2010,AGO,1,19,32.04,17.8,7.26,0.94,92.3,3.11,177.4,27.28,27.08,621.31,967.08,,
2010,AGO,1,20,9.85,17.01,7.59,0.97,33.21,4.18,104.53,25.16,33.5,621.85,172.83,,
2010,AGO,1,21,6.05,16.14,8.39,1.07,27.94,4.76,58.32,23.68,37.54,622.34,1.51,, 
2010,AGO,1,22,6.44,15.9,9.26,1.2,48.8,4.72,46.38,22.04,45.42,622.93,1.43,,
2010,AGO,1,23,9.8,16.02,8.9,1.22,52.43,3.79,58.38,20.72,54.76,623.3,1.42,,
2010,AGO,2,0,14.7,13.91,7.85,1.12,25,2.18,72.47,19.12,61.61,623.67,1.42,,
2010,AGO,2,1,15.2,13.06,7.29,1.06,15.85,1.92,73.69,18.18,64.66,623.79,1.38,,
2010,AGO,2,2,16.53,13.05,7.03,1.01,11.3,1.09,79.85,17.52,67.53,623.99,1.38,,
2010,AGO,2,3,12.93,13.16,7.17,0.97,15.37,1.03,88.75,16.82,70.98,623.9,1.41,,
2010,AGO,2,4,10.55,13.06,7.16,0.97,12.95,1.52,92.1,15.97,75.12,624,1.39,,
2010,AGO,2,5,7.14,13.15,7.52,0.97,24.66,1.9,94.48,15.45,77.83,623.95,1.37,,
2010,AGO,2,6,6.48,13.1,8.44,1,32.27,0.38,93.66,14.96,79.01,624.1,1.44,,
2010,AGO,2,7,8.41,13.26,10.86,1.11,48.51,0.2,89.11,15.05,78.45,624.33,535.3,,
2010,AGO,2,8,13.41,13.47,9.88,1.19,80.25,0.39,77.49,16.65,72.65,624.58,966.71,,
