DATOS HORARIOS 2011_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2011,FEB,1,0,10.36,14.38,NA,1.44,34.49,0.41,203.2,15.07,35.21,624.1,1.37,,
2011,FEB,1,1,10.25,14.23,NA,1.32,23.05,0.27,275.58,13.61,39.55,624.03,1.37,,
2011,FEB,1,2,12.02,14.12,NA,1.29,17.64,0.2,235.1,13.13,41.45,623.94,1.36,,
2011,FEB,1,3,15.29,13.7,NA,1.26,12.36,1.98,210.83,13.25,42.41,623.58,1.35,,
2011,FEB,1,4,16.12,14.09,NA,1.26,13.45,0.58,223.63,12.8,43.48,623.3,1.36,,
2011,FEB,1,5,10.76,14.55,NA,1.3,16.22,0.22,174.01,11.57,47.81,623.09,1.36,,
2011,FEB,1,6,13.09,14.12,NA,1.33,15.39,0.9,195.52,11.27,49.48,623.02,1.36,,
2011,FEB,1,7,7.63,15.99,NA,1.78,37.66,0.33,129.25,10.54,52.08,623.05,1.42,,
2011,FEB,1,8,6.75,18.91,NA,2.8,60.55,0.2,220.97,10.34,54.02,623.42,491.2,,
2011,FEB,1,9,7.8,24.83,NA,3.17,95.1,0.2,74.06,13.45,43.5,623.83,965.39,,
2011,FEB,1,10,14.77,22.43,NA,2.06,97.93,0.2,76.78,16.18,37.47,624.13,964.65,,
2011,FEB,1,11,17.1,27.45,NA,1.81,57.14,0.2,157.42,17.89,34.28,624.29,965.2,,
2011,FEB,1,12,18.11,25.81,NA,1.76,73.62,0.25,229.58,18.88,33.12,623.98,964.9,,
2011,FEB,1,13,18.03,18.09,NA,1.47,39.33,1.51,250.53,20.73,29.67,623.32,965.31,,
2011,FEB,1,14,23.74,15.96,NA,1.4,29.04,2.48,249.44,21.87,26.85,622.42,965.28,,
2011,FEB,1,15,28.99,16.9,NA,1.44,22.12,1.57,224.17,23.28,23.43,621.54,965.88,,
2011,FEB,1,16,28.97,16.9,NA,1.36,16.75,2.71,251.23,23.99,21.98,620.87,966.1,,
2011,FEB,1,17,26.4,17.12,NA,1.32,25.43,3.22,254.99,24.02,22.11,620.65,966.55,,
2011,FEB,1,18,26.05,18.08,NA,1.53,32.38,2.13,213.39,22.74,24.42,620.91,968.56,,
2011,FEB,1,19,19.38,19.48,NA,1.95,61.44,0.33,194.99,21.8,25.35,621.2,397.81,,
2011,FEB,1,20,14.14,19.56,NA,2.1,78.97,0.66,191.86,20.45,29.2,621.7,1.47,,
2011,FEB,1,21,16.96,18.3,NA,1.82,71.03,1.73,171.49,19.62,32.53,622.34,1.44,, 
2011,FEB,1,22,20.12,16.76,NA,1.37,34.69,3.64,223.7,18.42,30.38,622.71,1.41,,
2011,FEB,1,23,19.38,16.8,NA,1.41,25.62,2.2,209.39,17.6,33.45,623.13,1.4,,
2011,FEB,2,0,14.37,17.38,NA,1.6,29.45,0.36,165.09,16.11,37.41,623.44,1.4,,
