DATOS HORARIOS 2012_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2012,ENE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2012,ENE,1,1,18.08,24.82,NA,1.079,116.16,2.75,71.69,17.41,55,627.71,1.4,,
2012,ENE,1,2,8.2,23.06,NA,1.399,141.08,1.22,90.12,16.51,59.15,627.79,1.39,,
2012,ENE,1,3,3.87,23.85,NA,2.039,156.84,0.92,257.53,15.6,62.58,627.73,1.39,,
2012,ENE,1,4,3.15,20.06,NA,1.649,163.43,0.68,244.38,14.64,66.49,627.54,1.36,,
2012,ENE,1,5,3.68,20.68,NA,1.709,130.4,0.81,284.07,14.39,66.75,627.63,1.38,,
2012,ENE,1,6,4.46,25.8,NA,2.469,149.22,0.93,120.46,14.04,67.68,627.93,1.36,,
2012,ENE,1,7,3.12,28.87,NA,1.839,181.48,0.96,86.87,13.77,69.23,628.43,1.41,,
2012,ENE,1,8,2.76,25.76,NA,1.339,116.75,1.64,95.32,13.58,69.46,628.93,483.27,,
2012,ENE,1,9,7.87,26.82,NA,1.029,70.17,2.35,105.66,15.41,61.29,629.63,964.93,,
2012,ENE,1,10,17.47,21.96,NA,0.979,61.82,3.15,84.89,17.23,56.62,630.01,964.19,,
2012,ENE,1,11,30.78,16.39,NA,0.829,54.8,2.94,86.24,19.58,46.92,629.83,964.56,,
2012,ENE,1,12,38.81,15.16,NA,0.809,40.42,3.43,85.03,20.96,42.44,629.47,964.76,,
2012,ENE,1,13,43.24,13.84,NA,0.799,47.73,3.13,69.89,22.48,37.64,628.58,965.15,,
2012,ENE,1,14,44.04,14.05,NA,0.829,56.87,3.6,68.58,23.78,32.72,627.55,965.7,,
2012,ENE,1,15,42.89,17.83,NA,0.729,43.35,3.51,56.15,24.91,29.75,626.91,966.47,,
2012,ENE,1,16,41.57,83.45,NA,0.759,57.65,4.76,63.28,24.75,28.88,626.79,967.59,,
2012,ENE,1,17,38.11,30.35,NA,0.579,265.53,7.24,76.92,22.14,36.82,627.17,967.2,,
2012,ENE,1,18,25.08,137.8,NA,0.969,227.98,7.05,68.94,20.25,42.44,627.94,967.43,,
2012,ENE,1,19,16.7,295.4,NA,1.569,103.84,5.83,44.59,19.17,45.48,628.64,170.03,,
2012,ENE,1,20,12.64,325.88,NA,1.749,73.61,4.68,52.62,18.4,46.54,629.38,1.39,,
2012,ENE,1,21,16.5,245.09,NA,1.229,55.59,4.44,53.64,17.66,49.99,630.09,1.38,, 
2012,ENE,1,22,23.5,105.73,NA,0.679,60.98,4.29,48.29,16.96,54.99,630.38,1.4,,
2012,ENE,1,23,26.49,16.55,NA,0.569,40.69,5.28,48.53,16.49,59.95,630.67,1.37,,
2012,ENE,2,0,20.97,13.18,NA,0.559,33.72,3.9,63.32,15.66,67.39,630.89,1.37,,
2012,ENE,2,1,20.18,11.97,NA,0.509,22.21,3.51,59.02,15.2,70.08,631.11,1.38,,
2012,ENE,2,2,21.09,11.03,NA,0.479,18.5,3.1,70.33,14.78,66.77,630.91,1.37,,
2012,ENE,2,3,23.94,18.97,NA,0.469,17.73,3.6,55.58,14.74,65.28,630.69,1.38,,
2012,ENE,2,4,25.03,27.39,NA,0.469,17.09,4.67,48.48,14.86,67.39,630.59,1.38,,
2012,ENE,2,5,20.2,13.33,NA,0.499,15.24,3,68.87,13.68,73.33,630.8,1.36,,
2012,ENE,2,6,18.67,11.09,NA,0.499,12.38,3.38,70.62,13.2,74.26,631.19,1.36,,
2012,ENE,2,7,13.68,10.59,NA,0.579,13.6,3,63.65,12.79,75.24,631.54,1.39,,
2012,ENE,2,8,10.28,11.28,NA,0.739,19.3,3.54,64.01,12.61,75.28,631.95,455.94,,
2012,ENE,2,9,15.09,11.28,NA,0.789,28.39,4.28,61.1,14.09,69.79,632.59,964.32,,
2012,ENE,2,10,20.33,10.82,NA,0.699,35.51,5.95,60.61,15.23,64.46,633.05,963.14,,
2012,ENE,2,11,19.96,10.61,NA,0.669,57.07,6.25,51.2,16.58,58.59,633.09,963,,
2012,ENE,2,12,22.78,11.5,NA,0.719,66.76,6.09,51.41,17.74,52.85,632.65,964.12,,
2012,ENE,2,13,25.04,13.59,NA,0.689,79.15,6.77,56.84,18.65,46.91,631.77,963.9,,
2012,ENE,2,14,27.53,10.77,NA,0.669,222.63,7.48,65.36,19.43,40.64,631.01,963.97,,
2012,ENE,2,15,28.22,11.18,NA,0.629,147.69,6.84,68.15,19.94,38.4,630.43,964.48,,
2012,ENE,2,16,28.62,11.17,NA,0.589,88.53,6.53,65.06,20.09,37.85,630.23,964.53,,
2012,ENE,2,17,26.94,11.04,NA,0.639,104.57,7.28,64.8,19.65,39,630.18,965.96,,
2012,ENE,2,18,23.67,10.55,NA,0.659,130.64,6.94,64.36,18.49,43.45,630.41,966.67,,
2012,ENE,2,19,18.72,10.82,NA,0.729,79.61,5.87,66.4,16.9,50.65,630.98,146.77,,
2012,ENE,2,20,15.97,11.55,NA,0.739,62.1,6.39,67.11,14.84,60.31,631.78,1.38,,
2012,ENE,2,21,16.51,10.14,NA,0.649,57.02,5.89,46.18,13.47,64.23,632.44,1.37,,
2012,ENE,2,22,17.28,82.9,NA,0.609,29.85,5.38,41.61,12.51,65.58,632.87,1.36,,
2012,ENE,2,23,19.87,38.82,NA,0.549,31.31,5.29,54.64,11.61,67.33,633.19,1.35,,
2012,ENE,3,0,23.37,16.06,NA,0.499,19.54,5.19,51.43,10.92,68.72,633.28,1.35,,
2012,ENE,3,1,21.91,11.08,NA,0.479,18.24,5.11,54.53,10.66,68.22,633.13,1.35,,
2012,ENE,3,2,20.98,10.1,NA,0.479,17.41,4.34,63.05,9.9,68.72,632.9,1.37,,
2012,ENE,3,3,25.09,9.88,NA,0.469,15.05,3.94,66.54,9.36,67.33,632.58,1.36,,
2012,ENE,3,4,26.25,9.6,NA,0.469,13.47,3.72,62.64,9.27,64.89,632.21,1.34,,
2012,ENE,3,5,24.96,10.1,NA,0.489,14.7,2.67,74.32,8.78,62.3,631.99,1.34,,
2012,ENE,3,6,21.11,11.01,NA,0.509,16.09,2.27,78.22,8.56,62.08,631.95,1.34,,
2012,ENE,3,7,13.16,12.5,NA,0.659,19.84,2.01,87.08,8.12,60.43,632.27,1.44,,
2012,ENE,3,8,9.15,12.38,NA,1.039,31.16,1.79,85.74,8.59,57.57,632.56,496.91,,
2012,ENE,3,9,13.22,13.71,NA,1.089,51.78,2.29,88.25,9.67,51.83,633.03,963.12,,
2012,ENE,3,10,25.53,11.82,NA,0.819,45.77,4.67,59.99,12.75,52.58,633.21,962.1,,
2012,ENE,3,11,29,11.57,NA,0.809,37.95,4.82,62.14,14.07,49.75,632.92,961.97,,
2012,ENE,3,12,30.62,11.47,NA,0.769,39.18,4.38,54.67,15.9,46.62,632.05,962.26,,
2012,ENE,3,13,30.68,12.65,NA,0.839,48.09,4.51,82.38,17.68,42.66,630.88,962.85,,
2012,ENE,3,14,33.26,13.94,NA,0.809,55.54,4.46,89.54,18.94,39.51,629.89,963.87,,
2012,ENE,3,15,33.29,14.5,NA,0.859,55.43,4.06,90.54,20.23,36.17,629.16,964.68,,
2012,ENE,3,16,33.32,13.01,NA,0.829,51.95,3.46,74.5,21.03,33.88,628.72,965.51,,
2012,ENE,3,17,29.27,13.52,NA,0.929,43.91,3.2,78.64,21.05,33.19,628.49,966.86,,
2012,ENE,3,18,16.21,14.8,NA,1.269,51.69,2.37,91.25,20.25,34.83,628.67,946.32,,
2012,ENE,3,19,9.57,28.6,NA,1.409,87.61,2.49,76.6,19.23,37.25,628.99,98,,
2012,ENE,3,20,10.46,48.53,NA,1.059,58.66,2.9,58.16,18.04,38.79,629.43,1.38,,
2012,ENE,3,21,11.71,15.66,NA,0.909,50.67,3.13,65.05,16.22,43.63,629.89,1.36,,
2012,ENE,3,22,14.44,12.78,NA,0.819,39.26,3.54,65.65,14.9,48.46,630.21,1.33,,
2012,ENE,3,23,17.05,12.85,NA,0.719,35.62,3.85,65.18,13.88,52.79,630.3,1.33,,
2012,ENE,4,0,18.24,12.16,NA,0.579,27.37,3.34,63.95,12.94,56.05,630.42,1.34,,
2012,ENE,4,1,20.4,10.9,NA,0.519,17.56,3.52,60.34,12.41,57.82,630.34,1.34,,
2012,ENE,4,2,20.98,11.72,NA,0.509,16.42,3.32,68,11.82,59.94,630.08,1.33,,
2012,ENE,4,3,14.56,13.04,NA,0.519,16.64,2.83,86.22,11.24,62.65,629.98,1.31,,
2012,ENE,4,4,20.2,12.47,NA,0.499,16.49,3.17,77.51,10.72,63.86,629.74,1.32,,
2012,ENE,4,5,17.57,13.6,NA,0.509,20.34,2.36,78.28,10.24,65.83,629.71,1.32,,
2012,ENE,4,6,9.86,13.03,NA,0.559,19.77,2.19,87.34,9.78,67.54,629.9,1.32,,
2012,ENE,4,7,5.53,13.83,NA,0.719,23.42,2.34,94.07,9.14,71.31,630.02,1.37,,
2012,ENE,4,8,4.44,16.4,NA,0.909,34.07,2.43,74.71,8.7,72.68,630.3,365.58,,
2012,ENE,4,9,9.23,14.27,NA,1.079,42.11,2.71,78.36,9.98,67.81,630.64,962.68,,
2012,ENE,4,10,15.72,16.56,NA,1.059,51.38,3.19,76.2,12.24,63.18,630.88,962.15,,
2012,ENE,4,11,19.4,21.92,NA,0.989,44.69,2.11,88.61,14.72,54.28,630.8,962.45,,
2012,ENE,4,12,24.2,49.5,NA,0.999,56.87,1.31,141.35,17.55,43.62,630.23,963.75,,
2012,ENE,4,13,35.13,36.63,NA,0.799,54.6,1.63,211.12,18.7,37.94,629.42,963.8,,
2012,ENE,4,14,50.52,40.44,NA,0.769,49.34,1.76,240.71,20.06,36.11,628.43,964.85,,
2012,ENE,4,15,62.86,29.78,NA,0.719,55.21,2.22,246.26,21.24,33.72,627.51,965.79,,
2012,ENE,4,16,57.67,17.96,NA,0.689,48.03,2.47,236.15,22.14,29.64,626.98,966.2,,
2012,ENE,4,17,56.94,15.63,NA,0.659,46.11,2.16,239.4,22.48,28.05,626.77,967.71,,
2012,ENE,4,18,46.22,14.91,NA,0.749,41.98,1.62,232.22,22.1,27.35,626.84,968.28,,
2012,ENE,4,19,13.98,17.02,NA,1.549,61.72,1.2,174.37,20.41,29.86,626.83,225.74,,
2012,ENE,4,20,4.18,21.92,NA,2.859,105.93,1.01,152.03,18.83,32.85,627.22,1.4,,
2012,ENE,4,21,2.94,23.78,NA,3.609,135.94,0.52,110.86,17.48,36.92,627.43,1.38,,
2012,ENE,4,22,3.19,37.09,NA,4.379,197.68,0.52,77.29,15.86,43.16,627.64,1.4,,
2012,ENE,4,23,2.83,57.34,NA,2.329,200.65,1.16,50.26,15.39,43.28,628.02,1.38,,
2012,ENE,5,0,3.2,124.54,NA,1.509,100.18,1.99,83.03,15.05,40.36,628.31,1.36,,
2012,ENE,5,1,3.31,19.15,NA,0.859,65.03,1.85,86.29,13.56,43.26,628.29,1.35,,
2012,ENE,5,2,3.25,18.43,NA,0.689,50.16,2.03,87.13,12.91,44.88,628.08,1.34,,
2012,ENE,5,3,3.98,18.38,NA,0.579,32.18,2.4,79.47,11.89,47.8,627.72,1.35,,
2012,ENE,5,4,4.72,18.36,NA,0.549,24.25,2.27,80.24,11.28,47.52,627.52,1.33,,
2012,ENE,5,5,3.74,22.17,NA,0.569,20.91,1.63,100.65,10.93,46.78,627.66,1.33,,
2012,ENE,5,6,2.79,25.93,NA,0.609,22.72,2.11,91.79,10.55,48.25,627.84,1.32,,
2012,ENE,5,7,3.22,21.81,NA,0.829,28.28,2.32,79.11,9.97,51.95,627.98,1.36,,
2012,ENE,5,8,3.64,20.68,NA,1.379,47.88,2.1,85.13,9.64,55,628.31,400.73,,
2012,ENE,5,9,5.37,22.95,NA,1.529,85.52,1.76,80.79,11.17,50.69,628.82,963.35,,
2012,ENE,5,10,13.35,17.58,NA,1.169,79.38,2.32,77.52,13.64,44.37,629.3,963.03,,
2012,ENE,5,11,21.14,19.01,NA,1.059,57.19,2.64,86,16.28,37.82,629.31,963.21,,
2012,ENE,5,12,26.15,16.68,NA,0.969,48.42,2.46,85.03,18.05,34.6,628.67,963.96,,
2012,ENE,5,13,32,17.03,NA,0.939,41.62,2.07,87.62,19.71,31.68,627.81,964.09,,
2012,ENE,5,14,43.39,15.64,NA,0.729,44.63,1.51,129.13,21.32,28.61,626.66,965.13,,
2012,ENE,5,15,53.67,13.4,NA,0.619,40.34,1.45,215.93,22.69,25.9,625.79,966.39,,
2012,ENE,5,16,56.94,12.44,NA,0.569,35.29,1.5,248.35,22.88,24.53,625.2,966.64,,
2012,ENE,5,17,54.5,12.34,NA,0.669,37.52,2.14,205.74,23.02,24.43,624.8,967.81,,
2012,ENE,5,18,46.49,12.57,NA,0.899,48.99,1.96,222.04,22.4,25.85,624.74,968.2,,
2012,ENE,5,19,24.56,15.28,NA,1.729,60.29,0.94,178.93,20.56,29.36,624.94,146.53,,
2012,ENE,5,20,4.52,18.55,NA,2.259,100.85,2.15,148.33,19.8,33.65,625.2,1.43,,
2012,ENE,5,21,9.7,17.17,NA,1.689,74.18,2.41,140.29,18.83,43.37,625.5,1.39,,
2012,ENE,5,22,4.65,17.23,NA,1.809,61.68,1.22,159.28,17.89,47.82,625.82,1.38,,
2012,ENE,5,23,10.76,14.16,NA,1.249,64.75,0.78,216.64,16.96,49.98,626.01,1.38,,
2012,ENE,6,0,13.75,13.9,NA,1.359,63.53,1.03,260.72,16.28,51.3,626.09,1.36,,
2012,ENE,6,1,5.15,20.47,NA,1.129,61.83,2.07,76.6,15.36,54.63,626.18,1.39,,
2012,ENE,6,2,5.03,20.1,NA,0.829,49.61,2.78,87.16,14.39,57.53,626.23,1.38,,
2012,ENE,6,3,2.51,21.6,NA,0.759,41.66,2.81,80.05,13.77,61.99,626.13,1.37,,
2012,ENE,6,4,2.93,18.37,NA,0.659,35.78,2.69,77.9,13.3,64.41,625.97,1.35,,
2012,ENE,6,5,3.46,17.87,NA,0.639,35.4,2.57,77.44,12.79,67.39,626.1,1.35,,
2012,ENE,6,6,7.79,14.31,NA,0.559,32.3,2.68,78.68,12.23,69.76,626.19,1.33,,
2012,ENE,6,7,3.23,14.45,NA,0.699,30.95,2.54,81.07,11.65,72.62,626.47,1.4,,
2012,ENE,6,8,3.76,13.98,NA,0.929,40.73,2.3,80.85,11.23,74.98,626.83,373.2,,
2012,ENE,6,9,7.44,14.67,NA,1.079,53.91,2.53,74.35,11.95,73.42,627.38,963.69,,
2012,ENE,6,10,15.82,17.11,NA,0.999,54.62,2.43,67.94,14.24,65.51,627.93,962.81,,
2012,ENE,6,11,24.58,17.01,NA,0.949,55.81,2.13,83.03,16.75,55.65,627.96,963.15,,
2012,ENE,6,12,39.48,51.37,NA,0.779,55.02,1.49,142.4,18.63,45.49,627.56,964.07,,
2012,ENE,6,13,48.13,29.8,NA,0.689,54.07,1.82,235.08,19.84,36.07,626.88,964.31,,
2012,ENE,6,14,56.4,28.12,NA,0.669,45.39,2.26,253.39,20.82,32.93,625.97,965.18,,
2012,ENE,6,15,59.31,19.65,NA,0.629,47.99,2.74,260.77,21.14,31.39,625.36,965.63,,
2012,ENE,6,16,57.68,17.32,NA,0.679,48.71,2.56,240.79,21.59,29.05,625.05,966.01,,
2012,ENE,6,17,53.85,13.41,NA,0.639,41.39,2.25,261.27,21.7,27.7,624.88,967.22,,
2012,ENE,6,18,40.97,13.53,NA,0.729,40.83,1.7,251.5,21.3,27.27,624.98,964.52,,
2012,ENE,6,19,25.47,13.31,NA,0.879,55.07,1.74,289.57,19.83,29.06,625.27,172.76,,
2012,ENE,6,20,9.27,13.09,NA,1.289,61.81,1.36,311.87,18.55,29.75,625.54,1.38,,
2012,ENE,6,21,3.29,19.24,NA,3.229,82.33,0.64,202.09,17.34,32.14,625.85,1.4,,
2012,ENE,6,22,2.36,21.28,NA,3.149,137.64,1.03,217.88,16.13,35.23,626.18,1.39,,
2012,ENE,6,23,2.51,19.09,NA,2.259,118.07,0.99,179.89,14.97,37.9,626.45,1.38,,
2012,ENE,7,0,2.35,15.3,NA,1.479,107.2,0.64,237.48,13.8,42.99,626.52,1.37,,
2012,ENE,7,1,2.73,20.83,NA,1.519,98.3,0.92,67.27,13.48,44.71,626.49,1.36,,
2012,ENE,7,2,2.32,17.38,NA,1.229,98.56,0.49,70.94,12.36,48.05,626.33,1.34,,
2012,ENE,7,3,2.63,15.87,NA,1.489,99.44,0.46,30.06,11.43,53.95,626.09,1.36,,
2012,ENE,7,4,2.66,18.27,NA,1.489,112.25,0.6,303.97,10.71,56.31,625.99,1.35,,
2012,ENE,7,5,2.25,16.82,NA,1.079,109.21,0.78,80.06,10.03,55.18,626.06,1.35,,
2012,ENE,7,6,2.41,18.45,NA,1.039,75.23,0.62,75.01,9.62,53.92,626.34,1.35,,
2012,ENE,7,7,2.4,19.52,NA,1.069,78.42,0.86,77.07,9.13,52.65,626.59,1.36,,
2012,ENE,7,8,2.87,24.11,NA,1.739,82.2,0.98,102.14,8.89,53.88,627.01,445.47,,
2012,ENE,7,9,3.49,27.68,NA,2.159,128.01,0.88,75.82,11.34,48.84,627.69,963.75,,
2012,ENE,7,10,7.1,45.76,NA,1.779,125.12,1.67,79.94,13.7,43.07,628.12,963.19,,
2012,ENE,7,11,23.82,38.07,NA,1.229,107.15,1.19,88.66,16.99,36.56,628.25,963.62,,
2012,ENE,7,12,39.94,35.49,NA,0.999,80.04,1.37,236.19,19.62,31.48,627.87,964.51,,
2012,ENE,7,13,53.19,18.59,NA,0.769,61.29,1.6,235.23,20.65,30.81,627.07,964.51,,
2012,ENE,7,14,61.6,15.3,NA,0.729,58.67,1.79,258.42,21.6,27.72,626.22,965.3,,
2012,ENE,7,15,65.79,14.46,NA,0.709,57.61,1.95,253.05,22.6,24.84,625.43,966.29,,
2012,ENE,7,16,66.34,13.38,NA,0.719,59.85,1.65,251.2,23.4,22.78,625,966.88,,
2012,ENE,7,17,65.99,14.15,NA,0.689,58.38,2.01,275.68,23.42,22.45,624.86,968.03,,
2012,ENE,7,18,62.32,12.53,NA,0.639,50.61,1.99,279.28,22.91,21.68,624.98,968.4,,
2012,ENE,7,19,33.53,16.52,NA,1.089,59.69,1.13,306.53,20.78,24.42,625.11,131.17,,
2012,ENE,7,20,3.37,23.57,NA,3.439,103.02,0.43,271.72,18.97,29.85,625.42,1.41,,
2012,ENE,7,21,2.91,30.1,NA,4.409,166.37,1.19,146.6,18.02,31.36,625.7,1.4,,
2012,ENE,7,22,5.13,20.53,NA,1.839,119.43,2.3,146.49,17.4,34.58,626.09,1.39,,
2012,ENE,7,23,10.08,16.15,NA,1.369,68.98,1.7,124.31,17.38,39.68,626.24,1.39,,
2012,ENE,8,0,4.32,14.4,NA,1.089,58.51,1.1,236.19,15.13,48.32,626.36,1.37,,
2012,ENE,8,1,2.96,15.27,NA,1.609,66.34,0.64,129.59,14.49,49.99,626.19,1.37,,
2012,ENE,8,2,2.52,14.99,NA,1.809,80.95,0.68,25.92,14.3,50.51,626.2,1.35,,
2012,ENE,8,3,2.27,14.61,NA,1.109,72.59,1.23,79.46,13.82,54.71,625.99,1.37,,
2012,ENE,8,4,2.37,23.42,NA,1.059,52.18,0.78,93.05,13.41,56.17,625.85,1.35,,
2012,ENE,8,5,2.31,19.89,NA,1.079,57.94,0.96,41.08,12.16,61.73,626.01,1.36,,
2012,ENE,8,6,2.45,18.14,NA,0.979,53.15,0.68,105.58,11.54,61.63,626.11,1.34,,
2012,ENE,8,7,2.53,19.31,NA,1.309,60.02,0.55,111.47,10.8,64.34,626.29,1.37,,
2012,ENE,8,8,2.86,20.68,NA,1.419,73.34,1.34,88.17,11.16,58.54,626.5,489.78,,
2012,ENE,8,9,5.33,19.44,NA,1.409,72.85,1.56,70.42,12.17,54.71,626.98,954.72,,
2012,ENE,8,10,11.11,34.19,NA,1.419,95.99,1.36,80.09,15.78,45.56,627.42,964.09,,
2012,ENE,8,11,28.89,21.06,NA,1.129,69.35,1.63,84.81,18.64,41.51,627.23,964.2,,
2012,ENE,8,12,35.97,18.24,NA,0.879,52.65,1.93,181.03,21.11,38.3,626.91,965,,
2012,ENE,8,13,47.95,15.66,NA,0.679,43.56,2.28,259.89,21.71,36.97,626.15,964.92,,
2012,ENE,8,14,43.88,12.32,NA,0.699,35.38,3.38,228.27,23.27,27.95,625.13,965.7,,
2012,ENE,8,15,44.25,11.2,NA,0.649,30,3.21,247.35,24.55,21.64,624.3,966.75,,
2012,ENE,8,16,43.14,10.84,NA,0.589,36.56,3.88,257.11,24.39,20.73,623.75,967.45,,
2012,ENE,8,17,39.14,10.74,NA,0.719,46.92,3.62,255.52,23.61,22.7,623.68,967.56,,
2012,ENE,8,18,34.24,10.67,NA,0.659,39.14,2.59,248.11,23.24,22.79,623.86,968.15,,
2012,ENE,8,19,12.57,13.54,NA,1.209,55.08,1.84,185.73,21.94,26.1,624.21,272.77,,
2012,ENE,8,20,4.57,14.77,NA,1.439,73.98,1.59,172.35,19.86,35.39,624.97,1.38,,
2012,ENE,8,21,14.43,12.44,NA,1.029,62.19,2.3,196.66,18.86,31.77,625.48,1.39,,
2012,ENE,8,22,11.16,11.91,NA,0.939,48.73,1.94,185.38,17.68,34.48,625.8,1.38,,
2012,ENE,8,23,9.94,11.42,NA,0.769,45.37,1.25,246.59,16.03,39.93,626,1.38,,
2012,ENE,9,0,3.74,11.8,NA,0.829,40.68,0.88,245.43,14.76,44.67,626.2,1.38,,
2012,ENE,9,1,2.5,12.97,NA,1.259,49.01,0.73,271.32,14.19,46.4,625.96,1.36,,
2012,ENE,9,2,2.35,12.39,NA,0.939,51.35,0.72,259.43,12.93,49.72,625.84,1.37,,
2012,ENE,9,3,2.38,12.38,NA,0.779,39.67,0.71,254.89,12.1,51.41,625.76,1.35,,
2012,ENE,9,4,2.42,12.1,NA,0.719,38.1,0.73,228.51,11.2,53.44,625.88,1.36,,
2012,ENE,9,5,2.45,16.45,NA,0.699,39.73,0.9,255.72,9.96,55.69,625.9,1.36,,
2012,ENE,9,6,2.46,22.6,NA,0.749,45.6,0.94,255.71,10.04,52.99,626.15,1.35,,
2012,ENE,9,7,2.81,37.31,NA,1.519,50.92,0.65,259.55,9.8,51.93,626.34,1.37,,
2012,ENE,9,8,3.16,32.17,NA,4.079,103.31,0.59,235.08,9.64,54.09,626.83,480.65,,
2012,ENE,9,9,4.39,25.53,NA,1.629,133.17,1.3,248.08,11.29,46.55,627.35,963.67,,
2012,ENE,9,10,10.16,16.33,NA,1.249,80.9,0.89,257.86,15.11,38.43,627.73,964.04,,
2012,ENE,9,11,26.54,12.78,NA,0.749,72.75,1.81,260.31,17.46,33.39,627.74,964.15,,
2012,ENE,9,12,33.82,12.03,NA,0.699,62.25,2.04,250.1,19.33,29.56,627.33,964.46,,
2012,ENE,9,13,38.93,12.07,NA,0.649,45.25,1.98,249.23,21.25,23.66,626.43,964.89,,
2012,ENE,9,14,40.4,11.75,NA,0.699,40.74,3.08,225.65,22.6,18.69,625.48,965.59,,
2012,ENE,9,15,43.57,11.18,NA,0.619,47.63,3.24,266.65,23.27,17.86,624.98,966.57,,
2012,ENE,9,16,42.64,10.71,NA,0.639,33.33,3.56,257.33,23.59,18.55,624.66,966.86,,
2012,ENE,9,17,37.63,10.75,NA,0.599,40.14,3.95,260.43,23.08,23.11,624.46,967.4,,
2012,ENE,9,18,30.91,10.8,NA,0.619,51.08,3.58,253.32,22.06,23.76,624.67,956.93,,
2012,ENE,9,19,10.35,12.08,NA,0.879,61.28,2.13,253.71,20.15,26.93,624.99,177.48,,
2012,ENE,9,20,3.82,14.57,NA,1.709,72.31,1.5,215.81,19.03,28.5,625.54,1.38,,
2012,ENE,9,21,3.01,14.54,NA,1.499,82.52,1.13,200.26,18.13,32.1,626.02,1.39,,
