DATOS HORARIOS 2012_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2012,JUN,1,0,39.77,13.67,15.54,0.619,32.26,2.39,270.62,19.2,31.52,624.05,1.5,,
2012,JUN,1,1,29.37,18.23,24.44,0.699,13.86,2.84,101.91,NA,33.88,623.64,1.43,,
2012,JUN,1,2,31.48,15.92,19.08,0.649,27.11,1.23,121.95,NA,35.69,623.46,1.44,,
2012,JUN,1,3,26.21,16.68,23.01,0.669,16.55,1.54,275.92,NA,35.43,623.05,1.42,,
2012,JUN,1,4,9.45,18.23,38.64,0.699,22.46,1.62,246.77,NA,40.73,623.05,1.4,,
2012,JUN,1,5,9.73,21.91,36.57,0.719,26.52,1.14,203.52,NA,39.38,623.51,1.39,,
2012,JUN,1,6,2.99,22.28,46.27,0.979,33,1.13,197.41,NA,40.13,623.94,5.5,,
2012,JUN,1,7,4.3,24.64,53.08,1.589,49.05,1.01,278.55,NA,41.92,624.49,724.58,,
2012,JUN,1,8,7.56,25.49,57.15,1.959,85.62,1.67,89.87,NA,42.66,625.06,968.11,,
2012,JUN,1,9,22.39,21.02,33.31,1.289,65.31,2.15,67.94,NA,39.52,625.38,968.08,,
2012,JUN,1,10,34.33,20.9,29.17,1.159,56.42,2.69,85.18,11.04,39.49,625.49,968.6,,
2012,JUN,1,11,50.57,17.78,20.07,0.909,47.66,2.42,139.92,27.49,38.46,625.32,967.64,,
2012,JUN,1,12,57.38,16.81,19.18,0.929,35.05,2.07,152.25,29.03,33.42,624.9,968.1,,
2012,JUN,1,13,63.86,16.03,16.12,0.879,30.25,1.99,191.77,30.73,29.3,624.29,968.63,,
2012,JUN,1,14,70.69,15.81,18.24,0.889,26.81,2.47,124.24,31.82,27.67,623.31,968.45,,
2012,JUN,1,15,73.56,15.22,15.95,0.789,33.67,1.95,215.84,32.53,25.21,622.6,970.55,,
2012,JUN,1,16,46.7,15.77,25.59,0.999,77.15,4.27,160.97,27.59,36.12,623.04,815.42,,
2012,JUN,1,17,30.9,15.54,32.13,1.119,36.03,3.43,197.51,27.55,29.19,622.57,742.75,,
2012,JUN,1,18,35,13.86,23.29,0.889,45.55,2.04,247.42,28.41,22.95,622.86,794.23,,
2012,JUN,1,19,24.77,15.56,34.68,1.309,36.38,3.48,72.85,26.56,34.66,623.56,970.03,,
2012,JUN,1,20,32.47,14.97,26.27,0.999,93.07,5.31,72.83,24.37,39.26,623.81,275.37,,
2012,JUN,1,21,25.74,21.86,29.78,1.019,29.18,5.08,80.73,23.36,40.63,624.64,1.5,, 
2012,JUN,1,22,22.28,18.79,28.18,1.009,35.2,3.32,62.46,22.21,46.95,625.34,1.48,,
2012,JUN,1,23,22.84,16.21,25.25,0.879,29.52,3.34,68.46,21.64,49.03,625.62,1.46,,
2012,JUN,2,0,24.78,15.48,22.9,0.789,14.73,2.58,70.96,21.63,47.52,625.71,1.47,,
2012,JUN,2,1,24.87,15.21,21.83,0.749,13.01,2.51,86.26,21.29,48.31,625.37,1.45,,
2012,JUN,2,2,8.58,17.47,36.07,0.769,15.13,2.26,98.75,20.71,50.49,625.16,1.44,,
2012,JUN,2,3,3.22,23.78,44.83,0.769,21.74,1.4,68.54,20.25,52.84,625.23,1.45,,
2012,JUN,2,4,5.18,21.41,43.96,0.809,26.22,1.93,73.12,19.23,57.75,624.97,1.42,,
2012,JUN,2,5,2.59,21.44,45.75,0.859,29.38,2.23,93.9,18.41,59.67,625.05,1.41,,
2012,JUN,2,6,3.09,26.53,52.3,1.049,36.48,3.13,82.93,18.03,61.72,625.2,6.07,,
2012,JUN,2,7,4.89,27.28,44.2,1.269,36.31,2.54,83.18,18.01,62.96,625.6,686.92,,
2012,JUN,2,8,10.1,26.66,41.02,1.469,45.27,3.03,77.19,19.55,61.13,626.05,966.08,,
2012,JUN,2,9,16.33,31.15,44.05,1.329,60.04,3.1,71.67,21.93,56.08,626.36,966.26,,
2012,JUN,2,10,37.31,29.05,28.99,1.109,57.85,2.34,91.79,24.34,43.88,626.35,967.79,,
2012,JUN,2,11,55.32,22.47,17.75,0.839,36.33,2.5,246.89,26.41,39.48,626.11,967.34,,
