DATOS HORARIOS 2013_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2013,MZO,1,0,17.36,13.45,NA,0.27,23.9,3.39,241.97,21.68,33.95,626.53,1.47,,
2013,MZO,1,1,8.42,13.67,6.98,0.30,25.09,1.78,206.54,19.53,38.75,626.5,1.43,,
2013,MZO,1,2,10.67,13.58,4.24,0.29,30.46,1.96,157.12,18.48,41.89,626.6,1.41,,
2013,MZO,1,3,12.23,13.74,5.87,0.32,46.37,3.89,99.17,15.43,54.54,626.61,1.39,,
2013,MZO,1,4,15.53,14.33,2.24,0.31,54.64,4.86,101.52,14.08,59.2,626.48,1.36,,
2013,MZO,1,5,16.55,13.65,1.48,0.25,44.54,5.09,95.1,12.74,57.92,626.49,1.38,,
2013,MZO,1,6,18.43,13.61,1.71,0.29,30.52,4.43,96.45,11.98,61.32,626.86,1.36,,
2013,MZO,1,7,15.05,13.9,7.92,0.56,25.16,4.21,99.74,11.48,64.98,627.17,6.72,,
2013,MZO,1,8,13.92,14.2,10.04,0.74,40.66,4.47,99.11,11.18,66.95,627.89,728.77,,
2013,MZO,1,9,18.82,14.29,6.16,0.64,51.46,5.13,92.41,12.04,63.1,628.67,964.19,,
2013,MZO,1,10,19.63,14.52,6.16,0.71,67.39,4.74,85.99,12.64,58.2,629.36,963.93,,
2013,MZO,1,11,20.7,18.05,6.51,0.74,61.75,4.2,89.38,13.66,54.14,629.69,963.35,,
2013,MZO,1,12,22.15,21.34,6.69,0.74,49.23,3.91,97.23,14.58,51.02,629.6,963.45,,
2013,MZO,1,13,26.81,62.66,7.40,0.70,39.87,3.52,72.95,16.71,43.18,628.84,963.29,,
2013,MZO,1,14,32.23,45.73,4.79,0.72,46.46,3.42,61.2,17.48,40.98,628,963.85,,
2013,MZO,1,15,35.21,33.97,6.02,0.65,48.76,2.58,78.06,19.49,37.15,627.32,964.13,,
2013,MZO,1,16,33.73,35.04,5.37,0.51,46.4,2.45,59.03,22.56,33,624.29,966.13,,
2013,MZO,1,17,28.41,24.43,6.72,0.51,52.33,4.29,36.05,20.33,31.61,622.9,966.03,,
2013,MZO,1,18,23.53,71.03,14.38,0.70,63.93,4.88,56.81,19.61,31.32,623.26,966.53,,
2013,MZO,1,19,23.69,60.14,10.52,0.55,113.58,5.82,64.23,18.26,32.07,623.95,423.24,,
2013,MZO,1,20,20.31,89.3,13.35,0.75,90.07,5.23,64.1,17.19,34.41,624.62,2.56,,
2013,MZO,1,21,21.46,19.72,9.01,0.65,70.46,4.68,91.41,16.46,35.98,625.48,1.45,, 
2013,MZO,1,22,23.98,22.4,4.64,0.46,47.12,5.39,90.2,15.81,36,626.01,1.44,,
2013,MZO,1,23,22.09,28.24,6.58,0.39,68.89,4.71,83.63,15.7,33.54,626.42,1.44,,
2013,MZO,2,0,17.02,14.89,8.08,0.41,37.42,3.56,84.28,15.17,40.19,626.96,1.42,,
2013,MZO,2,1,20.3,14.27,3.83,0.32,39.1,3.55,90.53,14.56,42.18,627.15,1.4,,
2013,MZO,2,2,21.24,14.26,2.21,0.28,24.78,3.59,86.67,14.2,43.53,626.96,1.38,,
2013,MZO,2,3,24.5,14.68,NA,0.27,17.41,3.73,84.89,14.17,42.56,626.64,1.39,,
2013,MZO,2,4,22.34,32.71,2.10,0.25,20.19,3.34,65.22,14.59,38.84,626.63,1.37,,
2013,MZO,2,5,25.23,37.16,NA,0.25,17.73,3.4,58.77,14.7,37.3,626.72,1.37,,
2013,MZO,2,6,24.29,39.87,0.39,0.26,20.44,3.08,56.75,14.56,37.41,626.95,1.39,,
2013,MZO,2,7,19,85.57,8.47,0.27,33,3.56,58.1,14.59,36.66,627.3,3.36,,
2013,MZO,2,8,18.37,53.26,9.47,0.39,39.49,3.33,70.55,14.45,36.4,627.92,602.17,,
2013,MZO,2,9,22.4,39.86,6.55,0.44,39.51,3.98,63.89,15.3,32.18,628.56,963.26,,
2013,MZO,2,10,25.93,41.66,5.57,0.44,47.07,5.04,68.93,16.7,26.84,628.83,962.73,,
2013,MZO,2,11,30.22,22.93,2.87,0.50,73.05,5.38,86.42,17.57,24.4,628.81,962.83,,
2013,MZO,2,12,34.4,15.01,1.27,0.47,111.03,5.92,83.41,18.96,20.17,628.34,963.02,,
2013,MZO,2,13,35.59,14.9,1.34,0.47,103.71,5.46,86.36,20.13,18,627.6,963.64,,
2013,MZO,2,14,34.17,19.84,3.88,0.53,86.47,5.07,83.34,21.35,16.3,626.76,964.63,,
2013,MZO,2,15,34.41,30.36,3.07,0.56,72.24,5.42,75.49,22.26,12.99,626.14,965.17,,
2013,MZO,2,16,33.01,49.56,3.70,0.55,69.71,5.14,60.98,22.59,11.28,625.64,965.06,,
2013,MZO,2,17,34.16,27.01,2.51,0.46,69.12,5.22,68.53,22.42,10.51,625.45,964.37,,
2013,MZO,2,18,31.25,56.19,7.46,0.63,68.32,5.02,65.58,22.14,10.33,625.77,965.81,,
2013,MZO,2,19,31.42,22.04,3.88,0.48,68.57,5.51,75.13,20.5,11.69,626.36,706.84,,
2013,MZO,2,20,23.17,41.58,11.30,0.53,63.6,4.74,72.29,18.64,12.89,626.85,4.49,,
2013,MZO,2,21,25.13,26.22,7.41,0.46,45.25,4.75,62.27,17.28,11.45,627.49,1.44,,
2013,MZO,2,22,18.06,23.94,12.20,0.58,37.81,3.45,78.01,15.6,16.3,628.03,1.43,,
2013,MZO,2,23,23.8,38,6.26,0.43,42.12,5.18,71.67,14.63,21.85,628.31,1.43,,
2013,MZO,3,0,26.56,18.11,1.59,0.33,43.68,3.72,74.46,13.69,22.56,628.35,1.39,,
2013,MZO,3,1,26.26,14.02,0.70,0.32,15.21,2.59,75.06,12.25,24.04,628.2,1.4,,
