DATOS HORARIOS 2013_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2013,OCT,1,0,16.12,13.28,8.59,0.34,39.62,1.91,191.65,20.48,55.71,623.47,1.35,,
2013,OCT,1,1,15.61,12.77,7.78,0.31,25.86,1.05,252.33,19.79,62.38,623.39,1.35,,
2013,OCT,1,2,2.43,12.96,16.18,0.40,37.76,0.81,222.85,19.31,66.7,623.28,1.32,,
2013,OCT,1,3,8.17,12.57,11.49,0.29,33.73,1.03,274.7,19.18,68.74,623.23,1.33,,
2013,OCT,1,4,13.04,12.58,7.15,0.26,20.23,1.32,218.58,18.67,73.5,623.06,1.33,,
2013,OCT,1,5,14.9,12.62,4.21,0.29,25.26,2,239.34,18.74,74.86,623.09,1.33,,
2013,OCT,1,6,11.55,12.45,6.67,0.50,53.08,1.08,233.04,18.45,76.3,623.52,1.33,,
2013,OCT,1,7,3.33,13.05,14.22,1.17,87.13,1.13,186.92,18.86,75.03,623.92,149.29,,
2013,OCT,1,8,4.31,14.09,18.67,1.50,94.75,1.22,117.84,19.12,74.17,624.19,959.04,,
2013,OCT,1,9,6.11,13.98,15.96,1.15,164.17,1.37,112.39,20.18,69.18,624.55,966.36,,
2013,OCT,1,10,12.51,14.02,12.41,0.76,89.77,1.55,154.64,21.5,65.93,624.84,965.79,,
2013,OCT,1,11,28.8,13.53,3.41,0.44,47.56,1.69,188.01,23.66,58.93,624.75,966.45,,
2013,OCT,1,12,36.82,13.12,4.16,0.49,39.87,1.73,193.59,25.39,50.07,624.24,967.06,,
2013,OCT,1,13,39.83,12.88,1.91,0.42,32.72,2.4,239.73,26.38,44.43,623.51,967.27,,
2013,OCT,1,14,39.46,12.6,0.98,0.45,26.15,2.39,248.01,27.3,40.74,622.76,968.29,,
2013,OCT,1,15,42.26,12.58,0.25,0.38,26.62,2.2,255.85,27.66,38.23,621.96,968.7,,
2013,OCT,1,16,44.17,12.4,0.25,0.38,27,2.71,254.63,28.08,36.75,621.52,968.33,,
2013,OCT,1,17,45.55,12.31,0.25,0.36,29.15,3.25,266.89,27.85,35.43,621.38,968.07,,
2013,OCT,1,18,37.83,12.39,0.25,0.36,36.02,3.29,290.78,26.52,42.04,621.63,969.39,,
2013,OCT,1,19,27.05,12.42,5.40,0.48,51.85,3.19,310.6,24.21,54.65,622.12,239.08,,
2013,OCT,1,20,15.07,12.59,12.92,0.61,64.6,2.67,310.58,23.13,57.67,622.73,1.41,,
2013,OCT,1,21,14.09,12.83,9.56,0.51,61.19,2.65,310.37,21.96,60.14,623.29,1.4,, 
2013,OCT,1,22,11.89,12.88,9.17,0.43,49.75,2.36,269.63,21.1,67.65,623.68,1.37,,
2013,OCT,1,23,18.31,12.79,2.49,0.35,28.5,2.86,256.33,20.31,70.13,623.78,1.35,,
2013,OCT,2,0,20.61,12.48,0.25,0.26,19.54,2.57,259.47,19.83,72.01,623.88,1.34,,
2013,OCT,2,1,15.58,12.28,0.25,0.25,17.61,1.44,285.47,19.39,73.2,623.92,1.33,,
2013,OCT,2,2,15.13,12.1,0.25,0.25,17.05,1.79,247.96,19,74.76,623.57,1.31,,
2013,OCT,2,3,13.67,11.96,1.17,0.25,26.26,1.02,240.73,18.64,76.09,623.31,1.34,,
2013,OCT,2,4,6.76,12.96,8.67,0.26,24.3,1.37,218.04,18.43,76.59,623.07,1.32,,
2013,OCT,2,5,11.73,12.92,7.48,0.37,26.92,1.21,148.65,18.31,76.94,623.16,1.32,,
2013,OCT,2,6,4.41,12.74,13.69,0.69,36.73,0.8,270.1,18.1,77.95,623.18,1.33,,
2013,OCT,2,7,2.21,13.84,11.09,1.30,72.96,1.07,279.5,17.88,79.59,623.35,180.94,,
2013,OCT,2,8,2.61,14.91,10.98,1.80,108.29,1.29,204.18,17.86,79.5,623.72,966.4,,
2013,OCT,2,9,7.19,14.92,10.80,1.15,104.6,1.23,157.75,20.38,70.21,624.04,966.06,,
2013,OCT,2,10,17.52,15.32,12.61,0.85,80.83,2.49,104.94,22.31,61.02,624.27,965.68,,
2013,OCT,2,11,28.01,14.95,10.49,0.77,73.99,2.67,114.53,23.89,53.05,624.14,966.25,,
2013,OCT,2,12,39.04,14.39,5.25,0.74,53.81,2.48,105.37,25.67,45.12,623.71,966.79,,
2013,OCT,2,13,38.58,14.8,4.12,0.65,50.6,2.4,73.92,25.45,46.3,623.04,968.08,,
