DATOS HORARIOS 2013_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2013,NOV,1,0,4.74,12.5,6.90,0.40,22.13,1.19,290.29,19.95,82.47,623.94,1.38,,
2013,NOV,1,1,7.47,12.24,2.69,0.28,26.35,1.64,252.82,19.6,84.47,623.79,1.36,,
2013,NOV,1,2,9.46,12.39,1.48,0.25,17.79,1.67,243.73,19.63,83.98,623.7,1.34,,
2013,NOV,1,3,5.17,12.11,3.99,0.25,16.23,1.06,260.66,19.37,85.65,623.55,1.33,,
2013,NOV,1,4,2.84,12.11,4.80,0.26,17.62,1.24,269.76,19.19,87.04,623.37,1.34,,
2013,NOV,1,5,2.7,12.26,4.39,0.27,23.82,1.44,234.19,18.63,89.42,623.38,1.31,,
2013,NOV,1,6,3.49,12.21,4.58,0.25,20.13,1.14,271.3,18.73,88.69,623.5,1.35,,
2013,NOV,1,7,3.01,12.1,4.79,0.36,20.31,1.14,271.25,18.49,89.05,623.64,60.78,,
2013,NOV,1,8,3.17,12.44,6.20,0.97,43.43,0.85,145.13,18.87,87.43,624.03,900.35,,
2013,NOV,1,9,8.33,12.78,6.26,0.77,59.03,1.05,226.13,21.77,75.35,624.37,966.81,,
2013,NOV,1,10,16.69,12.71,1.53,0.38,28.51,1.3,250.01,23.01,69.85,624.7,966.8,,
2013,NOV,1,11,26.52,12.58,0.37,0.26,26.13,1.5,282.61,24.69,61.97,624.6,966.17,,
2013,NOV,1,12,36.21,12.94,0.53,0.25,24.9,1.6,274.12,26.21,54.13,623.95,966.61,,
2013,NOV,1,13,43.25,16.79,0.25,0.25,27.17,1.7,274.25,27.17,47.29,623.38,967.94,,
2013,NOV,1,14,52.45,21.56,0.36,0.31,38.13,1.68,147.21,27.62,43.56,622.7,968.63,,
2013,NOV,1,15,44.73,18.33,0.84,0.35,46,1.78,212.27,28.51,40.03,622.01,968.68,,
2013,NOV,1,16,38.12,15.01,0.44,0.35,41.82,1.98,195.87,28.99,37.8,621.35,968.39,,
2013,NOV,1,17,34.51,13.88,0.25,0.30,43.75,1.84,216.56,29.21,35.61,621.1,969.15,,
