DATOS HORARIOS 2014_ DIF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,RADSOL,,
2014,ABR,1,0,8.87,5.03,15.59,0.22,73.41,1.57,276.41,20.21,26.16,623.24,1.46,,
2014,ABR,1,1,3.9,4.87,17.88,0.18,53.77,1.25,247.38,19.43,29.54,623.28,1.44,,
2014,ABR,1,2,2.09,5.72,18.5,0.18,55.29,1.76,98.21,18.46,32.88,623.34,1.42,,
2014,ABR,1,3,1.93,9.34,18.47,0.25,77.43,1.35,118.34,17.6,36.78,623.35,1.41,,
2014,ABR,1,4,1.93,10.03,19.18,0.31,80.2,0.91,182.03,17.34,36.26,623.33,1.4,,
2014,ABR,1,5,12.59,5.77,10.93,0.05,54.61,1.75,217.31,17.53,39.13,623.37,1.39,,
2014,ABR,1,6,2.61,5.58,15.24,0.13,49.51,1.12,306.27,15.71,46.38,623.72,1.39,,
2014,ABR,1,7,1.9,6.21,15.4,0.4,62.18,0.89,300.18,15.09,51,624.01,185.51,,
2014,ABR,1,8,1.9,8.09,16.87,1.19,106.4,1.17,308.53,16.83,46.36,624.37,966.65,,
2014,ABR,1,9,7.39,7.18,13.34,0.58,122.23,1.5,275.96,19.68,43.46,624.75,966.78,,
2014,ABR,1,10,22.5,7.39,8.03,0.22,67.18,1.66,275.14,22.19,35.92,624.87,966.84,,
2014,ABR,1,11,34.98,5.93,3.99,0.16,57.49,2.04,267.13,23.93,34.63,624.76,967.18,,
2014,ABR,1,12,38.73,5.24,2.13,0.1,55.45,2.7,275.27,25.07,32.3,624.44,966.86,,
2014,ABR,1,13,39.09,5.01,1.74,0.09,42.6,2.78,265.89,26.38,28.84,623.82,966.87,,
2014,ABR,1,14,38.32,4.78,0.63,0.07,37.82,2.73,261.86,27.37,23.62,623.09,967.95,,
2014,ABR,1,15,40.06,4.78,1.11,0.09,30.7,3.43,262.97,28.24,22.78,622.35,968.28,,
2014,ABR,1,16,41.11,4.7,1.17,0.09,45.51,3.66,263.79,28.95,20.9,621.71,967.94,,
