DATOS HORARIOS 2015_ DIF,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
ENE,1,0,22.24,16.13,1.41,14.27,108.7,4.17,87.43,18.15
ENE,1,1,23.86,16.91,1.32,12.09,120.47,4.23,89.37,17.52
ENE,1,2,23.26,16.26,1.42,12.72,128.12,3.76,100.92,17.36
ENE,1,3,22.94,15.19,1.34,11.26,100.86,3.57,83.18,16.24
ENE,1,4,21.78,13.7,1.31,10.62,74.6,3.21,95.06,15.55
ENE,1,5,22.88,13.15,1.16,9.21,60.81,3.48,91.43,15.23
ENE,1,6,21.48,13.35,1.2,9.86,54.87,3.06,85.68,14.97
ENE,1,7,20.18,12.72,1.22,10.83,50.26,2.77,95.04,14.61
ENE,1,8,17.39,13.55,1.29,12.12,66.04,2.63,93.08,14.39
ENE,1,9,22.11,13.95,1.23,10.25,54.6,2.93,99.31,15.56
ENE,1,10,30,14.91,1.12,8.39,47.22,3.31,96.84,17.51
ENE,1,11,34.02,14.24,1.16,8.38,37.21,2.91,104.16,19.1
ENE,1,12,42.18,14.34,1.16,9.38,40.44,2.1,102.78,21.32
ENE,1,13,54.27,13.78,1.13,9.27,33.76,1.47,103.27,23.63
ENE,1,14,63.1,13.72,1.07,8.29,39.73,1.81,265.82,24.65
ENE,1,15,65.33,13.4,1.05,8.27,47.02,1.75,271.88,25.43
ENE,1,16,59.85,12.89,1.12,9.51,52.2,1.53,174.47,25.24
ENE,1,17,59.94,12.83,1.19,10.33,43.37,1.64,87.42,25.21
ENE,1,18,52.05,13.76,1.39,16.06,57.86,1.45,143.54,25.1
ENE,1,19,30.41,12.86,2.21,29.78,96.06,0.82,251.13,23.67
ENE,1,20,21.54,13.47,2.13,28.68,170.5,2.53,157.74,22.68
ENE,1,21,23.31,14.79,1.51,18.6,81.99,2.91,137.64,21.72
ENE,1,22,22.83,13.75,1.32,17.58,62.78,2.82,163.44,20.65
ENE,1,23,17.56,13.27,1.44,20.25,55.49,1.35,168.8,19.69
ENE,2,0,13.08,12.4,1.4,21.1,58.22,0.97,266.99,18.56
ENE,2,1,12.94,12.77,1.33,20.52,69.63,0.84,261.37,17.89
ENE,2,2,13.28,12.12,1.38,19.69,61.07,0.83,236.9,17.61
ENE,2,3,13.52,12.74,1.14,19.02,51.59,0.96,272.12,16.27
ENE,2,4,13.58,13.11,1.15,18.65,48.41,0.83,197.47,16.07
ENE,2,5,13.44,12.26,1.2,17.01,49.49,0.59,317.72,15.23
ENE,2,6,13.6,12.5,1.26,15.81,52.03,0.91,298.68,14.54
ENE,2,7,13.08,14.21,1.6,16,70.04,0.62,243.46,13.78
ENE,2,8,13.19,16.38,2.82,21.19,103.2,1.09,138.98,14.7
ENE,2,9,15.84,14.37,2.04,21.79,149.29,0.97,46.21,17.09
ENE,2,10,22.79,21.46,1.72,24.61,112.98,1.25,108.3,20
ENE,2,11,35.46,16.9,1.31,15.9,98.28,1.3,92.72,22.24
ENE,2,12,42.58,14.51,1.13,10.12,46.73,1.95,150.86,23.7
ENE,2,13,44.98,13.45,1.05,7.92,31.71,2.43,247.33,24.94
ENE,2,14,44.82,13.06,1.06,7.95,30.79,3.61,227.93,25.32
ENE,2,15,43.49,12.74,1.11,8.19,50.53,3.93,237.17,25.59
ENE,2,16,42.5,13.4,1.09,8.82,56.2,5.46,234.34,26.3
ENE,2,17,41.1,12.74,1.04,7.82,100.15,5.94,240.89,25.86
ENE,2,18,35.71,12.97,1.12,10.57,68.69,4.54,228.77,24.53
ENE,2,19,29.07,13.05,1.19,13.16,64.32,3.31,223.55,23.23
ENE,2,20,29.91,13.09,1.14,11.51,56.63,3.92,220.73,21.99
ENE,2,21,31.34,12.82,1.11,10.43,50.64,4,220.34,21
ENE,2,22,28.43,12.98,1.13,11.96,36.32,2.72,220.6,19.77
ENE,2,23,25.44,12.94,1.09,13.26,36.27,1.6,235,18.79
ENE,3,0,19.67,12.96,1.19,16.4,34.58,1.26,220.97,17.92
ENE,3,1,19.28,12.97,1.05,15.77,45.56,1.1,277.06,17.36
ENE,3,2,16.89,13.04,1.07,16.88,39.98,0.88,297.79,16.75
ENE,3,3,15.18,13.06,1.13,17.35,37.25,0.77,309.98,16.41
ENE,3,4,13.32,13.65,1.18,18.38,44.8,0.9,297.2,15.8
