DATOS HORARIOS 2015_ DIF,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
ABR,1,0,28.69,14.8,1.23,13.4,44.82,1.34,228.37,21.52
ABR,1,1,24.38,14.77,1.24,16.07,48.97,1.49,293.51,20.83
ABR,1,2,22.83,14.81,1.22,16.71,44.88,1.24,217.53,20.11
ABR,1,3,26.15,14.85,1.15,13.81,37.66,2.2,230.93,19.82
ABR,1,4,30.9,14.72,1.12,9.44,32.84,2.18,221.03,19.32
ABR,1,5,30.31,14.67,1.12,9.07,33.54,2.01,258.91,18.7
ABR,1,6,25.52,14.62,1.14,12.23,35.44,1.63,254.47,18.15
ABR,1,7,18.05,14.74,1.3,18.88,43.02,1.52,222.74,17.87
ABR,1,8,19.48,14.95,1.42,18.31,54.73,1.63,292.59,18.81
ABR,1,9,26.29,15.23,1.33,16.34,50.95,1.53,284.49,20.91
ABR,1,10,39.79,15.21,1.21,9.9,47.8,1.71,278.72,22.95
ABR,1,11,47.31,14.94,1.17,7.25,42.52,2.4,274.76,24.19
ABR,1,12,47.33,14.63,1.18,6.43,33.52,3.44,272.15,25.22
ABR,1,13,49.74,14.64,1.16,6.23,31.36,3.21,266.59,26.37
ABR,1,14,52.46,14.53,1.18,7.18,33.82,4.08,255.71,27.53
ABR,1,15,56.27,14.37,1.16,6.35,74.51,4.19,277.6,28.06
ABR,1,16,56.48,14.54,1.15,6.28,32.03,4.12,273.52,28.66
ABR,1,17,54.99,14.43,1.14,6.37,35.29,4.19,276.44,28.9
ABR,1,18,53.36,14.45,1.15,7.19,44.89,4.47,274.81,28.51
ABR,1,19,45.03,14.63,1.2,12.07,65.98,3.39,271.41,27.15
ABR,1,20,28.24,14.94,1.48,23.65,83.34,1.92,248.08,25.5
ABR,1,21,25.09,14.99,1.64,24.69,69.27,1.18,204.01,24.51
ABR,1,22,24.15,15.31,1.69,24.39,93.49,2.5,207.26,23.95
ABR,1,23,32.91,14.68,1.32,14.63,68.19,2.63,232.71,22.48
ABR,2,0,33.2,14.49,1.25,13.46,45.25,1.73,220.53,21.54
ABR,2,1,28.95,14.65,1.24,15.45,53.17,1.15,303.8,20.55
ABR,2,2,16.26,14.93,1.31,22.93,39.75,1.1,282.09,19.48
ABR,2,3,14.11,14.98,1.32,25.67,55.05,1.35,258.22,19.24
ABR,2,4,13.18,15.09,1.29,21.64,55.6,1.72,279.66,17.31
ABR,2,5,22.69,14.71,1.18,16.41,52.62,1.59,264.32,16.88
ABR,2,6,16.58,14.66,1.21,20.46,37.56,1.08,275.5,16.67
ABR,2,7,15.56,14.75,1.4,22.01,50.31,1.04,231.98,16.93
ABR,2,8,21.4,14.76,1.42,18.79,53.57,1.18,281.16,18.26
