DATOS HORARIOS 2015_ DIF,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
MAY,1,0,27.9,15.26,1.24,15.85,57.12,1.45,149.91,20.55
MAY,1,1,31.16,15.18,1.14,11.14,60.72,1.39,269.51,19.89
MAY,1,2,18.74,15.12,1.19,21.03,42.13,1.03,232.68,19.25
MAY,1,3,19.33,15.23,1.19,20.16,49.84,0.86,238.94,18.55
MAY,1,4,16.75,15.29,1.24,21.2,46.27,0.76,138.2,17.88
MAY,1,5,15.31,15.77,1.33,24.24,56.54,1.17,90.36,17.16
MAY,1,6,14.01,16.03,1.5,23.61,78.62,1.34,105.11,16.84
MAY,1,7,13.47,16.25,1.69,23.6,82.96,1.39,108.55,16.46
MAY,1,8,14.85,18.26,1.79,42.11,108.38,2.25,108.26,18.22
MAY,1,9,29.34,16.7,1.52,17.45,119.1,2.2,103.78,19.84
MAY,1,10,38.56,23.79,1.51,19.81,74.96,1.26,164.38,22.84
MAY,1,11,47.62,21.77,1.24,13.57,62.65,1.9,272.1,24.54
MAY,1,12,54.73,17.85,1.13,7.57,46.47,2.32,279.31,25.38
MAY,1,13,52.32,15.75,1.13,6.98,31.8,3.02,270.55,26.38
MAY,1,14,52.05,15.27,1.12,6.59,16.88,2.84,231.53,27.18
MAY,1,15,50.68,15.01,1.08,6.71,25.3,3.11,257.31,28.29
MAY,1,16,50.89,14.99,1.11,6.57,22.33,2.32,210.72,27.65
MAY,1,17,53.37,14.94,1.07,5.96,31.36,2,273.54,28.34
MAY,1,18,52.94,14.83,1.04,5.23,24.56,2.28,270.61,28.43
MAY,1,19,45.85,15.11,1.13,8.57,46.63,3.23,242.07,26.5
MAY,1,20,36.72,15.72,1.27,10.63,58.22,4.04,230.47,24.33
MAY,1,21,33.63,15.67,1.25,11.74,49.18,3.44,223.64,23.53
MAY,1,22,30.88,15.43,1.27,13.42,53.83,2.56,229.06,22.61
MAY,1,23,27.68,15.62,1.31,15.24,61.46,1.51,16.04,22.25
MAY,2,0,27.14,16.21,1.25,13.73,75.44,2.96,93.88,21.07
MAY,2,1,31.33,15.88,1.13,7.84,45.56,3.63,88.29,19.76
MAY,2,2,31.62,15.82,1.1,6.83,36.31,3.99,82.4,18.91
MAY,2,3,31.87,15.52,1.08,6.68,41.05,4.34,87.67,18.12
MAY,2,4,29.96,15.32,1.09,6.64,29.43,3.5,87.04,17.16
MAY,2,5,29.07,15.21,1.11,7.8,35.37,3.4,90.94,16.99
MAY,2,6,27.52,15.35,1.21,9.83,30.87,3.08,95.73,16.87
MAY,2,7,19.27,15.47,1.34,16.99,46.29,3.11,96.46,16.57
MAY,2,8,26.44,15.81,1.46,12.4,60.16,3.61,94.94,17.82
MAY,2,9,33.45,15.5,1.4,9.72,51.55,4.32,92.34,19.31
MAY,2,10,36.8,15.65,1.42,11.48,48.59,3.65,104.22,21.2
MAY,2,11,43.56,15.87,1.49,14.8,47.29,2.78,120.44,23.45
MAY,2,12,49.98,19.24,1.34,10.12,47.88,1.96,125.47,25.37
MAY,2,13,54.13,19.6,1.22,7.54,35.29,2.08,249.18,27.23
MAY,2,14,53.34,16.46,1.16,6.65,25.56,2.38,254.16,27.9
MAY,2,15,52.71,15.14,1.13,6.3,27.59,2.8,261.78,29.08
MAY,2,16,52.15,15.01,1.13,5.7,30.14,3.22,272.2,29.37
MAY,2,17,52.66,14.59,1.12,6.52,37.08,4.58,249.13,29.67
MAY,2,18,47.26,15.12,1.17,7.68,47.31,4.7,219.14,28.56
MAY,2,19,41.67,15.05,1.13,7.26,51.41,4.64,243.4,27.77
MAY,2,20,34.69,15.15,1.27,12.32,54.22,3.29,242.06,26.16
MAY,2,21,32.02,15.4,1.29,11.97,63.73,3.51,233.47,24.61
MAY,2,22,32.26,15.2,1.21,10.08,46.36,3.09,238.77,23.6
MAY,2,23,29.98,15.17,1.16,9.37,45.39,2.45,230.29,22.31
MAY,3,0,27.71,15.23,1.22,10.99,55.99,1.82,169.22,21.77
MAY,3,1,26.35,15.35,1.2,11.93,60.75,0.99,239.14,21.54
MAY,3,2,20.03,15.49,1.29,16.45,51.34,1.36,226.65,20.69
MAY,3,3,19.99,15.54,1.27,16.47,53.99,1.38,106.04,20.24
MAY,3,4,17.65,15.56,1.25,18.42,45.53,1.62,128.56,19.39
MAY,3,5,16.15,15.77,1.27,19.27,47.08,1.26,165.84,18.82
MAY,3,6,22.32,15.51,1.23,13.64,45.48,1.49,191.47,18.58
MAY,3,7,24.34,15.42,1.23,11.03,42.96,1.48,256.21,18.68
MAY,3,8,27.54,15.34,1.21,8.74,37.53,1.5,281.25,20.53
MAY,3,9,34.51,15.39,1.18,7.37,38.84,1.83,289.42,21.98
MAY,3,10,39.28,15.33,1.16,6.33,37.66,2.02,266.73,23.12
MAY,3,11,40.32,15.22,1.17,5.81,35.84,2.18,273.14,24.34
MAY,3,12,39.99,15.02,1.19,6.2,30.09,2.54,225.53,25.48
MAY,3,13,41.28,14.69,1.12,5.45,38.71,3.29,254.65,26.57
MAY,3,14,43.17,14.53,1.15,6.62,15.25,4.08,227.83,28.01
MAY,3,15,46.44,14.53,1.14,6.07,13.08,4.63,236.31,28.74
MAY,3,16,48.94,15.01,1.1,5.65,20.4,4.23,233.16,29.43
MAY,3,17,51.73,14.86,1.08,5.19,33.77,3.55,261.64,29.76
MAY,3,18,54.14,14.92,1.03,5.49,40.59,4.25,274.89,29.58
MAY,3,19,54.77,15.06,1.02,6.8,43.47,4.22,271.46,28.6
MAY,3,20,44.48,15,1.08,13.19,64.93,3,281.09,25.86
MAY,3,21,35.4,14.89,1.11,16.45,78.32,2.65,274.34,24.09
MAY,3,22,30.6,14.96,1.2,17.16,56.16,1.96,236.05,23
MAY,3,23,36.43,14.97,1.1,10.58,66.58,3.17,226.33,22.86
MAY,4,0,32.71,14.83,1.09,10.83,56.96,1.54,295.68,21.22
MAY,4,1,22.28,15.04,1.19,18.75,77.93,1.11,292.32,20.11
MAY,4,2,13.94,15.32,1.25,24.92,67.47,1.46,276.89,19.39
MAY,4,3,21.26,14.99,1.14,19.54,65.37,1.14,244.91,18.75
MAY,4,4,29.43,14.98,1.09,12.24,45.08,1.09,270.21,18.79
MAY,4,5,16.52,15.58,1.21,21.73,58.12,0.82,84,17.84
MAY,4,6,13.02,15.72,1.55,23.78,83.31,0.53,190.88,17.25
MAY,4,7,13.34,16.47,2.33,23.55,97.72,0.74,302.11,17.52
MAY,4,8,15.1,17.2,2.27,27.96,168.36,1.35,84.43,19.46
MAY,4,9,24.63,16.43,1.63,23.78,153.55,1.16,172.51,22.01
MAY,4,10,40,15.34,1.22,7.95,156.48,2.19,238.59,23.66
MAY,4,11,43.43,15.37,1.26,7.64,189.93,2.22,234.78,25.52
MAY,4,12,45.67,15.23,1.16,6.81,39.29,2.98,250.54,26.64
MAY,4,13,47.33,15.02,1.2,7.52,34.16,4.16,233.2,28.17
MAY,4,14,49.95,15.19,1.17,7.02,38.09,4.48,238.34,29.05
MAY,4,15,54.68,14.96,1.11,6.8,42.43,5.17,255.04,30.09
MAY,4,16,58.78,14.91,1.11,6.4,41.27,4.56,262.3,30.81
MAY,4,17,60.31,14.89,1.07,5.79,52.72,4.24,268.54,31.07
MAY,4,18,59.61,14.91,1.08,6.72,45.78,4.73,256.12,30.58
MAY,4,19,55.6,14.91,1.09,8.88,59.18,3.98,260.04,29.71
MAY,4,20,45.01,15,1.11,11.83,69.61,3.49,264.98,27.24
MAY,4,21,37.77,14.39,1.14,12.48,79.12,3.39,260.84,25.81
MAY,4,22,32.55,15.21,1.2,14.8,101.44,3.03,244.16,24.37
MAY,4,23,34.73,15.25,1.22,11.82,86.4,2.8,245.56,23.48
MAY,5,0,29.57,15.15,1.24,14.17,93.3,1.34,285.98,21.68
MAY,5,1,26.22,15.28,1.22,16.75,70.02,0.97,232.27,21.16
MAY,5,2,21.58,15.08,1.21,21.07,67.86,1.14,257.36,20.88
MAY,5,3,17.05,15.19,1.24,24.7,61.44,0.91,258.21,19.93
MAY,5,4,14.93,15.31,1.29,26.04,66.32,1,127.86,19.55
MAY,5,5,13.06,16.35,1.4,24.94,75.58,0.81,66.66,18.67
MAY,5,6,12.97,18.51,1.86,26.24,245.35,0.82,94.66,18.08
MAY,5,7,13.38,19.77,2.62,27.46,213.78,1.22,103.67,18.46
MAY,5,8,17.08,20.94,1.95,24.82,193.64,1.87,96.79,19.58
MAY,5,9,23.77,20.53,1.57,25.05,133.41,1.43,113.49,22.76
MAY,5,10,38.9,16.8,1.24,7.71,68.01,2.41,230,24.6
MAY,5,11,42.08,16.05,1.23,7.06,43.31,2.5,248.45,26.6
MAY,5,12,45.03,15.58,1.19,6.56,37.09,2.31,247.73,28.31
MAY,5,13,49.28,15.16,1.21,7.8,41.88,2.76,267.63,28.98
MAY,5,14,50.78,15.02,1.12,6.23,39.65,3.97,277.84,30.21
MAY,5,15,51.28,15.28,1.12,5.9,33.41,3.42,265.86,31.19
MAY,5,16,52.53,15.35,1.11,6.16,49.04,4.1,256.71,31.56
MAY,5,17,53.32,15.22,1.09,5.82,47.5,3.06,271.72,31.68
MAY,5,18,50.87,15.28,1.1,7.09,40.13,2.65,267.95,31.32
MAY,5,19,44.39,15.73,1.19,10.35,69.84,3.62,249.07,30.57
MAY,5,20,33.98,15.67,1.34,17.74,90.94,2.91,247.96,28.68
MAY,5,21,36.04,15.49,1.31,15.81,99.74,3.38,234.97,26.75
MAY,5,22,39.36,15.64,1.24,11.07,104.91,3.94,232.18,25.47
MAY,5,23,36.42,15.69,1.21,11.43,72.51,1.5,243.44,24.28
MAY,6,0,35.45,15.47,1.17,11.73,67.47,1.51,278.16,23.64
MAY,6,1,31.78,15.44,1.16,15.56,71.19,1.9,232.54,22.72
MAY,6,2,34.96,15.25,1.15,10.69,71.19,1.62,209.82,22.23
MAY,6,3,34.99,15.14,1.12,8.9,53.21,2,273.83,21.2
MAY,6,4,34.3,15.19,1.12,7.86,50.32,1.71,266.96,20.48
MAY,6,5,30.67,14.61,1.13,9.6,45.43,1.02,269.42,20.46
MAY,6,6,23.83,15.36,1.44,18.32,55.66,1.35,199.24,20.67
MAY,6,7,25.73,13.48,1.4,17.66,65.97,1.38,256.42,20.59
MAY,6,8,31.7,15.54,1.46,14.48,69.59,1.96,232.36,22.43
MAY,6,9,38.03,15.76,1.25,8.76,67.18,1.81,278.66,24.82
MAY,6,10,44.92,15.64,1.27,7.75,54.84,3.44,245.29,25.58
MAY,6,11,52.47,15.69,1.27,7.66,56.64,3.78,231.33,26.51
MAY,6,12,48,15.49,1.34,7.28,45.04,3.34,238.57,27.82
MAY,6,13,47.58,15.55,1.29,6.91,56.52,2.81,235.55,29.12
MAY,6,14,49.4,15.33,1.28,7.17,52.5,3.07,241,29.72
MAY,6,15,47.73,15.21,1.27,8.48,67.19,3.68,278.89,28.22
MAY,6,16,40.25,15.22,1.29,12.2,94.13,3.03,293.82,26.49
MAY,6,17,30.87,15.14,1.45,18.54,101.7,4.3,176.43,23.99
MAY,6,18,29.79,15,1.43,16.48,71.71,3.99,171.28,21.71
MAY,6,19,29.72,15.18,1.55,16.74,45.17,3.64,139.28,21.86
MAY,6,20,25.04,17.9,1.49,16.85,53.15,3.25,99.15,21.15
MAY,6,21,23.52,17.61,1.5,17.71,70.2,3.09,98.49,20.71
MAY,6,22,20.31,17.13,1.41,17.6,57.51,2.79,103.51,20.59
MAY,6,23,18.4,18.47,1.27,18.33,48.69,3.23,99.49,20.41
MAY,7,0,18.59,20.71,1.27,18.86,57.57,3.37,100.9,20.23
MAY,7,1,15.83,23.5,1.25,19.29,55.46,2.54,104.2,19.55
MAY,7,2,18.13,19.9,1.17,16.12,54.43,2.43,86.59,19.1
MAY,7,3,16.27,18.7,1.15,18.28,35.53,1.77,110.47,18.75
MAY,7,4,13.95,21.06,1.16,20.3,40.3,2.38,110.87,18.3
MAY,7,5,13.71,19.61,1.38,21.34,54.44,1.71,100.04,18
MAY,7,6,13.16,20.28,1.72,21.19,95.9,1.76,108.4,17.5
MAY,7,7,13.67,20.07,2.03,21.53,88.77,1.19,54.33,17.98
MAY,7,8,17.96,24.84,1.8,19.82,90.21,1.63,84.65,20.11
MAY,7,9,23.76,23.89,1.71,20.18,92.77,2.52,107.52,21.32
MAY,7,10,37.03,20.61,1.35,10.91,51.92,1.73,112.84,23.29
MAY,7,11,43.7,19.06,1.34,11.02,38.05,1.88,155.37,25.48
MAY,7,12,49.06,17.8,1.29,9.31,36.07,2.18,192.3,27.05
