DATOS HORARIOS 2015_ DIF,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
AGO,1,0,35.78,10.15,0.62,12.85,65.03,3.84,86.35,21.27
AGO,1,1,35.89,11.24,0.57,12.88,51.36,3.6,72.51,20.79
AGO,1,2,34.78,10.94,0.55,12.41,47.64,2.94,81.87,20.11
AGO,1,3,27.68,10.4,0.56,15.89,46.97,2.34,102.54,18.89
AGO,1,4,22.92,9.65,0.56,20.89,51.36,2.08,92.35,18.46
AGO,1,5,22.05,9.33,0.63,21.31,54.08,2.25,91.83,18
AGO,1,6,16.63,11.08,0.71,24.72,62.83,2.07,119.13,17.16
AGO,1,7,16.22,14.78,1.01,25.93,73.6,1.75,149.97,17.1
AGO,1,8,21.25,14.39,1.04,22.58,99.69,2.9,101.61,18.17
AGO,1,9,34.62,11.53,0.95,16.08,102.9,2.33,103.61,20.36
AGO,1,10,47.13,9.86,0.8,13.9,73.37,3.43,82.18,22.15
AGO,1,11,52.38,9.97,0.83,15.07,79.58,3.65,85.36,23.42
AGO,1,12,65.59,10.95,0.86,16.31,80.12,2.39,122.22,24.97
AGO,1,13,72.81,10.48,0.84,16.37,124.61,2.45,106.61,26.06
AGO,1,14,74.96,9.85,0.79,13.87,88.96,2.26,111.33,27.09
AGO,1,15,76.32,11.47,0.86,16.6,58.26,2.43,126.88,27.8
AGO,1,16,74.94,19.65,0.78,14.08,106.94,2.08,101.95,28.41
AGO,1,17,68.92,17.45,0.64,8.45,48.61,2.69,41.96,28.7
AGO,1,18,62.22,13.82,0.62,8.58,223.91,2.12,51.18,29.16
AGO,1,19,62.23,8.93,0.6,8.9,62.91,2.52,309.21,28.15
AGO,1,20,49.01,8.74,0.76,20.15,47.28,1.86,289.02,26.76
AGO,1,21,37.37,8.71,0.76,18.75,58.54,2.87,88.6,25.33
AGO,1,22,35,14.44,0.71,14.52,68.88,2.77,67.7,23.06
AGO,1,23,39.66,38.01,0.66,13.78,82.83,4.2,69.41,22.3
AGO,2,0,41.28,13.04,0.63,10.98,66.56,3.88,76.72,21.3
AGO,2,1,36.06,13.24,0.61,14.41,53.85,3.25,79.76,20.57
AGO,2,2,33.22,16.28,0.56,16.71,55.98,3.97,76.18,19.89
AGO,2,3,38.48,47.27,0.55,13.27,52.94,3.85,64.2,20.19
AGO,2,4,41.08,29.22,0.56,9.75,64.22,3.29,68.91,19.92
AGO,2,5,29.14,12.77,0.62,17.41,58.36,1.4,121.06,18.89
AGO,2,6,24.02,11.16,0.63,20.51,61.99,1.82,127.04,18.1
AGO,2,7,17.59,12.42,0.75,24.14,64.94,2.11,108.5,17.64
AGO,2,8,28.63,12.67,0.83,16.55,75.46,2.94,91.05,18.91
AGO,2,9,39.84,10.36,0.77,12.47,64.99,3.6,85.03,20.58
AGO,2,10,46.95,9.63,0.82,12.8,62.55,3.45,96.76,22.32
AGO,2,11,54.73,11.03,0.78,14.77,66.27,2.95,93.07,23.76
AGO,2,12,61.27,11.51,0.83,14.77,59.05,2.05,122.22,25.83
AGO,2,13,64.4,32.45,0.78,13.53,57.46,2.03,110.67,26.94
