DATOS HORARIOS 2015_ DIF,,,,,,,,,,,
,,,,,,,,,,,
Año,Mes,Día,Hora,O3,SO2,NO2,CO,PM10,WS,WD,TEMP
2015,DIC,1,0,19.84,23.08,35.75,0.81,123.07,1.89,109.18,19.55
2015,DIC,1,1,17.56,22.37,37.37,0.77,86.1,1.46,111.12,19.59
2015,DIC,1,2,15.59,22.65,43.96,0.72,77.17,2.02,104.18,18.52
2015,DIC,1,3,15.15,22.95,45.9,0.8,96.03,1.85,111.6,18.03
2015,DIC,1,4,15.07,23.18,43.39,0.74,99.79,1.87,106.44,17.21
2015,DIC,1,5,14.91,22.54,37.93,0.61,97.58,1.9,108.55,16.68
2015,DIC,1,6,14.97,22.3,33.86,0.64,79.87,2.07,108.14,16.43
2015,DIC,1,7,15.14,23.23,39.96,1.2,67.42,1.78,101.07,15.84
2015,DIC,1,8,15.51,23.18,36.8,1.63,118.85,2.11,104.12,15.78
2015,DIC,1,9,18.39,22.64,35.24,1.3,168.48,2.57,101.55,17.2
2015,DIC,1,10,24.98,25.28,43.77,1.17,158.33,1.91,107.98,19.42
2015,DIC,1,11,41.33,23.72,28.36,0.76,158.15,1.53,191.36,22.63
2015,DIC,1,12,58.59,22.82,15.89,0.58,89.8,1.78,250.35,24.09
2015,DIC,1,13,69.72,22.49,12.91,0.49,87.95,2.74,269.88,25.27
2015,DIC,1,14,71.54,21.98,12.76,0.54,69.76,2.49,254.07,26.39
2015,DIC,1,15,73.76,20.49,10.55,0.47,58.76,2.36,252.72,27.11
2015,DIC,1,16,73.16,20.64,10.88,0.49,54.49,2.57,251.72,27.57
2015,DIC,1,17,73.89,20.46,10.22,0.47,51.95,2.63,294.1,27.19
2015,DIC,1,18,60.43,20.68,22.22,0.61,69.5,2.08,291.21,26.23
2015,DIC,1,19,26.98,21.09,55.64,0.93,119.84,1.95,273.13,24.67
2015,DIC,1,20,23.34,21.19,55.91,0.96,118.61,2.06,273.53,23.51
2015,DIC,1,21,20.93,21.15,49.41,1.17,116.64,1,260.52,22.15
2015,DIC,1,22,17.3,21.86,55.71,1.68,111.42,1.33,213.73,21.49
2015,DIC,1,23,17.39,21.39,52.19,1.09,145.7,1.2,287.87,20.76
2015,DIC,2,0,15.17,21.36,52.45,1.22,98.57,1.04,195.54,20.04
2015,DIC,2,1,22.56,20.79,36.65,0.8,104.99,1.46,177.21,19.05
2015,DIC,2,2,25.43,20.84,31.7,0.64,96.89,0.79,168.79,18.71
2015,DIC,2,3,15.33,20.98,41,0.83,83.41,0.55,252.63,18.17
2015,DIC,2,4,15.22,21.32,44.23,0.76,107.45,0.78,269.6,17.51
2015,DIC,2,5,15.11,21.41,45.23,0.72,89.16,0.8,254.46,17
2015,DIC,2,6,15.05,21.32,43.06,0.81,85.55,0.73,248.36,16.58
2015,DIC,2,7,15.32,21.86,46.71,1.54,96.16,0.51,132.72,16.01
2015,DIC,2,8,15.88,23.62,50.51,2.37,146.17,1.14,86.32,16.3
2015,DIC,2,9,17.34,24.85,51.69,1.77,235.74,1.05,100.64,18.57
2015,DIC,2,10,30.45,23.8,49.27,1.23,233.38,1.33,253.3,21.48
2015,DIC,2,11,56.22,21.83,20.63,0.58,133.93,1.95,251.92,23
2015,DIC,2,12,66.64,21.08,13.2,0.5,72.56,1.9,258.64,24.35
2015,DIC,2,13,68.38,20.23,14.54,0.6,91.76,1.63,219.88,25.23
2015,DIC,2,14,71.94,20.49,10.83,0.46,65.96,2.07,292.47,25.73
2015,DIC,2,15,70.49,20.42,11.25,0.49,61.94,2.17,288.65,26.05
2015,DIC,2,16,69.8,19.97,10.07,0.43,65.1,1.93,284.06,26.28
2015,DIC,2,17,68.83,20.15,12.09,0.44,63.2,1.6,317.35,26.66
2015,DIC,2,18,59.91,19.67,19.67,0.58,78.56,1.36,320.76,25.92
2015,DIC,2,19,19.65,18.87,66.53,1.84,87.24,0.74,254.97,24.62
2015,DIC,2,20,20.79,22.06,60.57,2.2,132.35,2.07,145.63,23.94
2015,DIC,2,21,32.18,23.09,27.04,0.9,237.39,4.64,98.07,22.38
2015,DIC,2,22,31.57,21.37,15.7,0.56,193.96,4.28,86.75,20.24
2015,DIC,2,23,33.21,19.85,13.35,0.49,56.1,4.43,87.29,19.05
2015,DIC,3,0,33.01,20.06,10.44,0.4,42.87,4.72,87.65,18.83
2015,DIC,3,1,32.94,19.93,7.67,0.35,34.03,4.56,83.81,18.29
2015,DIC,3,2,31.23,20.85,7.58,0.33,23.38,4.46,80.8,17.95
2015,DIC,3,3,30.65,25.73,8.73,0.33,27.37,4.46,79.65,17.24
2015,DIC,3,4,32.97,27.73,8.54,0.31,24.57,4.12,78.82,16.85
2015,DIC,3,5,34.35,25.23,7.99,0.33,21.09,3.88,87.05,16.47
2015,DIC,3,6,33.21,25.56,9.8,0.34,24.13,4.02,81.3,16.13
2015,DIC,3,7,31.44,23.38,13.55,0.54,23.96,4.1,87.12,15.91
2015,DIC,3,8,29.27,24.42,16.59,0.66,31.43,4.48,83.78,15.49
2015,DIC,3,9,31.4,21.97,14.99,0.68,53.77,4.73,86.29,15.33
2015,DIC,3,10,33.79,21.11,12,0.57,54.38,5.61,80.48,16.04
2015,DIC,3,11,35.07,19.98,11.74,0.57,63.23,5.81,87.37,16.45
2015,DIC,3,12,36.16,20.77,13.13,0.62,69.15,5.11,89.4,17.92
2015,DIC,3,13,40.31,23.84,14.98,0.6,74.7,4.88,81.08,19.28
2015,DIC,3,14,41.85,28.9,19.4,0.74,68.99,4.74,78.06,19.85
2015,DIC,3,15,46.08,25.79,17.38,0.67,87.01,4.93,82.09,20.92
2015,DIC,3,16,45.76,37.05,19.78,0.61,90.2,4.02,64.07,21.45
2015,DIC,3,17,39.61,32.93,23.18,0.7,86.91,3.63,83.27,20.64
2015,DIC,3,18,34.1,31.14,26.96,0.71,94.02,3.93,78.28,19.26
2015,DIC,3,19,30.6,53.68,31.09,0.78,112.82,3.91,59.96,18.33
2015,DIC,3,20,33.19,50.28,24.66,0.67,80.78,4.23,74.39,17.53
2015,DIC,3,21,36.6,20.67,16.27,0.55,70.79,4.89,88.12,16.15
2015,DIC,3,22,34.51,22.45,15.88,0.5,64.3,3.7,82.03,15.04
2015,DIC,3,23,33.48,20.6,16.07,0.44,42.56,3.46,86.23,14.29
2015,DIC,4,0,34.71,21.51,14.56,0.36,32.4,3.74,90.12,14
2015,DIC,4,1,38.73,20.4,11.5,0.31,30.92,3.81,87.13,13.85
2015,DIC,4,2,39.9,21.61,10.08,0.3,33.58,3.78,86.2,13.71
2015,DIC,4,3,41.26,19.06,9.21,0.28,20.72,3.16,87.31,13.58
2015,DIC,4,4,39.52,24,10.48,0.27,14.24,3.5,82.63,13.31
2015,DIC,4,5,38.05,21.54,12.95,0.28,17.56,2.75,104.62,13.14
2015,DIC,4,6,36.75,19.51,14.66,0.33,18.34,3.27,97.05,12.87
2015,DIC,4,7,32.04,20.12,21.7,0.55,16.24,3.26,84.72,12.78
2015,DIC,4,8,30.88,21.63,24.67,0.76,33.13,3.63,89.24,12.75
2015,DIC,4,9,34.2,20.78,23.1,0.79,51.66,3.28,85.25,13.65
2015,DIC,4,10,39.61,20.66,17.89,0.62,57.78,4.18,82.81,15.12
2015,DIC,4,11,43.8,20.86,13.67,0.62,63.29,4.69,91.25,16.89
2015,DIC,4,12,44.56,21.17,14.4,0.63,58.13,4.07,91.89,18.22
2015,DIC,4,13,47.03,21.3,16.95,0.71,46.33,3.32,108.44,19.66
2015,DIC,4,14,50.04,28.31,17.15,0.65,47.15,2.48,103.93,21.59
2015,DIC,4,15,52.36,25.39,15.36,0.56,43.9,2.1,123.01,23.08
2015,DIC,4,16,51.59,27.64,17.14,0.58,45.98,2.14,118.56,23.87
2015,DIC,4,17,48.33,24.83,20.22,0.64,55.76,2,114.57,24.13
2015,DIC,4,18,36.66,22.02,31.18,0.89,51.72,2.01,133.93,23.3
2015,DIC,4,19,21.32,30.45,49.43,1.28,62.91,1.99,91.08,22.04
2015,DIC,4,20,20,222.03,52.15,0.91,114.94,2.79,55.08,21.15
2015,DIC,4,21,33.43,40.76,22.39,0.68,119.57,4.6,86.92,19.34
2015,DIC,4,22,36.11,25.06,16.03,0.51,78.49,4.73,90.06,17.97
2015,DIC,4,23,31.77,53.93,21.4,0.42,58.15,4.83,77.83,17.35
2015,DIC,5,0,34.56,47.94,16.78,0.34,53.04,5.2,79.28,16.74
2015,DIC,5,1,32.26,60.24,19.86,0.32,47.08,4.58,73.73,16.28
2015,DIC,5,2,34.76,37.95,14.61,0.29,33.58,3.47,89.33,15.18
2015,DIC,5,3,36.19,22.11,11.72,0.29,20.89,2.85,91.95,14.52
2015,DIC,5,4,35.44,21.9,13.31,0.29,16.15,3.4,94.56,14.15
2015,DIC,5,5,36.26,21.35,11.55,0.29,17.85,2.82,90.95,13.56
2015,DIC,5,6,32.02,21.09,15.2,0.33,19.4,3.42,92.88,12.86
2015,DIC,5,7,27.04,20.55,20.72,0.45,17.35,2.46,95.59,12.24
2015,DIC,5,8,29.25,20.96,20.64,0.54,22.76,3.52,78.51,12.45
2015,DIC,5,9,32.72,21.23,18.45,0.69,38.31,3.51,93.02,14.42
2015,DIC,5,10,38.73,21.24,15.28,0.69,52.41,4.29,96.68,16.44
2015,DIC,5,11,41.15,21,15.59,0.69,60.39,4.31,99.42,18.17
2015,DIC,5,12,44.16,21.76,16.43,0.7,58.72,3.75,103.37,19.76
2015,DIC,5,13,48.34,21.35,17.36,0.71,52.5,3.49,106.89,21.75
2015,DIC,5,14,50.14,21.56,17.68,0.71,48.38,3.91,93.92,23.25
2015,DIC,5,15,49.72,29.57,19.23,0.64,64.43,4.52,85.56,24.26
2015,DIC,5,16,50.28,36.68,21.21,0.63,78.77,3.58,81.65,25.01
2015,DIC,5,17,50.15,35.88,20.54,0.57,69.97,3.27,63.02,25.18
2015,DIC,5,18,48.74,25.59,19.9,0.55,54.6,4,42.09,24.18
