DATOS HORARIOS 2016_ DIF,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
ENE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENE,1,1,3.28,17.29,2.08,44.77,319.32,1.73,93.37,19.25,59.23,623.59
ENE,1,2,1.85,9.73,1.18,37.14,564.62,2.35,115.2,18.49,60.52,623.57
ENE,1,3,1.05,5.44,0.86,28.63,245.03,2.99,101.97,17.59,65.24,623.51
ENE,1,4,3.15,3.2,0.55,17.71,151.83,3.91,95.6,16.66,69.57,623.43
ENE,1,5,1.68,1.76,0.48,19,118.95,3.62,96.13,15.89,73.86,623.52
ENE,1,6,0.99,1.05,0.42,19.27,94.33,3.68,103.13,15.56,75.23,623.81
ENE,1,7,0.99,1.15,0.34,18.7,77.85,4.32,101.3,14.99,77.37,624.13
ENE,1,8,0.99,0.35,0.24,5.3,64.03,4.48,96.81,14.55,78.81,624.46
ENE,1,9,2.89,1.5,0.16,1.77,56.36,4.61,93.39,15.48,75.28,625.01
ENE,1,10,9.99,1.18,0.16,1.62,52.03,4.88,91.37,17.11,68.54,625.34
ENE,1,11,15.33,1.71,0.16,1.87,77.5,4.64,92.21,18.89,62.24,625.43
ENE,1,12,20.15,1.95,0.23,4.04,58.35,4.35,84.76,20.76,55.46,625.14
ENE,1,13,25.89,2.08,0.24,4.27,67.34,4.72,82.07,22.04,50.06,624.36
ENE,1,14,25.44,3.11,0.24,5.85,84.04,4.97,87.06,22.88,46.51,623.48
ENE,1,15,25.35,15.1,0.28,8.29,81.31,4.26,84.24,24.23,42.3,622.75
ENE,1,16,29.44,5.08,0.25,6.87,70.17,4.03,90.13,25.19,38.99,622.26
ENE,1,17,26.84,0.89,0.26,7.46,61.58,4.01,91.49,25.47,38.08,622.15
ENE,1,18,22.9,3.76,0.32,10,65.96,3.86,81.58,24.65,40.09,622.31
ENE,1,19,9.89,43.82,0.47,16.78,74.96,3.78,45.44,22.53,47.16,622.91
ENE,1,20,7.92,25.43,0.36,13.33,73.25,4.08,65,20.8,53.41,623.62
ENE,1,21,6.15,4.06,0.47,12.29,81.25,4.48,83.14,19.15,59.81,624.29
ENE,1,22,4,28.98,0.19,9.45,100.47,5.23,81.63,17.75,65.61,624.81
ENE,1,23,2.37,47.48,0.13,10.07,61.38,5.48,78.81,17.19,68.23,625.14
ENE,2,0,3.81,48.87,0.06,8.45,51.92,5.56,73.25,16.92,69.03,625.04
ENE,2,1,7.54,25.28,0.05,5,52.84,5.05,73.55,16.97,68.38,624.94
ENE,2,2,8.46,8.69,0.02,0.67,39.49,3.91,85.38,15.92,72.65,624.81
ENE,2,3,6.64,13.79,0.02,2.75,18.93,3.47,79.89,15.84,72.83,624.72
ENE,2,4,10,10.05,0.01,0.84,18.62,3.68,85.32,16.27,70.06,624.28
ENE,2,5,9.97,2.86,0.01,0.08,17.59,4.07,88.82,15.89,71.1,624.05
ENE,2,6,13.36,1.98,0.01,0.08,19.36,3.45,85.55,15.54,72.15,624.42
ENE,2,7,12.02,3.28,0.11,1.89,15.27,2.92,92.58,15.5,72.29,624.78
ENE,2,8,8.43,5.27,0.32,5.33,19.71,2.61,98.73,15.62,71.7,625.13
ENE,2,9,10.8,5.68,0.44,5.74,32.26,2.74,93.74,16.31,69.15,625.49
ENE,2,10,14.81,5.62,0.41,2.76,52.57,4.01,93.78,17.91,63.26,625.69
ENE,2,11,15.63,7.06,0.48,8.15,60.6,4.11,102.43,19.34,59.34,625.31
ENE,2,12,21.73,8.37,0.56,10.7,75.62,3.49,103.32,20.94,54.88,624.7
ENE,2,13,33.97,7.18,0.43,6.73,72.46,2.24,120.19,23.22,49.32,623.75
ENE,2,14,38.36,5.62,0.34,4.28,78.03,1.87,198.37,25.2,44.91,622.75
ENE,2,15,42.01,5.02,0.19,2.8,52.7,1.91,194.01,26.33,40.66,622.04
ENE,2,16,42.44,3.78,0.27,6.29,47.83,1.79,65.23,25.71,41.64,621.62
ENE,2,17,43.29,4.51,0.21,3.98,52.01,1.59,270.3,25.45,41.95,621.5
ENE,2,18,40.61,7.36,0.32,10.44,41.29,1.46,297.98,25.22,43.29,621.62
ENE,2,19,19.72,5.95,0.54,28.55,58.61,1.57,277.77,24.01,46.44,621.86
ENE,2,20,14.6,6.9,0.78,33.51,79.9,0.96,308.92,22.96,50.83,622.19
ENE,2,21,9.99,6.94,0.67,29.61,93.24,1.68,260.6,22.06,52.62,622.85
ENE,2,22,9.16,5.45,0.38,15.85,97.61,1.75,231.96,21.34,51.37,623.33
ENE,2,23,14.48,5.2,0.28,8.94,52.51,2.38,211.5,21.17,51.48,623.62
ENE,3,0,15,4.22,0.19,8.09,40.37,1.92,233.9,20.73,54.16,623.82
