DATOS HORARIOS 2016_ DIF,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
AGO,1,0,7.8,1.9,0.1,10.3,22.2,1.3,284.1,19.6,87.5,625.4
AGO,1,1,4.51,1.56,0.07,11.82,9.48,0.74,27.6,19.55,89.85,625.28
AGO,1,2,5.72,2.78,0.12,14.58,22.81,1.08,76.34,19.7,89.73,625.11
AGO,1,3,6.58,3.26,0.07,12.84,29.56,1.09,100.86,19.88,84.26,624.99
AGO,1,4,3.17,1.21,0.09,11.51,23.76,1.83,98.66,19.66,83.25,624.7
AGO,1,5,1.59,0.5,0.12,8.59,28.3,1.85,104.99,19.18,84.75,624.61
AGO,1,6,14.44,0.47,0.22,4.64,31.56,2.23,90.41,19,83.67,624.67
AGO,1,7,4.71,0.77,0.44,8.3,27.67,2.25,93.09,18.65,85.11,624.95
AGO,1,8,4.91,0.62,0.5,6.92,25.69,2.98,96.6,19.57,80.94,625.35
AGO,1,9,16.46,1.73,0.31,1.77,42.06,4.09,76.24,21.25,71.17,625.57
AGO,1,10,20.79,1.08,0.3,1.66,39.07,4.19,78.18,22.45,64.14,625.81
AGO,1,11,23.41,1.97,0.34,2.82,43.88,3.34,95.34,23.69,59.76,625.78
AGO,1,12,27.9,1.27,0.34,1.8,51.02,2.53,93.02,24.91,53.68,625.67
AGO,1,13,32.42,4.33,0.27,1.2,44.43,1.68,137.58,25.16,52.04,625.26
AGO,1,14,38.27,10.24,0.19,0.82,38.92,1.66,267.02,25.96,50.07,624.72
AGO,1,15,43.11,11.26,0.27,2.55,47.07,1.76,206.96,27.29,45.13,624.19
AGO,1,16,45.65,11.19,0.24,0.08,60.35,1.95,282.42,28.56,40.08,623.47
AGO,1,17,47.49,21.12,0.26,0.14,39.56,1.66,245.17,29.15,37.45,622.91
AGO,1,18,50.84,15.89,0.24,0.25,44.2,1.91,246.28,28.84,38.74,622.53
AGO,1,19,41.24,7.24,0.21,1.1,49.32,2.98,170.36,26.85,43.4,622.68
AGO,1,20,25,0.6,0.18,5.01,44.14,2.41,282.29,23.23,57.55,623.31
AGO,1,21,17.99,0.35,0.2,10.66,35.43,1.97,297.39,22.01,63.2,624.14
AGO,1,22,3.25,5.12,0.37,17.91,30.4,1.87,90.02,22.27,64.19,625.03
AGO,1,23,11.85,0.52,0.19,11.1,50.26,2.99,97.25,22.13,57.11,625.53
AGO,2,0,6.27,6.29,0.14,15.14,54.14,3.61,91.71,20.81,59.63,625.72
AGO,2,1,13.22,9.81,0.04,4.49,41.98,2.79,86.67,20.41,63.65,626.08
AGO,2,2,10.67,18.19,0.01,2.57,34.42,2.96,77.66,20.28,66.42,626.09
AGO,2,3,8.1,12.96,0.01,5.67,40.37,2.73,86.56,19.43,73.65,625.98
AGO,2,4,5.55,1.51,0.01,5.87,31.27,1.62,98.94,18.63,78.9,625.92
AGO,2,5,NA,2.4,0.01,7.89,36.97,1.73,89.72,18.17,81.38,625.77
AGO,2,6,3.15,2.36,0.01,8.51,50.29,2.02,83.48,17.86,83.09,625.8
AGO,2,7,0.99,1.4,0.02,8.69,53.07,2.27,115.19,18.15,81.37,626.15
AGO,2,8,2.27,3.66,0.19,7.35,70.64,2.77,87.37,18.96,78.88,626.38
AGO,2,9,11.49,1.39,0.24,4.81,91.65,3.06,88.87,21.1,69.83,626.71
AGO,2,10,20.33,0.79,0.35,1.22,70.75,3.23,94.96,22.84,60.42,626.86
AGO,2,11,27.71,0.96,0.28,0.08,65.23,3.38,99.31,23.81,56.82,626.65
AGO,2,12,34.34,4.22,0.24,0.11,59.18,2.53,95.44,25.36,50.94,626.24
AGO,2,13,42.71,6.03,0.18,0.08,56.29,2.29,126.34,26.49,46.5,625.71
AGO,2,14,48.21,7.75,0.16,0.8,60.56,2.18,132.24,27.2,43,625.13
AGO,2,15,48.11,5.23,0.16,0.82,53.66,2.49,112.2,28.42,35.94,624.44
AGO,2,16,50.32,3.82,0.17,1.4,46.57,2.3,110.72,29.1,35.42,623.64
AGO,2,17,47.44,1.09,0.22,2.88,56.17,2.49,118.86,28.92,36.54,623.21
AGO,2,18,50.99,2.01,0.18,1.54,47.55,2.02,127.02,29.46,36.08,622.81
AGO,2,19,52.39,3.05,0.14,2.65,46.05,2.28,268,28.52,40.34,622.97
AGO,2,20,33.83,1.06,0.08,0.79,47.48,3.8,286.58,25.42,49.14,623.59
AGO,2,21,27.72,2.17,0.12,1.65,32.78,4.25,119.67,21.09,76.16,624.71
AGO,2,22,24.04,0.68,0.22,7.2,30.71,3.57,128.08,19.8,84.99,625.48
AGO,2,23,25.28,0.5,0.12,4.84,13.56,1.41,167.38,19.68,84.52,625.97
AGO,3,0,20.53,0.41,0.06,4.92,13.17,1.48,97.96,19.77,85.6,625.74
AGO,3,1,22.9,0.48,0.05,3.72,17.97,0.94,92.64,20.07,84.35,625.48
AGO,3,2,12.65,0.35,0.07,10.39,17.52,0.81,232.15,19.96,85.85,625.39
AGO,3,3,2.25,0.35,0.06,17.15,32.5,1.08,185.95,19.6,87.6,625.1
AGO,3,4,1.6,0.35,0.02,11.34,32.39,0.98,192.34,19,89.38,625.09
AGO,3,5,6.75,2.31,0.1,9.95,26.09,1.43,93.57,18.8,88.23,625.33
AGO,3,6,0.99,2.17,0.29,9.58,32.08,1.45,84.16,18.85,86.39,625.47
AGO,3,7,49.26,1.35,0.53,11.94,30.46,1.55,89.43,18.67,87.08,625.69
AGO,3,8,21.61,1.23,0.45,6.87,41.4,1.56,72.59,20.18,80.09,626.1
AGO,3,9,5.22,12.85,0.53,11.01,41.4,1.85,61.22,22.3,71.08,626.22
AGO,3,10,16.26,4.28,0.37,1.29,51.22,3.69,82.2,23.04,62.68,626.24
AGO,3,11,22.17,3.5,0.32,0.08,69.36,3.14,88.02,24.19,58.19,626.08
AGO,3,12,29.06,5.95,0.31,1.07,66.43,2.77,118.78,25.44,52.38,625.69
AGO,3,13,33.67,4.5,0.28,0.76,68.6,2.76,130.55,26.44,47.46,625.24
AGO,3,14,36.72,13.01,0.29,0.56,54.7,2.19,139.04,27.83,43.68,624.68
AGO,3,15,41.98,24.82,0.29,1.61,54.7,2.13,93.51,28.44,40.68,623.86
AGO,3,16,46.15,40.82,0.43,3.96,58.06,2.09,162.89,29.17,37.77,623.1
AGO,3,17,48.99,28.71,0.32,1.93,64.61,2.14,220.22,29.96,35.99,622.5
AGO,3,18,44.85,13.19,0.28,2.83,49.92,2.44,232.8,29.01,38.73,622.07
AGO,3,19,34.96,3,0.18,3.64,47.74,3.34,257.73,27.16,49.24,622.09
AGO,3,20,26.63,1.04,0.2,9.41,59.18,3.34,244.86,25.24,59.75,622.48
AGO,3,21,27.71,0.72,0.15,4.73,46.98,3.73,251.03,23.48,67.39,623.21
AGO,3,22,15.58,0.53,0.18,6.34,43.5,2.9,100.04,22.86,69.71,623.86
AGO,3,23,28.7,0.45,0.1,0.42,68.15,3.23,125.59,20.08,77.89,624.82
AGO,4,0,20.9,0.73,0.12,5.57,21.62,2.2,83.28,20.59,78.82,624.62
AGO,4,1,8.02,0.76,0.07,12.6,25.82,2.2,125.98,19.6,84.84,624.43
AGO,4,2,7.99,0.75,0.05,6.4,13.56,1.89,87.07,20.16,82.77,624.32
AGO,4,3,9.25,0.97,0.01,0.73,19.44,2.79,87.62,20.57,75.65,624.19
AGO,4,4,5.8,0.35,0.01,4.29,25.09,2.43,91.79,19.98,78.76,623.81
AGO,4,5,6.99,1.06,0.01,1.24,22.23,2.44,91.6,19.78,78.18,623.77
AGO,4,6,1.14,6.21,0.09,9.44,21.46,2.17,88.51,19.55,79.4,623.89
AGO,4,7,5.43,5.42,0.42,11.95,32.12,1.99,101.46,19.11,81.83,623.99
AGO,4,8,6.62,0.66,0.42,6.63,37.79,2.19,110.13,20,78.2,624.22
AGO,4,9,14.41,3.63,0.29,2.61,33.74,3.18,96.99,21.49,71.86,624.32
AGO,4,10,22.08,2.53,0.21,0.26,36.13,3.84,84.72,23.11,62.33,624.33
AGO,4,11,26.82,0.48,0.21,0.08,46.3,4.13,86.61,24.55,53.61,624.37
AGO,4,12,31.62,5.8,0.22,2.77,64.02,4.49,83.86,26.04,44.17,624.13
AGO,4,13,36.7,4.67,0.16,2.98,61.27,3.99,82.12,27.31,37.86,623.76
AGO,4,14,43.64,2.35,0.12,1.23,51.39,3.5,89.59,28.13,36.34,623.39
AGO,4,15,46.66,0.56,0.1,2.08,45.96,3.01,109.52,28.95,36.09,622.75
AGO,4,16,41.86,2.94,0.15,2.7,45.67,2.52,113.98,29.41,34.42,622.1
AGO,4,17,42.27,1.98,0.18,2.69,46.63,3,115.69,30.04,33.17,621.6
AGO,4,18,35.33,0.53,0.24,4.75,50.53,3.54,107.6,29.27,33.12,621.32
AGO,4,19,28.39,2.88,0.3,9.34,57.07,2.06,103.06,28.89,32.38,621.22
AGO,4,20,20.06,10.82,0.3,12.02,62.45,2.97,78.16,27.63,38.32,621.47
AGO,4,21,12.49,79.2,0.33,13.48,53.8,4.24,46.83,26.37,38.24,621.81
AGO,4,22,7.92,143.91,0.68,16.3,52.29,4.57,50.59,24.83,42.4,622.19
AGO,4,23,11.99,28.62,0.24,6.6,77.99,3.3,79.85,23.35,51.21,622.7
AGO,5,0,11.45,2.94,0.09,3.89,39.16,2.74,83.68,21.97,60.04,623.14
AGO,5,1,11.23,3.28,0.02,3.58,29.02,3.47,82.51,21.51,63.44,623.3
AGO,5,2,8.76,0.38,0.02,5.18,25.32,3.23,86.29,20.75,69.01,623.55
