DATOS HORARIOS 2016_ DIF,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR
NOV,1,0,14.04,1.8,0.072,7.08,23.16,2.79,NA,18.13,61.01,624.63
NOV,1,1,4.88,0.69,0.082,9.7,28.45,1.87,NA,17.99,64.12,624.54
NOV,1,2,1.56,1.01,0.182,14.3,35.64,1.17,NA,17.76,67.09,624.36
NOV,1,3,6.39,2.62,0.152,15.66,36.88,0.92,NA,16.89,70.32,624.15
NOV,1,4,2.15,2.33,0.112,15.56,38.35,1.52,NA,16.39,72.02,624
NOV,1,5,2.68,1.59,0.012,12.96,40.04,2.24,NA,15.15,73.77,623.97
NOV,1,6,NA,0.86,0.062,12.06,31.27,2.65,NA,14.7,76.51,624.06
NOV,1,7,NA,0.94,0.422,10.94,29.04,2.44,NA,14.06,80.32,624.55
NOV,1,8,1.95,1.51,0.642,12.64,56.15,2.49,NA,15.16,76.92,624.96
NOV,1,9,3.27,3.11,0.802,15.01,90.15,2.63,NA,17.8,69.6,625.16
NOV,1,10,15.01,3.83,0.482,8.74,104.34,3.23,NA,20.19,62.61,625.16
NOV,1,11,22.03,1.7,0.302,2.56,61.99,3.31,NA,22.48,55.26,624.79
NOV,1,12,30.16,1.74,0.222,0.87,41.5,2.84,NA,24.83,43.96,624.18
NOV,1,13,34.41,2.12,0.212,1.2,53.99,3.19,NA,26.52,35.84,623.43
NOV,1,14,40.45,1.92,0.162,1.35,46.18,2.46,NA,27.91,30.53,622.59
NOV,1,15,45.85,1.75,0.142,1.27,40.55,2.15,NA,28.97,27.1,621.92
NOV,1,16,45.06,1.52,0.102,2.39,89.68,2.72,NA,29.24,24.41,621.57
NOV,1,17,45.53,1.62,0.182,8.19,42.24,2.46,NA,29.47,24.91,621.37
NOV,1,18,30.11,1.92,0.552,24.93,47.86,2.07,NA,28.05,26.44,621.6
NOV,1,19,4.42,1.7,0.842,47.58,84.52,1.48,NA,26.3,30.48,621.85
NOV,1,20,NA,1.83,0.742,38.17,108.73,2.06,NA,24.39,35.88,622.55
NOV,1,21,21.09,1.14,0.112,3.67,130.37,4.54,NA,22.23,50.34,623.7
NOV,1,22,19.48,0.81,0.012,0.49,57.38,3.87,NA,20.63,61.98,624.29
NOV,1,23,10.79,1.09,0.172,5.7,20.75,2.48,NA,20.24,65.74,624.4
NOV,2,0,9.38,0.8,0.092,5.96,32.64,2.95,NA,19.61,66.52,624.42
NOV,2,1,12.85,0.35,0.012,3.86,23.99,1.94,NA,19.21,64.51,624.31
NOV,2,2,4.65,0.74,0.062,10.09,23.48,1.29,NA,18.29,70.39,624.39
NOV,2,3,2.73,0.62,0.042,14.45,31.02,1.9,NA,18.06,72.55,624.16
NOV,2,4,NA,1.06,0.052,13.72,24.9,2.37,NA,17.02,76.89,623.92
NOV,2,5,1.58,1.07,0.082,11.38,22.31,2.95,NA,16.81,78.45,623.82
NOV,2,6,NA,1.56,0.192,13.04,34.25,2.26,NA,16.22,82.38,624
NOV,2,7,NA,1.39,0.272,12.39,42.45,1.61,NA,16.03,84.59,624.44
NOV,2,8,0.99,2.93,0.482,12.81,43.21,1.49,NA,17.12,80.04,624.98
NOV,2,9,6.07,9.44,0.722,13.61,74.94,2.25,NA,18.73,73.22,625.26
NOV,2,10,14.3,58.11,0.662,11.56,80.49,1.59,NA,21.4,64.16,625.38
NOV,2,11,23.89,59.7,0.492,9.63,73.66,1.58,NA,24.22,52.96,625.16
NOV,2,12,30.89,9.4,0.322,4.63,62.63,2.37,NA,25.39,46.66,624.69
NOV,2,13,32.19,2.48,0.492,3.56,52.87,2.76,NA,26.72,37.8,623.94
NOV,2,14,31.13,0.59,0.262,3.74,35.77,3.36,NA,28.33,29.61,623.07
NOV,2,15,30.96,0.35,0.292,4.6,41.78,3.89,NA,29.13,24.92,622.5
NOV,2,16,33.59,3.52,0.142,3.19,39.44,3.42,NA,29.73,23.83,622.17
NOV,2,17,35.02,5.15,0.212,5.69,33.19,2.97,NA,29.78,26.14,622.14
NOV,2,18,31.83,0.97,0.202,7.57,35.6,3.25,NA,28.72,29.61,622.29
NOV,2,19,13.86,67.27,0.432,16.08,35.68,4.34,NA,26.86,30.53,622.75
NOV,2,20,11.74,81.22,0.622,11.73,43.47,4.24,NA,24.99,36.72,623.48
NOV,2,21,8.57,32.13,0.332,11.11,45.63,3.41,NA,23.38,45.18,624.16
NOV,2,22,8.89,3.33,0.292,7.72,60.99,3.24,NA,21.71,57.13,624.82
NOV,2,23,13.78,1.12,0.112,2.61,39.6,3.72,NA,20.65,64.77,625.2
NOV,3,0,14.55,2.49,0.092,2.17,48.75,3.1,NA,20.52,65.22,625.27
NOV,3,1,17.73,3.17,0.042,0.08,25.97,3.12,NA,20.86,63.25,625.16
NOV,3,2,13.56,0.75,0.012,0.08,26.08,1.26,NA,19.83,68.91,625
NOV,3,3,7.93,0.61,0.022,4.27,30.15,2.02,NA,19.24,72.73,624.84
NOV,3,4,10.76,1.22,0.072,0.1,24.65,1.25,NA,18.79,75.38,624.62
NOV,3,5,4.62,3.81,0.132,7.37,19.23,1.31,NA,18.47,76.47,624.49
NOV,3,6,NA,2.73,0.192,10.86,32.4,1.27,NA,17.77,79.96,624.64
NOV,3,7,0.99,1.1,0.582,11.65,40.05,1.81,NA,17.3,81.7,625.06
NOV,3,8,0.99,0.78,0.652,8.42,66.68,2.39,NA,18.1,78.93,625.47
NOV,3,9,9.53,0.84,0.632,5.32,65.48,2.55,NA,20.8,68.25,625.72
NOV,3,10,19.34,0.61,0.382,1.3,89.8,4.71,NA,22.27,61.42,626
NOV,3,11,25.57,0.43,0.332,1.2,69.58,5.52,NA,23.48,55.91,625.99
NOV,3,12,30.43,1.05,0.272,1.66,69.03,5.07,NA,25.29,47.92,625.54
NOV,3,13,33.5,0.58,0.272,1.24,59.14,4.44,NA,26.42,42.35,624.96
NOV,3,14,29.51,0.4,0.452,3.98,53.44,4.26,NA,27.12,37.76,624.26
NOV,3,15,29.47,2.09,0.312,2.32,57.1,3.89,NA,27.96,33.99,623.79
NOV,3,16,24.88,16.6,0.332,5.6,46.32,3.94,NA,27.49,35.32,623.56
NOV,3,17,19.64,41.17,0.422,6.85,44.04,4.85,NA,27.18,36.93,623.53
NOV,3,18,16.78,23.14,0.252,4.39,52.84,5.99,NA,25.75,42.83,623.87
NOV,3,19,12.07,51.1,0.392,6.93,62.52,6.22,NA,22.99,54.89,624.46
NOV,3,20,13.1,13.28,0.322,5.76,81.01,4.16,NA,22.02,55.04,624.8
NOV,3,21,11.5,1.16,0.292,5.07,41.7,4.04,NA,20.86,59.79,625.29
NOV,3,22,10.54,0.89,0.192,5.71,30.4,3.55,NA,19.9,62.67,625.6
NOV,3,23,11.76,0.47,0.152,3.24,31.71,2.97,NA,18.81,67.68,625.74
NOV,4,0,6.48,0.63,0.142,7.18,28.6,1.9,NA,18.12,71.38,625.82
NOV,4,1,8.47,2.6,0.072,5.96,29.44,2.07,NA,17.85,71.84,625.86
NOV,4,2,14.01,30.24,0.032,1.67,23.95,2.95,NA,18.27,69.5,625.74
NOV,4,3,11.24,8.23,0.012,2.44,25.34,2.57,NA,17.53,73.56,625.66
NOV,4,4,10.6,1.4,0.012,1.74,13.61,2.3,NA,16.86,77.88,625.73
NOV,4,5,12.22,0.93,0.012,0.08,14.13,3.45,NA,17.04,77.87,625.69
NOV,4,6,7.28,1.06,0.012,4.97,15.37,3.39,NA,17.5,76.2,625.68
NOV,4,7,0.99,1.07,0.312,13.28,21.44,2.64,NA,17.56,77.63,625.96
NOV,4,8,2.18,1.64,0.332,10.83,49.14,2.22,NA,18.13,76.4,626.43
NOV,4,9,5.8,1.51,0.222,6.66,57.89,1.82,NA,18.92,73.28,626.83
NOV,4,10,14.66,0.9,0.142,2.01,54.46,3.69,NA,20.93,64.54,627.03
NOV,4,11,19.29,0.51,0.122,0.08,51.59,4.77,NA,21.7,59.17,626.87
NOV,4,12,18.61,0.66,0.182,2.44,50.35,3.75,NA,22.38,56.01,626.59
