DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,1,0,3.89,5.51,2.74,30.92,409.17,0.98,190.18,17.32,65.95,624.03,230
ENE,1,1,2.36,6.33,0.95,30.08,340.54,0.95,292.83,16.31,69.78,623.75,177.23
ENE,1,2,5.81,11.44,2.22,32.97,311.33,0.74,199.07,15.77,73.03,623.75,NA
ENE,1,3,4.74,9.76,2.22,31.39,310.34,1.29,192.31,15.53,73.33,623.55,NA
ENE,1,4,5,6.44,1.77,29.17,310.35,1.29,84.5,14.73,76.23,623.49,257.23
ENE,1,5,3.08,5.58,1.06,23.84,393.95,1.82,104.91,13.99,76.81,623.6,208.64
ENE,1,6,3.38,4.25,0.87,21.81,259.16,1.69,101.42,13.41,78.55,623.75,140.6
ENE,1,7,3.98,4.03,0.72,23.35,198.34,2.21,110.67,13.01,80.53,623.84,115
ENE,1,8,4.34,3.53,0.72,26.86,200.95,2.1,96.72,12.9,80.71,624.28,118.36
ENE,1,9,8.73,4.97,0.76,18.91,191.52,2.09,93.04,14.53,73.97,624.91,115.62
ENE,1,10,18.6,6.62,0.59,18.06,188.47,2.43,102.04,16.97,67.01,625.3,76.37
ENE,1,11,27.51,5.42,0.49,17.33,164.62,2.2,115.03,18.53,62.54,625.28,74.14
ENE,1,12,36.4,4.24,0.30,7.27,123.76,1.69,121.89,20.53,53.5,624.92,55.55
ENE,1,13,38.49,3.11,0.14,4.06,67.43,1.66,209.62,22.21,44.68,624.41,17.05
ENE,1,14,41.34,1.99,0.01,1.7,40.73,2.38,249.42,23.79,35.77,623.52,2.07
ENE,1,15,47.85,1.57,0.02,1.7,23.83,2.67,248.6,24.41,29.06,622.89,4.22
ENE,1,16,46.62,1.44,0.00,1.7,35.98,2.85,226.94,24.63,28.26,622.58,11.9
ENE,1,17,43.76,1.35,0.13,2.94,37.92,2.93,223.6,24.46,28.49,622.57,12.95
ENE,1,18,37.19,1.86,0.33,9.29,46.56,2.46,183.23,23.91,31.35,622.63,22.08
ENE,1,19,29.12,2.15,0.45,14.56,5.35,2.61,203.82,22.6,33.64,622.8,39.5
ENE,1,20,21.6,2.71,0.55,18.91,76.29,2.41,229.84,21.35,35.36,623.14,34.03
ENE,1,21,25.4,2.04,0.39,13.49,80.1,2.8,216.6,20.31,36.61,623.44,34.31
ENE,1,22,25.66,1.82,0.33,11.96,87.83,2.43,211.38,19.58,38.49,623.72,35.96
ENE,1,23,10.1,2.3,1.01,25.96,70,1.08,74.87,18.68,42.11,623.88,37.75
ENE,2,0,5.03,2.4,1.68,30.2,135.35,1.08,88.56,17.72,47.58,624.03,64.36
ENE,2,1,3.68,2.83,0.91,27.47,159.05,0.84,70.91,16.45,52.54,623.95,62.09
ENE,2,2,3.46,5.61,0.61,25.31,137.15,0.77,127.32,15.67,56.25,623.91,45.49
ENE,2,3,3.54,4.05,0.56,22.28,114.9,0.92,277.14,14.65,59.76,623.75,36.8
ENE,2,4,2.95,2.5,0.47,20.77,91.65,0.89,280.98,13.67,63.7,623.74,33.58
ENE,2,5,1.6,2.13,0.36,20.34,86.07,1.35,263.42,13.24,65,623.76,29.69
ENE,2,6,1.6,1.88,0.29,20.32,73.67,1.82,269.43,12.37,67.36,623.92,27.93
ENE,2,7,2.75,1.7,0.44,19.02,66.16,1.23,311.19,12.28,68.7,624.22,27.42
ENE,2,8,3.12,2.03,0.82,20.58,63.29,1.55,211.55,12.81,66.61,624.7,22.26
ENE,2,9,4.52,4.14,1.17,23.51,107.81,1.4,150.59,15.2,58.43,625.14,27.31
ENE,2,10,15.95,3.53,0.63,18.12,138.89,1.16,144.24,18.37,49.66,625.4,28.17
ENE,2,11,29.9,2.76,0.48,14.24,99.48,1.3,192.74,20.69,43.06,625.45,26.85
ENE,2,12,38.22,2.26,0.30,8.65,78.21,1.63,238.93,22.54,39.82,625.16,17.42
ENE,2,13,47.26,1.8,0.16,1.88,56.63,2.52,280.67,23.35,36.87,624.61,5.72
ENE,2,14,52.78,1.6,0.14,2.36,42.31,2.2,274.64,24.48,33.53,623.73,1.26
ENE,2,15,54.69,1.56,0.07,1.81,32,2.29,290.16,25.42,31.14,623.15,5.29
ENE,2,16,53.72,1.27,0.01,1.73,25.72,2.32,284.8,26.13,27.68,622.75,3.43
ENE,2,17,55.08,1.1,0.00,1.7,41.21,2.38,278.65,26.55,22.58,622.8,11.34
ENE,2,18,51.28,1.1,0.00,1.78,37.9,2,294.76,26.27,23.06,622.99,14.29
ENE,2,19,22.58,1.1,0.83,31.71,54.24,1.45,48.4,24.1,28.78,623.21,28.55
ENE,2,20,4.35,1.76,1.53,49.31,91.07,1.84,188.82,22.51,32.51,623.41,38.12
