DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,1,0,15.69,1.91,0.07,8.93,54.33,2.22,287.53,16.03,47.55,624.6,9.71
FEB,1,1,9.75,1.94,0.05,12.73,37.73,1.33,218.92,14.95,52.55,624.41,5.52
FEB,1,2,3.76,1.96,0.06,17.65,28.56,1.38,199.5,14.14,56.17,624.39,18.14
FEB,1,3,4.57,1.83,0.01,16.86,28.16,1.27,257.52,13.55,58.94,624.09,11.61
FEB,1,4,8.2,1.66,0.00,13.16,18.21,1.12,262.96,12.78,62.48,624,8
FEB,1,5,2.06,1.7,0.00,20.45,16,1.08,241.46,12.73,63.5,623.99,9.94
FEB,1,6,1.6,1.79,0.04,20.97,24.48,0.87,244,12.31,65.32,624.06,10.54
FEB,1,7,1.6,2.16,0.57,21.01,38.02,0.64,350.89,11.62,68.02,624.36,14.49
FEB,1,8,1.6,3.36,1.64,22.46,70.02,0.48,78.76,11.55,68.76,624.7,26.6
FEB,1,9,1.6,4.6,1.16,25.24,170.51,1.06,86.13,14.45,56.59,625.15,37.08
FEB,1,10,8.55,16.93,0.79,28.5,170.78,1.07,99.24,16.73,48.62,625.33,45.29
FEB,1,11,24.99,21.58,0.46,19.92,179.85,1.36,164.88,19.08,40.66,625.33,60.47
FEB,1,12,39.5,22.97,0.39,14.62,100.68,1.59,229.59,20.56,37.8,624.87,30.54
FEB,1,13,51.91,14.14,0.33,10.41,78.02,2.12,22.51,NA,35.95,623.96,27.51
FEB,1,14,50.81,5.59,0.18,4.83,66.23,2.64,262.88,1.24,31.83,623.06,17.52
FEB,1,15,44.88,1.46,0.10,1.81,47.04,3.15,268.08,24.02,27.94,622.32,0.35
FEB,1,16,47.89,1.27,0.13,1.7,38.06,3.08,238.14,24.81,27.1,621.9,4.1
FEB,1,17,50.27,1.2,0.16,1.7,30.24,3.28,234.57,24.78,27.22,621.83,21.37
FEB,1,18,46.2,1.1,0.17,3,37.01,2.93,255.19,23.91,28.84,622.07,20.44
FEB,1,19,34.27,1.13,0.29,12.77,35.61,1.58,257.2,23.05,30.74,622.33,17.54
FEB,1,20,5.79,1.5,2.21,34.49,60.42,1.32,220.88,22.12,32.88,622.73,25.55
FEB,1,21,9.73,1.51,2.06,27.94,117.09,1.6,249.75,21.37,35.33,623.27,46.04
FEB,1,22,13.28,2.09,2.03,26.44,87.97,1.67,218.85,20.54,37.8,623.65,30.74
FEB,1,23,12.17,2.25,2.04,27.15,102.69,1.26,178.51,20.21,38.89,624.03,39.58
FEB,2,0,11.6,17.62,1.55,17.39,88,2.25,86.11,19.35,42.9,624.29,26.6
FEB,2,1,25.12,2.12,1.36,5.48,65.74,3.54,84.59,18.3,52.06,624.53,23.13
FEB,2,2,21.42,1.93,1.44,6.24,85.61,3.15,88.85,16.77,67.19,624.52,21.95
FEB,2,3,18.89,1.41,1.48,7.57,35.12,2.89,96.77,16.02,71.27,624.38,15.5
FEB,2,4,18.04,1.25,1.51,9.05,17.65,2.18,72.16,15.44,75.05,624.45,NA
