DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
JUN,1,0,12.99,10.86,NA,2.23,20.3,4.48,61.15,21.16,48.17,622.82,7.72
JUN,1,1,9.67,6.85,NA,5.32,16.23,3.87,79.01,19.15,54.8,622.81,5.84
JUN,1,2,15.21,12.42,NA,6.02,15.59,3.73,78.49,17.64,57.5,622.75,NA
JUN,1,3,10.87,12.33,NA,3.59,23.86,3.42,58.48,20.03,59.23,622.35,4.29
JUN,1,4,4.8,70.85,NA,6.13,23.66,2.71,56.35,19.79,60.47,622.45,21.01
JUN,1,5,7.38,57.93,NA,8.84,29.74,2.88,64.41,19.07,63.56,622.43,25
JUN,1,6,6.61,31.28,NA,17.31,29.66,2.5,83.68,18.09,67.73,622.6,23.84
JUN,1,7,7.47,33.42,NA,19.01,38.79,2.64,78.2,17.1,67.85,622.87,24.56
JUN,1,8,4.59,26.44,NA,15.71,55.99,2.38,85.72,19.45,59.87,623.12,11.05
JUN,1,9,17.93,18.81,NA,7,70.91,3.69,84.86,21.27,53.72,623.21,14.74
JUN,1,10,23.61,3.48,NA,4.61,34.83,3.66,96.7,22.58,49.22,623.08,3.52
JUN,1,11,27.32,2.88,NA,3.75,18.48,3.47,105.55,24.35,42.21,622.8,3.55
JUN,1,12,28.91,5.35,NA,4.87,24.36,2.75,117.76,26.31,35.85,622.26,2.79
JUN,1,13,34.26,9.25,NA,4.94,25.75,2.45,129.13,28.05,32.18,621.54,2.73
JUN,1,14,40.67,14.41,NA,5.43,24.33,2.66,147.06,29.18,28.76,620.71,17.86
JUN,1,15,51.18,17.46,NA,3.32,26.43,2.25,242.7,31.03,24.83,619.83,3.83
JUN,1,16,50.16,9.14,NA,1.7,33.26,2.72,87.57,31.98,20.43,619.09,6.96
JUN,1,17,39.41,5.91,NA,2.18,33.53,3.04,76.33,29.6,19.65,618.66,8.93
JUN,1,18,36.45,7.75,NA,7.2,73.59,3.55,72.34,27.03,18.95,618.39,8.57
JUN,1,19,28.37,7.82,NA,10.6,43.38,4.42,73.8,30.01,24.95,618.64,25.82
JUN,1,20,29.24,11.43,NA,14.65,55.67,4.21,79.14,28.3,26.91,619.2,27.78
JUN,1,21,22.53,9.11,NA,10.61,51.71,4.7,81.08,26.84,32.09,619.94,20.36
JUN,1,22,18.63,10.16,NA,7.3,54.74,4.95,78.75,25.16,40.22,620.42,16.82
JUN,1,23,16.18,7.05,NA,2.51,46.02,2.91,68.82,23.65,44.37,621.34,14.39
JUN,2,0,23.01,1.24,NA,1.7,25.59,2.78,255.95,19.84,50.57,621.91,16.56
JUN,2,1,19.57,1.1,NA,4.14,18.74,1.61,150.32,18.7,51.38,621.61,8.28
JUN,2,2,14.68,5.3,NA,3.88,17.87,3.34,71.26,20.35,58.86,621.19,10.49
