DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,1,0,8.31,2.54,0.14,10.16,64.4,27.65,2.77,273.75,20.96,39.82,622.45,27.65
MZO,1,1,7.97,2.52,0.1,8.47,54.07,29.73,2.58,252.23,19.66,46.6,622.7,29.73
MZO,1,2,7.16,2.3,0.03,4.57,48.58,24.59,3.38,233.05,18.13,49.24,622.66,24.59
MZO,1,3,6.28,2.27,0.01,3.47,51.66,19.34,3.88,235.52,15.95,50.12,622.64,19.34
MZO,1,4,5.32,2.28,0.01,4.62,45.26,15.92,2.33,254.41,14.42,53.37,622.67,15.92
MZO,1,5,4.45,2.2,0.02,6.93,43.23,15.15,2.01,277.92,14.99,56.11,622.76,15.15
MZO,1,6,3.03,2.26,0.05,10.88,42.48,20.08,1.6,285.92,14.93,58.16,623.05,20.08
MZO,1,7,0.95,2.97,0.2,19.3,51.29,17.44,1.26,306.74,14.66,57.27,623.45,17.44
MZO,1,8,0.8,3.22,0.55,21.43,92.87,25.65,0.83,272.64,14.74,54.92,623.8,25.65
MZO,1,9,1.57,2.87,0.49,17.68,83.82,32.36,1.17,258.51,16.73,45.17,624.23,32.36
MZO,1,10,5.5,2.52,0.3,14.29,60.28,22.19,1.28,244.47,19.71,38.72,624.54,22.19
MZO,1,11,10.64,2.32,0.13,4.49,49.82,18.45,1.89,264.1,21.1,35.04,624.75,18.45
MZO,1,12,13.28,2.31,0.12,1.34,35.58,20.14,1.91,230.83,21.18,31.32,624.49,20.14
MZO,1,13,14.88,2.25,0.11,0.4,40,15.61,2.41,261.91,24.33,30.58,623.76,15.61
MZO,1,14,16.44,3.9,0.15,0.94,43.28,16.44,2.35,232.22,26.39,29.17,622.96,16.44
MZO,1,15,19.97,10.4,0.28,3.7,48.01,21.29,2.52,164,27.46,26.24,622.24,21.29
MZO,1,16,18.94,5.49,0.35,6.12,53.84,32.22,2.77,118.49,28.18,22.17,621.71,32.22
MZO,1,17,20.06,3.92,0.21,2.03,46.06,40.98,2.18,176.36,26.94,18.98,621.38,40.98
MZO,1,18,19.49,4.27,0.15,0.4,48.42,29.82,3.08,276.27,24.7,22.48,621.3,29.82
MZO,1,19,14.01,3.3,0.2,6.21,70.86,24.8,3.08,268.47,24.75,26.33,621.37,24.8
MZO,1,20,7.73,2.57,0.32,15.51,80.5,27.25,2.2,264.77,24.32,29.4,621.62,27.25
MZO,1,21,4.14,2.39,0.39,24.62,79.32,34.7,1.68,264.66,23.13,29.98,622.1,34.7
MZO,1,22,2.06,3.59,0.54,29.29,105.39,32.2,3.31,88.56,22.47,34.06,623.09,32.2
MZO,1,23,4.29,2.44,0.34,13.73,122.46,46.57,5.17,86.3,21.3,45.34,623.48,46.57
MZO,2,0,6.54,2.22,0.14,3.5,159.67,47.18,6.37,89.52,18.4,53.32,623.66,47.18
MZO,2,1,8.17,2.2,0.07,0.4,132.18,32.92,4.63,71.25,19.7,55.62,623.96,32.92
MZO,2,2,5.79,9.99,0.03,2.36,53.95,25.82,5.13,70.51,18.72,57.58,623.87,25.82
MZO,2,3,4.29,19.13,0.03,7.91,59.06,36.3,4.78,67.29,17.55,60.22,623.62,36.3
MZO,2,4,6.28,10.3,0.04,2.02,46.01,NA,4.27,70.96,15.79,60.84,623.48,NA
MZO,2,5,5.61,11.02,0.06,3.59,44.44,32.03,3.25,78.62,16.52,64.74,623.42,32.03
MZO,2,6,3.94,20.09,0.06,8.66,51.02,30.75,3.24,78.52,16.49,67.35,623.48,30.75
MZO,2,7,2.8,9.07,0.25,11.82,51.9,39.17,2.5,77.57,15.91,68.79,623.79,39.17
MZO,2,8,0.8,7.93,0.53,19.03,80.03,31.17,2.47,80.45,15.53,69.43,624.22,31.17
MZO,2,9,0.8,11.75,0.52,15.36,95.22,34.98,4.55,76.86,15.97,62.7,624.68,34.98
MZO,2,10,2.09,3.51,0.37,8.85,77.89,36.19,5.37,75.4,16.44,57.63,625.09,36.19
MZO,2,11,3.87,3.11,0.32,7.2,69.41,23.65,5.2,78.9,19.9,52.55,625.17,23.65
MZO,2,12,6.52,2.63,0.37,7.54,64.63,24.24,4.34,80.79,22.08,46.05,624.92,24.24
MZO,2,13,8.98,3.69,0.39,6.72,64.89,31.38,3.69,88.58,23.72,40.92,624.19,31.38
MZO,2,14,12.58,2.96,0.38,5.4,59.05,30.66,2.58,107.71,25.53,35.7,623.44,30.66
MZO,2,15,15.23,6.34,0.32,4.26,63.78,30.72,2.21,121.23,25.02,30.84,622.67,30.72
MZO,2,16,14.16,8.05,0.27,4.46,61.01,35.06,2.71,75.9,24.74,25.34,621.94,35.06
MZO,2,17,13.36,4.93,0.27,4.02,54.54,34.83,2.48,82.06,28.45,26.12,621.58,34.83
MZO,2,18,12.41,6.09,0.29,4.98,67.37,31.14,2.01,73.48,28.51,25.77,621.5,31.14
MZO,2,19,8.14,5.73,0.49,14.85,70.58,30.57,1.97,80.58,27.25,27.31,621.67,30.57
MZO,2,20,4.78,7.7,0.5,12.91,123.31,32.57,5,54.06,23.05,31.98,622.33,32.57
MZO,2,21,1.7,9.16,0.42,15.03,107.63,39.16,4.37,67.41,19.85,33.45,623.04,39.16
MZO,2,22,1.51,6.98,0.38,13.78,80.28,27.97,3.95,87.42,19.36,37.05,623.73,27.97
MZO,2,23,2.79,2.63,0.23,7.68,69.4,20.57,5.02,85.21,18.78,39.72,624.22,20.57
MZO,3,0,4.19,2.3,0.13,3.4,56.67,18.79,5.04,82.82,17.59,42.35,624.28,18.79
MZO,3,1,6.47,6.17,0.07,3.03,47.09,12.8,4.88,74.12,17.05,43.7,624.52,12.8
MZO,3,2,7.06,8.22,0.04,3.83,49.34,23.59,3.41,74.63,16.65,44.07,624.65,23.59
MZO,3,3,7.94,3.71,0.04,2.36,42.8,18.7,2.95,88.32,14.86,48.57,624.54,18.7
MZO,3,4,8.47,4.02,0.04,0.69,26.75,18.28,3.71,83.49,13.73,50.88,624.31,18.28
MZO,3,5,8.15,4.8,0.01,1.6,31.69,15.27,3.36,86.69,12.07,53.15,624.36,15.27
MZO,3,6,8.11,2.38,0.01,2.38,29.4,17.93,3,92.89,12.27,54.58,624.57,17.93
MZO,3,7,4.54,3.16,0.06,9.97,40.54,17.4,3.05,106.42,11.84,57.65,624.92,17.4
MZO,3,8,3.06,2.42,0.19,15.14,56.06,20.4,3.19,97.57,11.73,58.35,625.36,20.4
MZO,3,9,3.76,2.22,0.33,16.27,80.2,27.85,2.8,88.24,13.95,52.74,625.9,27.85
MZO,3,10,6.64,2.2,0.32,10.69,81.9,25.4,3.34,87.09,15.98,47.62,626.21,25.4
MZO,3,11,9.51,2.2,0.34,8.26,74.77,23.78,2.61,97.6,17.02,40.77,626.06,23.78
