DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,1,0,17.65,2.55,0.03,0.4,25.52,8.28,3.98,81.96,17.34,69.7,624.84,8.28
OCT,1,1,15.29,11.14,0.03,0.4,13.26,6.44,3.52,86.72,16.34,73.57,624.66,6.44
OCT,1,2,15.21,8.61,0.01,0.4,17.98,9.28,3.15,88.92,15.76,74.79,624.49,9.28
OCT,1,3,12.33,2.2,0.01,1.58,10.6,10.69,2.63,94.64,15.22,76.35,624.49,10.69
OCT,1,4,9.74,13.76,0.03,4.65,18.33,8.89,2.71,85.85,14.97,77.24,624.48,8.89
OCT,1,5,10.61,12.18,0.07,4.33,24.41,11.44,2.6,87.53,15.16,76.62,624.68,11.44
OCT,1,6,6.81,3.78,0.37,8.63,30.28,11.7,2.13,106.31,15.1,77.05,625.04,11.7
OCT,1,7,0.8,3.1,0.7,14.29,73.42,7.2,1.9,113.98,14.69,79.75,625.19,7.2
OCT,1,8,0.8,7.31,0.71,11.79,88.03,8.41,1.42,127.69,15.74,76.5,625.48,8.41
OCT,1,9,7.45,8.09,0.5,7.98,73.03,18.52,3.05,104.6,18.09,68.96,625.59,18.52
OCT,1,10,17.6,11.45,0.32,1.17,59.65,11.03,4.59,74.35,19.92,61.31,625.66,11.03
OCT,1,11,21.36,8.01,0.27,0.52,37.1,16.92,4.08,78.07,21.37,56.12,625.55,16.92
OCT,1,12,26.07,14.23,0.27,1.2,34.83,88.03,3.56,67.68,23,50.41,625.1,88.03
OCT,1,13,30.68,10.06,0.33,2.83,33.62,17.93,3.38,94.08,24.28,45.69,624.48,17.93
OCT,1,14,31.58,13.3,0.37,5.45,48.03,17.84,3.64,91.49,25.12,42.72,623.78,17.84
OCT,1,15,34.25,14.65,0.33,5.93,50.86,20.95,3.42,88.45,25.52,41.09,622.96,20.95
OCT,1,16,26.97,22.67,0.32,2.98,63.34,13.6,4.63,56.57,24.7,43.04,622.58,13.6
