DATOS HORARIOS 2019_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
JUL,1,0,26.09,11.18,0.151,5.21,35,6,4.38,62.30,18.92,71.34,625.55
JUL,1,1,31.43,5.38,0.142,1.14,18,9,3.93,80.52,18.03,78.75,625.79
JUL,1,2,31.66,2.66,0.122,0.30,11,9,4.31,86.52,17.77,78.40,625.49
JUL,1,3,26.03,3.03,0.122,2.37,7,8,3.52,104.26,17.63,77.77,624.94
JUL,1,4,24.96,3.33,0.135,2.39,12,7,2.35,120.26,17.28,79.86,624.68
JUL,1,5,21.60,2.66,0.147,4.46,18,6,2.34,89.46,16.77,82.50,624.63
JUL,1,6,11.22,0.95,0.365,12.52,13,9,2.34,98.25,16.41,82.76,624.55
JUL,1,7,1.22,1.65,0.559,22.47,23,11,2.50,100.55,16.50,82.31,624.84
JUL,1,8,1.22,4.13,0.609,12.70,29,11,3.25,95.23,17.93,74.15,625.10
JUL,1,9,21.93,4.63,0.481,10.27,19,11,3.12,89.74,19.38,68.19,625.24
JUL,1,10,33.00,1.08,0.398,6.83,17,9,3.44,92.21,20.89,59.15,625.25
JUL,1,11,41.37,1.57,0.459,8.02,37,9,3.35,107.04,22.41,53.90,625.19
JUL,1,12,51.18,NA,0.358,4.64,136,11,2.64,99.05,24.63,45.12,624.89
JUL,1,13,54.72,0.99,0.345,2.40,115,12,2.64,131.60,26.04,40.27,624.35
JUL,1,14,54.55,NA,0.325,2.40,17,17,3.20,151.64,26.69,38.75,623.60
JUL,1,15,55.96,NA,0.254,0.38,10,5,3.45,164.15,27.14,33.94,622.99
JUL,1,16,59.94,NA,0.224,0.30,9,8,2.35,165.23,28.84,27.41,622.39
JUL,1,17,56.82,NA,0.218,0.30,NA,12,2.15,134.25,29.27,24.31,621.87
JUL,1,18,54.34,NA,0.274,0.79,8,10,3.03,166.55,29.15,25.53,621.76
JUL,1,19,46.62,NA,0.382,4.74,54,18,4.33,166.64,26.84,38.10,622.03
JUL,1,20,37.43,0.98,0.337,4.40,59,12,3.38,176.41,25.06,37.82,622.68
JUL,1,21,36.21,1.99,0.244,2.28,38,7,2.78,226.01,23.07,43.81,623.27
JUL,1,22,38.67,0.90,0.239,3.64,34,NA,3.54,92.03,21.84,53.78,624.11
JUL,1,23,38.38,0.99,0.205,2.41,28,2,3.39,79.39,20.92,59.21,624.57
JUL,2,0,42.72,1.40,0.122,2.75,15,8,3.11,84.19,20.75,56.47,624.76
JUL,2,1,41.77,NA,0.124,2.53,13,8,2.59,112.91,20.62,56.88,624.68
JUL,2,2,37.69,2.35,0.150,4.33,15,8,2.65,123.01,20.48,56.73,624.34
JUL,2,3,30.30,1.16,0.152,9.74,16,6,2.43,89.87,19.92,60.87,624.22
JUL,2,4,26.79,NA,0.159,11.52,16,6,1.68,79.98,19.73,62.51,624.28
JUL,2,5,25.41,0.90,0.122,9.80,18,10,1.50,215.94,19.07,68.02,624.33
JUL,2,6,18.68,0.97,0.178,13.72,21,9,1.14,208.03,18.64,71.54,624.40
JUL,2,7,1.22,1.96,0.673,28.27,38,8,1.49,211.33,18.56,71.06,624.71
JUL,2,8,1.22,2.43,0.583,20.39,51,11,2.12,126.34,19.57,66.17,624.92
JUL,2,9,19.52,3.30,0.383,10.90,26,16,1.70,152.34,22.00,55.59,624.82
JUL,2,10,31.31,4.85,0.267,6.60,28,13,1.85,123.09,23.60,49.18,624.72
JUL,2,11,41.99,7.80,0.346,7.62,25,17,1.86,144.95,24.84,43.89,624.57
JUL,2,12,49.14,13.95,0.393,8.62,29,25,1.94,169.33,25.76,41.15,624.38
JUL,2,13,63.06,20.68,0.413,6.65,38,37,2.49,172.57,26.76,37.79,623.95
JUL,2,14,64.20,15.73,0.346,6.76,42,38,1.80,146.30,28.38,33.85,623.31
JUL,2,15,60.58,7.60,0.330,5.55,20,17,2.18,136.04,28.68,32.45,622.40
JUL,2,16,68.24,8.43,0.312,6.18,32,20,1.70,165.97,28.80,31.22,621.69
JUL,2,17,57.53,6.67,0.353,8.74,29,24,3.09,153.21,28.84,31.15,621.12
JUL,2,18,36.46,1.63,0.205,5.29,119,13,6.01,209.80,25.50,40.40,621.51
JUL,2,19,31.37,1.09,0.134,3.49,221,13,4.55,254.87,22.48,48.80,622.26
JUL,2,20,30.71,1.28,0.191,4.87,35,6,1.97,222.06,21.91,48.60,622.61
JUL,2,21,13.98,1.73,0.397,14.82,38,NA,2.54,102.35,21.76,51.31,623.27
JUL,2,22,16.79,0.95,0.227,7.95,38,NA,3.05,107.70,20.80,59.61,623.93
JUL,2,23,15.97,3.56,0.148,6.43,28,16,2.66,90.26,20.16,64.62,624.54
JUL,3,0,17.23,2.21,0.166,3.04,33,11,3.61,112.62,17.25,90.17,625.27
JUL,3,1,25.81,1.30,0.122,0.30,23,13,3.13,90.60,16.33,93.68,625.22
JUL,3,2,25.29,4.55,0.122,0.65,11,5,2.07,93.85,15.97,94.72,625.11
JUL,3,3,34.15,11.63,0.407,0.40,9,NA,1.21,178.06,15.86,94.78,624.83
JUL,3,4,27.12,9.88,0.232,3.73,7,4,1.13,216.62,16.16,94.88,624.59
JUL,3,5,16.96,20.06,0.487,7.19,13,8,1.77,258.37,16.15,94.87,624.64
JUL,3,6,17.36,7.82,0.434,6.20,21,17,2.09,278.72,16.12,95.28,624.78
JUL,3,7,14.70,3.39,0.468,8.35,21,16,1.22,283.99,16.25,95.20,624.83
JUL,3,8,21.13,3.15,0.337,5.65,13,11,1.80,282.26,16.95,92.61,625.05
JUL,3,9,29.23,2.68,0.229,1.63,12,9,1.36,219.22,19.02,80.53,625.06
JUL,3,10,34.45,1.04,0.246,3.13,10,9,1.39,207.84,21.54,69.74,624.97
JUL,3,11,39.06,NA,0.217,3.36,23,12,1.82,178.45,22.79,64.13,624.81
JUL,3,12,48.59,NA,0.209,2.04,18,14,1.64,183.30,24.02,56.77,624.52
JUL,3,13,55.86,1.55,0.195,0.44,11,13,1.85,213.38,25.81,44.13,623.99
JUL,3,14,63.85,3.16,0.194,0.30,4,10,2.20,248.72,27.13,39.40,623.46
JUL,3,15,63.20,3.18,0.173,0.30,12,12,2.56,253.95,27.37,39.35,622.90
JUL,3,16,62.83,1.48,0.167,1.26,7,15,2.42,207.64,27.98,37.68,622.19
JUL,3,17,57.98,1.49,0.122,0.30,16,14,2.24,211.07,27.32,37.02,621.83
JUL,3,18,52.33,1.90,0.199,3.70,23,11,2.21,185.10,26.20,40.67,621.82
JUL,3,19,53.95,3.21,0.250,6.49,31,17,1.68,176.68,25.91,41.66,622.01
JUL,3,20,40.82,4.25,0.380,11.43,30,12,2.80,74.22,24.87,50.34,622.17
JUL,3,21,29.40,9.22,0.347,9.38,46,5,2.54,84.12,22.99,57.04,622.63
JUL,3,22,26.02,3.72,0.236,9.35,39,6,3.20,105.35,21.37,62.88,623.28
