DATOS HORARIOS 2019_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
OCT,1,0,2.40,1.36,0.199,1.61,13,10,2.04,97.53,17.23,95.45,622.66
OCT,1,1,3.96,1.42,0.145,2.32,15,10,1.69,92.20,17.24,95.45,622.42
OCT,1,2,6.76,0.90,0.126,0.94,8,10,1.45,109.56,17.22,95.59,622.19
OCT,1,3,4.21,1.45,0.122,3.08,7,9,1.80,96.27,17.07,95.85,622.13
OCT,1,4,3.93,0.90,0.127,3.81,7,9,1.38,100.96,16.97,96.10,621.83
OCT,1,5,7.61,1.10,0.170,3.41,5,6,1.21,84.25,16.99,96.17,621.75
OCT,1,6,6.05,0.90,0.545,3.12,10,5,1.47,86.65,17.00,96.16,621.88
OCT,1,7,1.22,0.90,0.830,4.43,11,7,1.38,104.47,17.02,96.36,622.23
OCT,1,8,1.22,5.02,0.901,6.35,15,9,1.77,115.56,17.30,95.96,622.42
OCT,1,9,5.97,3.85,0.717,6.21,16,12,2.05,113.13,19.08,91.12,622.50
OCT,1,10,15.95,4.00,0.530,5.68,20,20,3.35,99.96,20.98,79.49,622.58
OCT,1,11,22.81,5.83,0.513,5.98,19,13,3.22,89.87,22.42,71.33,622.49
OCT,1,12,30.09,5.45,0.522,6.87,29,22,2.82,84.28,23.88,64.67,622.27
OCT,1,13,37.41,5.49,0.596,6.41,36,23,2.35,116.36,25.00,58.36,621.68
OCT,1,14,50.68,6.30,0.354,5.03,28,22,2.28,105.35,26.74,50.42,620.93
OCT,1,15,49.79,4.40,0.285,3.29,15,26,2.03,128.59,27.85,44.66,620.22
OCT,1,16,47.05,3.99,0.380,4.22,24,23,2.23,100.30,27.18,45.92,619.68
OCT,1,17,48.18,6.43,0.270,3.29,22,18,1.59,135.63,28.23,41.55,619.25
OCT,1,18,39.38,3.94,0.534,5.25,37,12,2.83,145.16,26.84,48.00,619.21
OCT,1,19,32.95,9.81,0.463,5.73,55,13,3.82,130.16,23.44,66.45,619.54
OCT,1,20,28.70,11.12,0.545,6.89,50,14,2.93,98.95,22.08,67.80,620.25
OCT,1,21,13.94,6.76,0.623,10.07,47,20,1.68,137.36,21.39,71.61,620.82
OCT,1,22,25.30,3.27,0.226,4.55,35,22,1.90,162.57,19.56,81.33,621.61
OCT,1,23,22.40,2.88,0.240,2.47,27,16,1.39,150.43,19.05,89.35,622.13
