DATOS HORARIOS 2020_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,1,0,11,14.32,2.06,16.15,95.3,1.58,202.4,19.53,39.66,622.45,68.78
ENE,1,1,5.75,24.4,2.2,19.51,81.04,0.84,188.64,17.94,44.68,622.34,81.18
ENE,1,2,10.16,25.86,2.86,22.27,102.74,1,140.44,17.54,47.47,622.23,208
ENE,1,3,11.25,25.02,3.63,22.58,102.22,0.95,198.05,17.09,49.98,621.96,308.29
ENE,1,4,9.07,20.21,3.44,20.61,148.13,0.91,171.11,16.19,51.57,621.67,337.96
ENE,1,5,11.95,19.53,4.38,19.61,206.16,1.2,129.72,15.54,55.22,621.45,253.15
ENE,1,6,3.09,13.15,2.09,15.73,NA,1.82,104.84,14.55,62.63,621.43,307.15
ENE,1,7,3.32,13.07,1.81,14.65,NA,2.15,104.96,14.3,63.91,621.5,86.8
ENE,1,8,4.19,14.26,1.94,15.16,NA,1.79,103.03,13.89,65.44,621.91,60.15
ENE,1,9,7.28,12.21,1.87,12.95,NA,1.64,96.39,15.22,59.9,622.29,71.18
ENE,1,10,18.62,11.05,1.57,9.72,NA,1.13,167.28,19.68,46.33,622.46,67.35
ENE,1,11,22.22,9.15,1.33,4.96,NA,3.27,137.39,21.96,39.81,621.93,44.98
ENE,1,12,24.79,10.67,1.27,4.33,NA,3.55,174.01,24.12,34.29,621.36,17.38
ENE,1,13,24,11.77,1.28,4.66,NA,4.52,173.49,25.23,30.94,620.34,11.72
ENE,1,14,22.72,11.68,1.22,3.67,9.08,5.82,201.47,26.8,25.89,619.21,8.71
ENE,1,15,22.1,12.36,1.24,3.55,146.92,8.44,216.71,27.05,23.36,618.56,5.74
ENE,1,16,21.75,12.39,1.22,3.04,118.8,7.99,220.16,25.72,26.45,618.55,9.94
ENE,1,17,21.52,13.72,1.23,3.37,65.88,6.58,210.51,24.47,29.74,618.96,10.43
ENE,1,18,22.57,13.1,1.25,3.79,65.19,6.38,216.62,22.99,34.1,619.51,7.06
ENE,1,19,21.52,13.06,1.23,3.64,37.05,6.29,213.74,21.85,37.56,619.86,4.84
ENE,1,20,20.85,12.72,1.24,3.83,15.57,5.66,213.62,21.19,39.21,620.15,2.93
