DATOS HORARIOS 2020_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MZO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MZO,1,1,19.19,23.19,1.64,22.91,54.68,22.54,1.49,284.89,19.37,46.20,624.80
MZO,1,2,16.78,23.34,1.62,25.59,51.04,17.94,1.62,286.30,18.40,49.53,624.53
MZO,1,3,21.07,22.78,1.61,20.94,53.15,19.02,1.71,277.79,17.89,52.47,624.43
MZO,1,4,18.08,21.72,1.58,20.57,50.49,27.81,1.65,249.99,17.34,55.55,624.42
MZO,1,5,20.79,23.14,1.53,14.35,34.23,19.31,1.20,264.58,16.54,61.58,624.50
MZO,1,6,18.20,23.26,1.56,17.11,46.28,25.81,1.34,264.64,15.88,63.46,624.64
MZO,1,7,14.12,23.19,1.56,15.26,37.22,23.23,1.51,260.80,15.25,67.52,624.91
MZO,1,8,10.89,23.32,1.86,23.60,45.19,22.84,0.78,271.46,15.65,65.92,625.32
MZO,1,9,22.62,23.53,1.72,17.20,35.23,26.56,1.37,232.10,18.77,53.60,625.69
MZO,1,10,29.64,23.23,1.66,11.09,32.88,20.83,1.97,239.04,21.09,46.92,625.87
MZO,1,11,39.17,23.26,1.58,7.51,20.60,19.28,3.03,260.42,23.56,42.61,625.75
MZO,1,12,41.98,23.19,1.63,7.13,41.89,10.97,3.22,244.87,24.98,42.93,625.31
MZO,1,13,44.71,23.38,1.64,6.83,19.79,20.22,3.70,246.22,26.43,39.13,624.48
MZO,1,14,45.11,23.27,1.62,7.20,18.83,31.94,3.80,251.56,27.91,35.22,623.49
MZO,1,15,42.99,22.93,1.51,5.25,88.56,40.50,4.68,266.69,29.28,27.52,622.67
MZO,1,16,43.37,22.84,1.53,5.71,11.93,31.60,4.14,249.69,30.51,23.88,621.89
MZO,1,17,44.25,22.82,1.49,5.47,13.35,17.03,4.29,251.78,30.80,21.61,621.45
MZO,1,18,40.24,22.64,1.44,4.95,26.70,14.04,4.83,253.81,30.31,20.15,621.45
MZO,1,19,38.08,22.72,1.45,6.49,32.17,10.94,4.04,257.09,28.43,24.69,621.68
MZO,1,20,30.08,22.77,1.56,12.01,57.90,15.14,3.27,240.13,26.02,29.93,622.18
MZO,1,21,27.59,22.76,1.58,12.94,49.56,11.22,3.07,240.83,24.50,32.96,622.70
MZO,1,22,24.91,21.92,1.57,14.38,46.50,28.93,2.71,258.75,22.94,36.48,623.39
MZO,1,23,30.27,22.63,1.49,10.76,35.61,11.38,2.72,264.92,22.87,34.22,623.76
MZO,2,0,23.34,23.03,1.50,14.07,42.47,11.45,2.35,280.77,20.82,42.88,623.89
MZO,2,1,20.87,22.79,1.48,13.58,41.67,12.53,1.58,287.73,19.26,43.51,623.90
MZO,2,2,22.97,22.78,1.43,11.70,38.14,11.05,1.65,261.81,18.42,44.87,623.74
MZO,2,3,19.13,22.82,1.45,14.99,31.69,10.00,1.66,275.25,17.74,49.02,623.52
