DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
MAYO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAYO,1,1,0.0347,NA,0.746,0.0074,54,36,22.19,3.76,69.84,58.01,623.49,0.01
MAYO,1,2,0.0363,NA,0.712,0.0065,49,35,21.23,3.55,82.58,60.33,623.40,0.01
MAYO,1,3,0.0335,NA,0.7,0.0071,40,30,20.33,2.71,87.05,63.50,623.26,0.01
MAYO,1,4,0.0317,NA,0.698,0.0079,37,25,19.88,1.84,125.58,64.77,623.01,0.01
MAYO,1,5,0.0256,NA,0.747,0.0107,35,20,19.38,1.74,152.9,66.32,623.04,0.01
MAYO,1,6,0.0219,NA,0.807,0.0134,51,34,18.83,1.62,193.07,58.99,623.16,0.01
MAYO,1,7,0.024,NA,0.875,0.0117,45,90,18.65,2.1,217.6,46.58,623.19,0.07
MAYO,1,8,0.0279,NA,0.92,0.0102,51,45,20.28,2.38,219.61,39.99,623.44,0.45
MAYO,1,9,0.0377,NA,0.763,0.0056,36,33,22.3,1.74,248.32,37.20,623.60,1.24
MAYO,1,10,0.0447,NA,0.822,0.006,43,35,24.01,2.57,213.82,36.51,623.54,2.48
MAYO,1,11,0.0494,NA,0.791,0.0054,48,43,26.06,3.37,223.11,29.20,623.30,3.74
MAYO,1,12,0.0519,NA,0.752,0.0045,35,24,27.32,4.25,249.98,25.37,622.86,4.39
MAYO,1,13,0.0502,NA,0.663,0.004,39,38,28.59,5.74,259.65,19.78,622.09,5.33
MAYO,1,14,0.0534,NA,0.654,0.0037,39,38,29.74,5.76,267.54,17.08,621.37,5.36
MAYO,1,15,0.0555,NA,0.643,0.0037,52,23,30.35,6.71,258.99,15.59,620.71,4.47
MAYO,1,16,0.0562,NA,0.646,0.0035,62,21,30.7,6.12,254.63,14.95,620.25,3.22
MAYO,1,17,0.0538,NA,0.623,0.0032,50,16,30.89,5.8,264.23,14.05,619.90,1.96
MAYO,1,18,0.0535,NA,0.616,0.0031,60,14,30.17,6.52,258.01,14.66,619.74,0.89
MAYO,1,19,0.0508,NA,0.626,0.0035,68,15,28.77,5.99,257.31,17.60,619.94,0.22
MAYO,1,20,0.0443,NA,0.669,0.0047,58,15,27.09,5.09,252.21,21.04,620.53,0.02
MAYO,1,21,0.0389,NA,0.718,0.0054,62,24,25.72,4.06,245.19,23.51,621.32,0.01
MAYO,1,22,0.036,NA,0.69,0.0049,53,24,24.49,3.96,246.46,26.44,621.93,0.01
MAYO,1,23,0.0315,NA,0.643,0.0051,37,19,23.08,3.26,242.1,27.92,622.38,0.01
MAYO,2,0,0.0325,NA,0.649,0.0046,37,17,22.07,4.08,234.18,32.48,622.63,0.01
MAYO,2,1,0.0328,NA,0.667,0.0041,35,19,21.46,3.22,259.41,36.43,622.72,0.01
MAYO,2,2,0.0293,NA,0.729,0.0053,47,25,20.18,1.81,281.13,40.31,622.64,0.01
MAYO,2,3,0.0262,NA,0.704,0.0059,49,34,19.08,1.83,259.36,42.91,622.27,0.01
MAYO,2,4,0.0265,NA,0.623,0.0049,37,27,18.36,1.71,262.3,43.83,622.22,0.01
MAYO,2,5,0.0246,NA,0.614,0.0051,37,18,17.43,1.67,271.91,49.07,622.28,0.01
MAYO,2,6,0.0253,NA,0.652,0.0057,35,9,17.33,1.27,279.77,41.17,622.59,0.01
MAYO,2,7,0.0146,NA,0.894,0.0126,49,32,17.13,0.99,220.49,38.98,622.87,0.08
MAYO,2,8,0.0239,NA,0.803,0.0075,43,27,18.76,1.81,266.86,40.29,623.16,0.56
MAYO,2,9,0.0339,NA,0.792,0.0052,30,12,20.4,2.23,257.2,36.64,623.30,1.59
MAYO,2,10,0.0394,NA,0.731,0.0045,24,14,22.73,3.17,255.84,31.15,623.17,2.88
MAYO,2,11,0.0428,NA,0.681,0.0037,21,24,24.72,4.39,266.74,25.41,622.82,4.09
MAYO,2,12,0.0451,NA,0.684,0.0036,22,16,26.36,4.78,261.07,18.58,622.30,5.24
MAYO,2,13,0.049,NA,0.758,0.0045,21,15,27.82,4.4,233.52,13.56,621.73,5.63
MAYO,2,14,0.0544,NA,0.651,0.0035,15,17,28.81,4.53,255.1,8.87,621.16,5.65
MAYO,2,15,0.0559,NA,0.632,0.0032,14,4,29.62,5.27,251.61,6.00,620.54,4.90
MAYO,2,16,0.0569,NA,0.624,0.0031,21,9,30.09,5.41,246.01,4.56,619.94,3.67
MAYO,2,17,0.0572,NA,0.6,0.0025,28,10,30.41,5.52,259.82,4.54,619.35,2.23
