DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
JUL,1,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,1,1,NA,0.008,,NA,21,NA,20.307949,1.934287,269.517833,65.88005,624.7365,0.009458
JUL,1,2,NA,0.008,,NA,18,NA,20.489695,2.648197,292.465667,63.22195,624.745667,0.009478
JUL,1,3,NA,0.008,,NA,17,NA,20.321667,1.722762,244.673767,64.046067,624.738667,0.009044
JUL,1,4,NA,0.008,,NA,20,NA,20.021933,1.066918,186.767583,67.906617,624.643167,0.009212
JUL,1,5,NA,0.008,,NA,25,NA,19.5267,1.905163,180.906533,71.09705,624.783167,0.007997
JUL,1,6,NA,0.008,,NA,30,NA,18.837183,1.774405,217.586233,75.70425,624.7475,0.008833
JUL,1,7,NA,0.008,,NA,23,NA,18.160583,1.373693,283.191333,80.639317,625.0005,0.100345
JUL,1,8,NA,0.008,,NA,30,NA,20.391483,1.154357,231.864167,71.914617,625.188333,0.619935
JUL,1,9,NA,0.008,,NA,48,NA,21.65085,1.9466,133.947733,64.328167,625.15,1.442747
JUL,1,10,NA,0.009,,NA,40,NA,22.928071,2.989167,94.70865,54.252517,624.959333,2.364645
JUL,1,11,NA,0.008,,NA,63,NA,23.849241,3.345805,117.163967,51.621817,624.834,2.921463
JUL,1,12,NA,0.008,,NA,62,NA,24.996148,2.885807,131.562117,46.530617,624.598667,3.56014
JUL,1,13,NA,0.008,,NA,54,NA,26.244392,3.108565,131.268683,41.4544,624.036667,5.200515
JUL,1,14,NA,0.008,,NA,28,NA,27.928902,3.215725,138.430933,38.078917,623.2695,4.995115
JUL,1,15,NA,0.008,,NA,25,NA,29.113904,2.393822,136.836167,33.74475,622.438,4.096997
JUL,1,16,NA,0.008,,NA,25,NA,29.94513,2.368182,135.461267,29.503417,621.7515,2.880565
JUL,1,17,NA,0.008,,NA,36,NA,28.912385,3.0334,262.979683,31.096367,621.623167,1.194992
JUL,1,18,NA,0.008,,NA,73,NA,23.439472,6.205228,127.952833,45.498617,622.228167,0.294335
JUL,1,19,NA,0.008,,NA,37,NA,23.16336,4.048658,184.235167,44.204083,622.168333,0.115972
JUL,1,20,NA,0.008,,NA,113,NA,22.99135,3.326703,229.989333,45.581217,622.286,0.023059
