DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DICIEMBRE,1,1,0.021,0.017,1.31,0.009,28,NA,17.61,3.90,72.99,59.74,624.09,NA
DICIEMBRE,1,2,0.021,0.019,1.34,0.009,26,NA,17.11,3.77,79.91,64.30,624.18,NA
DICIEMBRE,1,3,0.019,0.017,1.36,0.008,26,NA,16.50,3.83,79.36,68.71,624.15,NA
DICIEMBRE,1,4,0.021,0.014,1.37,0.008,25,NA,16.25,3.13,87.87,70.53,624.13,NA
DICIEMBRE,1,5,0.017,0.011,1.37,0.008,22,NA,15.83,2.64,92.53,74.19,624.24,NA
DICIEMBRE,1,6,0.015,0.009,1.43,0.009,22,NA,15.41,2.59,88.39,77.59,624.42,NA
DICIEMBRE,1,7,0.011,0.008,1.67,0.011,21,NA,15.75,2.84,81.85,76.30,624.85,NA
DICIEMBRE,1,8,0.009,0.008,1.72,0.012,24,NA,16.07,3.36,79.31,73.13,625.35,NA
DICIEMBRE,1,9,0.011,0.008,1.70,0.011,33,NA,16.72,3.57,80.26,69.41,625.67,0.47
DICIEMBRE,1,10,0.017,0.008,1.63,0.009,48,NA,18.57,4.63,79.74,60.38,625.77,1.36
DICIEMBRE,1,11,0.023,0.008,1.59,0.008,38,NA,20.33,4.97,80.14,50.90,625.58,2.34
DICIEMBRE,1,12,0.025,0.009,1.51,0.009,38,NA,21.42,5.11,63.26,46.87,625.14,2.89
DICIEMBRE,1,13,0.028,0.008,1.63,0.010,32,NA,22.64,5.35,82.76,41.61,624.58,3.34
DICIEMBRE,1,14,0.028,0.007,1.67,0.010,59,NA,23.28,5.54,83.43,38.00,623.73,3.15
DICIEMBRE,1,15,0.031,0.007,1.60,0.010,65,NA,24.27,4.14,83.60,34.22,623.00,2.33
DICIEMBRE,1,16,0.033,0.007,1.59,0.010,37,NA,24.87,4.87,94.66,30.61,622.56,1.53
DICIEMBRE,1,17,0.032,0.006,1.61,0.011,59,NA,25.11,4.26,87.56,30.16,622.40,0.58
DICIEMBRE,1,18,0.025,0.006,1.68,0.013,51,NA,24.16,4.05,81.70,32.20,622.51,NA
DICIEMBRE,1,19,0.017,0.007,1.72,0.013,55,NA,22.06,4.28,56.19,40.33,622.86,NA
