DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ABRIL,1,0,0.010,0.008,1.05,0.031,76,41,22.68,1.72,150.13,NA,623.52
ABRIL,1,1,0.028,0.008,0.91,0.016,93,36,22.17,2.04,218.39,NA,623.32
ABRIL,1,2,0.022,0.008,0.93,0.020,47,30,21.02,1.40,187.88,NA,623.34
ABRIL,1,3,0.010,0.008,0.94,0.027,44,31,19.78,1.21,241.10,NA,623.32
ABRIL,1,4,0.019,0.008,0.91,0.019,51,27,19.17,1.09,205.21,NA,623.22
ABRIL,1,5,0.027,0.008,0.91,0.013,44,23,18.15,0.96,256.50,NA,623.31
ABRIL,1,6,0.011,0.008,0.91,0.023,40,28,17.08,0.46,263.13,NA,623.59
ABRIL,1,7,0.009,0.008,0.94,0.025,45,32,16.36,0.58,261.00,NA,623.94
ABRIL,1,8,0.010,0.008,1.11,0.025,90,27,18.43,0.70,198.49,NA,624.52
ABRIL,1,9,0.032,0.008,0.95,0.013,80,30,20.61,1.75,230.60,NA,624.95
ABRIL,1,10,0.041,0.010,0.93,0.012,57,22,22.90,1.57,187.59,NA,625.09
ABRIL,1,11,0.052,0.023,0.94,0.012,55,31,24.65,1.76,152.85,NA,625.05
ABRIL,1,12,0.063,0.021,0.94,0.011,64,28,26.37,2.00,201.95,NA,624.57
ABRIL,1,13,0.071,0.018,0.92,0.009,62,24,28.09,1.99,231.24,NA,623.82
ABRIL,1,14,0.077,0.017,0.93,0.011,56,16,29.77,2.06,239.24,NA,622.83
ABRIL,1,15,0.075,0.016,0.93,0.011,62,15,31.37,2.42,125.66,NA,621.91
ABRIL,1,16,0.065,0.010,0.94,0.011,71,16,32.15,2.72,137.22,NA,621.09
ABRIL,1,17,0.076,0.015,0.89,0.009,63,19,32.57,2.70,247.11,NA,620.57
ABRIL,1,18,0.079,0.016,0.89,0.009,114,22,32.14,3.09,291.31,NA,620.35
ABRIL,1,19,0.071,0.012,0.90,0.011,88,38,30.72,2.89,299.76,NA,620.53
ABRIL,1,20,0.039,0.010,0.98,0.026,50,44,28.76,1.96,293.00,NA,621.00
ABRIL,1,21,0.024,0.015,1.09,0.027,68,54,27.10,3.83,126.76,NA,622.06
ABRIL,1,22,0.033,0.012,0.94,0.012,125,60,25.17,6.06,78.32,NA,623.07
ABRIL,1,23,0.031,0.013,0.92,0.012,156,51,23.74,5.00,77.39,NA,623.53
ABRIL,2,0,0.029,0.013,0.92,0.011,74,41,22.32,3.53,75.98,NA,623.72
ABRIL,2,1,0.033,0.011,0.89,0.009,58,38,21.20,3.55,86.08,NA,623.70
ABRIL,2,2,0.035,0.010,0.89,0.008,53,32,20.42,4.05,81.69,NA,623.55
ABRIL,2,3,0.035,0.009,0.87,0.007,45,32,19.57,3.30,71.42,NA,623.47
ABRIL,2,4,0.032,0.009,0.88,0.008,46,30,18.90,2.29,82.96,NA,623.43
ABRIL,2,5,0.028,0.008,0.88,0.010,44,31,18.29,1.39,103.01,NA,623.49
ABRIL,2,6,0.024,0.008,0.92,0.012,60,36,17.62,1.24,125.40,NA,623.64
ABRIL,2,7,0.023,0.008,0.91,0.013,54,32,17.11,1.64,135.18,NA,623.96
ABRIL,2,8,0.022,0.008,0.95,0.014,47,30,17.17,2.53,110.65,NA,624.41
ABRIL,2,9,0.028,0.008,0.94,0.012,58,28,19.33,2.76,83.68,NA,624.79
ABRIL,2,10,0.034,0.008,0.96,0.011,66,32,21.95,2.63,111.49,NA,624.87
ABRIL,2,11,0.048,0.012,0.93,0.009,68,23,24.39,1.82,204.50,NA,624.65
ABRIL,2,12,0.058,0.018,0.91,0.009,98,24,26.39,2.40,243.20,NA,624.09
ABRIL,2,13,0.062,0.016,0.91,0.009,129,22,28.16,2.70,255.67,NA,623.24
ABRIL,2,14,0.065,0.013,0.91,0.008,70,11,29.89,2.69,261.95,NA,622.29
ABRIL,2,15,0.067,0.011,0.90,0.007,55,9,31.03,2.64,227.88,NA,621.34
ABRIL,2,16,0.067,0.009,0.88,0.007,62,13,31.99,2.66,263.19,NA,620.61
ABRIL,2,17,0.067,0.009,0.88,0.007,46,10,32.44,2.55,221.71,NA,620.05
ABRIL,2,18,0.064,0.008,0.87,0.007,38,13,32.20,2.19,251.86,NA,619.86
ABRIL,2,19,0.061,0.008,0.89,0.009,31,27,31.02,1.65,263.77,NA,619.91
ABRIL,2,20,0.034,0.008,1.07,0.028,38,36,29.12,1.05,232.88,NA,620.21
ABRIL,2,21,0.022,0.008,1.09,0.034,63,45,27.62,1.42,225.27,NA,620.64
ABRIL,2,22,0.025,0.008,1.01,0.026,73,38,25.40,1.35,291.10,NA,621.21
ABRIL,2,23,0.027,0.008,0.97,0.019,58,34,24.41,1.80,226.50,NA,621.82
ABRIL,3,0,0.029,0.008,0.95,0.015,51,38,23.15,1.50,210.80,NA,621.99
ABRIL,3,1,0.019,0.008,0.95,0.022,51,29,22.27,1.71,150.50,NA,622.23
ABRIL,3,2,0.021,0.009,0.92,0.019,67,36,21.55,1.59,183.34,NA,622.00
ABRIL,3,3,0.040,0.008,0.89,0.008,66,28,21.54,2.98,233.58,NA,621.77
ABRIL,3,4,0.029,0.008,0.89,0.011,38,26,18.73,2.12,272.18,NA,621.72
ABRIL,3,5,0.025,0.008,0.89,0.012,40,31,17.81,1.61,282.82,NA,621.85
ABRIL,3,6,0.021,0.008,0.90,0.015,44,33,17.15,1.34,258.54,NA,621.99
ABRIL,3,7,0.017,0.008,0.93,0.018,50,28,16.94,1.31,275.69,NA,622.25
ABRIL,3,8,0.010,0.009,1.00,0.024,71,28,18.55,1.18,252.59,NA,622.59
ABRIL,3,9,0.023,0.009,1.00,0.021,77,27,22.02,1.01,209.02,NA,622.88
ABRIL,3,10,0.040,0.009,0.93,0.012,72,25,23.34,2.64,257.65,NA,622.90
ABRIL,3,11,0.050,0.009,0.93,0.009,103,24,25.78,2.58,267.24,NA,622.65
ABRIL,3,12,0.055,0.009,0.91,0.008,52,13,27.83,2.20,254.68,NA,622.16
ABRIL,3,13,0.057,0.008,0.90,0.008,60,9,29.55,2.99,263.15,NA,621.44
ABRIL,3,14,0.061,0.008,0.89,0.008,58,8,30.99,2.36,185.47,NA,620.57
ABRIL,3,15,0.065,0.008,0.90,0.008,345,4,32.16,2.42,203.39,NA,619.69
ABRIL,3,16,0.068,0.008,0.88,0.007,96,8,32.96,2.24,184.51,NA,618.99
ABRIL,3,17,0.066,0.008,0.89,0.009,42,26,33.30,2.46,225.10,NA,618.50
ABRIL,3,18,0.068,0.008,0.88,0.008,42,22,32.83,2.27,256.07,NA,618.20
ABRIL,3,19,0.063,0.008,0.90,0.011,36,27,31.80,2.03,266.76,NA,618.42
ABRIL,3,20,0.042,0.008,0.91,0.014,52,36,29.46,2.87,236.65,NA,618.74
ABRIL,3,21,0.045,0.008,0.92,0.013,86,27,27.88,3.44,236.15,NA,619.44
ABRIL,3,22,0.043,0.008,0.91,0.011,42,38,26.37,3.52,237.40,NA,620.25
ABRIL,3,23,0.040,0.008,0.91,0.009,50,41,24.84,3.21,236.41,NA,620.97
ABRIL,4,0,0.038,0.008,0.90,0.009,53,34,23.55,2.84,242.38,NA,621.67
ABRIL,4,1,0.039,0.008,0.89,0.008,74,37,22.81,2.76,214.07,NA,621.76
ABRIL,4,2,0.035,0.008,0.89,0.008,36,31,21.46,2.74,223.22,NA,621.68
ABRIL,4,3,0.032,0.008,0.88,0.008,45,25,20.53,3.43,232.26,NA,621.35
ABRIL,4,4,0.029,0.008,0.88,0.008,57,22,19.78,2.16,237.61,NA,621.26
ABRIL,4,5,0.026,0.008,0.88,0.010,73,24,18.81,1.81,250.29,NA,621.26
ABRIL,4,6,0.022,0.008,0.88,0.013,47,23,17.81,1.33,263.54,NA,621.38
ABRIL,4,7,0.018,0.008,0.91,0.015,41,22,17.18,1.76,252.37,NA,621.62
ABRIL,4,8,0.016,0.008,0.91,0.016,43,24,17.36,1.88,279.69,NA,621.99
ABRIL,4,9,0.020,0.008,0.92,0.013,49,18,18.90,1.73,280.97,NA,622.40
ABRIL,4,10,0.033,0.008,0.90,0.009,53,16,21.80,2.58,259.26,NA,622.54
ABRIL,4,11,0.042,0.008,0.89,0.008,10,13,24.95,2.68,264.72,NA,622.29
ABRIL,4,12,0.049,0.008,0.89,0.007,124,10,26.77,3.02,264.44,NA,621.79
ABRIL,4,13,0.056,0.009,0.89,0.007,42,8,28.07,3.34,261.53,NA,621.11
ABRIL,4,14,0.058,0.008,0.89,0.007,45,9,29.71,3.24,262.01,NA,620.20
ABRIL,4,15,0.062,0.008,0.90,0.008,96,8,30.66,3.73,269.96,NA,619.41
ABRIL,4,16,0.061,0.008,0.89,0.008,62,19,29.60,3.81,270.76,NA,618.92
ABRIL,4,17,0.059,0.008,0.90,0.009,108,17,29.56,3.50,251.79,NA,618.74
ABRIL,4,18,0.058,0.008,0.89,0.008,52,25,29.22,3.91,264.81,NA,618.79
ABRIL,4,19,0.056,0.008,0.91,0.011,157,28,28.56,2.99,253.36,NA,618.98
