DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,1,0,0.026,0.006,0.010,0.5,19,9,21.16,1.63,100.38,64.98,627.22,0.21
AGOSTO,1,1,0.022,0.006,0.012,0.46,19,13,20.82,1.36,150.48,67.03,627.26,0.18
AGOSTO,1,2,0.016,0.006,0.015,0.46,22,13,20.43,1.75,79.45,67.45,627.17,0.17
AGOSTO,1,3,0.015,0.006,0.013,0.42,20,7,20.08,1.85,66.74,65.02,627.02,0.16
AGOSTO,1,4,0.016,0.008,0.012,0.41,17,12,19.46,1.76,79.62,65.57,626.84,0.16
AGOSTO,1,5,0.013,0.008,0.014,0.41,17,7,18.45,1.41,100.64,69.43,626.77,0.17
AGOSTO,1,6,0.012,0.008,0.014,0.47,17,9,18.42,0.98,116.2,70.05,626.87,0.19
AGOSTO,1,7,0.010,0.010,0.016,0.65,18,14,18.43,1.73,120.76,69.48,627.2,0.26
AGOSTO,1,8,0.013,0.008,0.012,0.66,31,8,18.41,2.75,121.3,70.98,627.62,0.67
AGOSTO,1,9,0.018,0.008,0.011,0.65,28,9,20.48,3.54,81.96,62.62,627.64,1.77
AGOSTO,1,10,0.029,0.010,0.009,0.57,46,7,22.9,4.59,88.86,49.59,627.57,3.27
AGOSTO,1,11,0.033,0.008,0.010,0.6,38,9,23.98,4.85,92.17,45.44,627.46,3.66
AGOSTO,1,12,0.039,0.007,0.009,0.61,47,7,26.26,4.88,88.65,36.93,627.26,5.56
AGOSTO,1,13,0.043,0.006,0.010,0.58,7,24,27.8,4.51,95.23,32.1,626.78,6.12
AGOSTO,1,14,0.046,0.008,0.010,0.53,65,17,28.33,4.12,78.27,30.93,626.29,5.14
AGOSTO,1,15,0.046,0.010,0.010,0.52,38,1,29.13,3.75,83.45,30.62,625.68,5.51
AGOSTO,1,16,0.043,0.009,0.010,0.5,37,1,29.99,3.44,98.97,27.61,625.06,4.7
AGOSTO,1,17,0.047,0.009,0.009,0.46,31,2,30.61,3.03,102.55,26.45,624.34,3.61
AGOSTO,1,18,0.048,0.007,0.008,0.41,72,3,30.74,2.67,115.63,25.88,623.87,2.53
AGOSTO,1,19,0.044,0.010,0.009,0.44,20,10,30.37,2.21,110.63,24.48,623.8,1.19
AGOSTO,1,20,0.033,0.006,0.012,0.5,21,25,28.91,3.72,45.37,26.84,624.21,0.43
AGOSTO,1,21,0.028,0.006,0.010,0.46,22,22,27.07,5.09,44.82,31.16,625.02,0.28
AGOSTO,1,22,0.023,0.028,0.011,0.42,26,24,25.19,5.87,67.01,34.54,625.65,0.23
AGOSTO,1,23,0.024,0.024,0.009,0.42,38,29,23.72,5.01,77.02,41.88,626.17,0.18
AGOSTO,2,0,0.024,0.009,0.008,0.43,36,17,22.23,3.67,85.04,50.3,626.26,0.14
AGOSTO,2,1,0.025,0.008,0.008,0.41,27,21,21.39,3.41,90.43,56.81,626.48,0.12
AGOSTO,2,2,0.023,0.007,0.008,0.4,19,12,20.49,3.08,84.66,63.24,626.74,0.08
AGOSTO,2,3,0.020,0.007,0.010,0.4,18,12,19.94,3.01,80.13,67.13,626.52,0.08
AGOSTO,2,4,0.022,0.010,0.009,0.39,24,12,19.97,3.08,74.87,65.74,626.27,0.08
AGOSTO,2,5,0.016,0.009,0.011,0.4,21,13,18.97,2.29,99.37,70.04,626.29,0.06
AGOSTO,2,6,0.015,0.008,0.011,0.45,21,12,18.18,2.34,98.93,73.51,626.32,0.05
AGOSTO,2,7,0.012,0.007,0.013,0.53,28,8,18.04,3.2,83.84,73.9,626.73,0.13
AGOSTO,2,8,0.013,0.011,0.014,0.57,27,12,19.78,3.62,66.92,67.27,627.03,0.65
AGOSTO,2,9,0.025,0.018,0.010,0.55,50,26,21.64,4.59,70.44,59.06,627.19,1.66
AGOSTO,2,10,0.031,0.011,0.009,0.57,61,18,22.85,4.8,71.85,52.7,627.18,2.87
AGOSTO,2,11,0.033,0.011,0.009,0.57,51,14,24.46,4.62,72.96,45.81,626.97,4.25
AGOSTO,2,12,0.037,0.010,0.009,0.55,71,7,25.91,4.13,83.14,39.13,626.52,5.24
AGOSTO,2,13,0.041,0.007,0.009,0.57,59,7,27.28,3.89,92.45,34.14,626.11,5.66
AGOSTO,2,14,0.045,0.007,0.009,0.56,36,5,28.52,4.08,105.68,30.7,625.68,5.58
