DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,1,12,0.048,0.003,NA,1.30,4,13,22.92,2.29,114.23,62.10,625.33
SEPTIEMBRE,1,13,0.047,0.002,NA,1.14,33,20,23.82,2.29,167.07,60.40,624.99
SEPTIEMBRE,1,14,0.054,0.002,NA,1.04,19,20,25.78,1.76,201.75,54.59,624.33
SEPTIEMBRE,1,15,0.060,0.002,0.008,0.84,15,5,26.61,2.05,237.46,48.38,623.69
SEPTIEMBRE,1,16,0.065,0.003,0.009,0.88,12,3,27.86,1.75,235.47,42.91,623.06
SEPTIEMBRE,1,17,0.063,0.006,0.011,0.90,26,12,28.01,1.92,203.26,43.83,622.71
SEPTIEMBRE,1,18,0.060,0.005,0.011,0.87,22,15,27.36,2.12,216.93,46.87,622.64
SEPTIEMBRE,1,19,0.048,0.004,0.013,0.89,4,30,25.36,2.10,257.05,54.03,622.90
SEPTIEMBRE,1,20,0.047,0.003,0.013,0.92,30,27,24.37,1.98,266.88,57.94,623.31
SEPTIEMBRE,1,21,0.032,0.003,0.023,1.24,32,31,23.56,1.19,253.75,62.88,623.60
SEPTIEMBRE,1,22,0.032,0.003,0.019,1.03,40,34,23.02,1.34,201.88,64.58,624.25
SEPTIEMBRE,1,23,0.033,0.004,0.017,0.98,59,29,23.23,2.35,89.30,58.05,624.73
SEPTIEMBRE,2,0,0.032,0.005,0.015,0.88,28,27,21.85,2.88,88.41,64.20,624.99
SEPTIEMBRE,2,1,0.035,0.005,0.012,0.80,4,18,21.09,3.83,91.95,64.75,625.04
SEPTIEMBRE,2,2,0.033,0.004,0.013,0.81,28,21,19.46,3.31,110.18,75.47,625.36
SEPTIEMBRE,2,3,0.031,0.003,0.010,0.75,31,23,18.34,1.48,172.32,89.80,625.38
SEPTIEMBRE,2,4,0.034,0.003,0.009,0.70,26,17,18.43,1.23,185.15,90.78,625.27
SEPTIEMBRE,2,5,0.035,0.003,0.010,0.70,28,23,18.29,1.38,153.64,90.49,625.13
SEPTIEMBRE,2,6,0.028,0.003,0.010,0.72,27,21,17.86,1.28,279.70,91.39,625.28
SEPTIEMBRE,2,7,0.019,0.003,0.017,0.77,19,21,17.61,1.48,288.67,93.03,625.46
SEPTIEMBRE,2,8,0.018,0.003,0.020,1.15,5,19,18.65,1.63,134.31,84.84,625.81
SEPTIEMBRE,2,9,0.027,0.003,0.017,1.00,37,14,20.35,2.69,105.32,71.45,625.90
SEPTIEMBRE,2,10,0.042,0.003,0.013,1.00,43,21,21.94,3.75,98.39,61.88,625.75
SEPTIEMBRE,2,11,0.053,0.003,0.011,0.93,43,15,23.84,4.28,86.89,51.34,625.73
SEPTIEMBRE,2,12,0.060,0.003,0.011,0.93,52,8,25.33,4.39,86.38,43.60,625.36
SEPTIEMBRE,2,13,0.064,0.003,0.012,0.93,34,9,26.35,3.84,79.44,41.57,624.81
SEPTIEMBRE,2,14,0.063,0.005,0.012,0.91,36,11,27.58,3.41,88.01,38.06,624.23
SEPTIEMBRE,2,15,0.063,0.006,0.011,0.88,39,3,28.47,3.08,100.55,35.89,623.57
SEPTIEMBRE,2,16,0.061,0.011,0.013,0.89,44,4,28.97,2.89,100.52,35.03,622.87
SEPTIEMBRE,2,17,0.064,0.013,0.012,0.85,73,6,29.66,2.60,119.88,33.89,622.46
SEPTIEMBRE,2,18,0.063,0.006,0.012,0.82,45,16,29.04,2.73,118.17,34.72,622.36
SEPTIEMBRE,2,19,0.054,0.005,0.017,0.92,30,20,27.92,2.13,152.99,39.12,622.44
SEPTIEMBRE,2,20,0.039,0.004,0.023,1.04,43,27,26.19,1.25,210.95,46.97,622.63
SEPTIEMBRE,2,21,0.036,0.017,0.019,1.14,43,28,25.36,3.19,76.35,40.54,623.29
SEPTIEMBRE,2,22,0.034,0.009,0.018,0.91,41,35,22.77,3.11,82.22,50.68,623.96
SEPTIEMBRE,2,23,0.040,0.017,0.016,0.79,32,32,22.73,2.93,87.78,39.84,624.58
SEPTIEMBRE,3,0,0.042,0.007,0.013,0.78,5,22,21.11,2.40,92.68,45.17,624.98
