DATOS MÓVILES 2010_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,MZO,1,0,NA,38.83541667,8.604583333,22.8325,1.15875
2010,MZO,1,1,NA,36.8475,8.39,21.44375,1.1525
2010,MZO,1,2,NA,35.26208333,8.000416667,19.6875,1.14875
2010,MZO,1,3,NA,33.84166667,7.750833333,18.3525,1.1475
2010,MZO,1,4,10.08,32.75041667,7.592083333,16.4525,1.14125
2010,MZO,1,5,NA,31.30416667,6.987916667,15.14625,1.13375
2010,MZO,1,6,NA,29.72708333,6.7175,14.4,1.14375
2010,MZO,1,7,21.77,28.68208333,6.46625,12.71875,1.1925
2010,MZO,1,8,41.39,29.63666667,6.325416667,10.95,1.3625
2010,MZO,1,9,16.65,30.44291667,6.19,10.3825,1.4325
2010,MZO,1,10,NA,30.15375,5.518333333,11.21,1.44125
2010,MZO,1,11,NA,29.57833333,5.190833333,12.4075,1.45375
2010,MZO,1,12,NA,29.56166667,5.019583333,14.61625,1.4625
2010,MZO,1,13,NA,30.02583333,4.91875,16.12625,1.46375
2010,MZO,1,14,NA,30.91375,4.852083333,17.46,1.4525
2010,MZO,1,15,NA,31.59,4.807916667,19.53875,1.4075
2010,MZO,1,16,NA,32.35958333,4.74375,22.08875,1.2375
2010,MZO,1,17,NA,32.21583333,4.6975,23.735,1.16875
2010,MZO,1,18,NA,32.62375,4.6675,24.31,1.16625
2010,MZO,1,19,7.62,32.5525,4.670833333,24.22375,1.17625
2010,MZO,1,20,11.79,33.25916667,4.676666667,23.46875,1.195
2010,MZO,1,21,14.48,33.62708333,4.690416667,22.20875,1.2225
2010,MZO,1,22,17.04,34.19458333,4.705416667,20.45375,1.25625
2010,MZO,1,23,21.18,34.90333333,4.735,18.55125,1.29875
2010,MZO,2,0,27.96,36.29083333,4.773333333,16.01375,1.36
2010,MZO,2,1,22.85,38.08333333,4.811666667,13.37875,1.4025
2010,MZO,2,2,21.97,39.15958333,4.81875,10.8125,1.41
2010,MZO,2,3,12.61,39.75,4.809166667,8.6825,1.38875
2010,MZO,2,4,12.45,40.00041667,4.818333333,6.935,1.36375
2010,MZO,2,5,22.56,40.71833333,5.230833333,5.6075,1.355
2010,MZO,2,6,19.88,41.32875,5.348333333,4.64125,1.33375
2010,MZO,2,7,33.72,42.83875,5.68375,4.055,1.36375
2010,MZO,2,8,55.2,43.72625,5.872916667,3.995,1.50875
2010,MZO,2,9,40.85,46.69833333,6.45375,4.35,1.62125
2010,MZO,2,10,23.3,48.99541667,7.81,6.1175,1.67375
2010,MZO,2,11,11.37,50.09833333,8.29375,8.40375,1.70625
2010,MZO,2,12,3.33,50.59375,8.479166667,11.17,1.71875
2010,MZO,2,13,NA,50.49791667,8.612083333,14.89125,1.7225
2010,MZO,2,14,NA,49.84958333,8.69,19.1775,1.725
2010,MZO,2,15,NA,49.53833333,8.73375,22.94125,1.655
2010,MZO,2,16,NA,48.7425,8.78625,26.27875,1.45625
2010,MZO,2,17,NA,48.845,8.835833333,29.09,1.30875
2010,MZO,2,18,3.13,48.5725,8.880416667,30.39375,1.255
2010,MZO,2,19,18.22,48.51,8.910833333,30.01875,1.2625
2010,MZO,2,20,27.9,48.91625,8.960416667,28.10625,1.315
2010,MZO,2,21,21.12,50.31958333,8.995833333,25.57875,1.34375
2010,MZO,2,22,31.79,51.06041667,9.09875,21.47125,1.4075
2010,MZO,2,23,38.09,52.99333333,9.402083333,17.7,1.5
2010,MZO,3,0,30.33,54.61,9.740833333,14.35875,1.56625
2010,MZO,3,1,14.99,55.98083333,10.04791667,11.225,1.62375
2010,MZO,3,2,7.86,56.48791667,10.18625,8.54,1.65375
2010,MZO,3,3,3.92,56.97625,10.24166667,7.065,1.64
2010,MZO,3,4,2.08,57.71958333,10.23,6.55875,1.59
2010,MZO,3,5,5.71,57.92416667,9.870416667,5.44875,1.555
2010,MZO,3,6,10.1,58.74708333,9.801666667,5.33,1.49375
2010,MZO,3,7,6.82,58.97375,9.502083333,5.3825,1.41875
2010,MZO,3,8,8.33,57.93208333,9.2975,5.525,1.3875
2010,MZO,3,9,9.69,54.77166667,8.7425,5.945,1.3875
2010,MZO,3,10,12.16,54.20833333,7.488333333,6.40875,1.42
2010,MZO,3,11,11.16,54.8075,7.77,7.87125,1.4525
2010,MZO,3,12,9.06,55.57083333,8.440416667,10.1675,1.4725
2010,MZO,3,13,NA,55.67458333,8.451666667,13.6175,1.47
2010,MZO,3,14,NA,55.415,8.460416667,17.06125,1.4625
2010,MZO,3,15,NA,55.23666667,8.473333333,20.73125,1.44875
2010,MZO,3,16,NA,55.14541667,8.464583333,24.0375,1.40875
2010,MZO,3,17,NA,54.87791667,8.449583333,27.19,1.34875
2010,MZO,3,18,NA,54.91125,8.436666667,29.46875,1.28125
2010,MZO,3,19,NA,55.37708333,8.406666667,29.675,1.23
2010,MZO,3,20,15.62,54.86458333,8.374166667,27.76375,1.22125
2010,MZO,3,21,22.79,53.40375,8.381666667,25.05875,1.2675
2010,MZO,3,22,18.32,52.96791667,8.332083333,22.575,1.29625
2010,MZO,3,23,14.67,51.53083333,8.061666667,19.9225,1.31875
2010,MZO,4,0,23.96,50.31791667,7.822916667,16.5025,1.37125
2010,MZO,4,1,25.82,49.38916667,7.620416667,12.86,1.44875
2010,MZO,4,2,35.67,50.91166667,7.684166667,9.5875,1.51375
2010,MZO,4,3,39.7,52.33166667,7.734583333,7.12,1.5375
2010,MZO,4,4,42.24,52.88666667,7.83375,6.10875,1.5525
2010,MZO,4,5,40.76,53.33958333,7.964166667,5.30875,1.53125
2010,MZO,4,6,32.27,53.74666667,8.16875,4.27,1.52375
2010,MZO,4,7,41.43,53.77666667,8.26,3.2225,1.56125
2010,MZO,4,8,60.01,54.90333333,8.514583333,3.22,1.65
2010,MZO,4,9,47.87,58.36458333,8.868333333,3.64125,1.71375
2010,MZO,4,10,20.35,58.70625,9.146666667,5.4625,1.68875
2010,MZO,4,11,17.79,58.88916667,8.614583333,7.9875,1.69625
2010,MZO,4,12,NA,58.30375,7.8625,11.44375,1.67125
2010,MZO,4,13,NA,57.86583333,7.802916667,15.19125,1.64875
2010,MZO,4,14,NA,57.82208333,7.796666667,19.09625,1.63
2010,MZO,4,15,NA,57.51208333,7.792083333,22.53875,1.57625
2010,MZO,4,16,NA,57.68166667,7.792916667,25.90125,1.44375
2010,MZO,4,17,NA,57.58,7.799166667,29.05,1.30625
2010,MZO,4,18,NA,57.35583333,7.8,30.87625,1.2675
2010,MZO,4,19,NA,57.43916667,7.805416667,31.5675,1.24125
2010,MZO,4,20,23.31,59.135,7.856666667,29.31875,1.29125
2010,MZO,4,21,17.32,59.82791667,7.9775,26.45125,1.33625
2010,MZO,4,22,10.7,59.69875,7.986666667,23.88,1.35125
2010,MZO,4,23,5.81,59.40833333,8.001666667,22.03125,1.35375
2010,MZO,5,0,10.87,58.10125,7.945416667,19.56625,1.37
2010,MZO,5,1,19.61,57.56416667,7.92125,16.08125,1.4125
2010,MZO,5,2,26.88,56.97041667,7.840416667,12.44375,1.4475
2010,MZO,5,3,31.31,56.18333333,7.86,9.22,1.47625
