DATOS MÓVILES 2010_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,ABR,1,0,15.87,62.995,8.267916667,20.3825,1.48875
2010,ABR,1,1,23.72,63.37291667,8.367916667,17.0225,1.49875
2010,ABR,1,2,26.01,63.00416667,8.69125,13.41375,1.5225
2010,ABR,1,3,26.53,62.91583333,8.922916667,9.8825,1.53875
2010,ABR,1,4,25.38,61.88958333,8.471666667,8.12375,1.50625
2010,ABR,1,5,26.16,60.19916667,8.375416667,7.36375,1.41125
2010,ABR,1,6,28.64,60.77708333,8.00375,5.8225,1.415
2010,ABR,1,7,24.25,60.30875,8.034166667,4.78375,1.42
2010,ABR,1,8,30.84,59.09916667,7.669583333,4.07375,1.47
2010,ABR,1,9,31.67,55.55458333,6.95,4.67375,1.51
2010,ABR,1,10,12.64,52.55791667,6.749583333,6.76125,1.5
2010,ABR,1,11,10.58,51.4275,6.705416667,9.52375,1.49125
2010,ABR,1,12,10.49,51.04583333,6.685416667,12.56125,1.49375
2010,ABR,1,13,10.25,50.67125,6.677083333,15.63625,1.49125
2010,ABR,1,14,10.29,50.81416667,6.680416667,18.61875,1.48375
2010,ABR,1,15,9.32,50.62333333,6.680833333,21.5075,1.47375
2010,ABR,1,16,9.39,50.52,6.68875,24.21125,1.4225
2010,ABR,1,17,8.29,50.89541667,6.707083333,26.3425,1.36875
2010,ABR,1,18,9.63,50.12583333,6.70375,26.94625,1.355
2010,ABR,1,19,9.88,50.57565217,6.69,26.57875,1.345
2010,ABR,1,20,12.67,49.93045455,6.6475,25.68375,1.345
2010,ABR,1,21,17.77,46.67333333,6.5525,24.46,1.35625
2010,ABR,1,22,18.37,45.058,6.5325,23.07,1.3675
2010,ABR,1,23,16.2,45.33421053,6.517916667,21.30125,1.3725
2010,ABR,2,0,12.91,46.09111111,6.489583333,19.6875,1.3725
2010,ABR,2,1,10.93,NA,6.331666667,18.24375,1.3725
2010,ABR,2,2,15.79,NA,5.970833333,16.37625,1.37375
2010,ABR,2,3,20.63,NA,5.69125,14.50875,1.385
2010,ABR,2,4,18.82,NA,5.542916667,13.05375,1.3775
2010,ABR,2,5,15.19,NA,5.32125,12.3675,1.35875
2010,ABR,2,6,14.08,NA,5.080416667,11.94125,1.3375
