DATOS MÓVILES 2010_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2010,JUN,1,0,12.66,61.94125,10.39833333,30.2525,1.7075
2010,JUN,1,1,10.94,62.16041667,10.44083333,26.51125,1.71625
2010,JUN,1,2,11.34,63.19166667,10.505,21.74625,1.72625
2010,JUN,1,3,11.13,63.665,10.545,17.4325,1.73125
2010,JUN,1,4,19.02,64.37416667,10.55916667,16.0225,1.71625
2010,JUN,1,5,19.8,64.93041667,10.57125,16.2925,1.67
2010,JUN,1,6,23.31,65.1875,10.53,15.20875,1.665
2010,JUN,1,7,32.66,62.95125,9.585416667,12.93625,1.7025
2010,JUN,1,8,25.8,61.99708333,9.341666667,12.16625,1.73875
2010,JUN,1,9,16.82,62.4875,9.292083333,12.47125,1.77375
2010,JUN,1,10,19.28,63.46166667,9.191666667,15.39125,1.81
2010,JUN,1,11,16.84,64.62208333,8.817083333,19.91875,1.83625
2010,JUN,1,12,11.87,65.73958333,8.803333333,25.7425,1.8575
2010,JUN,1,13,10.14,66.14125,8.83125,30.8325,1.86875
2010,JUN,1,14,8.91,66.55791667,8.816666667,36.36125,1.865
2010,JUN,1,15,8.67,66.87958333,8.782083333,42.515,1.8275
2010,JUN,1,16,11.05,67.44875,8.788333333,47.1325,1.7825
2010,JUN,1,17,9.75,68.10291667,8.809166667,51.15875,1.74
2010,JUN,1,18,11.82,68.80875,8.82,52.43125,1.7025
2010,JUN,1,19,13.03,69.15291667,8.835833333,51.5525,1.68125
2010,JUN,1,20,21.11,69.79166667,8.82375,49.0625,1.6725
2010,JUN,1,21,22.08,69.5025,8.770416667,45.60125,1.6775
2010,JUN,1,22,11.02,70.54708333,8.747083333,42.455,1.66625
2010,JUN,1,23,13.51,70.96333333,8.76,39.235,1.66875
2010,JUN,2,0,12.35,71.535,8.7375,35.80875,1.67625
2010,JUN,2,1,20.14,72.11708333,8.999166667,31.9525,1.685
2010,JUN,2,2,12.82,71.63375,9.017083333,29.63,1.67875
2010,JUN,2,3,13.02,71.57708333,9.002083333,27.26125,1.67125
2010,JUN,2,4,12.93,71.705,9.011666667,25.71,1.65625
2010,JUN,2,5,14.08,71.24375,9.020416667,25.365,1.6325
2010,JUN,2,6,22.59,70.34416667,9.0125,23.5875,1.63875
2010,JUN,2,7,34.7,69.96666667,9.009166667,20.91625,1.65875
2010,JUN,2,8,18.02,70.36875,8.998333333,20.695,1.66875
2010,JUN,2,9,12.98,68.77708333,8.947916667,21.97875,1.67375
2010,JUN,2,10,9.85,65.65041667,8.76875,23.39125,1.6775
2010,JUN,2,11,8.97,62.39,8.360416667,25.89875,1.6825
2010,JUN,2,12,8.96,60.34791667,8.122083333,28.545,1.67875
2010,JUN,2,13,8.94,59.10875,8.017916667,30.5775,1.67
2010,JUN,2,14,10.54,58.24541667,7.9925,33.3025,1.65625
2010,JUN,2,15,11.36,58.28791667,8.005,36.505,1.625
2010,JUN,2,16,15.99,58.25625,8.013333333,36.8475,1.60625
2010,JUN,2,17,18.6,58.9325,8.006666667,35.85625,1.59375
2010,JUN,2,18,13.16,59.02,7.985416667,33.9125,1.59
2010,JUN,2,19,21.37,58.91166667,7.9675,30.03875,1.59
2010,JUN,2,20,NA,58.3726087,7.979565217,27.71142857,1.59
2010,JUN,2,21,NA,56.70772727,7.985,25.76833333,1.596666667
2010,JUN,2,22,NA,55.09428571,8.001428571,NA,NA
2010,JUN,2,23,NA,54.497,8.0125,NA,NA
2010,JUN,3,0,NA,54.03947368,7.926315789,NA,NA
2010,JUN,3,1,14.15,52.88947368,7.518421053,NA,NA
2010,JUN,3,2,13.02,52.41947368,7.367894737,NA,NA
2010,JUN,3,3,12.79,51.73,7.282631579,NA,NA
2010,JUN,3,4,13.74,51.04210526,7.240526316,NA,NA
2010,JUN,3,5,33.07,51.46210526,7.229473684,NA,NA
2010,JUN,3,6,33.8,53.41,7.23,16.45,1.605
2010,JUN,3,7,33.65,53.96210526,7.253684211,14.98714286,1.632857143
2010,JUN,3,8,40.69,53.66,7.307368421,14.055,1.665
2010,JUN,3,9,16.69,55.16157895,7.355263158,14.59,1.68375
2010,JUN,3,10,10.73,56.83421053,7.458421053,15.68125,1.69375
2010,JUN,3,11,9.79,59.97736842,7.542631579,17.155,1.7075
2010,JUN,3,12,9.22,61.94052632,7.57,19.54875,1.715
2010,JUN,3,13,9.26,63.58736842,7.582631579,23.94875,1.71375
2010,JUN,3,14,9.15,64.41789474,7.559473684,27.745,1.705
2010,JUN,3,15,8.68,65.23157895,7.527894737,31.2825,1.6775
2010,JUN,3,16,8.51,71.42105263,7.488421053,34.42625,1.63375
2010,JUN,3,17,8.87,71.36789474,7.447368421,35.03875,1.60375
2010,JUN,3,18,8.53,70.14684211,7.441052632,35.42375,1.58375
2010,JUN,3,19,9.24,69.43894737,7.428421053,35.3375,1.56375
2010,JUN,3,20,14.92,68.243,7.406,33.6525,1.5525
2010,JUN,3,21,27.36,67.55238095,7.413333333,30.87125,1.55625
2010,JUN,3,22,30.07,67.33090909,7.423636364,27.8925,1.5675
2010,JUN,3,23,30.68,67.62391304,7.445217391,24.99,1.5875
2010,JUN,4,0,18.74,67.40916667,7.43,22.84625,1.5975
2010,JUN,4,1,20.1,67.19291667,7.428333333,20.5125,1.615
2010,JUN,4,2,17.43,66.83166667,7.43,17.6625,1.62875
2010,JUN,4,3,34.1,66.93625,7.4525,13.97375,1.64625
2010,JUN,4,4,39.45,68.29416667,7.477083333,11.10875,1.6575
2010,JUN,4,5,35.24,70.55041667,8.229166667,9.28875,1.66875
2010,JUN,4,6,46.85,71.34166667,9.859166667,8.25875,1.695
2010,JUN,4,7,59.77,73.89791667,10.62875,7.26125,1.76375
2010,JUN,4,8,38.41,77.55666667,11.23541667,6.2075,1.8375
2010,JUN,4,9,24.58,78.69916667,11.40833333,7.3975,1.89875
2010,JUN,4,10,17.98,80.09208333,11.59958333,10.0125,1.96
2010,JUN,4,11,14.26,79.65541667,12.06458333,15.125,2
2010,JUN,4,12,12.35,79.47166667,12.31625,20.70125,2.03
2010,JUN,4,13,10.68,79.51541667,12.43083333,25.835,2.0375
2010,JUN,4,14,8.92,79.81083333,12.47708333,30.45875,2.01625
2010,JUN,4,15,8.97,78.85291667,12.50333333,34.92625,1.93875
2010,JUN,4,16,8.44,73.62125,12.525,39.2425,1.87125
2010,JUN,4,17,8.07,72.76541667,12.54,41.645,1.805
2010,JUN,4,18,8.27,72.9825,12.55083333,42.58125,1.7425
2010,JUN,4,19,9.01,73.04666667,12.55916667,42.065,1.6925
2010,JUN,4,20,21.91,73.01208333,12.5875,39.695,1.66375
2010,JUN,4,21,63.1,75.40375,12.78458333,34.64125,1.715
2010,JUN,4,22,19.22,79.53125,12.85041667,31.155,1.74625
2010,JUN,4,23,14.82,81.06416667,12.825,27.55,1.76375
2010,JUN,5,0,12.66,81.64875,12.84125,24.1075,1.77125
2010,JUN,5,1,11.59,82.31875,12.87375,21,1.77875
2010,JUN,5,2,11.74,82.5575,12.92291667,17.995,1.78
2010,JUN,5,3,11.39,82.46208333,12.96416667,14.9,1.78625
2010,JUN,5,4,14.96,80.98791667,13.00833333,13.21875,1.78
2010,JUN,5,5,21.23,78.19333333,12.30458333,14.62625,1.7075
2010,JUN,5,6,32.26,76.36125,10.74833333,13.60625,1.6725
2010,JUN,5,7,35.21,72.53625,10.035,12.9575,1.6825
2010,JUN,5,8,32.84,68.6525,9.45875,12.2625,1.69625
2010,JUN,5,9,22.04,66.92208333,9.305833333,13.37125,1.7125
2010,JUN,5,10,17.73,67.21458333,9.620833333,15.83,1.73625
2010,JUN,5,11,11.86,67.28,9.72125,19.01,1.755
2010,JUN,5,12,9.89,66.47583333,9.631666667,22.24625,1.76875
2010,JUN,5,13,9.38,66.15916667,9.623333333,25.9925,1.77875
2010,JUN,5,14,9.37,66.15375,9.652916667,31.52125,1.775
2010,JUN,5,15,9.87,67.34708333,9.659166667,36.68875,1.74625
2010,JUN,5,16,9.19,67.55708333,9.661666667,41.44875,1.7225
2010,JUN,5,17,8.98,68.12458333,9.685,44.16125,1.6975
2010,JUN,5,18,9.28,68.86791667,9.74375,44.0075,1.67375
2010,JUN,5,19,11.29,74.31666667,9.731666667,40.4725,1.66125
2010,JUN,5,20,13.28,76.27291667,9.735,37.5125,1.6675
2010,JUN,5,21,15.39,76.82666667,9.62,33.9525,1.69125
2010,JUN,5,22,20.87,74.84,9.586666667,30.315,1.71875
2010,JUN,5,23,16.26,73.64416667,9.68375,26.92875,1.74875
2010,JUN,6,0,15.23,74.08583333,9.777083333,23.70875,1.78125
2010,JUN,6,1,16.99,74.47625,9.85625,20.33375,1.8075
2010,JUN,6,2,19.64,74.61541667,9.92,18.0375,1.82375
2010,JUN,6,3,18.46,75.12541667,9.948333333,18.64875,1.83
2010,JUN,6,4,17.35,75.64,9.934166667,18.80375,1.825
2010,JUN,6,5,12.29,76.13708333,9.910833333,19.73375,1.7975
2010,JUN,6,6,11.83,75.98125,9.857916667,20.2875,1.76875
2010,JUN,6,7,15.07,76.10875,9.794166667,20.37125,1.7475
2010,JUN,6,8,11.82,73.8925,9.729166667,20.7275,1.725
2010,JUN,6,9,10.43,72.75,9.67375,21.8325,1.71125
2010,JUN,6,10,10.86,71.0675,9.161666667,23.76375,1.71
2010,JUN,6,11,9.81,71.51916667,8.632916667,26.01375,1.71125
2010,JUN,6,12,8.97,71.63541667,8.495833333,28.27,1.70625
2010,JUN,6,13,8.59,71.00583333,8.42,30.17875,1.705
2010,JUN,6,14,8.47,70.88375,8.382083333,32.26125,1.70125
2010,JUN,6,15,8.11,70.13458333,8.375833333,34.96875,1.68625
2010,JUN,6,16,8.31,70.15208333,8.371666667,37.29625,1.67
2010,JUN,6,17,9.27,69.61708333,8.354583333,38.97375,1.6575
2010,JUN,6,18,9.24,69.52208333,8.30375,39.63125,1.6375
2010,JUN,6,19,11.73,67.37166667,8.301666667,37.045,1.62375
2010,JUN,6,20,13.96,70.87625,8.279583333,35.46875,1.62
2010,JUN,6,21,13.36,68.34791667,8.18,34.31375,1.615
2010,JUN,6,22,11.26,65.96083333,8.118333333,32.5,1.6125
2010,JUN,6,23,16.72,64.11291667,8.020833333,30.71875,1.6175
2010,JUN,7,0,15.07,62.18375,7.904166667,28.00125,1.625
2010,JUN,7,1,13.86,61.18125,7.819583333,24.8175,1.63125
2010,JUN,7,2,12.82,60.62708333,7.747916667,22.07625,1.6375
2010,JUN,7,3,16.45,59.88625,7.731666667,22.43125,1.63375
2010,JUN,7,4,11.16,59.24375,7.82125,21.295,1.62875
2010,JUN,7,5,21.64,58.98541667,7.91375,18.32125,1.63
2010,JUN,7,6,27.42,58.87875,8.195833333,15.6975,1.6475
2010,JUN,7,7,28.85,59.14291667,8.370416667,12.9275,1.68125
2010,JUN,7,8,20.46,61.14666667,8.465416667,11.5,1.7275
2010,JUN,7,9,20.2,62.70541667,8.624166667,11.305,1.78
2010,JUN,7,10,16.93,62.84,8.78375,16.8025,1.815
2010,JUN,7,11,10,61.86458333,8.982916667,16.53142857,1.83375
2010,JUN,7,12,NA,62.06791667,9.1,24.23857143,1.84
2010,JUN,7,13,NA,62.87291667,9.175652174,35.54571429,1.8375
2010,JUN,7,14,27.29,62.2075,9.267272727,44.23428571,1.79375
2010,JUN,7,15,37.35,61.95833333,9.376666667,52.31,1.67875
2010,JUN,7,16,17.27,62.0325,9.4935,58.32,1.5725
2010,JUN,7,17,18.58,63.40958333,9.628947368,63.21857143,1.46125
2010,JUN,7,18,15.35,64.64958333,9.765555556,58.82285714,1.3625
2010,JUN,7,19,12.09,62.58833333,NA,54.77875,1.2875
2010,JUN,7,20,12.82,57.77666667,NA,50.055,1.22125
2010,JUN,7,21,24.25,57.79916667,NA,42.79,1.17125
2010,JUN,7,22,29.95,57.93125,NA,37.27125,1.15375
2010,JUN,7,23,24.75,58.87833333,NA,32.6725,1.1825
2010,JUN,8,0,18.54,59.77083333,NA,29.55,1.18375
2010,JUN,8,1,17.64,59.75708333,NA,25.94375,1.18625
2010,JUN,8,2,20.75,60.34958333,NA,24.98,1.19625
2010,JUN,8,3,19.82,60.23708333,NA,24.08375,1.2
2010,JUN,8,4,21.02,59.53375,NA,22.32625,1.20375
2010,JUN,8,5,25.24,58.56916667,NA,20.5975,1.20125
2010,JUN,8,6,31.7,58.18041667,NA,18.96375,1.20125
2010,JUN,8,7,38.3,57.74041667,NA,17.27,1.23
2010,JUN,8,8,23.73,58.38833333,NA,15.9625,1.27
2010,JUN,8,9,22.8,57.36125,NA,16.47625,1.30375
2010,JUN,8,10,20.6,57.28291667,NA,18.28125,1.32625
2010,JUN,8,11,17.11,57.27166667,NA,21.76125,1.34125
2010,JUN,8,12,15.44,57.52958333,NA,26.32375,1.3525
2010,JUN,8,13,11.43,57.51,NA,31.325,1.34875
2010,JUN,8,14,10.42,58.00666667,NA,36.3075,1.335
2010,JUN,8,15,10.89,57.90083333,NA,41.0375,1.2925
2010,JUN,8,16,9.79,57.67541667,NA,45.63625,1.24
2010,JUN,8,17,10,56.24,NA,49.0475,1.19
2010,JUN,8,18,16.79,54.91625,NA,48.66125,1.17
2010,JUN,8,19,15.52,54.14291667,NA,46.585,1.15125
2010,JUN,8,20,14.59,54.02791667,NA,44.00375,1.135
2010,JUN,8,21,15.82,53.6925,NA,41.30375,1.1325
2010,JUN,8,22,12.3,53.385,NA,37.675,1.13625
2010,JUN,8,23,13.71,53.42625,NA,33.36875,1.145
2010,JUN,9,0,11.72,53.79958333,NA,29.2575,1.15
2010,JUN,9,1,11.45,53.51125,NA,26.035,1.15375
2010,JUN,9,2,11.83,53.22,NA,25.5025,1.13875
2010,JUN,9,3,10.38,52.69291667,NA,25.54125,1.13
2010,JUN,9,4,14.05,52.50916667,NA,25.0925,1.1225
2010,JUN,9,5,13.91,52.28666667,NA,24.4875,1.11375
2010,JUN,9,6,16.48,51.28916667,NA,25.4,1.1025
2010,JUN,9,7,30.41,50.08083333,NA,25.56125,1.10875
2010,JUN,9,8,19.78,47.67791667,NA,27.05625,1.12
2010,JUN,9,9,15.86,46.21833333,NA,28.63625,1.13875
2010,JUN,9,10,16.04,45.80541667,NA,30.77875,1.16375
2010,JUN,9,11,14.67,46.31791667,NA,33.9075,1.1975
2010,JUN,9,12,13.25,46.39625,NA,38.82875,1.22875
2010,JUN,9,13,14.77,47.23791667,NA,44.025,1.26125
2010,JUN,9,14,10.99,47.635,NA,48.35875,1.2825
2010,JUN,9,15,12.66,47.85375,NA,54.365,1.26875
2010,JUN,9,16,10.31,48.19083333,NA,57.2125,1.2525
2010,JUN,9,17,9.93,48.09458333,NA,58.85625,1.22875
2010,JUN,9,18,9.64,47.81458333,NA,59.76625,1.2
2010,JUN,9,19,14.67,50.57541667,NA,55.17,1.18375
2010,JUN,9,20,16.95,53.49083333,NA,49.995,1.17
2010,JUN,9,21,13.65,52.42625,NA,44.06875,1.14
2010,JUN,9,22,14.91,51.1025,NA,41.395,1.12625
2010,JUN,9,23,19.42,49.48875,NA,38.03375,1.13
2010,JUN,10,0,14.84,47.485,NA,35.85875,1.13625
2010,JUN,10,1,15.68,47.09958333,NA,32.51375,1.14625
2010,JUN,10,2,20.66,46.56333333,NA,27.75625,1.1525
2010,JUN,10,3,23.88,47.08375,NA,28.12125,1.14125
2010,JUN,10,4,25.42,47.51833333,NA,26.9825,1.12875
2010,JUN,10,5,33.97,47.98958333,NA,25.915,1.1375
2010,JUN,10,6,30.42,48.85166667,NA,22.6425,1.1425
2010,JUN,10,7,32,49.17833333,NA,19.385,1.1525
2010,JUN,10,8,30.37,49.06291667,NA,16.87875,1.17375
2010,JUN,10,9,21.04,50.45416667,NA,17.62,1.20125
2010,JUN,10,10,20.72,50.76916667,NA,21.59625,1.23
2010,JUN,10,11,18.31,50.23708333,NA,26.62875,1.25125
