DATOS MÓVILES 2011_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2011,AGO,1,0,NA,20.43913043,12.64652174,NA,1.222857143
2011,AGO,1,1,NA,20.36347826,12.62,NA,1.222857143
2011,AGO,1,2,NA,20.25304348,12.58565217,NA,1.212857143
2011,AGO,1,3,NA,20.47,11.7773913,NA,1.184285714
2011,AGO,1,4,NA,19.99652174,11.64391304,NA,1.134285714
2011,AGO,1,5,NA,19.51217391,11.65478261,NA,1.11
2011,AGO,1,6,NA,19.3073913,11.50913043,NA,1.09
2011,AGO,1,7,NA,19.53,11.49956522,NA,1.098571429
2011,AGO,1,8,NA,20.27043478,11.52,NA,1.13
2011,AGO,1,9,NA,21.21565217,11.52130435,NA,1.1575
2011,AGO,1,10,NA,22.0473913,11.46217391,NA,1.18375
2011,AGO,1,11,NA,23.02608696,11.40434783,NA,1.2075
2011,AGO,1,12,NA,24.04652174,11.31478261,NA,1.2275
2011,AGO,1,13,NA,24.98956522,11.19956522,NA,1.245
2011,AGO,1,14,NA,26.17652174,11.06521739,NA,1.26875
2011,AGO,1,15,NA,27.28434783,10.96434783,NA,1.27
2011,AGO,1,16,NA,29.48086957,10.88043478,NA,1.25625
2011,AGO,1,17,NA,30.59782609,10.81826087,NA,1.24375
2011,AGO,1,18,NA,31.64826087,10.73956522,NA,1.2375
2011,AGO,1,19,NA,32.04695652,10.61347826,NA,1.24375
2011,AGO,1,20,NA,32.52565217,10.54217391,NA,1.25
2011,AGO,1,21,NA,33.32086957,10.56826087,NA,1.255
2011,AGO,1,22,NA,34.25086957,10.71130435,NA,1.2425
2011,AGO,1,23,NA,34.84565217,10.77565217,NA,1.225
2011,AGO,2,0,NA,34.41375,10.80083333,NA,1.20625
2011,AGO,2,1,NA,34.40416667,10.8325,NA,1.1875
2011,AGO,2,2,NA,34.505,10.87666667,NA,1.165
2011,AGO,2,3,NA,34.60666667,10.93916667,NA,1.135
2011,AGO,2,4,NA,34.56833333,10.99,NA,1.1075
2011,AGO,2,5,NA,34.40291667,11.02458333,NA,1.085
2011,AGO,2,6,NA,34.24583333,11.03375,NA,1.07625
2011,AGO,2,7,NA,33.97125,11.0775,NA,1.09375
2011,AGO,2,8,NA,34.52,11.125,NA,1.13375
2011,AGO,2,9,NA,34.68458333,11.16458333,NA,1.17625
2011,AGO,2,10,NA,34.64833333,11.21375,NA,1.20875
2011,AGO,2,11,NA,34.46083333,11.26416667,NA,1.23625
2011,AGO,2,12,NA,34.18208333,11.31875,NA,1.2625
2011,AGO,2,13,NA,34.08708333,11.34791667,NA,1.2825
2011,AGO,2,14,NA,33.72916667,11.37416667,NA,1.2875
2011,AGO,2,15,NA,33.53958333,11.36416667,NA,1.27625
2011,AGO,2,16,NA,32.12666667,11.3275,NA,1.23875
2011,AGO,2,17,NA,32.26041667,11.33541667,NA,1.2075
2011,AGO,2,18,NA,31.78291667,11.315,NA,1.185
2011,AGO,2,19,NA,31.55791667,11.3325,NA,1.1675
2011,AGO,2,20,NA,31.76291667,11.29791667,NA,1.1575
2011,AGO,2,21,NA,32.54416667,11.22708333,NA,1.1475
2011,AGO,2,22,NA,31.80041667,11.035,NA,1.14625
2011,AGO,2,23,NA,31.24833333,10.9625,NA,1.14125
2011,AGO,3,0,NA,30.85583333,10.95,NA,1.14375
2011,AGO,3,1,NA,30.70541667,10.90333333,NA,1.1325
2011,AGO,3,2,NA,30.91,10.87625,NA,1.13
2011,AGO,3,3,NA,31.44125,10.86833333,NA,1.13375
2011,AGO,3,4,NA,31.83916667,10.85333333,NA,1.13
2011,AGO,3,5,NA,32.05583333,10.84791667,NA,1.13125
