DATOS MÓVILES 2012_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2012,JUL,1,0,19.92,33.27,8.707083333,40.5925,0.77
2012,JUL,1,1,11.38,33.8275,8.844583333,38.3075,0.7725
2012,JUL,1,2,14.59,33.9225,8.875,35.56375,0.77125
2012,JUL,1,3,14.27,33.80916667,8.88125,33.40125,0.76
2012,JUL,1,4,12.04,33.5725,8.890416667,33.055,0.74375
2012,JUL,1,5,10.5,34.0075,8.92,32.45125,0.7275
2012,JUL,1,6,19.69,34.57125,8.969166667,31.02625,0.715
2012,JUL,1,7,27.33,35.35416667,9.0575,29.4725,0.70625
2012,JUL,1,8,19,36.12166667,9.092083333,28.5375,0.68375
2012,JUL,1,9,16.81,36.4125,9.121666667,27.16125,0.68625
2012,JUL,1,10,10.85,36.77875,9.13125,27.66875,0.69125
2012,JUL,1,11,9.91,36.79041667,9.142083333,28.94,0.70125
2012,JUL,1,12,8.52,36.52416667,9.146666667,30.515,0.7125
2012,JUL,1,13,6.83,36.85375,9.142916667,32.8225,0.7225
2012,JUL,1,14,8.47,37.44875,9.141666667,37.35,0.7275
2012,JUL,1,15,15.35,37.50916667,9.15,41.9975,0.73625
2012,JUL,1,16,12.27,37.35708333,9.149166667,46.00625,0.7375
2012,JUL,1,17,13.64,36.83166667,9.150833333,49.07375,0.73875
2012,JUL,1,18,10.37,37.52041667,9.145416667,50.7475,0.73625
2012,JUL,1,19,8.96,39.02458333,9.129583333,51.92125,0.72875
2012,JUL,1,20,13.91,38.25708333,9.114166667,51.105,0.7225
2012,JUL,1,21,19.95,37.63916667,9.106666667,48.3525,0.7225
2012,JUL,1,22,19.61,37.69958333,9.867916667,44.2425,0.72625
2012,JUL,1,23,15.02,37.92625,9.48625,41.07625,0.71625
2012,JUL,2,0,16.63,38.05333333,7.2125,37.01625,0.7025
2012,JUL,2,1,13.71,38.28083333,7.094166667,33.64375,0.6825
2012,JUL,2,2,19.41,38.47208333,7.075,29.53,0.6675
2012,JUL,2,3,19.19,38.63583333,7.0675,25.64,0.655
2012,JUL,2,4,25.65,38.72916667,7.066666667,22.20125,0.64375
2012,JUL,2,5,37.47,38.95208333,7.06,18.745,0.63
2012,JUL,2,6,41.49,39.36875,7.06125,15.72375,0.63125
2012,JUL,2,7,43.64,40.04375,7.1075,12.73875,0.66
2012,JUL,2,8,37.65,41.40875,7.264583333,10.58375,0.71375
2012,JUL,2,9,32.59,43.39708333,7.423333333,8.83375,0.77625
2012,JUL,2,10,23.55,44.96208333,7.591666667,9.77125,0.84
2012,JUL,2,11,14.94,46.16875,7.7075,11.91,0.8975
2012,JUL,2,12,17.55,47.87333333,7.836666667,15.03625,0.95125
2012,JUL,2,13,13.72,50.89,8.000833333,20.77625,0.99375
2012,JUL,2,14,14.37,51.0625,9.453333333,27.99125,1.015
2012,JUL,2,15,16.75,51.98708333,11.38791667,34.61125,1.00625
2012,JUL,2,16,15.37,53.98291667,11.47333333,40.21875,0.97375
2012,JUL,2,17,19.36,58.415,11.67625,44.46375,0.93875
2012,JUL,2,18,21.92,58.40708333,11.78708333,46.31875,0.905
2012,JUL,2,19,32.69,57.48708333,13.22125,45.74875,0.89125
2012,JUL,2,20,34.4,59.01833333,13.54083333,43.465,0.8725
2012,JUL,2,21,24.3,59.86208333,13.6175,40.74125,0.85875
2012,JUL,2,22,21.61,60.13541667,14.03083333,36.72375,0.85
2012,JUL,2,23,20.23,59.85291667,14.06958333,32.78125,0.8425
2012,JUL,3,0,12.69,59.44875,14.06666667,30.7075,0.83125
2012,JUL,3,1,6.61,58.725,14.05916667,30.46375,0.81375
2012,JUL,3,2,10.16,58.29583333,14.02041667,29.8625,0.7925
2012,JUL,3,3,13.78,57.98333333,14.00541667,29.48625,0.7575
2012,JUL,3,4,10.88,57.79333333,13.99166667,31.01875,0.73
2012,JUL,3,5,9.75,57.23333333,13.955,31.5375,0.705
2012,JUL,3,6,14.97,56.3475,13.89416667,31.285,0.6825
2012,JUL,3,7,42.79,54.97208333,14.0525,29.25875,0.69375
2012,JUL,3,8,41.99,52.84791667,13.99,26.06375,0.735
2012,JUL,3,9,30.58,50.78083333,13.88125,22.8,0.7775
2012,JUL,3,10,19.46,49.77916667,13.75166667,21.95375,0.81375
2012,JUL,3,11,15.95,49.18875,13.67333333,23.34,0.845
2012,JUL,3,12,17.84,48.59708333,13.595,25.0475,0.875
2012,JUL,3,13,18.62,46.55208333,13.51875,27.30875,0.9125
