DATOS MÓVILES 2012_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2012,OCT,1,0,14.12,29.28708333,25.63916667,24.8225,0.73
2012,OCT,1,1,14.18,28.62708333,25.7775,21.24,0.72125
2012,OCT,1,2,14.4,28.86166667,25.8475,17.53,0.7075
2012,OCT,1,3,16.75,28.92958333,25.92416667,15,0.67
2012,OCT,1,4,12.93,29.07333333,26.54625,14.06875,0.63875
2012,OCT,1,5,12.95,29.54083333,27.16541667,13.26375,0.6175
2012,OCT,1,6,15.04,29.63458333,27.34625,11.6075,0.63875
2012,OCT,1,7,20.01,29.44333333,27.48083333,10.92375,0.66625
2012,OCT,1,8,21.14,28.97041667,27.59916667,10.38,0.7425
2012,OCT,1,9,18.77,28.55041667,28.05208333,10.71375,0.815
2012,OCT,1,10,15.59,28.94125,28.66458333,13.00625,0.855
2012,OCT,1,11,13.87,28.9125,28.78083333,16.13625,0.88625
2012,OCT,1,12,14.91,28.63916667,27.23833333,18.5675,0.9225
2012,OCT,1,13,12.85,26.70708333,24.19166667,21.68875,0.9575
2012,OCT,1,14,14.47,25.03833333,23.80708333,26.29875,0.93125
2012,OCT,1,15,13.44,23.29541667,22.7575,31.72,0.86375
2012,OCT,1,16,10.84,22.17541667,20.90958333,37.71125,0.76375
2012,OCT,1,17,15.09,22.21208333,20.30333333,42.4925,0.69875
2012,OCT,1,18,21.27,22.7475,20.50041667,43.3075,0.7
2012,OCT,1,19,33.94,23.1675,19.77833333,41.41875,0.77375
2012,OCT,1,20,41.22,24.26041667,17.745,38.53,0.85875
2012,OCT,1,21,47.41,26.07875,17.66166667,34.4625,0.9475
2012,OCT,1,22,37.45,27.90541667,17.53,29.75875,1.01625
2012,OCT,1,23,31.55,28.67083333,18.44958333,24.87375,1.04
2012,OCT,2,0,21.37,29.1575,18.43333333,20.2375,1.04625
2012,OCT,2,1,20,29.01,18.3775,15.665,1.0325
2012,OCT,2,2,23.07,28.86333333,18.36708333,13.53,0.98375
2012,OCT,2,3,14.77,28.69166667,18.39458333,14.44875,0.865
2012,OCT,2,4,13.95,28.62791667,18.17958333,16.97125,0.72875
2012,OCT,2,5,21.76,28.5625,19.05083333,19.10375,0.595
2012,OCT,2,6,28.29,28.775,19.06916667,19.79625,0.56
2012,OCT,2,7,37.31,30.25958333,19.13208333,19.42125,0.61875
2012,OCT,2,8,32.45,32.35958333,19.58083333,19.02875,0.7175
2012,OCT,2,9,22.75,33.86541667,19.73958333,20.41875,0.76375
2012,OCT,2,10,19.2,34.2975,19.65458333,23.225,0.8075
2012,OCT,2,11,19.15,34.7275,20.26541667,25.34625,0.84625
2012,OCT,2,12,19.59,34.62458333,20.39916667,27.46875,0.88875
2012,OCT,2,13,21.42,35.33916667,20.97166667,30.48375,0.9325
2012,OCT,2,14,21.26,36.07583333,19.99958333,34.5175,0.92375
2012,OCT,2,15,20.35,36.7325,20.54875,39.38,0.86125
2012,OCT,2,16,16.67,36.90666667,20.9575,43.6425,0.7725
2012,OCT,2,17,23.76,36.87958333,21.535,45.61125,0.77
2012,OCT,2,18,21.39,36.92708333,21.9325,46.605,0.77125
2012,OCT,2,19,29.78,35.805,21.8975,45.895,0.79
2012,OCT,2,20,35.84,34.20958333,21.8775,43.7225,0.81875
2012,OCT,2,21,42.85,32.27083333,27.28625,40.315,0.83375
2012,OCT,2,22,41.78,31.355,27.57083333,36.01875,0.84375
2012,OCT,2,23,32.18,32.34666667,26.41583333,32.3075,0.845
2012,OCT,3,0,26.31,32.45708333,27.48541667,29.1775,0.8375
2012,OCT,3,1,28.55,33.11666667,27.57208333,26.27,0.7975
2012,OCT,3,2,32.73,33.22125,27.62833333,22.39875,0.75875
2012,OCT,3,3,31.5,33.47333333,27.57291667,19.875,0.70875
2012,OCT,3,4,33.67,33.6375,27.20625,17.8075,0.64875
2012,OCT,3,5,34.43,33.8075,25.76125,16.865,0.59875
2012,OCT,3,6,37.3,34.01,25.6325,16.605,0.61
2012,OCT,3,7,44.29,34.61083333,25.59125,15.1475,0.69
2012,OCT,3,8,34.95,35.37916667,25.16625,13.7375,0.79125
2012,OCT,3,9,27.07,35.83833333,24.73041667,14.53125,0.84625
2012,OCT,3,10,21.29,36.19625,24.275,18.0475,0.89
2012,OCT,3,11,20.51,36.73083333,23.535,22.28625,0.92125
2012,OCT,3,12,21.53,37.05916667,23.08666667,27.33875,0.95
