DATOS MÓVILES 2013_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,SEP,1,0,10.45403377,40.42625,17.82458333,30.36375,0.467783773
2013,SEP,1,1,9.944033773,41.45041667,17.84208333,25.26875,0.475283773
2013,SEP,1,2,7.494033773,42.41583333,17.91041667,21.1025,0.476533773
2013,SEP,1,3,8.514033773,42.92875,17.97291667,17.0725,0.461533773
2013,SEP,1,4,10.08403377,43.14833333,18.00583333,14.105,0.445283773
2013,SEP,1,5,14.47403377,43.27916667,18.02458333,11.86125,0.449033773
2013,SEP,1,6,17.25403377,43.1325,17.99208333,9.68625,0.470283773
2013,SEP,1,7,13.92403377,43.23083333,17.9275,8.7475,0.505283773
2013,SEP,1,8,13.15403377,43.1125,17.86666667,8.5825,0.547783773
2013,SEP,1,9,8.084033773,43.45375,17.81083333,9.05,0.610283773
2013,SEP,1,10,4.774033773,43.33875,17.79958333,10.0675,0.649033773
2013,SEP,1,11,3.704033773,43.07166667,17.75416667,12.4725,0.686533773
2013,SEP,1,12,3.784033773,42.9075,16.94791667,15.59375,0.719033773
2013,SEP,1,13,3.074033773,42.26458333,15.5825,19.395,0.736533773
2013,SEP,1,14,2.964033773,41.49,14.55,23.9225,0.727783773
2013,SEP,1,15,3.564033773,41.08958333,14.0525,28.93375,0.697783773
2013,SEP,1,16,3.314033773,40.69625,13.72458333,33.81125,0.659033773
2013,SEP,1,17,2.974033773,40.65125,13.65625,38.03625,0.607783773
2013,SEP,1,18,3.774033773,40.37166667,13.62625,41.17,0.579033773
2013,SEP,1,19,7.614033773,40.38541667,13.52458333,42.50875,0.561533773
2013,SEP,1,20,9.484033773,39.90083333,14.05416667,42.2125,0.547783773
2013,SEP,1,21,12.27403377,39.8625,16.04541667,40.1975,0.562783773
2013,SEP,1,22,9.354033773,40.77,17.12791667,37.73,0.575283773
2013,SEP,1,23,8.324033773,41.11208333,18.80541667,34.4725,0.559033773
2013,SEP,2,0,4.164033773,40.845,18.93458333,30.87625,0.531533773
2013,SEP,2,1,1.284033773,40.08791667,18.94875,27.435,0.506533773
2013,SEP,2,2,0.254033773,39.33791667,19.26458333,23.8975,0.480283773
2013,SEP,2,3,2.564033773,39.19208333,19.435,20.67,0.445283773
2013,SEP,2,4,2.444033773,39.13083333,20.71208333,18.705,0.407783773
2013,SEP,2,5,8.284033773,39.58875,23.19041667,17.54875,0.370283773
2013,SEP,2,6,10.41403377,39.74583333,23.46,15.6775,0.366533773
2013,SEP,2,7,11.80403377,40.91625,23.57208333,13.89875,0.440283773
2013,SEP,2,8,10.73403377,42.35291667,23.65166667,12.3,0.526533773
2013,SEP,2,9,6.164033773,42.21291667,23.74666667,11.66875,0.599033773
