DATOS MÓVILES 2013_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,NOV,1,0,6.904033773,45.18458333,12.49875,11.2675,0.707783773
2013,NOV,1,1,2.694033773,45.24541667,12.495,8.3725,0.701533773
2013,NOV,1,2,1.484033773,45.05875,12.49625,6.29875,0.670283773
2013,NOV,1,3,3.994033773,44.81,12.49166667,5.98375,0.575283773
2013,NOV,1,4,4.804033773,44.46958333,12.49041667,5.7875,0.467783773
2013,NOV,1,5,4.394033773,44.64208333,12.50166667,5.77125,0.347783773
2013,NOV,1,6,4.584033773,44.94708333,12.5075,5.54375,0.302783773
2013,NOV,1,7,4.794033773,44.83291667,12.505,4.86,0.294033773
2013,NOV,1,8,6.204033773,46.03208333,12.5175,4.66375,0.365283773
2013,NOV,1,9,6.264033773,47.36625,12.535,4.77125,0.426533773
2013,NOV,1,10,1.534033773,47.6575,12.55208333,5.675,0.442783773
2013,NOV,1,11,0.374033773,48.09,12.56166667,8.34375,0.444033773
2013,NOV,1,12,0.534033773,42.81541667,12.59416667,12.515,0.442783773
2013,NOV,1,13,0.254033773,33.20458333,12.78291667,17.58375,0.440283773
2013,NOV,1,14,0.364033773,33.31833333,13.15416667,23.70375,0.447783773
2013,NOV,1,15,0.844033773,34.30541667,13.38875,28.91875,0.446533773
2013,NOV,1,16,0.444033773,35.1275,13.48875,33.2875,0.369033773
2013,NOV,1,17,0.254033773,35.94875,13.54041667,36.56,0.310283773
2013,NOV,1,18,1.994033773,36.04958333,13.57708333,38.38625,0.311533773
2013,NOV,1,19,19.12403377,36.31208333,13.61416667,36.33375,0.394033773
2013,NOV,1,20,14.37403377,36.80916667,13.64875,32.845,0.457783773
2013,NOV,1,21,11.59403377,37.22583333,13.66,28.385,0.505283773
2013,NOV,1,22,10.97403377,37.04291667,13.68666667,22.61375,0.561533773
2013,NOV,1,23,12.33403377,37.64333333,13.7125,17.77875,0.595283773
2013,NOV,2,0,13.02403377,38.56208333,13.73708333,13.53625,0.649033773
2013,NOV,2,1,13.53403377,40.63333333,13.84583333,9.50625,0.725283773
2013,NOV,2,2,9.794033773,42.7325,13.98541667,5.8525,0.780283773
2013,NOV,2,3,9.874033773,44.51833333,14.08625,4.86375,0.759033773
2013,NOV,2,4,10.55403377,45.65083333,14.16958333,4.095,0.762783773
2013,NOV,2,5,9.014033773,46.71916667,14.22541667,3.93,0.751533773
2013,NOV,2,6,9.544033773,46.88,14.54625,4.0375,0.735283773
2013,NOV,2,7,8.164033773,47.11458333,14.97083333,4.71,0.729033773
2013,NOV,2,8,8.504033773,45.97291667,15.175,5.6275,0.735283773
2013,NOV,2,9,6.424033773,44.82083333,15.35083333,7.41625,0.722783773
2013,NOV,2,10,4.434033773,44.82,15.44125,9.9725,0.715283773
2013,NOV,2,11,4.784033773,45.21708333,15.4875,12.92375,0.719033773
2013,NOV,2,12,4.464033773,45.42083333,15.50708333,16.2775,0.712783773
2013,NOV,2,13,6.384033773,45.89291667,15.36416667,19.4425,0.740283773
2013,NOV,2,14,6.504033773,45.96208333,15.05375,22.375,0.760283773
2013,NOV,2,15,6.414033773,45.77875,15.05083333,24.50625,0.786533773
2013,NOV,2,16,5.654033773,45.78375,15.16666667,26.735,0.769033773
2013,NOV,2,17,3.644033773,46.69541667,15.16916667,27.96,0.745283773
2013,NOV,2,18,4.844033773,48.225,15.15541667,27.845,0.732783773
2013,NOV,2,19,4.264033773,48.40791667,15.11208333,27.55,0.711533773
2013,NOV,2,20,3.774033773,46.89291667,15.04666667,27.10125,0.684033773
2013,NOV,2,21,2.754033773,45.43875,15.01333333,26.535,0.645283773
2013,NOV,2,22,5.284033773,44.27666667,15.42583333,25.57125,0.599033773
2013,NOV,2,23,7.894033773,43.70916667,16.34333333,24.45625,0.550283773
2013,NOV,3,0,8.294033773,42.9425,17.46541667,23.3225,0.505283773
2013,NOV,3,1,4.384033773,40.50291667,18.0375,23.19875,0.464033773
2013,NOV,3,2,2.274033773,38.38666667,18.21291667,23.9575,0.414033773
2013,NOV,3,3,0.394033773,36.37166667,18.22,24.75875,0.371533773
2013,NOV,3,4,1.514033773,34.8825,18.16333333,25.0425,0.340283773
2013,NOV,3,5,0.944033773,33.34958333,18.12166667,25.15875,0.315283773
2013,NOV,3,6,1.704033773,32.65708333,17.81333333,25.5125,0.294033773
2013,NOV,3,7,3.544033773,32.14583333,17.40291667,25.975,0.276533773
2013,NOV,3,8,5.384033773,32.2025,17.24333333,26.08,0.275283773
2013,NOV,3,9,3.214033773,31.88166667,17.07833333,26.27375,0.286533773
2013,NOV,3,10,6.034033773,31.815,17.0725,26.23375,0.309033773
2013,NOV,3,11,6.384033773,31.59875,17.15666667,26.21125,0.341533773
2013,NOV,3,12,4.204033773,31.62291667,17.20375,27.09375,0.360283773
2013,NOV,3,13,2.604033773,30.95333333,17.2325,28.31875,0.380283773
2013,NOV,3,14,2.104033773,30.18625,17.21208333,29.69625,0.405283773
2013,NOV,3,15,1.094033773,29.1025,17.00708333,31.575,0.422783773
2013,NOV,3,16,1.004033773,28.0775,16.80875,33.6525,0.430283773
2013,NOV,3,17,0.274033773,26.33666667,16.76416667,34.82125,0.424033773
2013,NOV,3,18,3.324033773,24.15166667,16.74416667,35.41125,0.414033773
2013,NOV,3,19,17.80403377,22.50791667,16.75208333,33.3025,0.436533773
2013,NOV,3,20,26.94403377,22.81375,16.81833333,29.92,0.504033773
2013,NOV,3,21,21.75403377,23.9225,16.88041667,26.25875,0.591533773
2013,NOV,3,22,8.784033773,24.93916667,16.46083333,23.2025,0.607783773
2013,NOV,3,23,6.444033773,24.57666667,15.53375,19.8825,0.612783773
2013,NOV,4,0,4.704033773,24.07958333,14.39166667,16.78375,0.606533773
2013,NOV,4,1,3.924033773,23.59625,13.71708333,13.92375,0.600283773
2013,NOV,4,2,4.804033773,23.54375,13.39916667,11.17625,0.585283773
2013,NOV,4,3,5.914033773,23.58625,13.3,10.57875,0.527783773
2013,NOV,4,4,8.024033773,23.94833333,13.29125,10.50375,0.440283773
2013,NOV,4,5,5.284033773,24.20083333,13.28041667,10.66875,0.332783773
2013,NOV,4,6,3.654033773,24.54666667,13.26875,10.60125,0.292783773
2013,NOV,4,7,10.43403377,25.03875,13.2725,9.63,0.334033773
2013,NOV,4,8,11.09403377,26.23083333,13.24166667,8.515,0.414033773
2013,NOV,4,9,7.444033773,27.16875,13.22916667,8.25625,0.461533773
2013,NOV,4,10,9.504033773,28.26333333,13.15291667,8.40625,0.535283773
2013,NOV,4,11,4.164033773,28.17916667,13.03375,10.11125,0.567783773
2013,NOV,4,12,1.734033773,27.76583333,12.95666667,12.47125,0.581533773
2013,NOV,4,13,2.034033773,27.85541667,12.89833333,14.44875,0.607783773
2013,NOV,4,14,1.684033773,27.48208333,12.85208333,16.1925,0.627783773
2013,NOV,4,15,1.054033773,27.47541667,12.81166667,18.8975,0.579033773
2013,NOV,4,16,0.254033773,27.47416667,12.78916667,21.9425,0.496533773
2013,NOV,4,17,0.254033773,26.88125,12.77041667,23.86,0.454033773
2013,NOV,4,18,2.344033773,27.04125,12.76833333,25.36875,0.391533773
2013,NOV,4,19,16.25403377,27.25583333,12.77208333,23.4475,0.432783773
2013,NOV,4,20,18.32403377,28.38833333,12.7625,20.4875,0.559033773
2013,NOV,4,21,20.97403377,29.74666667,12.75958333,17.56125,0.679033773
2013,NOV,4,22,18.52403377,31.44541667,12.8025,14.66,0.764033773
2013,NOV,4,23,9.454033773,32.41666667,12.80666667,12.255,0.787783773
2013,NOV,5,0,8.074033773,33.20666667,12.80708333,9.42375,0.806533773
2013,NOV,5,1,9.234033773,34.37291667,12.81541667,6.46625,0.822783773
2013,NOV,5,2,7.014033773,34.86541667,12.81666667,4.13375,0.821533773
2013,NOV,5,3,3.424033773,35.06166667,12.80833333,4.25,0.752783773
2013,NOV,5,4,2.094033773,34.97166667,12.79291667,4.9175,0.612783773
2013,NOV,5,5,3.644033773,34.79125,12.78791667,5.3225,0.466533773
2013,NOV,5,6,4.184033773,34.73625,12.77958333,5.59125,0.362783773
2013,NOV,5,7,5.734033773,34.46625,12.76458333,5.18625,0.346533773
2013,NOV,5,8,7.464033773,34.26875,12.76333333,4.8375,0.414033773
2013,NOV,5,9,6.824033773,34.90333333,12.78083333,5.25625,0.445283773
2013,NOV,5,10,2.754033773,34.29208333,12.78708333,6.44,0.456533773
2013,NOV,5,11,1.194033773,33.95041667,12.78083333,8.09625,0.470283773
2013,NOV,5,12,0.754033773,33.91708333,12.76833333,10.15375,0.480283773
2013,NOV,5,13,1.274033773,33.71458333,12.75625,12.775,0.500283773
2013,NOV,5,14,0.254033773,33.82708333,12.74791667,15.95625,0.507783773
2013,NOV,5,15,0.254033773,33.725,12.7475,19.55625,0.499033773
2013,NOV,5,16,0.254033773,33.60166667,12.73541667,23.25,0.415283773
2013,NOV,5,17,0.774033773,34.19875,12.73083333,26.3325,0.379033773
2013,NOV,5,18,4.144033773,35.0225,12.73166667,27.5,0.374033773
2013,NOV,5,19,15.77403377,35.35541667,12.73333333,26.09375,0.395283773
2013,NOV,5,20,11.65403377,34.26791667,12.70625,24.40625,0.420283773
2013,NOV,5,21,13.91403377,32.25833333,12.645,21.6425,0.446533773
2013,NOV,5,22,13.33403377,30.49958333,12.62541667,18.46375,0.482783773
2013,NOV,5,23,10.03403377,30.06208333,12.62416667,15.3875,0.505283773
2013,NOV,6,0,4.704033773,29.94625,12.62833333,13.32125,0.512783773
2013,NOV,6,1,3.694033773,29.50583333,12.625,11.66875,0.500283773
