DATOS MÓVILES 2013_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2013,DIC,1,0,3.184033773,43.32583333,26.90916667,14.5525,0.897783773
2013,DIC,1,1,1.534033773,43.47458333,26.49291667,10.52375,0.841533773
2013,DIC,1,2,3.064033773,43.76583333,26.46166667,8.5675,0.775283773
2013,DIC,1,3,6.884033773,44.4525,26.53916667,8.125,0.631533773
2013,DIC,1,4,3.914033773,45.34875,26.60625,8.20875,0.520283773
2013,DIC,1,5,0.904033773,45.49041667,26.37,7.90125,0.454033773
2013,DIC,1,6,3.514033773,45.86375,26.33208333,7.71125,0.380283773
2013,DIC,1,7,1.624033773,46.43916667,26.2775,7.59625,0.326533773
2013,DIC,1,8,3.654033773,47.31416667,25.85375,6.80625,0.312783773
2013,DIC,1,9,1.834033773,48.145,25.31,6.42,0.311533773
2013,DIC,1,10,0.254033773,47.78041667,25.24708333,7.08625,0.301533773
2013,DIC,1,11,0.254033773,47.82458333,24.99125,8.83875,0.299033773
2013,DIC,1,12,0.254033773,48.27791667,24.93041667,11.165,0.296533773
2013,DIC,1,13,0.254033773,48.75791667,23.81708333,14.46125,0.299033773
2013,DIC,1,14,3.694033773,49.22708333,22.79708333,18.23,0.304033773
2013,DIC,1,15,3.204033773,48.80625,22.38083333,22.415,0.310283773
2013,DIC,1,16,6.034033773,49.31208333,23.10958333,28.5675,0.321533773
2013,DIC,1,17,3.064033773,49.4525,23.44791667,35.44375,0.321533773
2013,DIC,1,18,9.634033773,49.50166667,25.15291667,42.1925,0.375283773
2013,DIC,1,19,40.22403377,50.35291667,25.94875,43.17375,0.656533773
2013,DIC,1,20,60.74403377,57.08833333,26.72416667,40.31875,1.359033773
2013,DIC,1,21,56.21403377,70.89,27.41833333,36.22,2.257783773
2013,DIC,1,22,46.81403377,83.22166667,27.94958333,32.03,2.747783773
2013,DIC,1,23,36.91403377,89.90041667,28.47375,27.425,3.066533773
2013,DIC,2,0,17.33403377,94.50208333,28.63583333,21.0875,3.144033773
2013,DIC,2,1,14.21403377,96.76708333,28.76666667,13.48,3.202783773
2013,DIC,2,2,14.93403377,99.485,28.88875,5.27625,3.217783773
2013,DIC,2,3,13.51403377,102.2683333,29.03458333,2.2675,3.000283773
2013,DIC,2,4,14.21403377,104.2991667,29.17916667,2.20375,2.334033773
2013,DIC,2,5,13.52403377,106.46375,29.42,2.20125,1.455283773
2013,DIC,2,6,14.08403377,108.92375,29.60083333,2.31625,0.980283773
2013,DIC,2,7,12.88403377,110.7775,29.82708333,2.405,0.739033773
2013,DIC,2,8,12.80403377,113.9170833,30.1275,2.5,0.774033773
2013,DIC,2,9,13.15403377,118.5283333,30.36583333,2.73375,0.830283773
2013,DIC,2,10,19.98403377,124.4233333,30.73,3.59375,0.847783773
2013,DIC,2,11,16.77403377,127.7358333,30.89416667,5.4025,0.852783773
2013,DIC,2,12,10.79403377,128.9075,30.94541667,9.41,0.849033773
2013,DIC,2,13,8.514033773,130.12375,30.715,14.675,0.844033773
2013,DIC,2,14,3.874033773,129.8220833,28.9425,20.35125,0.835283773
2013,DIC,2,15,2.944033773,129.2879167,27.13208333,25.91125,0.767783773
