DATOS MÓVILES 2014_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,FEB,1,0,21.72,95.24083333,9.079583333,23.5425,1.013333333
2014,FEB,1,1,19.66,94.82875,9.094166667,17.255,0.938571429
2014,FEB,1,2,18.56,95.24625,9.075416667,11.56875,0.92625
2014,FEB,1,3,15.88,95.31625,9.044583333,7.05875,0.94
2014,FEB,1,4,14.72,94.40958333,8.98125,5.98125,0.76125
2014,FEB,1,5,15.42,92.50666667,8.902083333,5.45375,0.45375
2014,FEB,1,6,16.84,91.38208333,8.870833333,3.96375,0.4425
2014,FEB,1,7,16.64,91.00875,8.72875,2.3025,0.55125
2014,FEB,1,8,15.66,89.26625,8.033333333,2.3225,0.6125
2014,FEB,1,9,18.05,88.43208333,8.235,2.63875,0.695
2014,FEB,1,10,22.11,92.97541667,8.46375,4.15,0.70625
2014,FEB,1,11,11.14,93.18541667,8.518333333,7.37,0.7
2014,FEB,1,12,6.96,93.11208333,8.517916667,11.65625,0.71
2014,FEB,1,13,2.3,93.40041667,8.510833333,17.11,0.68875
2014,FEB,1,14,0.31,93.34083333,8.4375,22.37875,0.63375
2014,FEB,1,15,0.66,93.39375,8.399583333,27.90375,0.495
2014,FEB,1,16,0.46,93.34916667,8.387916667,33.7375,0.415714286
2014,FEB,1,17,1.59,93.81666667,8.39,39.10625,0.258571429
2014,FEB,1,18,1.77,93.96875,8.394583333,42.665,0.131428571
2014,FEB,1,19,7.2,93.68916667,8.37625,42.6925,0.09
2014,FEB,1,20,14.92,92.20666667,8.275833333,39.56625,0.087142857
2014,FEB,1,21,16.77,86.13208333,8.09125,34.65375,0.158571429
2014,FEB,1,22,16.52,83.31041667,8.084583333,29.64875,0.241428571
2014,FEB,1,23,16.97,83.48291667,8.154583333,24.10625,0.407142857
2014,FEB,2,0,15.91,84.46958333,8.180416667,18.2625,0.51375
2014,FEB,2,1,15.17,84.08916667,8.182083333,12.53125,0.56625
2014,FEB,2,2,13.69,83.20291667,8.20875,7.445,0.65125
2014,FEB,2,3,12.94,82.36166667,8.247083333,4.1975,0.69875
2014,FEB,2,4,14.28,81.9325,8.434166667,3.00375,0.69125
2014,FEB,2,5,14.47,82.09,8.55,2.39875,0.64375
2014,FEB,2,6,15.37,81.3975,8.5925,2.2075,0.59125
2014,FEB,2,7,15.55,80.55333333,8.564166667,2.18875,0.51375
2014,FEB,2,8,12.9,77.99333333,8.485,2.14625,0.45375
2014,FEB,2,9,12.44,73.92916667,7.500416667,2.8425,0.4825
2014,FEB,2,10,16.64,66.60833333,8.239583333,5.64625,0.46
2014,FEB,2,11,11.39,65.3175,8.6425,10.52125,0.44375
2014,FEB,2,12,6.35,65.40166667,8.784166667,16.165,0.44
2014,FEB,2,13,1.61,65.16916667,8.802083333,21.415,0.43
2014,FEB,2,14,0.57,65.05875,8.829583333,26.06625,0.4175
2014,FEB,2,15,NA,64.72875,8.840416667,31.28,0.34875
2014,FEB,2,16,0.39,64.52458333,8.847916667,36.77375,0.25625
