DATOS MÓVILES 2014_DIF,,,,,,,,
,,,,,,,,
Año,Mes,Día,Hora,NO2,MPM10,MSO2 24HRS,MO3,MCO
2014,MAY,1,0,2.32,82.72958333,7.53,24.7325,0.2625
2014,MAY,1,1,2.33,82.35291667,7.5325,22.89,0.2425
2014,MAY,1,2,2.58,81.47625,7.480416667,21.20125,0.2175
2014,MAY,1,3,2.19,80.10833333,7.305833333,20.415,0.1725
2014,MAY,1,4,3.46,77.67875,7.032083333,20.13,0.145
2014,MAY,1,5,4.3,75.80666667,6.838333333,19.39375,0.11125
2014,MAY,1,6,7.75,74.36583333,6.395,17.9775,0.1
2014,MAY,1,7,16.21,73.37333333,5.909583333,15.61125,0.12125
2014,MAY,1,8,9.38,69.91541667,5.570833333,13.5425,0.16375
2014,MAY,1,9,8.27,65.6325,5.439166667,12.69125,0.21125
2014,MAY,1,10,9.5,63.22416667,5.500416667,12.61375,0.25375
2014,MAY,1,11,6.39,62.05333333,5.549583333,13.925,0.28375
2014,MAY,1,12,3.06,61.38666667,5.514583333,16.31,0.2975
2014,MAY,1,13,0.74,59.83208333,5.466666667,18.45,0.2975
2014,MAY,1,14,0.11,59.07541667,5.432916667,20.95125,0.28
2014,MAY,1,15,0.49,59.41041667,5.423333333,24.49,0.245
2014,MAY,1,16,0.73,60.47708333,5.415,27.19625,0.19125
2014,MAY,1,17,0.97,60.375,5.401666667,28.6225,0.13875
2014,MAY,1,18,0.68,59.92583333,5.378333333,29.24625,0.08875
2014,MAY,1,19,2.32,59.06583333,5.34375,28.345,0.06125
2014,MAY,1,20,8.79,59.2275,5.327083333,25.38375,0.0675
2014,MAY,1,21,6.76,55.17916667,5.30875,23,0.08875
2014,MAY,1,22,3.4,53.17458333,5.299583333,20.62125,0.10625
2014,MAY,1,23,2.22,54.20333333,5.285416667,18.4675,0.11625
2014,MAY,2,0,5.37,54.66375,5.2775,16.04375,0.125
2014,MAY,2,1,4.94,54.6325,5.308333333,13.8675,0.13125
2014,MAY,2,2,4.14,55.03041667,5.362083333,12.88375,0.14125
2014,MAY,2,3,3.39,55.18041667,5.375833333,12.40125,0.1425
2014,MAY,2,4,8.77,55.3825,5.459166667,12.0725,0.13
2014,MAY,2,5,3.23,54.84958333,5.503333333,12.67625,0.115
2014,MAY,2,6,4.3,55.24875,5.544166667,13.20125,0.1175
2014,MAY,2,7,11.74,54.62083333,5.54625,12.37,0.15125
2014,MAY,2,8,8.29,53.36125,5.54375,13.02375,0.1825
2014,MAY,2,9,2.12,52.96166667,5.47,14.77875,0.2
2014,MAY,2,10,2.38,51.3175,5.34875,15.61125,0.22125
2014,MAY,2,11,2.8,50.58166667,5.229583333,16.33375,0.2425
2014,MAY,2,12,1.57,53.63333333,5.167083333,18.41375,0.2475
2014,MAY,2,13,NA,54.44434783,5.14125,19.665,0.23875
2014,MAY,2,14,0.01,54.64869565,5.13875,21.2875,0.22375
2014,MAY,2,15,0.5,54.31478261,5.134583333,24.1175,0.18625
2014,MAY,2,16,0.7,53.73913043,5.13125,26.06375,0.15125
2014,MAY,2,17,NA,53.98434783,5.1175,26.5575,0.12375
2014,MAY,2,18,NA,54.44695652,5.11625,26.44875,0.102857143
2014,MAY,2,19,0.1,58.35695652,5.104583333,25.78125,0.076666667
2014,MAY,2,20,1.43,58.93521739,5.089583333,24.805,0.053333333
2014,MAY,2,21,0.3,61.50434783,5.0575,23.87125,0.045
2014,MAY,2,22,2.88,61.09391304,5.03,22.20625,0.056666667
2014,MAY,2,23,6.61,58.95782609,5.00875,19.59875,0.068333333
2014,MAY,3,0,9.55,58.49608696,5.051666667,16.64125,0.071666667
2014,MAY,3,1,9.64,58.61173913,5.101666667,13.67625,0.075
2014,MAY,3,2,5.51,60.12304348,5.125833333,11.1525,0.071428571
2014,MAY,3,3,0.65,59.79173913,5.124583333,9.15625,0.071428571
2014,MAY,3,4,2.33,59.39391304,5.08375,7.08,0.08
2014,MAY,3,5,NA,59.12565217,5.05,5.28625,NA
2014,MAY,3,6,0.06,58.45130435,5.009166667,4.255,NA
2014,MAY,3,7,1.56,57.13695652,4.959166667,4.16,NA
2014,MAY,3,8,1.49,55.55913043,4.956666667,5.5525,NA
2014,MAY,3,9,NA,55.09,4.9425,7.8025,NA
2014,MAY,3,10,0.82,55.11043478,5.038333333,10.06625,NA
2014,MAY,3,11,0.1,54.69391304,5.080416667,12.63875,NA
2014,MAY,3,12,3.54,51.03391304,5.384166667,15.1725,0.161666667
2014,MAY,3,13,2.27,50.5925,5.553333333,17.8725,0.165714286
2014,MAY,3,14,1.48,50.71541667,5.630833333,20.795,0.165
2014,MAY,3,15,4.28,50.29291667,5.907083333,23.2675,0.1625
2014,MAY,3,16,0.6,49.89375,5.9625,25.27625,0.14875
2014,MAY,3,17,3.04,49.15125,6.02125,26.7275,0.145
2014,MAY,3,18,4.36,48.8225,6.102083333,28.0675,0.12875
2014,MAY,3,19,8.82,45.25583333,6.144166667,28.39,0.1325
2014,MAY,3,20,12.39,44.91875,6.615833333,28.34375,0.15125
2014,MAY,3,21,11.88,44.63208333,7.183333333,26.47875,0.13875
2014,MAY,3,22,8.89,42.99875,7.378333333,24.82,0.13375
2014,MAY,3,23,7.61,43.08583333,7.461666667,23.74,0.12625
2014,MAY,4,0,5.34,42.06833333,7.444583333,22.29375,0.131428571
2014,MAY,4,1,5.2,41.695,7.374166667,20.135,0.133333333
2014,MAY,4,2,5.18,39.68208333,7.30625,17.83,NA
2014,MAY,4,3,7.95,39.7125,7.30125,15.44125,NA
2014,MAY,4,4,10.16,40.72666667,7.265416667,13.26125,NA
2014,MAY,4,5,5.53,41.03875,7.254166667,12.68125,NA
