DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
FEB,1,0,29.94,56.53875,1.662083333,15.545,1.027
FEB,1,1,27.28,58.92666667,1.722083333,10.69375,1.20075
FEB,1,2,22.4,62.01958333,1.763333333,6.14375,1.28825
FEB,1,3,21.13,64.21291667,1.8,3.515,1.34825
FEB,1,4,18.99,67.4525,1.8025,2.77875,1.1845
FEB,1,5,23.83,68.72958333,1.899583333,1.2175,1.15325
FEB,1,6,27.48,70.93291667,2.025833333,1.04,1.01325
FEB,1,7,20.56,73.81416667,2.05125,0.99625,0.72075
FEB,1,8,25.78,74.37375,2.212083333,0.99625,0.65825
FEB,1,9,35.42,74.48208333,2.614166667,1.61875,0.577
FEB,1,10,22.63,76.80375,2.744166667,3.60125,0.562
FEB,1,11,21.85,78.86958333,2.8675,6.61625,0.507
FEB,1,12,14.4,81.65375,3.730833333,12.19875,0.48825
FEB,1,13,3.84,83.7025,3.972916667,18.53125,0.442
FEB,1,14,1.84,84.67208333,3.995833333,24.615,0.3995
FEB,1,15,2.8,84.995,4.040833333,31.1925,0.3595
FEB,1,16,0.08,86.34833333,4.049583333,37.25125,0.277
FEB,1,17,0.92,86.89666667,4.068333333,42.68125,0.1845
FEB,1,18,5.57,88.03125,4.105,46.07875,0.122
FEB,1,19,19.95,89.11916667,4.162083333,46.425,0.127
FEB,1,20,45.02,89.52458333,4.182083333,41.33,0.242
FEB,1,21,17.83,89.40208333,4.18125,37.59375,0.29075
FEB,1,22,18.23,89.6075,4.111666667,33.3175,0.3295
FEB,1,23,14.63,86.45625,3.96875,28.5875,0.3495
FEB,2,0,19.72,81.59541667,3.917916667,23.685,0.392
FEB,2,1,24.5,80.57333333,3.874583333,18.055,0.427
FEB,2,2,26.6,78.26625,3.85625,12.83625,0.4445
FEB,2,3,17.36,76.94625,3.829166667,10.46125,0.4145
FEB,2,4,18.21,74.73791667,3.822916667,10.7275,0.2845
FEB,2,5,18.31,73.4925,3.72125,8.76375,0.247
FEB,2,6,23.04,71.28,3.587083333,7.18,0.2295
FEB,2,7,23.35,68.61666667,3.575,5.34625,0.30825
FEB,2,8,27.14,69.54541667,3.540833333,4.26125,0.612
FEB,2,9,35.24,74.3125,3.23375,4.34125,0.822
FEB,2,10,35.98,74.58541667,3.072916667,6.32375,0.947
FEB,2,11,19.5,74.58791667,2.950833333,9.07625,0.992
FEB,2,12,9.35,73.24166667,2.074166667,12.90625,1.017
FEB,2,13,2.4,72.195,1.814583333,17.65375,1.01575
FEB,2,14,2.29,71.59083333,1.790833333,22.755,1.00825
FEB,2,15,1.97,71.59125,1.742083333,28.885,0.90825
FEB,2,16,0.08,71.81166667,1.733333333,35.25375,0.57075
FEB,2,17,2.04,72.89125,1.71625,40.385,0.34075
FEB,2,18,3.14,74.48291667,1.685833333,43.345,0.1995
FEB,2,19,13.92,74.68541667,1.63125,43.135,0.16325
FEB,2,20,22.77,74.46833333,1.507083333,41.1125,0.17325
FEB,2,21,20.31,71.93625,1.472916667,38.445,0.2095
FEB,2,22,19.4,71.02,1.440833333,35.35125,0.22825
FEB,2,23,28.68,70.67083333,1.437916667,29.96875,0.28825
FEB,3,0,32.72,71.27208333,1.45625,23.62125,0.3895
FEB,3,1,31.31,72.38666667,1.474583333,18.01875,0.4545
FEB,3,2,29.95,73.52583333,1.473333333,12.99,0.49325
FEB,3,3,26.96,74.28916667,1.47,9.645,0.49575
FEB,3,4,26.9,74.11458333,1.480416667,7.16125,0.48075
FEB,3,5,29.5,74.82125,1.543333333,4.5025,0.482
FEB,3,6,27.08,76.20291667,1.603333333,2.27875,0.50325
FEB,3,7,29.25,77.37833333,1.60875,1.54875,0.49575
FEB,3,8,32.45,77.1025,1.6125,1.55625,0.682
FEB,3,9,37.36,74.96958333,1.568333333,1.86,0.842
FEB,3,10,42.03,76.67833333,1.569583333,3.52375,0.94325
FEB,3,11,32.95,77.56541667,1.59,6.3325,1.00325
FEB,3,12,9.55,79.70083333,1.58125,11.2375,0.997
FEB,3,13,2.97,79.82625,1.585833333,17.02625,0.9595
FEB,3,14,1.22,80.20416667,1.585,23.24,0.9095
FEB,3,15,0.25,80.55208333,1.585833333,29.85,0.84825
