DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
JUN,1,0,8.16,41.91791667,1.994166667,51.92375,0.13325
JUN,1,1,10.87,41.8925,2.021666667,45.1075,0.13325
JUN,1,2,3.62,41.98791667,2.011666667,40.1375,0.132
JUN,1,3,2.69,41.90708333,1.993333333,35.52375,0.12825
JUN,1,4,3.26,41.80208333,2.002916667,33.43375,0.08825
JUN,1,5,7.74,42.3325,2.005,32.1875,0.067
JUN,1,6,17.17,43.50083333,2.05375,27.7025,0.11075
JUN,1,7,19.59,45.50916667,2.089166667,22.74125,0.2045
JUN,1,8,16.48,47.57166667,2.104166667,18.78875,0.2945
JUN,1,9,5.35,49.61166667,2.104583333,18.76375,0.3195
JUN,1,10,2.26,50.87791667,2.098333333,19.14375,0.33825
JUN,1,11,1.24,53.22083333,2.087916667,20.285,0.3545
JUN,1,12,0.67,55.9925,2.076666667,22.535,0.367
JUN,1,13,2.69,56.57375,2.28375,26.73,0.382
JUN,1,14,1.32,57.43833333,2.640833333,34.80125,0.3395
JUN,1,15,0.35,58.00416667,2.693333333,42.50125,0.2495
JUN,1,16,0.08,58.25,2.708333333,50.18,0.16575
JUN,1,17,5.83,58.64458333,4.385,52.9975,0.1995
JUN,1,18,9.02,60.26041667,5.86375,53.67625,0.24075
JUN,1,19,7.94,62.65458333,5.925416667,53.205,0.277
JUN,1,20,10.14,64.15333333,5.944583333,50.89625,0.30575
JUN,1,21,8.33,65.38791667,5.977916667,47.775,0.317
JUN,1,22,9.98,65.625,5.92,43.455,0.33075
JUN,1,23,9.72,66.33666667,5.892083333,39.07875,0.34325
JUN,2,0,5.43,67.40541667,5.875416667,34.6075,0.342
JUN,2,1,3.67,67.30583333,6.479583333,32.18625,0.28325
JUN,2,2,3.72,67.08083333,9.651666667,29.96875,0.25325
JUN,2,3,1.6,67.20458333,9.88,28.29875,0.1995
JUN,2,4,3.91,66.70041667,10.49041667,28.24875,0.17325
JUN,2,5,5.7,65.61666667,10.585,26.06,0.1445
JUN,2,6,10.56,64.26291667,10.59833333,22.45875,0.14575
JUN,2,7,14.28,62.005,10.56625,19.135,0.20825
JUN,2,8,11.96,59.95875,10.57958333,16.1075,0.272
JUN,2,9,10.79,58.40375,10.64875,14.42875,0.332
JUN,2,10,8.99,57.97375,10.69666667,14.2,0.3545
JUN,2,11,5.05,55.93583333,10.66041667,15.79375,0.38325
JUN,2,12,1.57,53.45666667,10.65416667,18.3575,0.38575
JUN,2,13,3.45,53.75708333,10.68666667,23.99,0.41575
JUN,2,14,3.95,53.6425,10.69458333,31.42125,0.4195
JUN,2,15,0.08,53.78375,11.05391304,37.7475,0.3445
JUN,2,16,0.08,53.29291667,10.98173913,43.47375,0.287
JUN,2,17,1.43,53.26333333,9.290869565,46.945,0.247
JUN,2,18,5.24,51.81791667,7.789130435,49.515,0.24075
JUN,2,19,8.24,50.76041667,7.729130435,49.59375,0.27075
JUN,2,20,10.58,50.38541667,7.665217391,46.2425,0.32075
JUN,2,21,9.5,49.23291667,7.587826087,41.42625,0.332
JUN,2,22,6.86,49.08916667,7.582608696,36.6325,0.3145
JUN,2,23,4.66,48.51625,7.560434783,33.73,0.32575
JUN,3,0,6.36,47.90666667,7.513043478,29.90625,0.332
JUN,3,1,6.09,48.62625,9.41173913,28.02125,0.342
JUN,3,2,0.08,49.38166667,6.252173913,27.17125,0.29825
JUN,3,3,0.08,48.77458333,6.002173913,26.1825,0.2395
JUN,3,4,1.19,48.69,5.325217391,26.55625,0.1695
JUN,3,5,5.76,49.20791667,5.166086957,25.59375,0.122
JUN,3,6,10.03,49.73791667,5.093478261,23.32625,0.1445
JUN,3,7,14.65,51.0875,5.203478261,19.9025,0.2395
JUN,3,8,10.39,52.97791667,5.18826087,19.12,0.297
JUN,3,9,10.08,53.295,5.166086957,17.57125,0.3295
JUN,3,10,6.69,54.17416667,5.276956522,16.94125,0.3795
JUN,3,11,4.53,54.37541667,7.305652174,19.39875,0.422
JUN,3,12,4.06,55.54041667,8.793043478,22.69875,0.46575
JUN,3,13,4.4,55.83291667,9.175652174,27.3275,0.5095
JUN,3,14,2.91,55.8,8.949130435,33.45625,0.5095
JUN,3,15,2.57,55.24291667,8.7275,39.67375,0.42575
JUN,3,16,2.37,55.54916667,8.95875,43.47625,0.36575
JUN,3,17,8.17,55.68583333,10.35833333,46.35,0.357
JUN,3,18,7.76,55.48666667,11.50958333,47.76875,0.357
JUN,3,19,8.04,54.60291667,11.51625,46.31375,0.36075
JUN,3,20,15.17,54.00375,11.57375,42.39375,0.3995
JUN,3,21,13.19,54.82791667,11.61083333,37.95875,0.41825
JUN,3,22,14.17,54.62166667,11.69416667,31.8325,0.43325
JUN,3,23,14.02,54.8325,11.78125,25.90125,0.4545
JUN,4,0,13.46,55.38833333,11.80583333,20.7325,0.472
JUN,4,1,10.39,54.80666667,9.482083333,15.9975,0.43825
JUN,4,2,7.05,54.10791667,9.32625,11.00625,0.3995
JUN,4,3,4.69,53.865,9.3775,7.52875,0.3645
JUN,4,4,1.43,53.57,9.393333333,8.33,0.282
JUN,4,5,1.57,52.54083333,9.437916667,9.42625,0.217
JUN,4,6,4.86,51.64041667,9.41125,9.61375,0.167
JUN,4,7,9.64,49.83875,9.18,9.3275,0.14075
JUN,4,8,9.52,47.36791667,9.052916667,9.39375,0.1345
JUN,4,9,7.29,45.91833333,8.934166667,11.33375,0.14075
JUN,4,10,3.88,44,8.72625,14.4475,0.14575
JUN,4,11,2.49,42.76208333,6.754166667,17.75625,0.147
JUN,4,12,1.8,40.67666667,5.267916667,19.68125,0.1595
JUN,4,13,1.49,38.50833333,4.578333333,22.56375,0.1695
JUN,4,14,0.56,37.21875,4.377916667,27.335,0.167
JUN,4,15,1.05,36.57458333,4.24125,33.4525,0.147
JUN,4,16,1.29,35.86166667,4.01,39.45375,0.12325
JUN,4,17,0.64,34.77,2.500416667,43.74875,0.09325
JUN,4,18,0.08,34.50291667,1.258333333,47.01875,0.0745
JUN,4,19,0.4,33.89875,1.221666667,48.55125,0.07575
JUN,4,20,6.82,33.655,1.172916667,46.0775,0.09825
JUN,4,21,9.05,32.46291667,1.17,41.7,0.13325
JUN,4,22,7.8,32.52375,1.150416667,36.575,0.162
JUN,4,23,7.31,32.59458333,1.099583333,31.6325,0.1795
JUN,5,0,6.14,31.87916667,1.057916667,26.7925,0.18575
JUN,5,1,4,31.4625,0.917916667,21.655,0.1945
JUN,5,2,3.61,31.425,1.903333333,16.56625,0.20825
JUN,5,3,3.67,31.65833333,2.363333333,11.84375,0.202
JUN,5,4,2.61,32.0575,2.370833333,10.55875,0.177
JUN,5,5,2.03,32.73666667,2.327083333,10.6,0.137
JUN,5,6,3.28,33.26583333,2.499583333,11.0575,0.11575
JUN,5,7,7.15,33.775,2.577916667,9.8825,0.1295
JUN,5,8,7.49,34.61916667,2.66875,8.655,0.16075
JUN,5,9,4.23,35.69416667,2.676666667,8.41125,0.18325
JUN,5,10,4.09,35.82166667,2.672916667,8.78,0.20575
JUN,5,11,4.29,36.47666667,2.693333333,9.6475,0.23575
JUN,5,12,3.46,36.83333333,2.815416667,10.7,0.2595
JUN,5,13,4.01,37.30708333,3.08625,11.6975,0.297
JUN,5,14,3.85,37.4425,3.499583333,13.19375,0.322
JUN,5,15,3.2,37.82083333,3.834166667,15.9675,0.31575
JUN,5,16,2.79,38.52625,4.429166667,19.11875,0.30325
JUN,5,17,2.15,38.91791667,4.784166667,20.9625,0.292
JUN,5,18,2.39,38.11208333,5.244583333,21.62375,0.277
JUN,5,19,2.18,37.75125,5.297083333,21.91,0.25325
JUN,5,20,5.12,36.99833333,5.63125,20.815,0.2445
JUN,5,21,6.6,36.06208333,6.945,19.095,0.237
JUN,5,22,5.15,34.96791667,6.90875,16.83875,0.222
JUN,5,23,3.41,33.74166667,6.875416667,14.59625,0.20075
JUN,6,0,1.16,33.43041667,6.858333333,12.49125,0.1695
JUN,6,1,0.99,33.32125,6.831666667,10.80875,0.1495
JUN,6,2,1.61,32.91666667,5.830416667,8.95125,0.12825
JUN,6,3,1.97,32.57041667,5.354583333,7.0125,0.1145
JUN,6,4,3.18,32.04666667,5.380416667,5.6375,0.0895
JUN,6,5,3.78,32.02541667,5.4125,4.95875,0.0545
JUN,6,6,3.81,31.93375,5.21875,7.46,0.0395
JUN,6,7,6.09,31.82041667,5.138333333,10.1825,0.057
JUN,6,8,5.31,31.17875,5.031666667,13.0925,0.0745
JUN,6,9,4.99,30.29708333,5.2,16.46875,0.1045
JUN,6,10,5.8,30.475,6.451666667,20.70625,0.13075
JUN,6,11,5.35,31.17625,7.070833333,26.17,0.152
JUN,6,12,3.67,32.32375,7.155416667,32.86,0.167
JUN,6,13,2.19,32.95666667,6.969166667,39.85625,0.177
JUN,6,14,1.81,33.52625,6.570833333,43.58125,0.17575
JUN,6,15,0.75,33.01333333,6.265,47.725,0.15325
JUN,6,16,0.08,32.59666667,5.67625,51.6575,0.13325
JUN,6,17,0.08,32.21916667,5.322083333,55.12875,0.10325
JUN,6,18,0.7,32.515,4.884166667,58.29625,0.07825
JUN,6,19,2.69,32.83291667,4.833333333,59.78125,0.06325
JUN,6,20,6.28,34.2075,5.664166667,59.17875,0.0895
JUN,6,21,5.67,36.44125,4.447083333,58.35,0.10325
JUN,6,22,7.27,36.99791667,4.514583333,56.66,0.112
JUN,6,23,7.13,37.54541667,4.58375,53.82,0.1195
JUN,7,0,7.3,37.67875,4.655,50.40625,0.12825
JUN,7,1,7.7,37.96916667,4.732083333,47.36625,0.13325
JUN,7,2,8.4,38.14208333,4.779166667,42.5275,0.13325
JUN,7,3,12.7,38.56375,4.849583333,39.2525,0.13075
JUN,7,4,19.6,39.4675,4.977083333,33.33625,0.097
JUN,7,5,17.2,40.33875,5.0175,27.345,0.08325
JUN,7,6,18,41.44375,5.129166667,26.52125,0.14325
JUN,7,7,17.1,43.85708333,5.245833333,21.96375,0.25575
JUN,7,8,10.5,46.375,5.31875,17.48875,0.2895
JUN,7,9,6.3,47.88,5.170416667,14.105,0.30575
