DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
JUL,1,0,2.28,46.6275,5.907916667,36.42625,0.232
JUL,1,1,1.64,46.44958333,5.917083333,32.0525,0.21575
JUL,1,2,1.06,46.48583333,5.24,27.3925,0.1995
JUL,1,3,3.06,46.565,3.811666667,21.47,0.1645
JUL,1,4,3.19,46.41916667,3.684166667,16.2775,0.1445
JUL,1,5,0.57,46.76541667,3.6975,12.3225,0.12075
JUL,1,6,0.6,47.75875,3.761666667,9.67375,0.1045
JUL,1,7,0.7,48.53875,3.954583333,6.4525,0.14825
JUL,1,8,0.43,48.54833333,4.08,4.7925,0.1995
JUL,1,9,0.64,49.12875,4.312916667,3.085,0.257
JUL,1,10,0.08,49.57416667,4.505,4.22125,0.27825
JUL,1,11,0.08,51.17666667,7.02625,7.6825,0.3095
JUL,1,12,NA,63.25125,6.49875,14.72375,0.48575
JUL,1,13,NA,64.77208333,7.84125,19.14625,0.5195
JUL,1,14,11.66,65.81166667,8.144583333,24.125,0.727
JUL,1,15,6.69,66.62916667,8.032083333,29.365,0.69075
JUL,1,16,0.97,66.53166667,8.18125,35.3325,0.6345
JUL,1,17,5.52,66.2775,9.13625,41.3075,0.59575
JUL,1,18,14.73,66.00125,9.83375,43.91625,0.597
JUL,1,19,13.72,65.12708333,10.20625,45.39125,0.59575
JUL,1,20,24.44,65.15083333,10.66666667,42.1725,0.46075
JUL,1,21,18.2,66.22166667,10.52541667,40.77375,0.4595
JUL,1,22,10.32,67.45708333,10.09166667,39.21,0.23825
JUL,1,23,9.41,67.20125,10.05125,36.895,0.23075
JUL,2,0,12.4,67.12416667,10.0025,33.14125,0.22825
JUL,2,1,14.2,66.82833333,10.4026087,28.57875,0.207
JUL,2,2,12.62,67.19083333,10.79818182,25.14125,0.199142857
JUL,2,3,22.31,66.58666667,10.75090909,20.8025,0.164857143
JUL,2,4,25.53,66.78708333,10.73409091,17.335,0.114857143
JUL,2,5,27.98,66.85708333,10.71590909,16.02428571,0.076285714
JUL,2,6,20.4,66.005,10.66318182,13.95833333,0.064857143
JUL,2,7,24.38,65.15958333,10.54590909,NA,0.090571429
JUL,2,8,18.57,65.3,10.52181818,NA,0.154857143
JUL,2,9,17,65.50333333,10.46,NA,0.237714286
JUL,2,10,15.93,65.54625,10.34954545,NA,0.29325
JUL,2,11,8.71,64.29333333,7.603636364,NA,0.352
JUL,2,12,5.98,52.6075,7.529545455,NA,0.402
JUL,2,13,9.2,50.82791667,5.777272727,16.085,0.44825
JUL,2,14,9.02,49.92833333,5.328181818,18.27714286,0.477
JUL,2,15,4.52,49.54041667,5.233636364,20.58625,0.4645
