DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
SEP,1,0,6.89,56.965,4.747083333,23.90875,0.25575
SEP,1,1,0.39,56.82958333,4.74125,21.015,0.23575
SEP,1,2,3.08,56.86041667,4.74125,18.09,0.2095
SEP,1,3,0.08,56.61,4.692083333,16.73875,0.16575
SEP,1,4,1.19,56.36625,4.031666667,15.2975,0.12075
SEP,1,5,8.26,55.73208333,4.037083333,14.20375,0.08825
SEP,1,6,12.5,55.59708333,4.094583333,14.25875,0.117
SEP,1,7,16.74,55.59166667,4.04625,12.79875,0.20325
SEP,1,8,15.98,57.00541667,3.842916667,11.1825,0.29075
SEP,1,9,6.47,57.26458333,3.33375,10.295,0.3345
SEP,1,10,1.66,56.16916667,3.192083333,11.1825,0.3695
SEP,1,11,3.08,54.95916667,3.213333333,11.855,0.417
SEP,1,12,3.87,55.00791667,3.234166667,13.05375,0.4695
SEP,1,13,5.29,54.74916667,3.197916667,14.875,0.52575
SEP,1,14,3.94,54.85833333,3.089166667,17.41375,0.507
SEP,1,15,3.17,55.07208333,2.950416667,20.60125,0.44075
SEP,1,16,3.31,56.07,2.726666667,24.16625,0.377
SEP,1,17,4.29,58.58708333,2.82125,26.00625,0.367
SEP,1,18,7.17,60.08083333,3.9625,25.5125,0.367
SEP,1,19,11.03,61.90125,4.065,24.44,0.3745
SEP,1,20,11.79,62.24375,4.130416667,22.42625,0.387
SEP,1,21,12.06,60.90083333,4.745833333,20.14875,0.3695
SEP,1,22,11.73,60.54541667,6.1175,17.48125,0.34825
SEP,1,23,3.56,59.99041667,6.25625,15.70875,0.3345
SEP,2,0,9.37,59.79708333,8.262916667,13.04125,0.30075
SEP,2,1,5.53,59.81875,9.599583333,10.9875,0.26325
SEP,2,2,2.27,59.65,9.926666667,10.075,0.227
SEP,2,3,0.08,59.79833333,10.17375,9.95625,0.172
SEP,2,4,4.04,59.80208333,11.01708333,10.15,0.1045
SEP,2,5,5.64,60.185,11.56958333,10.42125,0.067
SEP,2,6,12.99,60.16875,11.72416667,9.78625,0.0845
SEP,2,7,13.64,59.665,11.74208333,8.37125,0.1345
SEP,2,8,9.13,58.04208333,11.77541667,7.47375,0.20825
SEP,2,9,2.81,56.90791667,11.885,7.2925,0.24825
SEP,2,10,3.41,57.12,12.285,7.09125,0.28325
SEP,2,11,4.52,57.39041667,13.7625,7.16625,0.35325
SEP,2,12,4.07,57.24458333,14.90666667,8.48,0.407
SEP,2,13,2.63,56.95166667,15.00625,10.45125,0.44075
SEP,2,14,2.58,56.54083333,15.405,13.3775,0.43575
SEP,2,15,2.89,55.9275,15.5375,16.30625,0.3995
SEP,2,16,0.23,55.6475,15.81708333,19.3925,0.347
SEP,2,17,0.15,54.37125,15.77458333,21.22625,0.32825
SEP,2,18,0.93,53.82166667,14.76083333,22.29125,0.3145
SEP,2,19,2.42,52.96708333,14.80291667,22.5,0.26575
SEP,2,20,10.8,53.41708333,16.67458333,20.9425,0.26575
SEP,2,21,6.48,53.98791667,17.195,19.165,0.26325
SEP,2,22,6.54,53.92875,15.94041667,19.995,0.257
SEP,2,23,11.29,53.61208333,16.01458333,19.56,0.24575
SEP,3,0,4.87,54.17041667,14.0175,18.27375,0.2295
SEP,3,1,2.69,53.83791667,12.76416667,19.245,0.21325
SEP,3,2,0.67,53.55166667,12.46666667,19.40875,0.192
SEP,3,3,1.37,53.39583333,12.35041667,22.5125,0.17075
SEP,3,4,4.09,53.45208333,11.64916667,24.8625,0.117
SEP,3,5,4.75,53.35291667,11.07,24.93,0.082
SEP,3,6,5.59,53.18208333,10.86916667,23.5675,0.07075
SEP,3,7,10.21,51.59916667,11.18916667,21.07375,0.08575
SEP,3,8,9.26,50.69875,12.10916667,19.395,0.137
SEP,3,9,3.76,49.05083333,12.82708333,16.78625,0.17325
SEP,3,10,1.22,48.30875,12.73625,16.14625,0.20325
SEP,3,11,1.43,48.30708333,11.30458333,13.32,0.2345
SEP,3,12,3.68,48.4675,10.40833333,12.59875,0.27075
SEP,3,13,3.95,48.5975,10.39208333,14.295,0.312
SEP,3,14,2.03,49.02833333,10.17208333,14.92,0.3245
SEP,3,15,3.19,49.35625,9.94,17.8825,0.32075
SEP,3,16,2.52,49.06166667,10.07333333,20.61875,0.30075
SEP,3,17,0.09,48.2,10.61583333,22.10625,0.28325
SEP,3,18,1.79,47.40875,11.80125,22.42625,0.27825
SEP,3,19,5.88,47.01875,13.44416667,21.645,0.28075
SEP,3,20,7.89,45.95958333,13.69708333,20.16875,0.28575
SEP,3,21,11.85,45.75291667,15.66541667,18.25875,0.33575
SEP,3,22,6.64,46.52791667,16.49041667,16.72125,0.3295
SEP,3,23,8.95,46.82083333,16.35291667,14.70875,0.317
SEP,4,0,5.04,46.83541667,16.39083333,12.95125,0.2945
SEP,4,1,4.4,47.10375,16.34916667,11.33625,0.282
SEP,4,2,1.29,47.60916667,16.37291667,10.71375,0.262
SEP,4,3,2.49,47.64791667,16.28458333,11.11125,0.23325
SEP,4,4,4.59,47.62958333,16.2475,11.70625,0.20075
SEP,4,5,4.43,47.71916667,16.36291667,12.34125,0.112
SEP,4,6,6.24,47.28125,16.47541667,12.27125,0.102
SEP,4,7,9.64,46.92458333,16.21458333,12.32875,0.10575
SEP,4,8,7.45,45.58,15.36125,12.83375,0.13075
SEP,4,9,4.22,45.31666667,14.92958333,14.40625,0.14575
SEP,4,10,3.57,44.96333333,14.80541667,15.755,0.17575
SEP,4,11,2.18,44.71583333,14.70916667,17.12,0.20825
SEP,4,12,2.87,44.94125,14.39083333,18.80875,0.23825
SEP,4,13,5.62,44.60833333,14.225,20.4575,0.28075
SEP,4,14,4.69,43.85458333,14.09375,22.4475,0.30325
SEP,4,15,7.5,43.29166667,13.8,24.46375,0.32575
SEP,4,16,6.88,42.87166667,13.26375,24.71875,0.332
SEP,4,17,9.05,41.48125,12.64416667,23.4675,0.35825
SEP,4,18,6.03,40.06625,11.46833333,22.015,0.36825
SEP,4,19,9.47,37.975,9.737083333,19.625,0.382
SEP,4,20,13.82,35.89166667,7.552916667,16.755,0.43825
SEP,4,21,8.6,33.9475,4.1025,14.0675,0.447
SEP,4,22,7.66,31.8575,3.04875,11.185,0.45575
SEP,4,23,3.8,30.78291667,3.095416667,8.96375,0.42825
SEP,5,0,2.28,29.66625,3.18875,7.99375,0.392
SEP,5,1,0.08,28.89041667,3.305416667,7.89125,0.342
SEP,5,2,0.08,28.06541667,3.42125,7.69375,0.297
SEP,5,3,0.08,27.49875,3.540833333,7.985,0.24575
SEP,5,4,0.77,27.47875,3.56375,8.39375,0.15075
SEP,5,5,3.09,26.745,3.462916667,8.155,0.102
SEP,5,6,8.12,26.55125,3.274166667,7.72625,0.117
SEP,5,7,8.6,27.85916667,3.165833333,6.92375,0.2145
SEP,5,8,7.55,29.22041667,3.034166667,6.754285714,0.32075
SEP,5,9,8.65,30.16375,2.597083333,5.976666667,0.43075
SEP,5,10,8.78,31.54083333,2.41375,4.325,0.51825
SEP,5,11,8.01,32.965,2.41125,3.74,0.59325
SEP,5,12,4.3,32.70791667,2.424166667,4.238333333,0.6495
SEP,5,13,1.26,33.08125,2.418333333,6.026666667,0.69325
SEP,5,14,1.58,33.36875,2.364166667,8.203333333,0.672
SEP,5,15,0.08,33.81333333,2.30875,10.61833333,0.577
