DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
OCT,1,0,5.2,39.54166667,2.96625,16.09625,0.21325
OCT,1,1,6.94,39.65541667,2.9675,14.55625,0.20575
OCT,1,2,2.43,39.88125,2.965833333,13.95,0.18825
OCT,1,3,6.22,39.7125,2.965416667,13.425,0.15825
OCT,1,4,7.42,39.76041667,2.965416667,12.4325,0.13325
OCT,1,5,11.34,39.93166667,2.979583333,12.57571429,0.10075
OCT,1,6,12.56,40.71041667,3.026666667,12.11666667,0.117
OCT,1,7,12.81,41.12541667,3.025833333,NA,0.1545
OCT,1,8,12.61,38.91125,3.028333333,NA,0.2145
OCT,1,9,10.58,39.1575,3.075833333,NA,0.2845
OCT,1,10,5.53,40.71583333,3.08625,NA,0.332
OCT,1,11,6.09,40.5975,3.1025,NA,0.372
OCT,1,12,5.82,41.27166667,3.12875,NA,0.4095
OCT,1,13,5.52,41.64125,3.5925,16.79166667,0.4245
OCT,1,14,8.3,42.28833333,5.46125,19.93428571,0.45075
OCT,1,15,6.08,42.5975,7.485,22.1425,0.47075
OCT,1,16,0.85,42.4,7.684166667,26.2975,0.40825
OCT,1,17,0.08,41.46166667,7.230416667,30.1075,0.337
OCT,1,18,1.19,41.27125,7.21625,33.41625,0.29075
OCT,1,19,10.93,40.59458333,7.332083333,33.895,0.282
OCT,1,20,30.51,40.91208333,7.214583333,30.87375,0.332
OCT,1,21,28.54,42.38458333,6.344583333,26.8575,0.362
OCT,1,22,26.93,43.75583333,6.419166667,22.15625,0.3495
OCT,1,23,17.17,44.87875,6.518333333,18.2075,0.32825
OCT,2,0,5.14,45.93041667,11.2725,15.3,0.332
OCT,2,1,3.22,46.59,11.74,12.84125,0.337
OCT,2,2,3.7,47.295,14.36478261,9.24125,0.33825
OCT,2,3,3.1,47.76791667,19.65826087,7.855,0.30825
OCT,2,4,3.65,48.33375,20.57826087,8.53625,0.22075
OCT,2,5,7.04,48.50625,20.68521739,8.95375,0.16325
OCT,2,6,5.27,47.895,22.14478261,9.5025,0.1195
OCT,2,7,8.64,46.6625,22.32347826,8.9275,0.102
OCT,2,8,9.74,45.84541667,22.42565217,7.775,0.142
OCT,2,9,5.97,44.20666667,22.47391304,7.20875,0.17825
OCT,2,10,4.19,42.08625,22.49391304,8.39875,0.212
OCT,2,11,4.41,41.81458333,22.57173913,10.1175,0.2395
OCT,2,12,4.44,41.0075,23.05,13.23875,0.26325
OCT,2,13,5.82,40.73625,23.96478261,19.39875,0.30575
