DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO
NOV,1,0,7.08,34.90708333,9.774583333,22.45125,0.3295
NOV,1,1,9.7,35.28416667,9.755416667,17.00625,0.3245
NOV,1,2,14.3,36.07416667,9.766666667,12.58375,0.3095
NOV,1,3,15.66,36.82166667,9.83625,10.32125,0.27325
NOV,1,4,15.56,37.50791667,9.908333333,8.54375,0.25575
NOV,1,5,12.96,38.1425,9.955833333,7.59375,0.11825
NOV,1,6,12.06,38.83041667,9.977083333,6.415714286,0.0995
NOV,1,7,10.94,38.96916667,10.00166667,5.283333333,0.137
NOV,1,8,12.64,40.02291667,10.02791667,3.268333333,0.20825
NOV,1,9,15.01,41.57208333,10.10041667,3,0.29825
NOV,1,10,8.74,44.51833333,10.24375,5.241666667,0.33575
NOV,1,11,2.56,45.70666667,10.3,7.848333333,0.3545
NOV,1,12,0.87,46.04083333,10.35666667,12.51666667,0.36825
NOV,1,13,1.2,46.77791667,10.40375,17.805,0.39325
NOV,1,14,1.35,46.655,10.39625,21.04,0.40575
NOV,1,15,1.27,46.84916667,10.16041667,24.14125,0.37075
NOV,1,16,2.39,49.06041667,10.15041667,29.53,0.30325
NOV,1,17,8.19,49.19541667,10.15333333,34.8125,0.22575
NOV,1,18,24.93,49.82708333,10.15666667,36.7,0.2345
NOV,1,19,47.58,51.15833333,10.15958333,34.49875,0.302
NOV,1,20,38.17,52.85375,9.218333333,35.11857143,0.367
NOV,1,21,3.67,56.34083333,2.200416667,33.21571429,0.3545
NOV,1,22,0.49,56.18125,1.7675,30.22,0.33575
NOV,1,23,5.7,55.80041667,1.714583333,25.21142857,0.3395
NOV,2,0,5.96,56.19541667,1.672916667,20.11428571,0.33825
NOV,2,1,3.86,56.00958333,1.65875,15.44571429,0.317
NOV,2,2,10.09,55.50291667,1.6475,11.80857143,0.25575
NOV,2,3,14.45,55.25875,1.564166667,11.56714286,0.15575
NOV,2,4,13.72,54.69833333,1.51125,11.56714286,0.0695
NOV,2,5,11.38,53.95958333,1.489583333,8.78,0.06575
NOV,2,6,13.04,54.08375,1.51875,6.996666667,0.08825
NOV,2,7,12.39,54.6425,1.5375,NA,0.10075
NOV,2,8,12.81,54.10333333,1.596666667,NA,0.1495
NOV,2,9,13.61,53.46958333,1.860416667,NA,0.23825
NOV,2,10,11.56,52.47583333,4.122083333,NA,0.31325
NOV,2,11,9.63,52.96208333,6.53875,NA,0.3695
NOV,2,12,4.63,53.8425,6.857916667,12.95333333,0.40325
NOV,2,13,3.56,53.79583333,6.872916667,18.055,0.4545
NOV,2,14,3.74,53.36208333,6.8175,19.92285714,0.46325
NOV,2,15,4.6,53.41333333,6.759166667,21.3025,0.46575
NOV,2,16,3.19,51.32,6.8425,25.3775,0.42325
NOV,2,17,5.69,50.94291667,6.989583333,28.99625,0.3595
NOV,2,18,7.57,50.43208333,6.95,31.1875,0.302
NOV,2,19,16.08,48.39708333,9.682083333,29.93375,0.2945
NOV,2,20,11.73,45.67791667,12.99,27.54,0.332
NOV,2,21,11.11,42.14708333,14.28125,24.5875,0.312
NOV,2,22,7.72,42.2975,14.38625,21.8075,0.31575
NOV,2,23,2.61,43.08291667,14.3875,19.66,0.29325
NOV,3,0,2.17,43.75416667,14.45791667,17.28,0.287
NOV,3,1,0.08,43.83666667,14.57541667,15.11875,0.26575
NOV,3,2,0.08,43.945,14.57583333,12.835,0.242
NOV,3,3,4.27,43.90875,14.57541667,12.09375,0.19075
NOV,3,4,0.1,43.89833333,14.58208333,11.97125,0.122
NOV,3,5,7.37,43.77,14.69625,11.4775,0.097
NOV,3,6,10.86,43.69291667,14.745,11.84714286,0.0845
NOV,3,7,11.65,43.59291667,14.73291667,10.02,0.14325
NOV,3,8,8.42,44.57083333,14.64333333,8.082857143,0.21325
NOV,3,9,5.32,44.17666667,14.285,6.911428571,0.287
NOV,3,10,1.3,44.56458333,11.88916667,7.737142857,0.33325
NOV,3,11,1.2,44.39458333,9.419583333,10.25714286,0.372
NOV,3,12,1.66,44.66125,9.071666667,13.06714286,0.397
NOV,3,13,1.24,44.9225,8.9925,17.19285714,0.4145
