DATOS MÓVILES 2017_DIF,,,,,,,,,
,,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO,MPM2.5
2017,ABR,1,0,10.13,82.56333333,2.30625,34.50125,0.133,29.95041667
2017,ABR,1,1,6.4,82.10916667,2.325416667,33.09125,0.11675,29.59666667
2017,ABR,1,2,12.25,82.05291667,2.3425,29.86125,0.12175,29.34375
2017,ABR,1,3,16.77,80.7325,2.344166667,26.78375,0.1305,28.91083333
2017,ABR,1,4,27.99,79.38958333,2.34,22.67875,0.14175,28.38833333
2017,ABR,1,5,31.84,78.35166667,2.368333333,18.76625,0.16175,27.94791667
2017,ABR,1,6,25.63,77.72333333,2.385416667,17.78625,0.15925,27.52041667
2017,ABR,1,7,28.85,76.64875,2.395416667,16.26125,0.17925,27.28416667
2017,ABR,1,8,21.04,75.56291667,2.282083333,14.70125,0.20425,25.985
2017,ABR,1,9,14.46,70.36291667,2.046666667,14.005,0.22675,24.77875
2017,ABR,1,10,5.72,64.86541667,1.850833333,16.49625,0.2405,23.31791667
2017,ABR,1,11,3.03,60.78583333,1.744583333,20.17,0.238,22.4225
2017,ABR,1,12,2.11,58.71166667,1.724583333,25.2775,0.2205,21.8125
2017,ABR,1,13,1.7,57.65916667,1.71125,29.9625,0.19175,21.3375
2017,ABR,1,14,2.08,57.10416667,1.7025,32.88125,0.17925,21.28166667
2017,ABR,1,15,1.72,56.62583333,1.685833333,36.555,0.14925,20.84541667
2017,ABR,1,16,2.35,56.35291667,1.675,40.15875,0.11925,20.39541667
2017,ABR,1,17,2.62,56.44708333,1.662083333,42.605,0.093,19.77375
2017,ABR,1,18,3.65,55.54458333,1.649583333,42.70375,0.06675,19.21833333
2017,ABR,1,19,4.59,53.54791667,1.640416667,41.8525,0.053,18.01875
2017,ABR,1,20,8.26,52.465,1.628333333,40.45875,0.05175,17.03916667
2017,ABR,1,21,12.78,51.52208333,1.615,38.40625,0.06175,17.06208333
2017,ABR,1,22,14.17,51.13625,1.609583333,36.35375,0.07425,17.12
2017,ABR,1,23,10.68,51.05916667,1.602916667,34.01125,0.08175,16.81375
2017,ABR,2,0,10.14,50.9375,1.594166667,31.18125,0.08675,16.48125
2017,ABR,2,1,9.45,50.58,1.588333333,28.40375,0.088,16.14208333
2017,ABR,2,2,11.38,50.35541667,1.580416667,25.38375,0.09925,15.95666667
2017,ABR,2,3,19.12,50.53458333,1.57375,21.66,0.1255,15.84083333
2017,ABR,2,4,27.42,51.11791667,1.56875,17.35125,0.143,15.69208333
2017,ABR,2,5,19.95,51.51666667,1.544166667,15.23375,0.1455,15.47541667
2017,ABR,2,6,20.57,50.99708333,1.519583333,13.2675,0.14425,15.445
2017,ABR,2,7,18.16,51.05833333,1.496666667,12.82875,0.1605,15.39375
2017,ABR,2,8,19.26,50.88916667,1.477916667,12.86,0.2005,15.31458333
2017,ABR,2,9,9.46,50.97541667,1.489583333,13.53875,0.21925,15.14833333
2017,ABR,2,10,3.53,49.92,1.515,16.10375,0.22425,14.9875
2017,ABR,2,11,4.66,49.88083333,1.542916667,20.23,0.2255,14.8925
2017,ABR,2,12,3.87,49.79083333,1.547916667,24.74625,0.21925,14.88125
2017,ABR,2,13,3.14,49.5,1.560416667,28.87125,0.213,14.88125
2017,ABR,2,14,3.08,50.01458333,1.575416667,33.27375,0.20175,14.74541667
2017,ABR,2,15,3.24,50.27333333,1.58875,36.39875,0.178,14.91458333
2017,ABR,2,16,2.21,54.32833333,1.594583333,39.2,0.12925,15.33708333
2017,ABR,2,17,1.7,67.15583333,1.6,41.05,0.1055,16.18375
2017,ABR,2,18,1.7,71.67916667,1.60375,41.33625,0.088,16.03625
2017,ABR,2,19,2.13,71.80708333,1.601666667,40.855,0.0605,15.98833333
2017,ABR,2,20,7.08,71.04166667,1.594583333,39.81125,0.048,16.05541667
2017,ABR,2,21,11.41,71.39291667,1.607916667,37.76625,0.04675,15.84666667
2017,ABR,2,22,9.3,71.90666667,1.607916667,35.28,0.04175,15.81875
2017,ABR,2,23,9.29,71.23958333,1.59125,32.1175,0.03675,15.86333333
2017,ABR,3,0,10.26,71.17375,1.579583333,28.60125,0.03925,16.27
2017,ABR,3,1,12.55,71.49375,1.582083333,25.02125,0.04425,16.92666667
2017,ABR,3,2,17,71.49791667,1.572083333,21.05375,0.05425,17.21
2017,ABR,3,3,22.32,72.05,1.57,16.77125,0.06675,17.20125
2017,ABR,3,4,23.71,71.67458333,1.560833333,13.31125,0.083,17.22291667
2017,ABR,3,5,26.16,71.63541667,1.551666667,11.1325,0.0905,17.27166667
2017,ABR,3,6,24.77,71.83708333,1.558333333,8.92,0.12675,17.38958333
2017,ABR,3,7,23.78,72.76958333,1.605833333,6.61,0.26675,17.74375
2017,ABR,3,8,26.11,78.49541667,1.844583333,4.9825,0.418,19.38916667
2017,ABR,3,9,26.3,85.63625,1.970416667,4.6425,0.50675,20.86916667
2017,ABR,3,10,20.69,90.17166667,2.700416667,7.17875,0.5705,22.17041667
2017,ABR,3,11,8.81,92.52958333,2.9675,11.81875,0.59675,22.49666667
2017,ABR,3,12,8.23,92.98125,3.09625,17.4625,0.60925,22.61791667
2017,ABR,3,13,3.34,93.32875,3.11125,22.995,0.59675,22.62333333
2017,ABR,3,14,2.31,92.80666667,3.093333333,28.31,0.5555,22.34166667
2017,ABR,3,15,1.7,92.85625,3.077916667,34.01125,0.41175,22.42458333
2017,ABR,3,16,1.7,89.06458333,3.069166667,39.85625,0.2555,21.86541667
2017,ABR,3,17,2.04,75.23833333,3.06,44.98,0.163,20.61166667
2017,ABR,3,18,4.21,69.73791667,3.059166667,47.07,0.093,20.31958333
2017,ABR,3,19,9.24,68.01541667,3.055,46.51875,0.063,20.13166667
2017,ABR,3,20,12.48,67.51166667,3.067916667,44.4275,0.05425,20.49416667
