DATOS MÓVILES 2017_DIF,,,,,,,,,
,,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO,MPM2.5
2017,NOV,1,0,NA,48.05166667,1.54625,14.635,0.198,20.64380952
2017,NOV,1,1,NA,48.35125,1.540833333,12.335,0.18925,20.25142857
2017,NOV,1,2,NA,47.5075,1.514583333,11.08875,0.1655,19.61809524
2017,NOV,1,3,NA,46.36791667,1.49125,10.705,0.1105,18.96809524
2017,NOV,1,4,NA,45.82166667,1.473333333,9.7725,0.07675,18.42761905
2017,NOV,1,5,NA,45.02,1.454166667,9.19125,0.038,18.00619048
2017,NOV,1,6,NA,44.33125,1.440833333,8.24375,0.0155,17.7147619
2017,NOV,1,7,NA,43.42541667,1.420833333,7.085,0.053,17.39238095
2017,NOV,1,8,NA,42.21791667,1.409583333,6.015,0.19675,16.8052381
2017,NOV,1,9,NA,39.91791667,1.495416667,5.34625,0.268,16.60142857
2017,NOV,1,10,NA,40.26625,1.807916667,5.9325,0.31175,16.51904762
2017,NOV,1,11,NA,40.16541667,1.857916667,7.635,0.3355,16.53761905
2017,NOV,1,12,NA,40.38541667,1.873333333,10.1325,0.3555,16.82571429
2017,NOV,1,13,NA,40.10041667,1.87,12.60125,0.36925,16.82571429
2017,NOV,1,14,NA,40.34666667,1.872083333,15.70625,0.39175,16.44666667
2017,NOV,1,15,NA,40.37916667,1.872083333,18.9625,0.35175,16.64095238
2017,NOV,1,16,NA,39.87708333,1.8675,22.15875,0.2105,16.76571429
2017,NOV,1,17,NA,40.36541667,1.8625,25.3425,0.14425,16.98285714
2017,NOV,1,18,NA,39.325,1.855416667,27.02375,0.11175,16.97047619
2017,NOV,1,19,NA,38.61458333,1.86125,25.62625,0.148,16.79190476
2017,NOV,1,20,NA,42.25875,1.8775,22.9175,0.19925,17.48363636
2017,NOV,1,21,NA,44.74,1.88125,20.9875,0.22175,18.03
2017,NOV,1,22,NA,45.24583333,1.879583333,18.8775,0.218,18.24695652
2017,NOV,1,23,NA,45.35125,1.87875,16.54625,0.228,18.22521739
2017,NOV,2,0,NA,44.75541667,1.87625,14.39375,0.2355,18.53
2017,NOV,2,1,NA,44.3975,1.877916667,11.8825,0.238,18.89391304
2017,NOV,2,2,NA,44.84125,1.868333333,9.96,0.22925,19.25608696
2017,NOV,2,3,NA,45.02875,1.868333333,9.53625,0.16925,19.41521739
2017,NOV,2,4,NA,45.42125,1.86625,9.2525,0.098,19.95652174
2017,NOV,2,5,NA,46.23208333,1.867916667,8.1575,0.06925,20.28
2017,NOV,2,6,NA,46.87791667,1.866666667,7.0325,0.05675,20.37956522
2017,NOV,2,7,NA,47.59,1.858333333,6.0825,0.06175,20.9073913
2017,NOV,2,8,NA,47.73666667,1.834166667,5.0875,0.1055,21.53869565
2017,NOV,2,9,NA,48.82416667,1.745,4.3025,0.18925,21.69173913
2017,NOV,2,10,NA,48.96708333,1.402916667,4.64625,0.208,22.33347826
2017,NOV,2,11,NA,48.895,1.32125,6.735,0.2355,22.3326087
2017,NOV,2,12,NA,48.67416667,1.3125,10.6075,0.2605,22.08727273
2017,NOV,2,13,NA,49.56833333,3.43375,16.35,0.40675,22.08727273
2017,NOV,2,14,NA,50.58083333,4.975833333,21.8525,0.48675,23.18227273
2017,NOV,2,15,NA,51.80458333,5.13,25.9675,0.50925,24.03681818
2017,NOV,2,16,NA,52.96291667,5.2725,30.05875,0.50175,24.69727273
2017,NOV,2,17,NA,53.20166667,5.869583333,34.395,0.44425,24.94863636
2017,NOV,2,18,NA,53.50208333,6.077916667,36.69625,0.4605,25.49818182
2017,NOV,2,19,NA,54.10833333,6.1725,35.81625,0.53175,26.07318182
2017,NOV,2,20,NA,53.09708333,6.377083333,32.77,0.60175,26.285
2017,NOV,2,21,NA,53.58791667,6.95375,27.44,0.543,26.34772727
2017,NOV,2,22,NA,55.06,6.97,22.45875,0.50425,26.92909091
2017,NOV,2,23,NA,55.99083333,6.966666667,18.9325,0.49675,27.52954545
2017,NOV,3,0,NA,57.27625,6.960833333,15.20875,0.4705,27.76590909
2017,NOV,3,1,NA,57.97083333,7.049166667,10.79875,0.45675,28.13227273
2017,NOV,3,2,NA,58.74666667,7.122083333,7.84125,0.4255,28.52454545
2017,NOV,3,3,NA,59.34666667,7.167083333,6.69625,0.32675,28.76363636
2017,NOV,3,4,NA,59.80208333,7.331666667,6.04875,0.23175,28.61590909
2017,NOV,3,5,NA,59.87416667,7.37375,5.80625,0.138,28.78136364
2017,NOV,3,6,NA,60.23333333,7.455,5.25875,0.10175,29.08090909
2017,NOV,3,7,NA,61.12583333,7.545,4.6775,0.103,28.99454545
2017,NOV,3,8,NA,61.35708333,7.766666667,4.36875,0.16925,28.76590909
2017,NOV,3,9,NA,61.005,8.037916667,4.6475,0.21925,28.75454545
2017,NOV,3,10,NA,62.55583333,8.385,5.08375,0.26925,28.96590909
2017,NOV,3,11,NA,63.50791667,8.684166667,6.98375,0.3005,29.41772727
2017,NOV,3,12,NA,64.1125,8.910416667,9.9,0.31425,29.19478261
