DATOS MÓVILES 2017_DIF,,,,,,,,,
,,,,,,,,,
AÑO,MES,DIA,HORA,NO2,MPM10,MSO2 24HRS,MO3,MCO,MPM2.5
2017,DIC,1,0,15.93,57.66958333,10.29583333,9.2975,0.548,25.01954545
2017,DIC,1,1,3.35,58.4075,9.745833333,8.53,0.5005,25.49565217
2017,DIC,1,2,2.46,58.51708333,9.37125,8.30875,0.44425,25.1473913
2017,DIC,1,3,3.96,58.13708333,9.284166667,8.82625,0.288,25.47681818
2017,DIC,1,4,8.22,58.11416667,9.222916667,9.3375,0.19175,25.30909091
2017,DIC,1,5,3.97,57.77291667,9.211666667,9.8625,0.14425,24.80217391
2017,DIC,1,6,1.83,57.60708333,9.118333333,11.24,0.05675,24.71434783
2017,DIC,1,7,12.63,57.16791667,9.005,11.39375,0.04925,24.64304348
2017,DIC,1,8,15.42,56.13416667,8.93875,11.525,0.088,24.19304348
2017,DIC,1,9,11.05,55.70416667,8.8625,10.51875,0.1255,23.80478261
2017,DIC,1,10,5.26,55.26166667,8.672083333,10.18625,0.153,23.75695652
2017,DIC,1,11,3.37,55.44625,8.640416667,10.91375,0.1805,23.82043478
2017,DIC,1,12,4,55.77875,8.6025,12.37625,0.20925,23.61913043
2017,DIC,1,13,5.21,56.14416667,8.578333333,13.695,0.23675,23.4173913
2017,DIC,1,14,6.65,56.06875,8.583333333,15.005,0.268,23.90826087
2017,DIC,1,15,8.54,55.80291667,8.428333333,17.49125,0.2805,24.21173913
2017,DIC,1,16,6.84,56.07625,8.447083333,20.6225,0.248,24.15826087
2017,DIC,1,17,20,55.63125,8.449166667,22.73125,0.24925,23.55173913
2017,DIC,1,18,41.05,55.6775,8.441666667,22.69,0.29925,23.20956522
2017,DIC,1,19,65.38,54.04666667,8.36375,23.60285714,0.438,23.09956522
2017,DIC,1,20,66.2,54.86083333,8.307916667,24.35666667,0.6505,22.56652174
2017,DIC,1,21,49.2,59.86041667,8.745416667,21.01333333,0.84175,23.87434783
2017,DIC,1,22,29.95,62.04791667,7.243333333,17.44166667,0.90175,25.24521739
2017,DIC,1,23,20.14,63.8225,6.9375,13.52,0.9155,25.58652174
2017,DIC,2,0,18.89,64.66791667,4.873333333,9.643333333,0.92425,25.85086957
2017,DIC,2,1,2.37,64.71541667,4.73375,7.443333333,0.883,25.28217391
2017,DIC,2,2,1.7,64.55625,4.692916667,7.161666667,0.79925,25.2326087
2017,DIC,2,3,5.15,65.02791667,4.681666667,7.717142857,0.63175,24.64583333
2017,DIC,2,4,9.28,65.78916667,4.6825,7.54625,0.393,24.61791667
2017,DIC,2,5,13.17,66.16458333,4.785,8.03375,0.17425,24.82208333
2017,DIC,2,6,20.28,66.57083333,4.963333333,7.94,0.093,24.72708333
2017,DIC,2,7,21.49,67.16958333,5.18625,7.9675,0.08175,25.09
2017,DIC,2,8,22.13,68.31041667,5.319583333,7.35375,0.1205,25.90125
2017,DIC,2,9,15.03,68.48833333,5.344166667,6.72,0.178,26.43333333
2017,DIC,2,10,8.9,69.06291667,5.360416667,6.65125,0.23925,27.0575
2017,DIC,2,11,6.02,69.27583333,5.364166667,7.17125,0.27925,27.19208333
2017,DIC,2,12,6.37,68.85541667,5.364166667,8.6525,0.3255,27.40291667
2017,DIC,2,13,6.37,68.48208333,5.325416667,10.62125,0.36925,27.47666667
2017,DIC,2,14,5.76,68.14875,5.981666667,13.405,0.39175,27.42
2017,DIC,2,15,11.49,68.62916667,8.660416667,16.145,0.4255,27.17375
2017,DIC,2,16,8.1,68.36958333,10.24875,19.64125,0.44425,27.71833333
2017,DIC,2,17,14.19,68.215,11.3175,22.29625,0.49675,28.1075
2017,DIC,2,18,30.83,67.71333333,12.29208333,23.34625,0.558,28.2825
2017,DIC,2,19,68.32,67.17958333,13.3675,21.86375,0.73175,28.65916667
2017,DIC,2,20,69.85,65.42208333,13.87791667,22.38714286,0.94425,28.85291667
2017,DIC,2,21,56.75,65.88416667,13.185,19.58,1.21925,28.89291667
2017,DIC,2,22,40.98,69.48791667,12.2925,16.30714286,1.34925,29.74875
2017,DIC,2,23,25.76,69.16583333,12.56666667,12.93857143,1.3505,30.09
2017,DIC,3,0,6.86,69.51625,12.47833333,9.75,1.28925,30.63875
2017,DIC,3,1,4.97,68.7425,12.815,7.292857143,1.183,30.54875
2017,DIC,3,2,7.63,69.4325,13.92,5.862857143,1.06925,30.82333333
2017,DIC,3,3,1.7,69.27666667,13.91916667,6.954285714,0.858,31.22625
2017,DIC,3,4,10.77,68.64291667,16.39666667,6.89375,0.59675,31.25416667
2017,DIC,3,5,3.42,68.7575,16.66541667,7.83,0.278,31.80652174
2017,DIC,3,6,3.05,68.1825,16.4975,8.63375,0.1155,31.96
2017,DIC,3,7,9.92,67.49166667,16.38541667,8.77625,0.0455,31.45434783
2017,DIC,3,8,15.93,68.44958333,16.3375,8.01875,0.05675,30.94478261
2017,DIC,3,9,11.78,68.35208333,16.42958333,7.60875,0.08925,30.88652174
2017,DIC,3,10,3.74,67.74875,16.42166667,8.14375,0.108,30.74304348
2017,DIC,3,11,3.28,67.15083333,16.41666667,8.83,0.13675,30.49130435
2017,DIC,3,12,4.42,66.75125,16.41666667,10.49875,0.16925,30.35173913
2017,DIC,3,13,3.77,66.58416667,16.43375,12.48,0.18425,30.51521739
2017,DIC,3,14,2.74,66.64375,15.75208333,15.305,0.1855,30.90590909
2017,DIC,3,15,1.7,66.12833333,13.26291667,18.905,0.1855,30.89818182
2017,DIC,3,16,1.7,65.37791667,12.26375,22.9425,0.153,30.13681818
2017,DIC,3,17,2.77,65.48625,12.0475,26.76625,0.11425,29.98545455
2017,DIC,3,18,4.05,65.07791667,11.39,29.34625,0.0905,30.27454545
2017,DIC,3,19,43.18,63.90583333,10.31125,28.87125,0.1355,30.19136364
2017,DIC,3,20,65.69,62.80083333,9.382083333,26.68,0.27175,30.08590909
2017,DIC,3,21,61.78,61.25083333,9.237083333,23.82875,0.488,29.73863636
2017,DIC,3,22,57.99,60.78833333,8.8125,20.11125,0.69425,29.91
2017,DIC,3,23,53.75,63.97583333,8.605,16.17125,0.868,30.94318182
2017,DIC,4,0,44.81,68.15208333,8.6825,12.08875,0.978,31.95045455
2017,DIC,4,1,39.68,72.89625,8.730416667,7.66875,1.0305,33.89181818
2017,DIC,4,2,36.91,75.48291667,7.811666667,3.6875,1.073,35.285
2017,DIC,4,3,34.45,77.77166667,7.947083333,2.33625,1.02425,36.24045455
2017,DIC,4,4,34.11,80.1425,5.584166667,2.255,0.89175,37.18954545
2017,DIC,4,5,31.78,82.21708333,5.341666667,2.195,0.69425,37.31043478
2017,DIC,4,6,28.12,84.64083333,5.515416667,2.15,0.51675,38.33521739
2017,DIC,4,7,26.46,86.60333333,5.52375,2.035,0.408,39.2373913
2017,DIC,4,8,25.76,86.98833333,5.542083333,1.9425,0.3955,39.43608696
2017,DIC,4,9,25.45,89.21708333,5.774166667,2.17625,0.433,39.62391304
2017,DIC,4,10,29.46,92.8875,6.667083333,2.845,0.478,40.30913043
2017,DIC,4,11,23.32,95.6775,7.127916667,5.01,0.493,42.00826087
2017,DIC,4,12,11.41,97.40583333,7.301666667,8.5625,0.4805,43.15086957
2017,DIC,4,13,5.25,98.44791667,7.359583333,13.1075,0.4555,43.85217391
2017,DIC,4,14,3.87,99.91625,7.395,17.9825,0.43675,43.65125
2017,DIC,4,15,2.62,101.0370833,7.136666667,22.77375,0.383,44.48083333
2017,DIC,4,16,1.7,101.9391667,6.40875,27.605,0.2855,45.21583333
2017,DIC,4,17,1.7,103,5.526666667,32.27375,0.193,45.65625
2017,DIC,4,18,12.11,104.155,5.176666667,34.935,0.10425,46.08625
2017,DIC,4,19,60.42,105.79625,5.117083333,33.08875,0.288,46.0725
2017,DIC,4,20,66.02,110.1754167,5.071666667,29.61375,0.6355,46.17041667
2017,DIC,4,21,61.38,115.4275,5.048333333,25.14375,1.10675,47.28916667
2017,DIC,4,22,49.65,118.65125,4.979583333,20.2775,1.228,48.50083333
2017,DIC,4,23,41.5,119.175,4.811666667,15.55625,1.2855,48.9925
2017,DIC,5,0,41.56,118.72875,4.769583333,10.94375,1.33675,49.62083333
2017,DIC,5,1,29.52,118.8979167,4.385,6.56875,1.3655,50.41416667
2017,DIC,5,2,39.77,120.4395833,4.204166667,3.16375,1.403,52.24041667
2017,DIC,5,3,38.38,122.0808333,4.057083333,2.81125,1.20925,54.08875
2017,DIC,5,4,35.3,122.9245833,3.964166667,2.855,0.89425,55.0625
2017,DIC,5,5,37.19,125.8579167,3.885416667,2.91,0.488,56.465
2017,DIC,5,6,36.78,129.8275,3.834583333,2.93125,0.4355,58.57583333
2017,DIC,5,7,36.64,133.37125,3.932916667,3.0625,0.48925,60.57333333
2017,DIC,5,8,42.07,137.5654167,4.1175,2.8675,0.63925,62.83416667
2017,DIC,5,9,38.15,141.85,4.177916667,2.59625,0.7755,65.67208333
2017,DIC,5,10,24.77,143.2254167,3.51375,3.90875,0.838,67.6425
2017,DIC,5,11,14.09,143.4308333,3.293333333,6.1975,0.863,68.205
2017,DIC,5,12,5.34,144.1016667,3.192083333,9.605,0.8405,68.65791667
2017,DIC,5,13,6.23,144.45375,3.4025,14,0.79925,68.71791667
2017,DIC,5,14,6.21,144.6345833,4.7,19.44875,0.75925,68.90541667
2017,DIC,5,15,5.67,145.5354167,5.35875,24.86125,0.67425,69.00958333
2017,DIC,5,16,7.92,146.85,5.625,29.58625,0.50925,68.95166667
2017,DIC,5,17,10.34,146.5020833,5.73875,33.3575,0.378,68.91541667
2017,DIC,5,18,14.39,146.0091667,5.809583333,35.81375,0.31175,68.46
2017,DIC,5,19,66.36,146.0579167,5.855,34.16875,0.3805,68.56625
2017,DIC,5,20,74.88,143.7341667,5.87625,30.635,0.513,68.54625
2017,DIC,5,21,70.09,139.7491667,5.908333333,26.10375,0.713,67.66416667
2017,DIC,5,22,74.33,137.7375,6.249166667,20.6,0.99175,66.49541667
2017,DIC,5,23,72.31,140.3595833,6.625416667,15.3275,1.10675,67.34083333
2017,DIC,6,0,49.28,140.08875,6.742916667,11.325,1.1805,67.56125
2017,DIC,6,1,36.62,138.63875,6.81625,7.855,1.22175,66.285
2017,DIC,6,2,38.24,135.8529167,6.875,4.3825,1.25425,63.80416667
2017,DIC,6,3,32.77,134.1395833,7.07375,4.55375,1.188,61.74583333
2017,DIC,6,4,22.02,132.15,7.157083333,5.7325,1.073,60.7125
2017,DIC,6,5,15.6,127.4370833,7.213333333,7.0025,0.8905,58.9425
2017,DIC,6,6,14.44,122.1408333,7.127083333,8.23875,0.62425,56.48125
2017,DIC,6,7,15.07,117.3879167,6.929166667,9.0425,0.548,54.26375
2017,DIC,6,8,21.17,111.3454167,6.64875,9.05625,0.543,52.2125
2017,DIC,6,9,15.99,105.25375,6.245,9.6075,0.5705,49.30666667
2017,DIC,6,10,11.21,100.9966667,6.005416667,11.34625,0.58425,46.47625
2017,DIC,6,11,10.71,98.98958333,5.765,12.99875,0.603,44.67416667
2017,DIC,6,12,12.12,97.49375,5.6925,14.715,0.6355,43.84166667
2017,DIC,6,13,16.73,96.77666667,5.407083333,16.5875,0.68425,43.3775
2017,DIC,6,14,18.81,96.19791667,4.095833333,18.8425,0.71675,42.86416667
2017,DIC,6,15,10.98,95.32291667,3.421666667,22.2075,0.70925,42.4525
2017,DIC,6,16,13.02,94.32666667,3.145833333,26.155,0.673,42.33625
2017,DIC,6,17,13.63,94.4275,3.055645833,29.825,0.63925,42.38958333
2017,DIC,6,18,23.7,94.48541667,3.148829167,31.805,0.6505,42.53958333
2017,DIC,6,19,72.34,94.5375,3.306179167,30.415,0.8355,42.9825
2017,DIC,6,20,87.94,96.23708333,3.432695833,27.52,1.3905,43.38541667
2017,DIC,6,21,1.7,89.3325,3.4892125,24.82625,1.32925,42.73304348
